source name	characteristics[organism part]	characteristics[organism]	characteristics[disease]	characteristics[cell type]	assay name	comment[data file]	comment[instrument]	comment[fraction identifier]
3m__BG8_01_1185.mzXML	not applicable	not applicable	not applicable	not applicable	f.MSV000078556/ccms_peak/Human_Swabs/Man/3m__BG8_01_1185.mzXML	f.MSV000078556/ccms_peak/Human_Swabs/Man/3m__BG8_01_1185.mzXML	impact|MS:1002077	dd5c5706-7343-46e4-962c-be668af276f2
3m__BG9_01_1186.mzXML	not applicable	not applicable	not applicable	not applicable	f.MSV000078556/ccms_peak/Human_Swabs/Man/3m__BG9_01_1186.mzXML	f.MSV000078556/ccms_peak/Human_Swabs/Man/3m__BG9_01_1186.mzXML	impact|MS:1002077	dd5c5706-7343-46e4-962c-be668af276f2
3m__BG10_01_1187.mzXML	not applicable	not applicable	not applicable	not applicable	f.MSV000078556/ccms_peak/Human_Swabs/Man/3m__BG10_01_1187.mzXML	f.MSV000078556/ccms_peak/Human_Swabs/Man/3m__BG10_01_1187.mzXML	impact|MS:1002077	dd5c5706-7343-46e4-962c-be668af276f2
3m__BG11_01_1188.mzXML	not applicable	not applicable	not applicable	not applicable	f.MSV000078556/ccms_peak/Human_Swabs/Man/3m__BG11_01_1188.mzXML	f.MSV000078556/ccms_peak/Human_Swabs/Man/3m__BG11_01_1188.mzXML	impact|MS:1002077	dd5c5706-7343-46e4-962c-be668af276f2
3m__BG12_01_1189.mzXML	not applicable	not applicable	not applicable	not applicable	f.MSV000078556/ccms_peak/Human_Swabs/Man/3m__BG12_01_1189.mzXML	f.MSV000078556/ccms_peak/Human_Swabs/Man/3m__BG12_01_1189.mzXML	impact|MS:1002077	dd5c5706-7343-46e4-962c-be668af276f2
3m__BH1_01_1190.mzXML	not applicable	not applicable	not applicable	not applicable	f.MSV000078556/ccms_peak/Human_Swabs/Man/3m__BH1_01_1190.mzXML	f.MSV000078556/ccms_peak/Human_Swabs/Man/3m__BH1_01_1190.mzXML	impact|MS:1002077	dd5c5706-7343-46e4-962c-be668af276f2
3m__BH2_01_1191.mzXML	not applicable	not applicable	not applicable	not applicable	f.MSV000078556/ccms_peak/Human_Swabs/Man/3m__BH2_01_1191.mzXML	f.MSV000078556/ccms_peak/Human_Swabs/Man/3m__BH2_01_1191.mzXML	impact|MS:1002077	dd5c5706-7343-46e4-962c-be668af276f2
3m__BH3_01_1192.mzXML	not applicable	not applicable	not applicable	not applicable	f.MSV000078556/ccms_peak/Human_Swabs/Man/3m__BH3_01_1192.mzXML	f.MSV000078556/ccms_peak/Human_Swabs/Man/3m__BH3_01_1192.mzXML	impact|MS:1002077	dd5c5706-7343-46e4-962c-be668af276f2
3m__BH4_01_1193.mzXML	not applicable	not applicable	not applicable	not applicable	f.MSV000078556/ccms_peak/Human_Swabs/Man/3m__BH4_01_1193.mzXML	f.MSV000078556/ccms_peak/Human_Swabs/Man/3m__BH4_01_1193.mzXML	impact|MS:1002077	dd5c5706-7343-46e4-962c-be668af276f2
3m__BH5_01_1194.mzXML	not applicable	not applicable	not applicable	not applicable	f.MSV000078556/ccms_peak/Human_Swabs/Man/3m__BH5_01_1194.mzXML	f.MSV000078556/ccms_peak/Human_Swabs/Man/3m__BH5_01_1194.mzXML	impact|MS:1002077	dd5c5706-7343-46e4-962c-be668af276f2
3m__BH6_01_1195.mzXML	not applicable	not applicable	not applicable	not applicable	f.MSV000078556/ccms_peak/Human_Swabs/Man/3m__BH6_01_1195.mzXML	f.MSV000078556/ccms_peak/Human_Swabs/Man/3m__BH6_01_1195.mzXML	impact|MS:1002077	dd5c5706-7343-46e4-962c-be668af276f2
3m__BH7_01_1196.mzXML	not applicable	not applicable	not applicable	not applicable	f.MSV000078556/ccms_peak/Human_Swabs/Man/3m__BH7_01_1196.mzXML	f.MSV000078556/ccms_peak/Human_Swabs/Man/3m__BH7_01_1196.mzXML	impact|MS:1002077	dd5c5706-7343-46e4-962c-be668af276f2
11m__BF1_01_1879.mzXML	not applicable	not applicable	not applicable	not applicable	f.MSV000078556/ccms_peak/Human_Swabs/Woman/11m__BF1_01_1879.mzXML	f.MSV000078556/ccms_peak/Human_Swabs/Woman/11m__BF1_01_1879.mzXML	impact|MS:1002077	dd5c5706-7343-46e4-962c-be668af276f2
11m__BF2_01_1880.mzXML	not applicable	not applicable	not applicable	not applicable	f.MSV000078556/ccms_peak/Human_Swabs/Woman/11m__BF2_01_1880.mzXML	f.MSV000078556/ccms_peak/Human_Swabs/Woman/11m__BF2_01_1880.mzXML	impact|MS:1002077	dd5c5706-7343-46e4-962c-be668af276f2
11m__BF3_01_1881.mzXML	not applicable	not applicable	not applicable	not applicable	f.MSV000078556/ccms_peak/Human_Swabs/Woman/11m__BF3_01_1881.mzXML	f.MSV000078556/ccms_peak/Human_Swabs/Woman/11m__BF3_01_1881.mzXML	impact|MS:1002077	dd5c5706-7343-46e4-962c-be668af276f2
11m__BH4_01_1906.mzXML	not applicable	not applicable	not applicable	not applicable	f.MSV000078556/ccms_peak/Human_Swabs/Woman/11m__BH4_01_1906.mzXML	f.MSV000078556/ccms_peak/Human_Swabs/Woman/11m__BH4_01_1906.mzXML	impact|MS:1002077	dd5c5706-7343-46e4-962c-be668af276f2
11m__BH5_01_1907.mzXML	not applicable	not applicable	not applicable	not applicable	f.MSV000078556/ccms_peak/Human_Swabs/Woman/11m__BH5_01_1907.mzXML	f.MSV000078556/ccms_peak/Human_Swabs/Woman/11m__BH5_01_1907.mzXML	impact|MS:1002077	dd5c5706-7343-46e4-962c-be668af276f2
11m__BH6_01_1908.mzXML	not applicable	not applicable	not applicable	not applicable	f.MSV000078556/ccms_peak/Human_Swabs/Woman/11m__BH6_01_1908.mzXML	f.MSV000078556/ccms_peak/Human_Swabs/Woman/11m__BH6_01_1908.mzXML	impact|MS:1002077	dd5c5706-7343-46e4-962c-be668af276f2
11m__BH7_01_1909.mzXML	not applicable	not applicable	not applicable	not applicable	f.MSV000078556/ccms_peak/Human_Swabs/Woman/11m__BH7_01_1909.mzXML	f.MSV000078556/ccms_peak/Human_Swabs/Woman/11m__BH7_01_1909.mzXML	impact|MS:1002077	dd5c5706-7343-46e4-962c-be668af276f2
11m__BH8_01_1910.mzXML	not applicable	not applicable	not applicable	not applicable	f.MSV000078556/ccms_peak/Human_Swabs/Woman/11m__BH8_01_1910.mzXML	f.MSV000078556/ccms_peak/Human_Swabs/Woman/11m__BH8_01_1910.mzXML	impact|MS:1002077	dd5c5706-7343-46e4-962c-be668af276f2
11m__BH9_01_1911.mzXML	not applicable	not applicable	not applicable	not applicable	f.MSV000078556/ccms_peak/Human_Swabs/Woman/11m__BH9_01_1911.mzXML	f.MSV000078556/ccms_peak/Human_Swabs/Woman/11m__BH9_01_1911.mzXML	impact|MS:1002077	dd5c5706-7343-46e4-962c-be668af276f2
11m__BH10_01_1912.mzXML	not applicable	not applicable	not applicable	not applicable	f.MSV000078556/ccms_peak/Human_Swabs/Woman/11m__BH10_01_1912.mzXML	f.MSV000078556/ccms_peak/Human_Swabs/Woman/11m__BH10_01_1912.mzXML	impact|MS:1002077	dd5c5706-7343-46e4-962c-be668af276f2
11m__BH11_01_1913.mzXML	not applicable	not applicable	not applicable	not applicable	f.MSV000078556/ccms_peak/Human_Swabs/Woman/11m__BH11_01_1913.mzXML	f.MSV000078556/ccms_peak/Human_Swabs/Woman/11m__BH11_01_1913.mzXML	impact|MS:1002077	dd5c5706-7343-46e4-962c-be668af276f2
11m__BH12_01_1914.mzXML	not applicable	not applicable	not applicable	not applicable	f.MSV000078556/ccms_peak/Human_Swabs/Woman/11m__BH12_01_1914.mzXML	f.MSV000078556/ccms_peak/Human_Swabs/Woman/11m__BH12_01_1914.mzXML	impact|MS:1002077	dd5c5706-7343-46e4-962c-be668af276f2
12m__BH8_01_2012.mzXML	not applicable	not applicable	not applicable	not applicable	f.MSV000078556/ccms_peak/Human_Swabs/Woman/12m__BH8_01_2012.mzXML	f.MSV000078556/ccms_peak/Human_Swabs/Woman/12m__BH8_01_2012.mzXML	impact|MS:1002077	dd5c5706-7343-46e4-962c-be668af276f2
12m__BH9_01_2013.mzXML	not applicable	not applicable	not applicable	not applicable	f.MSV000078556/ccms_peak/Human_Swabs/Woman/12m__BH9_01_2013.mzXML	f.MSV000078556/ccms_peak/Human_Swabs/Woman/12m__BH9_01_2013.mzXML	impact|MS:1002077	dd5c5706-7343-46e4-962c-be668af276f2
12m__BH10_01_2014.mzXML	not applicable	not applicable	not applicable	not applicable	f.MSV000078556/ccms_peak/Human_Swabs/Woman/12m__BH10_01_2014.mzXML	f.MSV000078556/ccms_peak/Human_Swabs/Woman/12m__BH10_01_2014.mzXML	impact|MS:1002077	dd5c5706-7343-46e4-962c-be668af276f2
12m__BH11_01_2015.mzXML	not applicable	not applicable	not applicable	not applicable	f.MSV000078556/ccms_peak/Human_Swabs/Woman/12m__BH11_01_2015.mzXML	f.MSV000078556/ccms_peak/Human_Swabs/Woman/12m__BH11_01_2015.mzXML	impact|MS:1002077	dd5c5706-7343-46e4-962c-be668af276f2
12m__BH12_01_2016.mzXML	not applicable	not applicable	not applicable	not applicable	f.MSV000078556/ccms_peak/Human_Swabs/Woman/12m__BH12_01_2016.mzXML	f.MSV000078556/ccms_peak/Human_Swabs/Woman/12m__BH12_01_2016.mzXML	impact|MS:1002077	dd5c5706-7343-46e4-962c-be668af276f2
13m__BC7_01_2053.mzXML	not applicable	not applicable	not applicable	not applicable	f.MSV000078556/ccms_peak/Human_Swabs/Woman/13m__BC7_01_2053.mzXML	f.MSV000078556/ccms_peak/Human_Swabs/Woman/13m__BC7_01_2053.mzXML	impact|MS:1002077	dd5c5706-7343-46e4-962c-be668af276f2
14m__BA10_01_2134.mzXML	not applicable	not applicable	not applicable	not applicable	f.MSV000078556/ccms_peak/Human_Swabs/Woman/14m__BA10_01_2134.mzXML	f.MSV000078556/ccms_peak/Human_Swabs/Woman/14m__BA10_01_2134.mzXML	impact|MS:1002077	dd5c5706-7343-46e4-962c-be668af276f2
14m__BA11_01_2135.mzXML	not applicable	not applicable	not applicable	not applicable	f.MSV000078556/ccms_peak/Human_Swabs/Woman/14m__BA11_01_2135.mzXML	f.MSV000078556/ccms_peak/Human_Swabs/Woman/14m__BA11_01_2135.mzXML	impact|MS:1002077	dd5c5706-7343-46e4-962c-be668af276f2
14m__BA12_01_2136.mzXML	not applicable	not applicable	not applicable	not applicable	f.MSV000078556/ccms_peak/Human_Swabs/Woman/14m__BA12_01_2136.mzXML	f.MSV000078556/ccms_peak/Human_Swabs/Woman/14m__BA12_01_2136.mzXML	impact|MS:1002077	dd5c5706-7343-46e4-962c-be668af276f2
14m__BB2_01_2138.mzXML	not applicable	not applicable	not applicable	not applicable	f.MSV000078556/ccms_peak/Human_Swabs/Woman/14m__BB2_01_2138.mzXML	f.MSV000078556/ccms_peak/Human_Swabs/Woman/14m__BB2_01_2138.mzXML	impact|MS:1002077	dd5c5706-7343-46e4-962c-be668af276f2
14m__BB3_01_2139.mzXML	not applicable	not applicable	not applicable	not applicable	f.MSV000078556/ccms_peak/Human_Swabs/Woman/14m__BB3_01_2139.mzXML	f.MSV000078556/ccms_peak/Human_Swabs/Woman/14m__BB3_01_2139.mzXML	impact|MS:1002077	dd5c5706-7343-46e4-962c-be668af276f2
14m__BB6_01_2142.mzXML	not applicable	not applicable	not applicable	not applicable	f.MSV000078556/ccms_peak/Human_Swabs/Woman/14m__BB6_01_2142.mzXML	f.MSV000078556/ccms_peak/Human_Swabs/Woman/14m__BB6_01_2142.mzXML	impact|MS:1002077	dd5c5706-7343-46e4-962c-be668af276f2
14m__BB7_01_2143.mzXML	not applicable	not applicable	not applicable	not applicable	f.MSV000078556/ccms_peak/Human_Swabs/Woman/14m__BB7_01_2143.mzXML	f.MSV000078556/ccms_peak/Human_Swabs/Woman/14m__BB7_01_2143.mzXML	impact|MS:1002077	dd5c5706-7343-46e4-962c-be668af276f2
14m__BC5_01_2153.mzXML	not applicable	not applicable	not applicable	not applicable	f.MSV000078556/ccms_peak/Human_Swabs/Woman/14m__BC5_01_2153.mzXML	f.MSV000078556/ccms_peak/Human_Swabs/Woman/14m__BC5_01_2153.mzXML	impact|MS:1002077	dd5c5706-7343-46e4-962c-be668af276f2
14m__BC6_01_2154.mzXML	not applicable	not applicable	not applicable	not applicable	f.MSV000078556/ccms_peak/Human_Swabs/Woman/14m__BC6_01_2154.mzXML	f.MSV000078556/ccms_peak/Human_Swabs/Woman/14m__BC6_01_2154.mzXML	impact|MS:1002077	dd5c5706-7343-46e4-962c-be668af276f2
14m__BC7_01_2155.mzXML	not applicable	not applicable	not applicable	not applicable	f.MSV000078556/ccms_peak/Human_Swabs/Woman/14m__BC7_01_2155.mzXML	f.MSV000078556/ccms_peak/Human_Swabs/Woman/14m__BC7_01_2155.mzXML	impact|MS:1002077	dd5c5706-7343-46e4-962c-be668af276f2
14m__BC8_01_2156.mzXML	not applicable	not applicable	not applicable	not applicable	f.MSV000078556/ccms_peak/Human_Swabs/Woman/14m__BC8_01_2156.mzXML	f.MSV000078556/ccms_peak/Human_Swabs/Woman/14m__BC8_01_2156.mzXML	impact|MS:1002077	dd5c5706-7343-46e4-962c-be668af276f2
14m__BC9_01_2157.mzXML	not applicable	not applicable	not applicable	not applicable	f.MSV000078556/ccms_peak/Human_Swabs/Woman/14m__BC9_01_2157.mzXML	f.MSV000078556/ccms_peak/Human_Swabs/Woman/14m__BC9_01_2157.mzXML	impact|MS:1002077	dd5c5706-7343-46e4-962c-be668af276f2
14m__BC10_01_2158.mzXML	not applicable	not applicable	not applicable	not applicable	f.MSV000078556/ccms_peak/Human_Swabs/Woman/14m__BC10_01_2158.mzXML	f.MSV000078556/ccms_peak/Human_Swabs/Woman/14m__BC10_01_2158.mzXML	impact|MS:1002077	dd5c5706-7343-46e4-962c-be668af276f2
14m__BC11_01_2159.mzXML	not applicable	not applicable	not applicable	not applicable	f.MSV000078556/ccms_peak/Human_Swabs/Woman/14m__BC11_01_2159.mzXML	f.MSV000078556/ccms_peak/Human_Swabs/Woman/14m__BC11_01_2159.mzXML	impact|MS:1002077	dd5c5706-7343-46e4-962c-be668af276f2
14m__BC12_01_2160.mzXML	not applicable	not applicable	not applicable	not applicable	f.MSV000078556/ccms_peak/Human_Swabs/Woman/14m__BC12_01_2160.mzXML	f.MSV000078556/ccms_peak/Human_Swabs/Woman/14m__BC12_01_2160.mzXML	impact|MS:1002077	dd5c5706-7343-46e4-962c-be668af276f2
m15__BE12_01_2289.mzXML	not applicable	not applicable	not applicable	not applicable	f.MSV000078556/ccms_peak/Human_Swabs/Woman/m15__BE12_01_2289.mzXML	f.MSV000078556/ccms_peak/Human_Swabs/Woman/m15__BE12_01_2289.mzXML	impact|MS:1002077	dd5c5706-7343-46e4-962c-be668af276f2
m15__BG1_01_2302.mzXML	not applicable	not applicable	not applicable	not applicable	f.MSV000078556/ccms_peak/Human_Swabs/Woman/m15__BG1_01_2302.mzXML	f.MSV000078556/ccms_peak/Human_Swabs/Woman/m15__BG1_01_2302.mzXML	impact|MS:1002077	dd5c5706-7343-46e4-962c-be668af276f2
m15__BG2_01_2303.mzXML	not applicable	not applicable	not applicable	not applicable	f.MSV000078556/ccms_peak/Human_Swabs/Woman/m15__BG2_01_2303.mzXML	f.MSV000078556/ccms_peak/Human_Swabs/Woman/m15__BG2_01_2303.mzXML	impact|MS:1002077	dd5c5706-7343-46e4-962c-be668af276f2
m15__BG3_01_2304.mzXML	not applicable	not applicable	not applicable	not applicable	f.MSV000078556/ccms_peak/Human_Swabs/Woman/m15__BG3_01_2304.mzXML	f.MSV000078556/ccms_peak/Human_Swabs/Woman/m15__BG3_01_2304.mzXML	impact|MS:1002077	dd5c5706-7343-46e4-962c-be668af276f2
m15__BG4_01_2305.mzXML	not applicable	not applicable	not applicable	not applicable	f.MSV000078556/ccms_peak/Human_Swabs/Woman/m15__BG4_01_2305.mzXML	f.MSV000078556/ccms_peak/Human_Swabs/Woman/m15__BG4_01_2305.mzXML	impact|MS:1002077	dd5c5706-7343-46e4-962c-be668af276f2
2m__BH6_01_1095.mzXML	not applicable	not applicable	not applicable	not applicable	f.MSV000078556/ccms_peak/Human_Swabs/Man/2m__BH6_01_1095.mzXML	f.MSV000078556/ccms_peak/Human_Swabs/Man/2m__BH6_01_1095.mzXML	impact|MS:1002077	dd5c5706-7343-46e4-962c-be668af276f2
2m__BH7_01_1096.mzXML	not applicable	not applicable	not applicable	not applicable	f.MSV000078556/ccms_peak/Human_Swabs/Man/2m__BH7_01_1096.mzXML	f.MSV000078556/ccms_peak/Human_Swabs/Man/2m__BH7_01_1096.mzXML	impact|MS:1002077	dd5c5706-7343-46e4-962c-be668af276f2
2m__BH8_01_1097.mzXML	not applicable	not applicable	not applicable	not applicable	f.MSV000078556/ccms_peak/Human_Swabs/Man/2m__BH8_01_1097.mzXML	f.MSV000078556/ccms_peak/Human_Swabs/Man/2m__BH8_01_1097.mzXML	impact|MS:1002077	dd5c5706-7343-46e4-962c-be668af276f2
2m__BH9_01_1098.mzXML	not applicable	not applicable	not applicable	not applicable	f.MSV000078556/ccms_peak/Human_Swabs/Man/2m__BH9_01_1098.mzXML	f.MSV000078556/ccms_peak/Human_Swabs/Man/2m__BH9_01_1098.mzXML	impact|MS:1002077	dd5c5706-7343-46e4-962c-be668af276f2
2m__BH10_01_1099.mzXML	not applicable	not applicable	not applicable	not applicable	f.MSV000078556/ccms_peak/Human_Swabs/Man/2m__BH10_01_1099.mzXML	f.MSV000078556/ccms_peak/Human_Swabs/Man/2m__BH10_01_1099.mzXML	impact|MS:1002077	dd5c5706-7343-46e4-962c-be668af276f2
2m__BH11_01_1100.mzXML	not applicable	not applicable	not applicable	not applicable	f.MSV000078556/ccms_peak/Human_Swabs/Man/2m__BH11_01_1100.mzXML	f.MSV000078556/ccms_peak/Human_Swabs/Man/2m__BH11_01_1100.mzXML	impact|MS:1002077	dd5c5706-7343-46e4-962c-be668af276f2
2m__BH12_01_1101.mzXML	not applicable	not applicable	not applicable	not applicable	f.MSV000078556/ccms_peak/Human_Swabs/Man/2m__BH12_01_1101.mzXML	f.MSV000078556/ccms_peak/Human_Swabs/Man/2m__BH12_01_1101.mzXML	impact|MS:1002077	dd5c5706-7343-46e4-962c-be668af276f2
3m__BF1_01_1166.mzXML	not applicable	not applicable	not applicable	not applicable	f.MSV000078556/ccms_peak/Human_Swabs/Man/3m__BF1_01_1166.mzXML	f.MSV000078556/ccms_peak/Human_Swabs/Man/3m__BF1_01_1166.mzXML	impact|MS:1002077	dd5c5706-7343-46e4-962c-be668af276f2
3m__BF2_01_1167.mzXML	not applicable	not applicable	not applicable	not applicable	f.MSV000078556/ccms_peak/Human_Swabs/Man/3m__BF2_01_1167.mzXML	f.MSV000078556/ccms_peak/Human_Swabs/Man/3m__BF2_01_1167.mzXML	impact|MS:1002077	dd5c5706-7343-46e4-962c-be668af276f2
3m__BF3_01_1168.mzXML	not applicable	not applicable	not applicable	not applicable	f.MSV000078556/ccms_peak/Human_Swabs/Man/3m__BF3_01_1168.mzXML	f.MSV000078556/ccms_peak/Human_Swabs/Man/3m__BF3_01_1168.mzXML	impact|MS:1002077	dd5c5706-7343-46e4-962c-be668af276f2
3m__BH8_01_1197.mzXML	not applicable	not applicable	not applicable	not applicable	f.MSV000078556/ccms_peak/Human_Swabs/Man/3m__BH8_01_1197.mzXML	f.MSV000078556/ccms_peak/Human_Swabs/Man/3m__BH8_01_1197.mzXML	impact|MS:1002077	dd5c5706-7343-46e4-962c-be668af276f2
