source name	characteristics[organism part]	characteristics[organism]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	assay name	comment[data file]	comment[instrument]	comment[fraction identifier]	comment[technical replicate]	comment[label]	comment[separation]	comment[ionization]	comment[internalstandard]	comment[extraction]	comment[cleavage agent details]
28	not applicable	not applicable	not applicable	blank_analysis	28	f.MSV000078556/ccms_peak/Human_Swabs/Man/3m__BG10_01_1187.mzXML	3m__BG10_01_1187.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	28	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
29	not applicable	not applicable	not applicable	blank_analysis	29	f.MSV000078556/ccms_peak/Human_Swabs/Man/3m__BG11_01_1188.mzXML	3m__BG11_01_1188.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	29	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
30	not applicable	not applicable	not applicable	blank_analysis	30	f.MSV000078556/ccms_peak/Human_Swabs/Man/3m__BG12_01_1189.mzXML	3m__BG12_01_1189.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	30	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
31	not applicable	not applicable	not applicable	blank_analysis	31	f.MSV000078556/ccms_peak/Human_Swabs/Man/3m__BH1_01_1190.mzXML	3m__BH1_01_1190.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	31	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
32	not applicable	not applicable	not applicable	blank_analysis	32	f.MSV000078556/ccms_peak/Human_Swabs/Man/3m__BH2_01_1191.mzXML	3m__BH2_01_1191.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	32	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
33	not applicable	not applicable	not applicable	blank_analysis	33	f.MSV000078556/ccms_peak/Human_Swabs/Man/3m__BH3_01_1192.mzXML	3m__BH3_01_1192.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	33	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
34	not applicable	not applicable	not applicable	blank_analysis	34	f.MSV000078556/ccms_peak/Human_Swabs/Man/3m__BH4_01_1193.mzXML	3m__BH4_01_1193.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	34	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
35	not applicable	not applicable	not applicable	blank_analysis	35	f.MSV000078556/ccms_peak/Human_Swabs/Man/3m__BH5_01_1194.mzXML	3m__BH5_01_1194.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	35	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
36	not applicable	not applicable	not applicable	blank_analysis	36	f.MSV000078556/ccms_peak/Human_Swabs/Man/3m__BH6_01_1195.mzXML	3m__BH6_01_1195.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	36	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
37	not applicable	not applicable	not applicable	blank_analysis	37	f.MSV000078556/ccms_peak/Human_Swabs/Man/3m__BH7_01_1196.mzXML	3m__BH7_01_1196.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	37	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
38	not applicable	not applicable	not applicable	blank_analysis	38	f.MSV000078556/ccms_peak/Human_Swabs/Woman/11m__BF1_01_1879.mzXML	11m__BF1_01_1879.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	38	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
39	not applicable	not applicable	not applicable	blank_analysis	39	f.MSV000078556/ccms_peak/Human_Swabs/Woman/11m__BF2_01_1880.mzXML	11m__BF2_01_1880.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	39	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
40	not applicable	not applicable	not applicable	blank_analysis	40	f.MSV000078556/ccms_peak/Human_Swabs/Woman/11m__BF3_01_1881.mzXML	11m__BF3_01_1881.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	40	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
41	not applicable	not applicable	not applicable	blank_analysis	41	f.MSV000078556/ccms_peak/Human_Swabs/Woman/11m__BH4_01_1906.mzXML	11m__BH4_01_1906.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	41	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
42	not applicable	not applicable	not applicable	blank_analysis	42	f.MSV000078556/ccms_peak/Human_Swabs/Woman/11m__BH5_01_1907.mzXML	11m__BH5_01_1907.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	42	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
43	not applicable	not applicable	not applicable	blank_analysis	43	f.MSV000078556/ccms_peak/Human_Swabs/Woman/11m__BH6_01_1908.mzXML	11m__BH6_01_1908.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	43	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
44	not applicable	not applicable	not applicable	blank_analysis	44	f.MSV000078556/ccms_peak/Human_Swabs/Woman/11m__BH7_01_1909.mzXML	11m__BH7_01_1909.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	44	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
45	not applicable	not applicable	not applicable	blank_analysis	45	f.MSV000078556/ccms_peak/Human_Swabs/Woman/11m__BH8_01_1910.mzXML	11m__BH8_01_1910.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	45	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
46	not applicable	not applicable	not applicable	blank_analysis	46	f.MSV000078556/ccms_peak/Human_Swabs/Woman/11m__BH9_01_1911.mzXML	11m__BH9_01_1911.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	46	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
47	not applicable	not applicable	not applicable	blank_analysis	47	f.MSV000078556/ccms_peak/Human_Swabs/Woman/11m__BH10_01_1912.mzXML	11m__BH10_01_1912.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	47	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
48	not applicable	not applicable	not applicable	blank_analysis	48	f.MSV000078556/ccms_peak/Human_Swabs/Woman/11m__BH11_01_1913.mzXML	11m__BH11_01_1913.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	48	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
49	not applicable	not applicable	not applicable	blank_analysis	49	f.MSV000078556/ccms_peak/Human_Swabs/Woman/11m__BH12_01_1914.mzXML	11m__BH12_01_1914.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	49	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
50	not applicable	not applicable	not applicable	blank_analysis	50	f.MSV000078556/ccms_peak/Human_Swabs/Woman/12m__BH8_01_2012.mzXML	12m__BH8_01_2012.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	50	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
51	not applicable	not applicable	not applicable	blank_analysis	51	f.MSV000078556/ccms_peak/Human_Swabs/Woman/12m__BH9_01_2013.mzXML	12m__BH9_01_2013.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	51	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
52	not applicable	not applicable	not applicable	blank_analysis	52	f.MSV000078556/ccms_peak/Human_Swabs/Woman/12m__BH10_01_2014.mzXML	12m__BH10_01_2014.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	52	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
53	not applicable	not applicable	not applicable	blank_analysis	53	f.MSV000078556/ccms_peak/Human_Swabs/Woman/12m__BH11_01_2015.mzXML	12m__BH11_01_2015.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	53	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
54	not applicable	not applicable	not applicable	blank_analysis	54	f.MSV000078556/ccms_peak/Human_Swabs/Woman/12m__BH12_01_2016.mzXML	12m__BH12_01_2016.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	54	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
55	not applicable	not applicable	not applicable	blank_analysis	55	f.MSV000078556/ccms_peak/Human_Swabs/Woman/13m__BC7_01_2053.mzXML	13m__BC7_01_2053.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	55	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
56	not applicable	not applicable	not applicable	blank_analysis	56	f.MSV000078556/ccms_peak/Human_Swabs/Woman/14m__BA10_01_2134.mzXML	14m__BA10_01_2134.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	56	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
57	not applicable	not applicable	not applicable	blank_analysis	57	f.MSV000078556/ccms_peak/Human_Swabs/Woman/14m__BA11_01_2135.mzXML	14m__BA11_01_2135.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	57	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
58	not applicable	not applicable	not applicable	blank_analysis	58	f.MSV000078556/ccms_peak/Human_Swabs/Woman/14m__BA12_01_2136.mzXML	14m__BA12_01_2136.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	58	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
59	not applicable	not applicable	not applicable	blank_analysis	59	f.MSV000078556/ccms_peak/Human_Swabs/Woman/14m__BB2_01_2138.mzXML	14m__BB2_01_2138.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	59	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
60	not applicable	not applicable	not applicable	blank_analysis	60	f.MSV000078556/ccms_peak/Human_Swabs/Woman/14m__BB3_01_2139.mzXML	14m__BB3_01_2139.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	60	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
61	not applicable	not applicable	not applicable	blank_analysis	61	f.MSV000078556/ccms_peak/Human_Swabs/Woman/14m__BB6_01_2142.mzXML	14m__BB6_01_2142.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	61	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
62	not applicable	not applicable	not applicable	blank_analysis	62	f.MSV000078556/ccms_peak/Human_Swabs/Woman/14m__BB7_01_2143.mzXML	14m__BB7_01_2143.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	62	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
63	not applicable	not applicable	not applicable	blank_analysis	63	f.MSV000078556/ccms_peak/Human_Swabs/Woman/14m__BC5_01_2153.mzXML	14m__BC5_01_2153.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	63	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
64	not applicable	not applicable	not applicable	blank_analysis	64	f.MSV000078556/ccms_peak/Human_Swabs/Woman/14m__BC6_01_2154.mzXML	14m__BC6_01_2154.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	64	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
65	not applicable	not applicable	not applicable	blank_analysis	65	f.MSV000078556/ccms_peak/Human_Swabs/Woman/14m__BC7_01_2155.mzXML	14m__BC7_01_2155.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	65	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
66	not applicable	not applicable	not applicable	blank_analysis	66	f.MSV000078556/ccms_peak/Human_Swabs/Woman/14m__BC8_01_2156.mzXML	14m__BC8_01_2156.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	66	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
67	not applicable	not applicable	not applicable	blank_analysis	67	f.MSV000078556/ccms_peak/Human_Swabs/Woman/14m__BC9_01_2157.mzXML	14m__BC9_01_2157.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	67	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
68	not applicable	not applicable	not applicable	blank_analysis	68	f.MSV000078556/ccms_peak/Human_Swabs/Woman/14m__BC10_01_2158.mzXML	14m__BC10_01_2158.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	68	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
69	not applicable	not applicable	not applicable	blank_analysis	69	f.MSV000078556/ccms_peak/Human_Swabs/Woman/14m__BC11_01_2159.mzXML	14m__BC11_01_2159.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	69	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
70	not applicable	not applicable	not applicable	blank_analysis	70	f.MSV000078556/ccms_peak/Human_Swabs/Woman/14m__BC12_01_2160.mzXML	14m__BC12_01_2160.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	70	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
71	not applicable	not applicable	not applicable	blank_analysis	71	f.MSV000078556/ccms_peak/Human_Swabs/Woman/m15__BE12_01_2289.mzXML	m15__BE12_01_2289.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	71	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
