source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[disease]	characteristics[individual]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[file url]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[number of missed cleavages]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	factor value[condition]
sample 11	yeast	not available	not available	not available	not available	not available	not available	not available	2	run 11	not available	1	20180802_24_SC_T5_B	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD014765/20180802_24_SC_T5_B.mzXML	1	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	1	10 ppm	10 ppm	Low_pH
sample 12	yeast	not available	not available	not available	not available	not available	not available	not available	3	run 12	not available	1	20180802_34_SC_T5_C	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD014765/20180802_34_SC_T5_C .mzXML	1	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	1	10 ppm	10 ppm	Low_pH
sample 13	yeast	not available	not available	not available	not available	not available	not available	not available	1	run 13	not available	1	20180802_14_SC_T6A_A	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD014765/20180802_14_SC_T6A_A.mzXML	1	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	1	10 ppm	10 ppm	Anaerobic
sample 14	yeast	not available	not available	not available	not available	not available	not available	not available	2	run 14	not available	1	20180802_26_SC_T6_B	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD014765/20180802_26_SC_T6_B.mzXML	1	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	1	10 ppm	10 ppm	Anaerobic
sample 15	yeast	not available	not available	not available	not available	not available	not available	not available	3	run 15	not available	1	20180802_48_SC_T6_C_rein	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD014765/20180802_48_SC_T6_C_rein.mzXML	1	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	1	10 ppm	10 ppm	Anaerobic
sample 16	yeast	not available	not available	not available	not available	not available	not available	not available	1	run 16	not available	1	20180802_04_SC_Bulk_A	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD014765/20180802_04_SC_Bulk_A.mzXML	1	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	1	10 ppm	10 ppm	Bulk
sample 17	yeast	not available	not available	not available	not available	not available	not available	not available	2	run 17	not available	1	20180802_16_SC_Bulk_B	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD014765/20180802_16_SC_Bulk_B.mzXML	1	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	1	10 ppm	10 ppm	Bulk
sample 18	yeast	not available	not available	not available	not available	not available	not available	not available	3	run 18	not available	1	20180802_28_SC_Bulk_C	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD014765/20180802_28_SC_Bulk_C.mzXML	1	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	1	10 ppm	10 ppm	Bulk
sample 19	yeast	not available	not available	not available	not available	not available	not available	not available	4	run 19	not available	1	20180802_30_SC_Bulk_D	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD014765/20180802_30_SC_Bulk_D.mzXML	1	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	1	10 ppm	10 ppm	Bulk
sample 20	yeast	not available	not available	not available	not available	not available	not available	not available	5	run 20	not available	1	20180802_42_SC_Bulk_E	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD014765/20180802_42_SC_Bulk_E.mzXML	1	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	1	10 ppm	10 ppm	Bulk
sample 21	yeast	not available	not available	not available	not available	not available	not available	not available	6	run 21	not available	1	20180802_44_SC_Bulk_F	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD014765/20180802_44_SC_Bulk_F.mzXML	1	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	1	10 ppm	10 ppm	Bulk
sample 22	yeast	not available	not available	not available	not available	not available	not available	not available	1	run 22	not available	1	20180802_52_SC_Validation_combined_A	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD014765/20180802_52_SC_Validation_combined_A.mzXML	1	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	1	10 ppm	10 ppm	Validation_combined
sample 23	yeast	not available	not available	not available	not available	not available	not available	not available	2	run 23	not available	1	20180802_53_SC_Validation_combined_B	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD014765/20180802_53_SC_Validation_combined_B.mzXML	1	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	1	10 ppm	10 ppm	Validation_combined
sample 24	yeast	not available	not available	not available	not available	not available	not available	not available	3	run 24	not available	1	20180802_58_SC_Validation_combined_C	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD014765/20180802_58_SC_Validation_combined_C.mzXML	1	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	1	10 ppm	10 ppm	Validation_combined
sample 25	yeast	not available	not available	not available	not available	not available	not available	not available	4	run 25	not available	1	20180802_59_SC_Validation_combined_D	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD014765/20180802_59_SC_Validation_combined_D.mzXML	1	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	1	10 ppm	10 ppm	Validation_combined
