Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[ancestry category]	Characteristics[age]	Characteristics[developmental stage]	Characteristics[sex]	Characteristics[cell type]	Characteristics[disease]	Assay Name	Comment[fraction identifier]	Comment[file uri]	Comment[instrument]	Comment[label]	Comment[proteomics data acquisition method]	Comment[cleavage agent details]	Comment[modification parameters]	Comment[modification parameters]	Comment[dissociation method]	Comment[collision energy]	Comment[precursor mass tolerance]	Comment[fragment mass tolerance]	Comment[data file]	Material Type
Sample 13	Homo sapiens	trunk	not available	not available	not available	female	not applicable	nodular melanoma	run 13	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD009630/151215_MM_75_02.raw	NT=Q Exactive Plus;AC=MS:1002645	NT=label free sample;AC=MS:1002038	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=MS:1000422	30% NCE	20 ppm	0.02 Da	151215_MM_75_02.raw	cell
Sample 14	Homo sapiens	trunk	not available	not available	not available	female	not applicable	nodular melanoma	run 14	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD009630/151215_MM_76_02.raw	NT=Q Exactive Plus;AC=MS:1002646	NT=label free sample;AC=MS:1002038	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=MS:1000422	30% NCE	20 ppm	0.02 Da	151215_MM_76_02.raw	cell
Sample 15	Homo sapiens	trunk	not available	not available	not available	female	not applicable	nodular melanoma	run 15	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD009630/151215_MM_77_02.raw	NT=Q Exactive Plus;AC=MS:1002647	NT=label free sample;AC=MS:1002038	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=MS:1000422	30% NCE	20 ppm	0.02 Da	151215_MM_77_02.raw	cell
Sample 16	Homo sapiens	trunk	not available	not available	not available	female	not applicable	nodular melanoma	run 16	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD009630/151215_MM_78_02.raw	NT=Q Exactive Plus;AC=MS:1002648	NT=label free sample;AC=MS:1002038	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=MS:1000422	30% NCE	20 ppm	0.02 Da	151215_MM_78_02.raw	cell
Sample 17	Homo sapiens	trunk	not available	not available	not available	female	not applicable	nodular melanoma	run 17	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD009630/151215_MM_79_02.raw	NT=Q Exactive Plus;AC=MS:1002649	NT=label free sample;AC=MS:1002038	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=MS:1000422	30% NCE	20 ppm	0.02 Da	151215_MM_79_02.raw	cell
Sample 18	Homo sapiens	trunk	not available	not available	not available	female	not applicable	nodular melanoma	run 18	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD009630/151215_MM_80_02.raw	NT=Q Exactive Plus;AC=MS:1002650	NT=label free sample;AC=MS:1002038	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=MS:1000422	30% NCE	20 ppm	0.02 Da	151215_MM_80_02.raw	cell
Sample 19	Homo sapiens	head/neck	not available	not available	not available	female	not applicable	nodular melanoma	run 19	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD009630/151215_MM_81_02.raw	NT=Q Exactive Plus;AC=MS:1002651	NT=label free sample;AC=MS:1002038	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=MS:1000422	30% NCE	20 ppm	0.02 Da	151215_MM_81_02.raw	cell
Sample 20	Homo sapiens	upper extremity	not available	not available	not available	female	not applicable	nodular melanoma	run 20	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD009630/151215_MM_83_02.raw	NT=Q Exactive Plus;AC=MS:1002652	NT=label free sample;AC=MS:1002038	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=MS:1000422	30% NCE	20 ppm	0.02 Da	151215_MM_83_02.raw	cell
Sample 21	Homo sapiens	upper extremity	not available	not available	not available	female	not applicable	nodular melanoma	run 21	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD009630/151215_MM_84_02.raw	NT=Q Exactive Plus;AC=MS:1002653	NT=label free sample;AC=MS:1002038	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=MS:1000422	30% NCE	20 ppm	0.02 Da	151215_MM_84_02.raw	cell
Sample 22	Homo sapiens	upper extremity	not available	not available	not available	female	not applicable	nodular melanoma	run 22	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD009630/151215_MM_85_02.raw	NT=Q Exactive Plus;AC=MS:1002654	NT=label free sample;AC=MS:1002038	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=MS:1000422	30% NCE	20 ppm	0.02 Da	151215_MM_85_02.raw	cell
Sample 23	Homo sapiens	upper extremity	not available	not available	not available	female	not applicable	nodular melanoma	run 23	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD009630/151215_MM_86_02.raw	NT=Q Exactive Plus;AC=MS:1002655	NT=label free sample;AC=MS:1002038	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=MS:1000422	30% NCE	20 ppm	0.02 Da	151215_MM_86_02.raw	cell
Sample 24	Homo sapiens	upper extremity	not available	not available	not available	female	not applicable	nodular melanoma	run 24	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD009630/160617_MM100_02.raw	NT=Q Exactive Plus;AC=MS:1002656	NT=label free sample;AC=MS:1002038	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=MS:1000422	30% NCE	20 ppm	0.02 Da	160617_MM100_02.raw	cell
Sample 25	Homo sapiens	lower extremity	not available	not available	not available	female	not applicable	nodular melanoma	run 25	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD009630/160617_MM101_02.raw	NT=Q Exactive Plus;AC=MS:1002657	NT=label free sample;AC=MS:1002038	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=MS:1000422	30% NCE	20 ppm	0.02 Da	160617_MM101_02.raw	cell
Sample 26	Homo sapiens	lower extremity	not available	not available	not available	female	not applicable	acral lentiginous melanoma	run 26	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD009630/160617_MM18_03.raw	NT=Q Exactive Plus;AC=MS:1002658	NT=label free sample;AC=MS:1002038	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=MS:1000422	30% NCE	20 ppm	0.02 Da	160617_MM18_03.raw	cell
Sample 27	Homo sapiens	lower extremity	not available	not available	not available	female	not applicable	other	run 27	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD009630/160617_MM54_04.raw	NT=Q Exactive Plus;AC=MS:1002659	NT=label free sample;AC=MS:1002038	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=MS:1000422	30% NCE	20 ppm	0.02 Da	160617_MM54_04.raw	cell
Sample 28	Homo sapiens	lower extremity	not available	not available	not available	female	not applicable	unknown	run 28	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD009630/160617_MM72_03.raw	NT=Q Exactive Plus;AC=MS:1002660	NT=label free sample;AC=MS:1002038	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=MS:1000422	30% NCE	20 ppm	0.02 Da	160617_MM72_03.raw	cell
Sample 29	Homo sapiens	lower extremity	not available	not available	not available	female	not applicable	unknown	run 29	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD009630/160617_MM7_03.raw	NT=Q Exactive Plus;AC=MS:1002661	NT=label free sample;AC=MS:1002038	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=MS:1000422	30% NCE	20 ppm	0.02 Da	160617_MM7_03.raw	cell
Sample 30	Homo sapiens	lower extremity	not available	not available	not available	female	not applicable	unknown	run 30	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD009630/160617_MM82_03.raw	NT=Q Exactive Plus;AC=MS:1002662	NT=label free sample;AC=MS:1002038	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=MS:1000422	30% NCE	20 ppm	0.02 Da	160617_MM82_03.raw	cell
Sample 31	Homo sapiens	lower extremity	not available	not available	not available	female	not applicable	unknown	run 31	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD009630/160617_MM96_02.raw	NT=Q Exactive Plus;AC=MS:1002663	NT=label free sample;AC=MS:1002038	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=MS:1000422	30% NCE	20 ppm	0.02 Da	160617_MM96_02.raw	cell
Sample 32	Homo sapiens	lower extremity	not available	not available	not available	female	not applicable	unknown	run 32	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD009630/160617_MM97_02.raw	NT=Q Exactive Plus;AC=MS:1002664	NT=label free sample;AC=MS:1002038	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=MS:1000422	30% NCE	20 ppm	0.02 Da	160617_MM97_02.raw	cell
Sample 33	Homo sapiens	lower extremity	not available	not available	not available	female	not applicable	not available	run 33	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD009630/160617_MM98_02.raw	NT=Q Exactive Plus;AC=MS:1002665	NT=label free sample;AC=MS:1002038	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=MS:1000422	30% NCE	20 ppm	0.02 Da	160617_MM98_02.raw	cell
Sample 34	Homo sapiens	lower extremity	not available	not available	not available	female	not applicable	not available	run 34	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD009630/160620_MM19_02.raw	NT=Q Exactive Plus;AC=MS:1002666	NT=label free sample;AC=MS:1002038	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=MS:1000422	30% NCE	20 ppm	0.02 Da	160620_MM19_02.raw	cell
Sample 35	Homo sapiens	lower extremity	not available	not available	not available	female	not applicable	not available	run 35	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD009630/160620_MM23_04.raw	NT=Q Exactive Plus;AC=MS:1002667	NT=label free sample;AC=MS:1002038	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=MS:1000422	30% NCE	20 ppm	0.02 Da	160620_MM23_04.raw	cell
Sample 36	Homo sapiens	other	not available	not available	not available	female	not applicable	not available	run 36	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD009630/160620_MM25_03.raw	NT=Q Exactive Plus;AC=MS:1002668	NT=label free sample;AC=MS:1002038	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=MS:1000422	30% NCE	20 ppm	0.02 Da	160620_MM25_03.raw	cell
Sample 37	Homo sapiens	other	not available	not available	not available	female	not applicable	not available	run 37	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD009630/160620_MM28_02.raw	NT=Q Exactive Plus;AC=MS:1002669	NT=label free sample;AC=MS:1002038	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=MS:1000422	30% NCE	20 ppm	0.02 Da	160620_MM28_02.raw	cell
Sample 38	Homo sapiens	other	not available	not available	not available	female	not applicable	not available	run 38	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD009630/160620_MM30_02.raw	NT=Q Exactive Plus;AC=MS:1002670	NT=label free sample;AC=MS:1002038	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=MS:1000422	30% NCE	20 ppm	0.02 Da	160620_MM30_02.raw	cell
Sample 39	Homo sapiens	not applicable	not available	not available	not available	female	not applicable	not available	run 39	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD009630/160620_MM36_02.raw	NT=Q Exactive Plus;AC=MS:1002671	NT=label free sample;AC=MS:1002038	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=MS:1000422	30% NCE	20 ppm	0.02 Da	160620_MM36_02.raw	cell
Sample 40	Homo sapiens	not applicable	not available	not available	not available	female	not applicable	not available	run 40	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD009630/160620_MM39_02.raw	NT=Q Exactive Plus;AC=MS:1002672	NT=label free sample;AC=MS:1002038	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=MS:1000422	30% NCE	20 ppm	0.02 Da	160620_MM39_02.raw	cell
Sample 41	Homo sapiens	not applicable	not available	not available	not available	female	not applicable	not available	run 41	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD009630/160620_MM9_02.raw	NT=Q Exactive Plus;AC=MS:1002673	NT=label free sample;AC=MS:1002038	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=MS:1000422	30% NCE	20 ppm	0.02 Da	160620_MM9_02.raw	cell
Sample 42	Homo sapiens	not applicable	not available	not available	not available	female	not applicable	not available	run 42	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD009630/160622_MM46_02.raw	NT=Q Exactive Plus;AC=MS:1002674	NT=label free sample;AC=MS:1002038	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=MS:1000422	30% NCE	20 ppm	0.02 Da	160622_MM46_02.raw	cell
Sample 43	Homo sapiens	not applicable	not available	not available	not available	female	not applicable	not available	run 43	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD009630/160622_MM55_02.raw	NT=Q Exactive Plus;AC=MS:1002675	NT=label free sample;AC=MS:1002038	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=MS:1000422	30% NCE	20 ppm	0.02 Da	160622_MM55_02.raw	cell
Sample 44	Homo sapiens	trunk	not available	not available	not available	male	not applicable	superficial spreading melanoma	run 44	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD009630/160622_MM58_03.raw	NT=Q Exactive Plus;AC=MS:1002676	NT=label free sample;AC=MS:1002038	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=MS:1000422	30% NCE	20 ppm	0.02 Da	160622_MM58_03.raw	cell
