source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cultured cell]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[data file]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[instrument]	comment[sdrf version]	comment[sdrf template]
plasma membrane biological repeat 3_frac_1_run_3	Mycolicibacterium smegmatis	plasma membrane	not applicable	none	not applicable	3	MP3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	OFJPA170717_33.raw	1	1	NT=label free sample	NT=trypsin	NT=Orbitrap Fusion	v1.1.0	NT=ms-proteomics;VV=v1.1.0
plasma membrane biological repeat 4_frac_1_run_3	Mycolicibacterium smegmatis	plasma membrane	not applicable	none	not applicable	4	MP4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	OFJPA170717_34.raw	1	1	NT=label free sample	NT=trypsin	NT=Orbitrap Fusion	v1.1.0	NT=ms-proteomics;VV=v1.1.0
plasma membrane biological repeat 1_frac_1_run_4	Mycolicibacterium smegmatis	plasma membrane	not applicable	none	not applicable	1	MP1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	OFJPA170717_36.raw	1	1	NT=label free sample	NT=trypsin	NT=Orbitrap Fusion	v1.1.0	NT=ms-proteomics;VV=v1.1.0
plasma membrane biological repeat 2_frac_1_run_4	Mycolicibacterium smegmatis	plasma membrane	not applicable	none	not applicable	2	MP2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	OFJPA170717_38.raw	1	1	NT=label free sample	NT=trypsin	NT=Orbitrap Fusion	v1.1.0	NT=ms-proteomics;VV=v1.1.0
plasma membrane biological repeat 3_frac_1_run_4	Mycolicibacterium smegmatis	plasma membrane	not applicable	none	not applicable	3	MP3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	OFJPA170717_40_2.raw	1	1	NT=label free sample	NT=trypsin	NT=Orbitrap Fusion	v1.1.0	NT=ms-proteomics;VV=v1.1.0
plasma membrane biological repeat 4_frac_1_run_4	Mycolicibacterium smegmatis	plasma membrane	not applicable	none	not applicable	4	MP4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	OFJPA170717_42_2.raw	1	1	NT=label free sample	NT=trypsin	NT=Orbitrap Fusion	v1.1.0	NT=ms-proteomics;VV=v1.1.0
MMCW biological repeat 1_frac_1_run_1	Mycolicibacterium smegmatis	mycomembrane-containing cell-wall	not applicable	none	not applicable	1	CW1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	OFJPA170717_44.raw	1	1	NT=label free sample	NT=trypsin	NT=Orbitrap Fusion	v1.1.0	NT=ms-proteomics;VV=v1.1.0
MMCW biological repeat 2_frac_1_run_1	Mycolicibacterium smegmatis	mycomembrane-containing cell-wall	not applicable	none	not applicable	2	CW2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	OFJPA170717_46.raw	1	1	NT=label free sample	NT=trypsin	NT=Orbitrap Fusion	v1.1.0	NT=ms-proteomics;VV=v1.1.0
MMCW biological repeat 3_frac_1_run_1	Mycolicibacterium smegmatis	mycomembrane-containing cell-wall	not applicable	none	not applicable	3	CW3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	OFJPA170717_48.raw	1	1	NT=label free sample	NT=trypsin	NT=Orbitrap Fusion	v1.1.0	NT=ms-proteomics;VV=v1.1.0
MMCW biological repeat 4_frac_1_run_1	Mycolicibacterium smegmatis	mycomembrane-containing cell-wall	not applicable	none	not applicable	4	CW4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	OFJPA170717_50.raw	1	1	NT=label free sample	NT=trypsin	NT=Orbitrap Fusion	v1.1.0	NT=ms-proteomics;VV=v1.1.0
MMCW biological repeat 1_frac_1_run_2	Mycolicibacterium smegmatis	mycomembrane-containing cell-wall	not applicable	none	not applicable	1	CW1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	OFJPA170717_52.raw	1	1	NT=label free sample	NT=trypsin	NT=Orbitrap Fusion	v1.1.0	NT=ms-proteomics;VV=v1.1.0
MMCW biological repeat 2_frac_1_run_2	Mycolicibacterium smegmatis	mycomembrane-containing cell-wall	not applicable	none	not applicable	2	CW2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	OFJPA170717_54.raw	1	1	NT=label free sample	NT=trypsin	NT=Orbitrap Fusion	v1.1.0	NT=ms-proteomics;VV=v1.1.0
MMCW biological repeat 3_frac_1_run_2	Mycolicibacterium smegmatis	mycomembrane-containing cell-wall	not applicable	none	not applicable	3	CW3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	OFJPA170717_56.raw	1	1	NT=label free sample	NT=trypsin	NT=Orbitrap Fusion	v1.1.0	NT=ms-proteomics;VV=v1.1.0
MMCW biological repeat 4_frac_1_run_2	Mycolicibacterium smegmatis	mycomembrane-containing cell-wall	not applicable	none	not applicable	4	CW4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	OFJPA170717_58.raw	1	1	NT=label free sample	NT=trypsin	NT=Orbitrap Fusion	v1.1.0	NT=ms-proteomics;VV=v1.1.0
MMCW biological repeat 1_frac_1_run_3	Mycolicibacterium smegmatis	mycomembrane-containing cell-wall	not applicable	none	not applicable	1	CW1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	OFJPA170717_60.raw	1	1	NT=label free sample	NT=trypsin	NT=Orbitrap Fusion	v1.1.0	NT=ms-proteomics;VV=v1.1.0
MMCW biological repeat 2_frac_1_run_3	Mycolicibacterium smegmatis	mycomembrane-containing cell-wall	not applicable	none	not applicable	2	CW2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	OFJPA170717_62.raw	1	1	NT=label free sample	NT=trypsin	NT=Orbitrap Fusion	v1.1.0	NT=ms-proteomics;VV=v1.1.0
MMCW biological repeat 3_frac_1_run_3	Mycolicibacterium smegmatis	mycomembrane-containing cell-wall	not applicable	none	not applicable	3	CW3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	OFJPA170717_64.raw	1	1	NT=label free sample	NT=trypsin	NT=Orbitrap Fusion	v1.1.0	NT=ms-proteomics;VV=v1.1.0
MMCW biological repeat 4_frac_1_run_3	Mycolicibacterium smegmatis	mycomembrane-containing cell-wall	not applicable	none	not applicable	4	CW4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	OFJPA170717_66.raw	1	1	NT=label free sample	NT=trypsin	NT=Orbitrap Fusion	v1.1.0	NT=ms-proteomics;VV=v1.1.0
MMCW biological repeat 1_frac_1_run_4	Mycolicibacterium smegmatis	mycomembrane-containing cell-wall	not applicable	none	not applicable	1	CW1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	OFJPA170717_68.raw	1	1	NT=label free sample	NT=trypsin	NT=Orbitrap Fusion	v1.1.0	NT=ms-proteomics;VV=v1.1.0
MMCW biological repeat 2_frac_1_run_4	Mycolicibacterium smegmatis	mycomembrane-containing cell-wall	not applicable	none	not applicable	2	CW2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	OFJPA170717_70.raw	1	1	NT=label free sample	NT=trypsin	NT=Orbitrap Fusion	v1.1.0	NT=ms-proteomics;VV=v1.1.0
MMCW biological repeat 3_frac_1_run_4	Mycolicibacterium smegmatis	mycomembrane-containing cell-wall	not applicable	none	not applicable	3	CW3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	OFJPA170717_72.raw	1	1	NT=label free sample	NT=trypsin	NT=Orbitrap Fusion	v1.1.0	NT=ms-proteomics;VV=v1.1.0
MMCW biological repeat 4_frac_1_run_4	Mycolicibacterium smegmatis	mycomembrane-containing cell-wall	not applicable	none	not applicable	4	CW4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	OFJPA170717_74.raw	1	1	NT=label free sample	NT=trypsin	NT=Orbitrap Fusion	v1.1.0	NT=ms-proteomics;VV=v1.1.0
soluble proteins biological repeat 1_frac_1_run_1	Mycolicibacterium smegmatis	cytosol and periplasm	not applicable	none	not applicable	1	CP1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	OFJPA170721_02.raw	1	1	NT=label free sample	NT=trypsin	NT=Orbitrap Fusion	v1.1.0	NT=ms-proteomics;VV=v1.1.0
soluble proteins biological repeat 2_frac_1_run_1	Mycolicibacterium smegmatis	cytosol and periplasm	not applicable	none	not applicable	2	CP2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	OFJPA170721_04.raw	1	1	NT=label free sample	NT=trypsin	NT=Orbitrap Fusion	v1.1.0	NT=ms-proteomics;VV=v1.1.0
soluble proteins biological repeat 3_frac_1_run_1	Mycolicibacterium smegmatis	cytosol and periplasm	not applicable	none	not applicable	3	CP3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	OFJPA170721_06.raw	1	1	NT=label free sample	NT=trypsin	NT=Orbitrap Fusion	v1.1.0	NT=ms-proteomics;VV=v1.1.0
soluble proteins biological repeat 4_frac_1_run_1	Mycolicibacterium smegmatis	cytosol and periplasm	not applicable	none	not applicable	4	CP4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	OFJPA170721_08.raw	1	1	NT=label free sample	NT=trypsin	NT=Orbitrap Fusion	v1.1.0	NT=ms-proteomics;VV=v1.1.0
soluble proteins biological repeat 1_frac_1_run_2	Mycolicibacterium smegmatis	cytosol and periplasm	not applicable	none	not applicable	1	CP1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	OFJPA170721_10.raw	1	1	NT=label free sample	NT=trypsin	NT=Orbitrap Fusion	v1.1.0	NT=ms-proteomics;VV=v1.1.0
soluble proteins biological repeat 2_frac_1_run_2	Mycolicibacterium smegmatis	cytosol and periplasm	not applicable	none	not applicable	2	CP2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	OFJPA170721_12.raw	1	1	NT=label free sample	NT=trypsin	NT=Orbitrap Fusion	v1.1.0	NT=ms-proteomics;VV=v1.1.0
soluble proteins biological repeat 3_frac_1_run_2	Mycolicibacterium smegmatis	cytosol and periplasm	not applicable	none	not applicable	3	CP3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	OFJPA170721_14.raw	1	1	NT=label free sample	NT=trypsin	NT=Orbitrap Fusion	v1.1.0	NT=ms-proteomics;VV=v1.1.0
soluble proteins biological repeat 4_frac_1_run_2	Mycolicibacterium smegmatis	cytosol and periplasm	not applicable	none	not applicable	4	CP4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	OFJPA170721_16.raw	1	1	NT=label free sample	NT=trypsin	NT=Orbitrap Fusion	v1.1.0	NT=ms-proteomics;VV=v1.1.0
soluble proteins biological repeat 1_frac_1_run_3	Mycolicibacterium smegmatis	cytosol and periplasm	not applicable	none	not applicable	1	CP1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	OFJPA170721_18.raw	1	1	NT=label free sample	NT=trypsin	NT=Orbitrap Fusion	v1.1.0	NT=ms-proteomics;VV=v1.1.0
soluble proteins biological repeat 2_frac_1_run_3	Mycolicibacterium smegmatis	cytosol and periplasm	not applicable	none	not applicable	2	CP2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	OFJPA170721_20.raw	1	1	NT=label free sample	NT=trypsin	NT=Orbitrap Fusion	v1.1.0	NT=ms-proteomics;VV=v1.1.0
soluble proteins biological repeat 3_frac_1_run_3	Mycolicibacterium smegmatis	cytosol and periplasm	not applicable	none	not applicable	3	CP3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	OFJPA170721_22.raw	1	1	NT=label free sample	NT=trypsin	NT=Orbitrap Fusion	v1.1.0	NT=ms-proteomics;VV=v1.1.0
soluble proteins biological repeat 4_frac_1_run_3	Mycolicibacterium smegmatis	cytosol and periplasm	not applicable	none	not applicable	4	CP4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	OFJPA170721_24.raw	1	1	NT=label free sample	NT=trypsin	NT=Orbitrap Fusion	v1.1.0	NT=ms-proteomics;VV=v1.1.0
soluble proteins biological repeat 1_frac_1_run_4	Mycolicibacterium smegmatis	cytosol and periplasm	not applicable	none	not applicable	1	CP1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	OFJPA170721_26.raw	1	1	NT=label free sample	NT=trypsin	NT=Orbitrap Fusion	v1.1.0	NT=ms-proteomics;VV=v1.1.0
soluble proteins biological repeat 2_frac_1_run_4	Mycolicibacterium smegmatis	cytosol and periplasm	not applicable	none	not applicable	2	CP2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	OFJPA170721_28.raw	1	1	NT=label free sample	NT=trypsin	NT=Orbitrap Fusion	v1.1.0	NT=ms-proteomics;VV=v1.1.0
soluble proteins biological repeat 3_frac_1_run_4	Mycolicibacterium smegmatis	cytosol and periplasm	not applicable	none	not applicable	3	CP3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	OFJPA170721_30.raw	1	1	NT=label free sample	NT=trypsin	NT=Orbitrap Fusion	v1.1.0	NT=ms-proteomics;VV=v1.1.0
soluble proteins biological repeat 4_frac_1_run_4	Mycolicibacterium smegmatis	cytosol and periplasm	not applicable	none	not applicable	4	CP4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	OFJPA170721_32.raw	1	1	NT=label free sample	NT=trypsin	NT=Orbitrap Fusion	v1.1.0	NT=ms-proteomics;VV=v1.1.0
secretome biological repeat 1_frac_1_run_1	Mycolicibacterium smegmatis	culture filtrate	not applicable	none	not applicable	1	CF1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	OFJPA170721_34.raw	1	1	NT=label free sample	NT=trypsin	NT=Orbitrap Fusion	v1.1.0	NT=ms-proteomics;VV=v1.1.0
secretome biological repeat 2_frac_1_run_1	Mycolicibacterium smegmatis	culture filtrate	not applicable	none	not applicable	2	CF2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	OFJPA170721_36.raw	1	1	NT=label free sample	NT=trypsin	NT=Orbitrap Fusion	v1.1.0	NT=ms-proteomics;VV=v1.1.0
secretome biological repeat 3_frac_1_run_1	Mycolicibacterium smegmatis	culture filtrate	not applicable	none	not applicable	3	CF3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	OFJPA170721_38.raw	1	1	NT=label free sample	NT=trypsin	NT=Orbitrap Fusion	v1.1.0	NT=ms-proteomics;VV=v1.1.0
secretome biological repeat 4_frac_1_run_1	Mycolicibacterium smegmatis	culture filtrate	not applicable	none	not applicable	4	CF4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	OFJPA170721_40.raw	1	1	NT=label free sample	NT=trypsin	NT=Orbitrap Fusion	v1.1.0	NT=ms-proteomics;VV=v1.1.0
secretome biological repeat 1_frac_1_run_2	Mycolicibacterium smegmatis	culture filtrate	not applicable	none	not applicable	1	CF1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	OFJPA170721_42.raw	1	1	NT=label free sample	NT=trypsin	NT=Orbitrap Fusion	v1.1.0	NT=ms-proteomics;VV=v1.1.0
secretome biological repeat 2_frac_1_run_2	Mycolicibacterium smegmatis	culture filtrate	not applicable	none	not applicable	2	CF2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	OFJPA170721_44.raw	1	1	NT=label free sample	NT=trypsin	NT=Orbitrap Fusion	v1.1.0	NT=ms-proteomics;VV=v1.1.0
secretome biological repeat 3_frac_1_run_2	Mycolicibacterium smegmatis	culture filtrate	not applicable	none	not applicable	3	CF3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	OFJPA170721_46.raw	1	1	NT=label free sample	NT=trypsin	NT=Orbitrap Fusion	v1.1.0	NT=ms-proteomics;VV=v1.1.0
secretome biological repeat 4_frac_1_run_2	Mycolicibacterium smegmatis	culture filtrate	not applicable	none	not applicable	4	CF4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	OFJPA170721_48.raw	1	1	NT=label free sample	NT=trypsin	NT=Orbitrap Fusion	v1.1.0	NT=ms-proteomics;VV=v1.1.0
secretome biological repeat 1_frac_1_run_3	Mycolicibacterium smegmatis	culture filtrate	not applicable	none	not applicable	1	CF1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	OFJPA170721_50.raw	1	1	NT=label free sample	NT=trypsin	NT=Orbitrap Fusion	v1.1.0	NT=ms-proteomics;VV=v1.1.0
secretome biological repeat 2_frac_1_run_3	Mycolicibacterium smegmatis	culture filtrate	not applicable	none	not applicable	2	CF2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	OFJPA170721_52.raw	1	1	NT=label free sample	NT=trypsin	NT=Orbitrap Fusion	v1.1.0	NT=ms-proteomics;VV=v1.1.0
secretome biological repeat 3_frac_1_run_3	Mycolicibacterium smegmatis	culture filtrate	not applicable	none	not applicable	3	CF3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	OFJPA170721_54.raw	1	1	NT=label free sample	NT=trypsin	NT=Orbitrap Fusion	v1.1.0	NT=ms-proteomics;VV=v1.1.0
secretome biological repeat 4_frac_1_run_3	Mycolicibacterium smegmatis	culture filtrate	not applicable	none	not applicable	4	CF4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	OFJPA170721_56.raw	1	1	NT=label free sample	NT=trypsin	NT=Orbitrap Fusion	v1.1.0	NT=ms-proteomics;VV=v1.1.0
secretome biological repeat 1_frac_1_run_4	Mycolicibacterium smegmatis	culture filtrate	not applicable	none	not applicable	1	CF1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	OFJPA170721_58.raw	1	1	NT=label free sample	NT=trypsin	NT=Orbitrap Fusion	v1.1.0	NT=ms-proteomics;VV=v1.1.0
secretome biological repeat 2_frac_1_run_4	Mycolicibacterium smegmatis	culture filtrate	not applicable	none	not applicable	2	CF2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	OFJPA170721_60.raw	1	1	NT=label free sample	NT=trypsin	NT=Orbitrap Fusion	v1.1.0	NT=ms-proteomics;VV=v1.1.0
secretome biological repeat 3_frac_1_run_4	Mycolicibacterium smegmatis	culture filtrate	not applicable	none	not applicable	3	CF3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	OFJPA170721_62.raw	1	1	NT=label free sample	NT=trypsin	NT=Orbitrap Fusion	v1.1.0	NT=ms-proteomics;VV=v1.1.0
secretome biological repeat 4_frac_1_run_4	Mycolicibacterium smegmatis	culture filtrate	not applicable	none	not applicable	4	CF4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	OFJPA170721_64.raw	1	1	NT=label free sample	NT=trypsin	NT=Orbitrap Fusion	v1.1.0	NT=ms-proteomics;VV=v1.1.0
