source name	characteristics[organism]	characteristics[organism part]	characteristics[ancestry category]	characteristics[age]	characteristics[developmental stage]	characteristics[sex]	characteristics[cell line]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	characteristics[material type]	assay name	technology type	comment[fraction identifier]	comment[technical replicate]	comment[file uri]	comment[instrument]	comment[MS2 analyzer type]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[proteomics data acquisition method]	comment[data file]	comment[sdrf version]	comment[sdrf template]
Sample 209	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	1	bacterial strain	run 11	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d14_12_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=unspecific cleavage;AC=MS:1001956	not available	not available	not available	10 ppm	0.02 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	d14_12_hTT_I.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 1	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	1	bacterial strain	run 12	proteomic profiling by mass spectrometry	1	3	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d1_48_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=unspecific cleavage;AC=MS:1001956	not available	not available	not available	10 ppm	0.02 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	d1_48_hTT_I.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 17	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	1	bacterial strain	run 13	proteomic profiling by mass spectrometry	1	3	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d2_48_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=unspecific cleavage;AC=MS:1001956	not available	not available	not available	10 ppm	0.02 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	d2_48_hTT_I.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 65	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	1	bacterial strain	run 14	proteomic profiling by mass spectrometry	1	3	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d5_48_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=unspecific cleavage;AC=MS:1001956	not available	not available	not available	10 ppm	0.02 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	d5_48_hTT_I.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 97	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	1	bacterial strain	run 15	proteomic profiling by mass spectrometry	1	3	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d7_48_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=unspecific cleavage;AC=MS:1001956	not available	not available	not available	10 ppm	0.02 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	d7_48_hTT_I.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 177	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	1	bacterial strain	run 16	proteomic profiling by mass spectrometry	1	3	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d12_48_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=unspecific cleavage;AC=MS:1001956	not available	not available	not available	10 ppm	0.02 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	d12_48_hTT_I.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 225	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	1	bacterial strain	run 17	proteomic profiling by mass spectrometry	1	3	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d15_48_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=unspecific cleavage;AC=MS:1001956	not available	not available	not available	10 ppm	0.02 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	d15_48_hTT_I.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 17	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	1	bacterial strain	run 18	proteomic profiling by mass spectrometry	1	2	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d2_24_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=unspecific cleavage;AC=MS:1001956	not available	not available	not available	10 ppm	0.02 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	d2_24_hTT_I.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 81	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	1	bacterial strain	run 19	proteomic profiling by mass spectrometry	1	2	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d6_24_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=unspecific cleavage;AC=MS:1001956	not available	not available	not available	10 ppm	0.02 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	d6_24_hTT_I.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 161	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	1	bacterial strain	run 20	proteomic profiling by mass spectrometry	1	2	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d11_24_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=unspecific cleavage;AC=MS:1001956	not available	not available	not available	10 ppm	0.02 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	d11_24_hTT_I.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 9	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	1	bacterial strain	run 21	proteomic profiling by mass spectrometry	1	3	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d1_48_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=unspecific cleavage;AC=MS:1001956	not available	not available	not available	10 ppm	0.02 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	d1_48_hTT_II.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 41	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	1	bacterial strain	run 22	proteomic profiling by mass spectrometry	1	3	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d3_48_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=unspecific cleavage;AC=MS:1001956	not available	not available	not available	10 ppm	0.02 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	d3_48_hTT_II.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 57	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	1	bacterial strain	run 23	proteomic profiling by mass spectrometry	1	3	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d4_48_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=unspecific cleavage;AC=MS:1001956	not available	not available	not available	10 ppm	0.02 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	d4_48_hTT_II.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 73	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	1	bacterial strain	run 24	proteomic profiling by mass spectrometry	1	3	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d5_48_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=unspecific cleavage;AC=MS:1001956	not available	not available	not available	10 ppm	0.02 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	d5_48_hTT_II.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 105	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	1	bacterial strain	run 25	proteomic profiling by mass spectrometry	1	3	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d7_48_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=unspecific cleavage;AC=MS:1001956	not available	not available	not available	10 ppm	0.02 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	d7_48_hTT_II.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 137	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	1	bacterial strain	run 26	proteomic profiling by mass spectrometry	1	3	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d9_48_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=unspecific cleavage;AC=MS:1001956	not available	not available	not available	10 ppm	0.02 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	d9_48_hTT_II.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 57	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	1	bacterial strain	run 27	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d4_12_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=unspecific cleavage;AC=MS:1001956	not available	not available	not available	10 ppm	0.02 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	d4_12_hTT_II.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 89	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	1	bacterial strain	run 28	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d6_12_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=unspecific cleavage;AC=MS:1001956	not available	not available	not available	10 ppm	0.02 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	d6_12_hTT_II.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 153	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	1	bacterial strain	run 29	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d10_12_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=unspecific cleavage;AC=MS:1001956	not available	not available	not available	10 ppm	0.02 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	d10_12_hTT_II.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 169	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	1	bacterial strain	run 30	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d11_12_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=unspecific cleavage;AC=MS:1001956	not available	not available	not available	10 ppm	0.02 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	d11_12_hTT_II.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 185	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	1	bacterial strain	run 31	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d12_12_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=unspecific cleavage;AC=MS:1001956	not available	not available	not available	10 ppm	0.02 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	d12_12_hTT_II.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 217	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	1	bacterial strain	run 32	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d14_12_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=unspecific cleavage;AC=MS:1001956	not available	not available	not available	10 ppm	0.02 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	d14_12_hTT_II.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 233	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	1	bacterial strain	run 33	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d15_12_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=unspecific cleavage;AC=MS:1001956	not available	not available	not available	10 ppm	0.02 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	d15_12_hTT_II.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 97	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	1	bacterial strain	run 34	proteomic profiling by mass spectrometry	1	2	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d7_24_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=unspecific cleavage;AC=MS:1001956	not available	not available	not available	10 ppm	0.02 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	d7_24_hTT_I.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 129	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	1	bacterial strain	run 35	proteomic profiling by mass spectrometry	1	2	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d9_24_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=unspecific cleavage;AC=MS:1001956	not available	not available	not available	10 ppm	0.02 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	d9_24_hTT_I.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 153	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	1	bacterial strain	run 36	proteomic profiling by mass spectrometry	1	3	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d10_48_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=unspecific cleavage;AC=MS:1001956	not available	not available	not available	10 ppm	0.02 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	d10_48_hTT_II.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 169	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	1	bacterial strain	run 37	proteomic profiling by mass spectrometry	1	3	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d11_48_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=unspecific cleavage;AC=MS:1001956	not available	not available	not available	10 ppm	0.02 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	d11_48_hTT_II.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 201	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	1	bacterial strain	run 38	proteomic profiling by mass spectrometry	1	3	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d13_48_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=unspecific cleavage;AC=MS:1001956	not available	not available	not available	10 ppm	0.02 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	d13_48_hTT_II.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 113	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	1	bacterial strain	run 39	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d8_12_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=unspecific cleavage;AC=MS:1001956	not available	not available	not available	10 ppm	0.02 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	d8_12_hTT_I.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 129	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	1	bacterial strain	run 40	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d9_12_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=unspecific cleavage;AC=MS:1001956	not available	not available	not available	10 ppm	0.02 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	d9_12_hTT_I.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 161	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	1	bacterial strain	run 41	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d11_12_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=unspecific cleavage;AC=MS:1001956	not available	not available	not available	10 ppm	0.02 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	d11_12_hTT_I.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 49	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	1	bacterial strain	run 42	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d4_12_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=unspecific cleavage;AC=MS:1001956	not available	not available	not available	10 ppm	0.02 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	d4_12_hTT_I.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 41	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	1	bacterial strain	run 43	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d3_12_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=unspecific cleavage;AC=MS:1001956	not available	not available	not available	10 ppm	0.02 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	d3_12_hTT_II.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 105	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	1	bacterial strain	run 44	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d7_12_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=unspecific cleavage;AC=MS:1001956	not available	not available	not available	10 ppm	0.02 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	d7_12_hTT_II.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 49	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	1	bacterial strain	run 45	proteomic profiling by mass spectrometry	1	2	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d4_24_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=unspecific cleavage;AC=MS:1001956	not available	not available	not available	10 ppm	0.02 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	d4_24_hTT_I.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 65	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	1	bacterial strain	run 46	proteomic profiling by mass spectrometry	1	2	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d5_24_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=unspecific cleavage;AC=MS:1001956	not available	not available	not available	10 ppm	0.02 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	d5_24_hTT_I.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 121	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	1	bacterial strain	run 47	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d8_12_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=unspecific cleavage;AC=MS:1001956	not available	not available	not available	10 ppm	0.02 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	d8_12_hTT_II.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
