Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[ancestry category]	Characteristics[age]	Characteristics[developmental stage]	Characteristics[sex]	Characteristics[cell line]	Characteristics[disease]	Characteristics[cell type]	Material Type	Assay Name	Comment[fraction identifier]	Comment[technical replicate]	Comment[file uri]	Comment[instrument]	Comment[MS2 analyzer type]	Comment[label]	Comment[cleavage agent details]	Comment[modification parameters]	Comment[dissociation method]	Comment[collision energy]	Comment[precursor mass tolerance]	Comment[fragment mass tolerance]	Comment[data file]
Sample 209	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 11	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d14_12_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d14_12_hTT_I.raw
Sample 1	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 12	1	3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d1_48_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d1_48_hTT_I.raw
Sample 17	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 13	1	3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d2_48_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d2_48_hTT_I.raw
Sample 65	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 14	1	3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d5_48_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d5_48_hTT_I.raw
Sample 97	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 15	1	3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d7_48_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d7_48_hTT_I.raw
Sample 177	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 16	1	3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d12_48_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d12_48_hTT_I.raw
Sample 225	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 17	1	3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d15_48_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d15_48_hTT_I.raw
Sample 17	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 18	1	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d2_24_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d2_24_hTT_I.raw
Sample 81	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 19	1	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d6_24_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d6_24_hTT_I.raw
Sample 161	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 20	1	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d11_24_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d11_24_hTT_I.raw
Sample 9	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 21	1	3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d1_48_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d1_48_hTT_II.raw
Sample 41	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 22	1	3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d3_48_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d3_48_hTT_II.raw
Sample 57	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 23	1	3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d4_48_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d4_48_hTT_II.raw
Sample 73	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 24	1	3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d5_48_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d5_48_hTT_II.raw
Sample 105	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 25	1	3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d7_48_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d7_48_hTT_II.raw
Sample 137	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 26	1	3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d9_48_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d9_48_hTT_II.raw
Sample 57	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 27	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d4_12_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d4_12_hTT_II.raw
Sample 89	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 28	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d6_12_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d6_12_hTT_II.raw
Sample 153	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 29	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d10_12_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d10_12_hTT_II.raw
Sample 169	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 30	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d11_12_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d11_12_hTT_II.raw
Sample 185	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 31	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d12_12_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d12_12_hTT_II.raw
Sample 217	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 32	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d14_12_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d14_12_hTT_II.raw
Sample 233	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 33	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d15_12_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d15_12_hTT_II.raw
Sample 97	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 34	1	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d7_24_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d7_24_hTT_I.raw
Sample 129	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 35	1	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d9_24_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d9_24_hTT_I.raw
Sample 153	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 36	1	3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d10_48_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d10_48_hTT_II.raw
Sample 169	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 37	1	3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d11_48_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d11_48_hTT_II.raw
Sample 201	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 38	1	3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d13_48_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d13_48_hTT_II.raw
Sample 113	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 39	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d8_12_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d8_12_hTT_I.raw
Sample 129	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 40	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d9_12_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d9_12_hTT_I.raw
Sample 161	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 41	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d11_12_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d11_12_hTT_I.raw
Sample 49	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 42	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d4_12_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d4_12_hTT_I.raw
Sample 41	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 43	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d3_12_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d3_12_hTT_II.raw
Sample 105	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 44	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d7_12_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d7_12_hTT_II.raw
Sample 49	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 45	1	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d4_24_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d4_24_hTT_I.raw
Sample 65	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 46	1	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d5_24_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d5_24_hTT_I.raw
Sample 121	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 47	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d8_12_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d8_12_hTT_II.raw
Sample 137	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 48	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d9_12_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d9_12_hTT_II.raw
Sample 225	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 49	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d15_12_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d15_12_hTT_I.raw
Sample 33	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 50	1	3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d3_48_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d3_48_hTT_I.raw
Sample 145	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 51	1	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d10_24_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d10_24_hTT_I.raw
Sample 193	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 52	1	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d13_24_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d13_24_hTT_I.raw
Sample 81	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 53	1	3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d6_48_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d6_48_hTT_I.raw
Sample 113	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 54	1	3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d8_48_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d8_48_hTT_I.raw
Sample 129	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 55	1	3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d9_48_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d9_48_hTT_I.raw
Sample 121	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 56	1	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d8_24_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d8_24_hTT_II.raw
Sample 17	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 57	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d2_12_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d2_12_hTT_I.raw
Sample 49	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 58	1	3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d4_48_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d4_48_hTT_I.raw
Sample 89	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 59	1	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d6_24_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d6_24_hTT_II.raw
Sample 33	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 60	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d3_12_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d3_12_hTT_I.raw
Sample 233	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 61	1	3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d15_48_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d15_48_hTT_II.raw
Sample 209	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 62	1	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d14_24_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d14_24_hTT_I.raw
Sample 225	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 63	1	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d15_24_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d15_24_hTT_I.raw
Sample 25	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 64	1	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d2_24_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d2_24_hTT_II.raw
