source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[developmental stage]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	characteristics[compound]	characteristics[concentration of]	characteristics[cell line]	assay name	technology type	comment[data file]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[instrument]	comment[associated file uri]	factor value[compound]	factor value[concentration of]
E1S11	Mus musculus	immune system	B cell	not applicable	mercury poisoning	enrichment of phosphorylated protein	1	okadaic acid	0.1 uM	CLO:0009575	run 11	proteomic profiling by mass spectrometry	1342_11.RAW	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=LTQ;AC=MS:1000447	https://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000312/1342_11.RAW	okadaic acid	0.1 uM
E1S12	Mus musculus	immune system	B cell	not applicable	mercury poisoning	enrichment of phosphorylated protein	1	okadaic acid	0.1 uM	CLO:0009575	run 12	proteomic profiling by mass spectrometry	1342_12.RAW	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=LTQ;AC=MS:1000447	https://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000312/1342_12.RAW	okadaic acid	0.1 uM
E2S1	Mus musculus	immune system	B cell	not applicable	mercury poisoning	enrichment of phosphorylated protein	1	none	not applicable	CLO:0009575	run 13	proteomic profiling by mass spectrometry	Elution_rest_a1.RAW	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=LTQ;AC=MS:1000447	https://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000312/Elution_rest_a1.RAW	none	not applicable
E2S2	Mus musculus	immune system	B cell	not applicable	mercury poisoning	enrichment of phosphorylated protein	1	none	not applicable	CLO:0009575	run 14	proteomic profiling by mass spectrometry	Elution_rest_a2.RAW	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=LTQ;AC=MS:1000447	https://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000312/Elution_rest_a2.RAW	none	not applicable
E2S3	Mus musculus	immune system	B cell	not applicable	mercury poisoning	enrichment of phosphorylated protein	1	none	not applicable	CLO:0009575	run 15	proteomic profiling by mass spectrometry	Elution_rest_a3.RAW	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=LTQ;AC=MS:1000447	https://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000312/Elution_rest_a3.RAW	none	not applicable
E2S4	Mus musculus	immune system	B cell	not applicable	mercury poisoning	enrichment of phosphorylated protein	1	mercury dichloride	100 uM	CLO:0009575	run 16	proteomic profiling by mass spectrometry	Elution_rest_a4.RAW	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=LTQ;AC=MS:1000447	https://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000312/Elution_rest_a4.RAW	mercury dichloride	100 uM
E2S5	Mus musculus	immune system	B cell	not applicable	mercury poisoning	enrichment of phosphorylated protein	1	mercury dichloride	100 uM	CLO:0009575	run 17	proteomic profiling by mass spectrometry	Elution_rest_a5.RAW	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=LTQ;AC=MS:1000447	https://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000312/Elution_rest_a5.RAW	mercury dichloride	100 uM
E2S6	Mus musculus	immune system	B cell	not applicable	mercury poisoning	enrichment of phosphorylated protein	1	mercury dichloride	100 uM	CLO:0009575	run 18	proteomic profiling by mass spectrometry	Elution_rest_a6.RAW	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=LTQ;AC=MS:1000447	https://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000312/Elution_rest_a6.RAW	mercury dichloride	100 uM
E2S7	Mus musculus	immune system	B cell	not applicable	mercury poisoning	enrichment of phosphorylated protein	1	pervanadate	25 uM	CLO:0009575	run 19	proteomic profiling by mass spectrometry	Elution_rest_a7.RAW	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=LTQ;AC=MS:1000447	https://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000312/Elution_rest_a7.RAW	pervanadate	25 uM
E2S8	Mus musculus	immune system	B cell	not applicable	mercury poisoning	enrichment of phosphorylated protein	1	pervanadate	25 uM	CLO:0009575	run 20	proteomic profiling by mass spectrometry	Elution_rest_a8.RAW	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=LTQ;AC=MS:1000447	https://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000312/Elution_rest_a8.RAW	pervanadate	25 uM
E2S9	Mus musculus	immune system	B cell	not applicable	mercury poisoning	enrichment of phosphorylated protein	1	pervanadate	25 uM	CLO:0009575	run 21	proteomic profiling by mass spectrometry	Elution_rest_a9.RAW	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=LTQ;AC=MS:1000447	https://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000312/Elution_rest_a9.RAW	pervanadate	25 uM
E2S1	Mus musculus	immune system	B cell	not applicable	mercury poisoning	enrichment of phosphorylated protein	1	none	not applicable	CLO:0009575	run 22	proteomic profiling by mass spectrometry	Elution_rest_b1.RAW	1	2	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=LTQ;AC=MS:1000447	https://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000312/Elution_rest_b1.RAW	none	not applicable
E2S2	Mus musculus	immune system	B cell	not applicable	mercury poisoning	enrichment of phosphorylated protein	1	none	not applicable	CLO:0009575	run 23	proteomic profiling by mass spectrometry	Elution_rest_b2.RAW	1	2	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=LTQ;AC=MS:1000447	https://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000312/Elution_rest_b2.RAW	none	not applicable
E2S3	Mus musculus	immune system	B cell	not applicable	mercury poisoning	enrichment of phosphorylated protein	1	none	not applicable	CLO:0009575	run 24	proteomic profiling by mass spectrometry	Elution_rest_b3.RAW	1	2	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=LTQ;AC=MS:1000447	https://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000312/Elution_rest_b3.RAW	none	not applicable
E2S4	Mus musculus	immune system	B cell	not applicable	mercury poisoning	enrichment of phosphorylated protein	1	mercury dichloride	100 uM	CLO:0009575	run 25	proteomic profiling by mass spectrometry	Elution_rest_b4.RAW	1	2	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=LTQ;AC=MS:1000447	https://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000312/Elution_rest_b4.RAW	mercury dichloride	100 uM
E2S5	Mus musculus	immune system	B cell	not applicable	mercury poisoning	enrichment of phosphorylated protein	1	mercury dichloride	100 uM	CLO:0009575	run 26	proteomic profiling by mass spectrometry	Elution_rest_b5.RAW	1	2	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=LTQ;AC=MS:1000447	https://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000312/Elution_rest_b5.RAW	mercury dichloride	100 uM
E2S6	Mus musculus	immune system	B cell	not applicable	mercury poisoning	enrichment of phosphorylated protein	1	mercury dichloride	100 uM	CLO:0009575	run 27	proteomic profiling by mass spectrometry	Elution_rest_b6.RAW	1	2	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=LTQ;AC=MS:1000447	https://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000312/Elution_rest_b6.RAW	mercury dichloride	100 uM
E2S7	Mus musculus	immune system	B cell	not applicable	mercury poisoning	enrichment of phosphorylated protein	1	pervanadate	25 uM	CLO:0009575	run 28	proteomic profiling by mass spectrometry	Elution_rest_b7.RAW	1	2	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=LTQ;AC=MS:1000447	https://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000312/Elution_rest_b7.RAW	pervanadate	25 uM
E2S8	Mus musculus	immune system	B cell	not applicable	mercury poisoning	enrichment of phosphorylated protein	1	pervanadate	25 uM	CLO:0009575	run 29	proteomic profiling by mass spectrometry	Elution_rest_b8.RAW	1	2	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=LTQ;AC=MS:1000447	https://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000312/Elution_rest_b8.RAW	pervanadate	25 uM
E2S9	Mus musculus	immune system	B cell	not applicable	mercury poisoning	enrichment of phosphorylated protein	1	pervanadate	25 uM	CLO:0009575	run 30	proteomic profiling by mass spectrometry	Elution_rest_b9.RAW	1	2	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=LTQ;AC=MS:1000447	https://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000312/Elution_rest_b9.RAW	pervanadate	25 uM
