source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[compound]	characteristics[concentration of]	characteristics[concentration unit]	characteristics[enrichment process]	characteristics[cultured cell]	assay name	comment[data file]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[instrument]	comment[associated file uri]	factor value[treatment]
E1S11	Mus musculus	immune system	B cell	mercury poisoning	okadaic acid	100	nanomolar	enrichment of phosphorylated protein	CLO:0009575	11	1342_11.RAW	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:14	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:45	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:31"	NT=LTQ;AC=MS:1000447	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000312/1342_11.RAW	okadaic acid
E1S12	Mus musculus	immune system	B cell	mercury poisoning	okadaic acid	100	nanomolar	enrichment of phosphorylated protein	CLO:0009575	12	1342_12.RAW	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:15	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:46	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:32"	NT=LTQ;AC=MS:1000447	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000312/1342_12.RAW	okadaic acid
E2S1	Mus musculus	immune system	B cell	mercury poisoning	none	not applicable	not applicable	enrichment of phosphorylated protein	CLO:0009575	13	Elution_rest_a1.RAW	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:16	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:47	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:33"	NT=LTQ;AC=MS:1000447	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000312/Elution_rest_a1.RAW	none
E2S2	Mus musculus	immune system	B cell	mercury poisoning	none	not applicable	not applicable	enrichment of phosphorylated protein	CLO:0009575	14	Elution_rest_a2.RAW	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:17	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:48	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:34"	NT=LTQ;AC=MS:1000447	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000312/Elution_rest_a2.RAW	none
E2S3	Mus musculus	immune system	B cell	mercury poisoning	none	not applicable	not applicable	enrichment of phosphorylated protein	CLO:0009575	15	Elution_rest_a3.RAW	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:18	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:49	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:35"	NT=LTQ;AC=MS:1000447	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000312/Elution_rest_a3.RAW	none
E2S4	Mus musculus	immune system	B cell	mercury poisoning	mercury dichloride	100	micromolar	enrichment of phosphorylated protein	CLO:0009575	16	Elution_rest_a4.RAW	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:19	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:50	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:36"	NT=LTQ;AC=MS:1000447	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000312/Elution_rest_a4.RAW	mercury dichloride 100
E2S5	Mus musculus	immune system	B cell	mercury poisoning	mercury dichloride	100	micromolar	enrichment of phosphorylated protein	CLO:0009575	17	Elution_rest_a5.RAW	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:20	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:51	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:37"	NT=LTQ;AC=MS:1000447	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000312/Elution_rest_a5.RAW	mercury dichloride 100
E2S6	Mus musculus	immune system	B cell	mercury poisoning	mercury dichloride	100	micromolar	enrichment of phosphorylated protein	CLO:0009575	18	Elution_rest_a6.RAW	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:21	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:52	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:38"	NT=LTQ;AC=MS:1000447	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000312/Elution_rest_a6.RAW	mercury dichloride 100
E2S7	Mus musculus	immune system	B cell	mercury poisoning	pervanadate	25	micromolar	enrichment of phosphorylated protein	CLO:0009575	19	Elution_rest_a7.RAW	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:22	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:53	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:39"	NT=LTQ;AC=MS:1000447	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000312/Elution_rest_a7.RAW	pervanadate
E2S8	Mus musculus	immune system	B cell	mercury poisoning	pervanadate	25	micromolar	enrichment of phosphorylated protein	CLO:0009575	20	Elution_rest_a8.RAW	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:23	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:54	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:40"	NT=LTQ;AC=MS:1000447	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000312/Elution_rest_a8.RAW	pervanadate
E2S9	Mus musculus	immune system	B cell	mercury poisoning	pervanadate	25	micromolar	enrichment of phosphorylated protein	CLO:0009575	21	Elution_rest_a9.RAW	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:55	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:41"	NT=LTQ;AC=MS:1000447	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000312/Elution_rest_a9.RAW	pervanadate
E2S1	Mus musculus	immune system	B cell	mercury poisoning	none	not applicable	not applicable	enrichment of phosphorylated protein	CLO:0009575	22	Elution_rest_b1.RAW	2	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:25	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:56	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:42"	NT=LTQ;AC=MS:1000447	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000312/Elution_rest_b1.RAW	none
E2S2	Mus musculus	immune system	B cell	mercury poisoning	none	not applicable	not applicable	enrichment of phosphorylated protein	CLO:0009575	23	Elution_rest_b2.RAW	2	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:26	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:57	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:43"	NT=LTQ;AC=MS:1000447	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000312/Elution_rest_b2.RAW	none
E2S3	Mus musculus	immune system	B cell	mercury poisoning	none	not applicable	not applicable	enrichment of phosphorylated protein	CLO:0009575	24	Elution_rest_b3.RAW	2	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:27	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:58	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:44"	NT=LTQ;AC=MS:1000447	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000312/Elution_rest_b3.RAW	none
E2S4	Mus musculus	immune system	B cell	mercury poisoning	mercury dichloride	100	micromolar	enrichment of phosphorylated protein	CLO:0009575	25	Elution_rest_b4.RAW	2	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:28	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:59	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:45"	NT=LTQ;AC=MS:1000447	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000312/Elution_rest_b4.RAW	mercury dichloride 100
E2S5	Mus musculus	immune system	B cell	mercury poisoning	mercury dichloride	100	micromolar	enrichment of phosphorylated protein	CLO:0009575	26	Elution_rest_b5.RAW	2	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:29	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:60	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:46"	NT=LTQ;AC=MS:1000447	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000312/Elution_rest_b5.RAW	mercury dichloride 100
E2S6	Mus musculus	immune system	B cell	mercury poisoning	mercury dichloride	100	micromolar	enrichment of phosphorylated protein	CLO:0009575	27	Elution_rest_b6.RAW	2	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:30	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:61	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:47"	NT=LTQ;AC=MS:1000447	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000312/Elution_rest_b6.RAW	mercury dichloride 100
E2S7	Mus musculus	immune system	B cell	mercury poisoning	pervanadate	25	micromolar	enrichment of phosphorylated protein	CLO:0009575	28	Elution_rest_b7.RAW	2	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:31	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:62	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:48"	NT=LTQ;AC=MS:1000447	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000312/Elution_rest_b7.RAW	pervanadate
E2S8	Mus musculus	immune system	B cell	mercury poisoning	pervanadate	25	micromolar	enrichment of phosphorylated protein	CLO:0009575	29	Elution_rest_b8.RAW	2	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:32	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:63	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:49"	NT=LTQ;AC=MS:1000447	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000312/Elution_rest_b8.RAW	pervanadate
E2S9	Mus musculus	immune system	B cell	mercury poisoning	pervanadate	25	micromolar	enrichment of phosphorylated protein	CLO:0009575	30	Elution_rest_b9.RAW	2	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:33	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:64	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:50"	NT=LTQ;AC=MS:1000447	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000312/Elution_rest_b9.RAW	pervanadate
