source name	characteristics[organism]	characteristics[organism part]	characteristics[cell line]	characteristics[cell type]	characteristics[developmental stage]	characteristics[sex]	characteristics[disease]	material type	characteristics[biological replicate]	characteristics[infect]	assay name	technology type	comment[technical replicate]	comment[fraction identifier]	comment[technical replcate]	comment[file uri]	comment[data file]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[infect]
Sample 1	Cercopithecus	kidney	Vero C1008	epithelial cell	adult	female	not applicable	cell	1	Severe acute respiratory syndrome coronavirus 2	run 11	proteomic profiling by mass spectrometry	1	11	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018241/020320_Total_11.raw	020320_Total_11.raw	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Met-loss+Acetyl;AC=UNIMOD:766;PP=Protein N-term;MT=variable	10 ppm	0.6 Da	Severe acute respiratory syndrome coronavirus 2
Sample 1	Cercopithecus	kidney	Vero C1008	epithelial cell	adult	female	not applicable	cell	1	Severe acute respiratory syndrome coronavirus 2	run 12	proteomic profiling by mass spectrometry	1	12	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018241/020320_Total_12.raw	020320_Total_12.raw	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Met-loss+Acetyl;AC=UNIMOD:766;PP=Protein N-term;MT=variable	10 ppm	0.6 Da	Severe acute respiratory syndrome coronavirus 2
Sample 1	Cercopithecus	kidney	Vero C1008	epithelial cell	adult	female	not applicable	cell	1	Severe acute respiratory syndrome coronavirus 2	run 13	proteomic profiling by mass spectrometry	1	13	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018241/020320_Total_13.raw	020320_Total_13.raw	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Met-loss+Acetyl;AC=UNIMOD:766;PP=Protein N-term;MT=variable	10 ppm	0.6 Da	Severe acute respiratory syndrome coronavirus 2
Sample 1	Cercopithecus	kidney	Vero C1008	epithelial cell	adult	female	not applicable	cell	1	Severe acute respiratory syndrome coronavirus 2	run 14	proteomic profiling by mass spectrometry	1	14	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018241/020320_Total_14.raw	020320_Total_14.raw	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Met-loss+Acetyl;AC=UNIMOD:766;PP=Protein N-term;MT=variable	10 ppm	0.6 Da	Severe acute respiratory syndrome coronavirus 2
Sample 1	Cercopithecus	kidney	Vero C1008	epithelial cell	adult	female	not applicable	cell	1	Severe acute respiratory syndrome coronavirus 2	run 15	proteomic profiling by mass spectrometry	1	15	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018241/020320_Total_15.raw	020320_Total_15.raw	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Met-loss+Acetyl;AC=UNIMOD:766;PP=Protein N-term;MT=variable	10 ppm	0.6 Da	Severe acute respiratory syndrome coronavirus 2
Sample 1	Cercopithecus	kidney	Vero C1008	epithelial cell	adult	female	not applicable	cell	1	Severe acute respiratory syndrome coronavirus 2	run 16	proteomic profiling by mass spectrometry	1	16	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018241/020320_Total_16.raw	020320_Total_16.raw	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Met-loss+Acetyl;AC=UNIMOD:766;PP=Protein N-term;MT=variable	10 ppm	0.6 Da	Severe acute respiratory syndrome coronavirus 2
Sample 1	Cercopithecus	kidney	Vero C1008	epithelial cell	adult	female	not applicable	cell	1	Severe acute respiratory syndrome coronavirus 2	run 17	proteomic profiling by mass spectrometry	1	17	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018241/020320_Total_17.raw	020320_Total_17.raw	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Met-loss+Acetyl;AC=UNIMOD:766;PP=Protein N-term;MT=variable	10 ppm	0.6 Da	Severe acute respiratory syndrome coronavirus 2
Sample 1	Cercopithecus	kidney	Vero C1008	epithelial cell	adult	female	not applicable	cell	1	Severe acute respiratory syndrome coronavirus 2	run 18	proteomic profiling by mass spectrometry	1	18	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018241/020320_Total_18.raw	020320_Total_18.raw	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Met-loss+Acetyl;AC=UNIMOD:766;PP=Protein N-term;MT=variable	10 ppm	0.6 Da	Severe acute respiratory syndrome coronavirus 2
Sample 1	Cercopithecus	kidney	Vero C1008	epithelial cell	adult	female	not applicable	cell	1	Severe acute respiratory syndrome coronavirus 2	run 19	proteomic profiling by mass spectrometry	1	19	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018241/020320_Total_19.raw	020320_Total_19.raw	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Met-loss+Acetyl;AC=UNIMOD:766;PP=Protein N-term;MT=variable	10 ppm	0.6 Da	Severe acute respiratory syndrome coronavirus 2
Sample 1	Cercopithecus	kidney	Vero C1008	epithelial cell	adult	female	not applicable	cell	1	Severe acute respiratory syndrome coronavirus 2	run 20	proteomic profiling by mass spectrometry	1	20	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018241/020320_Total_20.raw	020320_Total_20.raw	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Met-loss+Acetyl;AC=UNIMOD:766;PP=Protein N-term;MT=variable	10 ppm	0.6 Da	Severe acute respiratory syndrome coronavirus 2
