Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[developmental stage]	Characteristics[age]	Characteristics[disease]	Characteristics[cell line]	assay name	comment[fraction identifier]	comment[label]	comment[instrument]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[dissociation method]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[file uri]	comment[data file]	Material Type	Factor Value[disease]
Sample 3	Cercopithecus aethiops	kidney	not available	not available	SARS-CoV-2	Vero E6	run 11	17	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	10 ppm	0.6 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Chymotrypsin;AC=MS:1001306	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Met-loss+Acetyl;AC=UNIMOD:766;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	not available	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018241/020320_Total_17.raw	020320_Total_17.raw	cell	SARS-CoV-2
Sample 3	Cercopithecus aethiops	kidney	not available	not available	SARS-CoV-2	Vero E6	run 12	18	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	10 ppm	0.6 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Chymotrypsin;AC=MS:1001306	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Met-loss+Acetyl;AC=UNIMOD:766;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	not available	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018241/020320_Total_18.raw	020320_Total_18.raw	cell	SARS-CoV-2
Sample 3	Cercopithecus aethiops	kidney	not available	not available	SARS-CoV-2	Vero E6	run 13	19	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	10 ppm	0.6 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Chymotrypsin;AC=MS:1001306	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Met-loss+Acetyl;AC=UNIMOD:766;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	not available	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018241/020320_Total_19.raw	020320_Total_19.raw	cell	SARS-CoV-2
Sample 3	Cercopithecus aethiops	kidney	not available	not available	SARS-CoV-2	Vero E6	run 14	2	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	10 ppm	0.6 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Chymotrypsin;AC=MS:1001306	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Met-loss+Acetyl;AC=UNIMOD:766;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	not available	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018241/020320_Total_2.raw	020320_Total_2.raw	cell	SARS-CoV-2
Sample 3	Cercopithecus aethiops	kidney	not available	not available	SARS-CoV-2	Vero E6	run 15	20	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	10 ppm	0.6 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Chymotrypsin;AC=MS:1001306	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Met-loss+Acetyl;AC=UNIMOD:766;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	not available	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018241/020320_Total_20.raw	020320_Total_20.raw	cell	SARS-CoV-2
Sample 3	Cercopithecus aethiops	kidney	not available	not available	SARS-CoV-2	Vero E6	run 16	3	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	10 ppm	0.6 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Chymotrypsin;AC=MS:1001306	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Met-loss+Acetyl;AC=UNIMOD:766;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	not available	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018241/020320_Total_3.raw	020320_Total_3.raw	cell	SARS-CoV-2
Sample 3	Cercopithecus aethiops	kidney	not available	not available	SARS-CoV-2	Vero E6	run 17	4	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	10 ppm	0.6 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Chymotrypsin;AC=MS:1001306	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Met-loss+Acetyl;AC=UNIMOD:766;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	not available	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018241/020320_Total_4.raw	020320_Total_4.raw	cell	SARS-CoV-2
Sample 3	Cercopithecus aethiops	kidney	not available	not available	SARS-CoV-2	Vero E6	run 18	5	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	10 ppm	0.6 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Chymotrypsin;AC=MS:1001306	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Met-loss+Acetyl;AC=UNIMOD:766;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	not available	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018241/020320_Total_5.raw	020320_Total_5.raw	cell	SARS-CoV-2
Sample 3	Cercopithecus aethiops	kidney	not available	not available	SARS-CoV-2	Vero E6	run 19	6	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	10 ppm	0.6 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Chymotrypsin;AC=MS:1001306	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Met-loss+Acetyl;AC=UNIMOD:766;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	not available	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018241/020320_Total_6.raw	020320_Total_6.raw	cell	SARS-CoV-2
Sample 3	Cercopithecus aethiops	kidney	not available	not available	SARS-CoV-2	Vero E6	run 20	7	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	10 ppm	0.6 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Chymotrypsin;AC=MS:1001306	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Met-loss+Acetyl;AC=UNIMOD:766;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	not available	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018241/020320_Total_7.raw	020320_Total_7.raw	cell	SARS-CoV-2
Sample 3	Cercopithecus aethiops	kidney	not available	not available	SARS-CoV-2	Vero E6	run 21	8	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	10 ppm	0.6 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Chymotrypsin;AC=MS:1001306	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Met-loss+Acetyl;AC=UNIMOD:766;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	not available	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018241/020320_Total_8.raw	020320_Total_8.raw	cell	SARS-CoV-2
Sample 3	Cercopithecus aethiops	kidney	not available	not available	SARS-CoV-2	Vero E6	run 22	9	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	10 ppm	0.6 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Chymotrypsin;AC=MS:1001306	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Met-loss+Acetyl;AC=UNIMOD:766;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	not available	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018241/020320_Total_9.raw	020320_Total_9.raw	cell	SARS-CoV-2
