source name	characteristics[organism]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[cultured cell]	characteristics[disease]	characteristics[biological replicate]	assay name	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[data file]	comment[instrument]	comment[cleavage agent details]	comment[cleavage agent details]	factor value[bait]
MCP_ky_0000313_CDK1_2	Homo sapiens	Mus musculus	not applicable	epithelial cell	HeLa	not applicable	2	MCP_ky_0000313	0	0	Label free	MCP_ky_0000313_0104_01_JBA.RAW	orbitrap	NT=Trypsin	NT=Lys-C	LAP-P11440
MCP_ky_0000313_CDK1_3	Homo sapiens	Mus musculus	not applicable	epithelial cell	HeLa	not applicable	3	MCP_ky_0000313	0	0	Label free	MCP_ky_0000313_0170_32_JBA.RAW	orbitrap	NT=Trypsin	NT=Lys-C	LAP-P11440
MCP_ky_0000317_TUBGCP6_1	Homo sapiens	Mus musculus	not applicable	epithelial cell	HeLa	not applicable	1	MCP_ky_0000317	0	0	Label free	MCP_ky_0000317_0192_48_JBA.RAW	orbitrap	NT=Trypsin	NT=Lys-C	LAP-E9Q6P4
MCP_ky_0000317_TUBGCP6_2	Homo sapiens	Mus musculus	not applicable	epithelial cell	HeLa	not applicable	2	MCP_ky_0000317	0	0	Label free	MCP_ky_0000317_0193_07_JBA.RAW	orbitrap	NT=Trypsin	NT=Lys-C	LAP-E9Q6P4
MCP_ky_0000317_TUBGCP6_3	Homo sapiens	Mus musculus	not applicable	epithelial cell	HeLa	not applicable	3	MCP_ky_0000317	0	0	Label free	MCP_ky_0000317_0194_30_JBA.RAW	orbitrap	NT=Trypsin	NT=Lys-C	LAP-E9Q6P4
MCP_ky_0000327_PPP1CB_1	Homo sapiens	Mus musculus	not applicable	epithelial cell	HeLa	not applicable	1	MCP_ky_0000327	0	0	Label free	MCP_ky_0000327_0107_34_JBA.RAW	orbitrap	NT=Trypsin	NT=Lys-C	LAP-P62141
MCP_ky_0000327_PPP1CB_2	Homo sapiens	Mus musculus	not applicable	epithelial cell	HeLa	not applicable	2	MCP_ky_0000327	0	0	Label free	MCP_ky_0000327_0152_16_JBA.RAW	orbitrap	NT=Trypsin	NT=Lys-C	LAP-P62141
MCP_ky_0000327_PPP1CB_3	Homo sapiens	Mus musculus	not applicable	epithelial cell	HeLa	not applicable	3	MCP_ky_0000327	0	0	Label free	MCP_ky_0000327_0160_31_JBA.RAW	orbitrap	NT=Trypsin	NT=Lys-C	LAP-P62141
MCP_ky_0000328_NotAvailable_1	Homo sapiens	not available	not applicable	epithelial cell	HeLa	not applicable	1	MCP_ky_0000328	0	0	Label free	MCP_ky_0000328_0044_40_JBA.RAW	orbitrap	NT=Trypsin	NT=Lys-C	not applicable
MCP_ky_0000328_NotAvailable_2	Homo sapiens	not available	not applicable	epithelial cell	HeLa	not applicable	2	MCP_ky_0000328	0	0	Label free	MCP_ky_0000328_0153_11_JBA.RAW	orbitrap	NT=Trypsin	NT=Lys-C	not applicable
MCP_ky_0000328_NotAvailable_3	Homo sapiens	not available	not applicable	epithelial cell	HeLa	not applicable	3	MCP_ky_0000328	0	0	Label free	MCP_ky_0000328_0154_44_JBA.RAW	orbitrap	NT=Trypsin	NT=Lys-C	not applicable
MCP_ky_0000329_CEP152_1	Homo sapiens	Mus musculus	not applicable	epithelial cell	HeLa	not applicable	1	MCP_ky_0000329	0	0	Label free	MCP_ky_0000329_0121_20_JBA.RAW	orbitrap	NT=Trypsin	NT=Lys-C	LAP-A2AUM9
MCP_ky_0000329_CEP152_2	Homo sapiens	Mus musculus	not applicable	epithelial cell	HeLa	not applicable	2	MCP_ky_0000329	0	0	Label free	MCP_ky_0000329_0122_03_JBA.RAW	orbitrap	NT=Trypsin	NT=Lys-C	LAP-A2AUM9
MCP_ky_0000329_CEP152_3	Homo sapiens	Mus musculus	not applicable	epithelial cell	HeLa	not applicable	3	MCP_ky_0000329	0	0	Label free	MCP_ky_0000329_0123_06_JBA.RAW	orbitrap	NT=Trypsin	NT=Lys-C	LAP-A2AUM9
MCP_ky_0002032_TIPIN_1	Homo sapiens	Mus musculus	not applicable	epithelial cell	HeLa	not applicable	1	MCP_ky_0002032	0	0	Label free	MCP_ky_0002032_0186_26_JBA.RAW	orbitrap	NT=Trypsin	NT=Lys-C	LAP-Q91WA1
MCP_ky_0002032_TIPIN_2	Homo sapiens	Mus musculus	not applicable	epithelial cell	HeLa	not applicable	2	MCP_ky_0002032	0	0	Label free	MCP_ky_0002032_0187_32_JBA.RAW	orbitrap	NT=Trypsin	NT=Lys-C	LAP-Q91WA1
MCP_ky_0002032_TIPIN_3	Homo sapiens	Mus musculus	not applicable	epithelial cell	HeLa	not applicable	3	MCP_ky_0002032	0	0	Label free	MCP_ky_0002032_0188_15_JBA.RAW	orbitrap	NT=Trypsin	NT=Lys-C	LAP-Q91WA1
MCP_ky_0002034_NUP98_1	Homo sapiens	Mus musculus	not applicable	epithelial cell	HeLa	not applicable	1	MCP_ky_0002034	0	0	Label free	MCP_ky_0002034_0173_13_JBA.RAW	orbitrap	NT=Trypsin	NT=Lys-C	LAP-Q6PFD9
MCP_ky_0002034_NUP98_2	Homo sapiens	Mus musculus	not applicable	epithelial cell	HeLa	not applicable	2	MCP_ky_0002034	0	0	Label free	MCP_ky_0002034_0174_10_JBA.RAW	orbitrap	NT=Trypsin	NT=Lys-C	LAP-Q6PFD9
MCP_ky_0002034_NUP98_3	Homo sapiens	Mus musculus	not applicable	epithelial cell	HeLa	not applicable	3	MCP_ky_0002034	0	0	Label free	MCP_ky_0002034_0178_39_JBA.RAW	orbitrap	NT=Trypsin	NT=Lys-C	LAP-Q6PFD9
MCP_ky_0002034_NUP98_4	Homo sapiens	Mus musculus	not applicable	epithelial cell	HeLa	not applicable	4	MCP_ky_0002034	0	0	Label free	MCP_ky_0002034_0224_29_JBA.RAW	orbitrap	NT=Trypsin	NT=Lys-C	LAP-Q6PFD9
MCP_ky_0002034_NUP98_5	Homo sapiens	Mus musculus	not applicable	epithelial cell	HeLa	not applicable	5	MCP_ky_0002034	0	0	Label free	MCP_ky_0002034_0231_04_JBA.RAW	orbitrap	NT=Trypsin	NT=Lys-C	LAP-Q6PFD9
MCP_ky_0002034_NUP98_6	Homo sapiens	Mus musculus	not applicable	epithelial cell	HeLa	not applicable	6	MCP_ky_0002034	0	0	Label free	MCP_ky_0002034_0232_03_JBA.RAW	orbitrap	NT=Trypsin	NT=Lys-C	LAP-Q6PFD9
MCP_ky_0002035_SGOL1_1	Homo sapiens	Mus musculus	not applicable	epithelial cell	HeLa	not applicable	1	MCP_ky_0002035	0	0	Label free	MCP_ky_0002035_0054_03_JBA.RAW	orbitrap	NT=Trypsin	NT=Lys-C	LAP-Q9CXH7
MCP_ky_0002035_SGOL1_2	Homo sapiens	Mus musculus	not applicable	epithelial cell	HeLa	not applicable	2	MCP_ky_0002035	0	0	Label free	MCP_ky_0002035_0073_31_JBA.RAW	orbitrap	NT=Trypsin	NT=Lys-C	LAP-Q9CXH7
MCP_ky_0002035_SGOL1_3	Homo sapiens	Mus musculus	not applicable	epithelial cell	HeLa	not applicable	3	MCP_ky_0002035	0	0	Label free	MCP_ky_0002035_0074_35_JBA.RAW	orbitrap	NT=Trypsin	NT=Lys-C	LAP-Q9CXH7
MCP_ky_0002036_KAT8_1	Homo sapiens	Mus musculus	not applicable	epithelial cell	HeLa	not applicable	1	MCP_ky_0002036	0	0	Label free	MCP_ky_0002036_0167_01_JBA.RAW	orbitrap	NT=Trypsin	NT=Lys-C	LAP-Q9D1P2
MCP_ky_0002036_KAT8_2	Homo sapiens	Mus musculus	not applicable	epithelial cell	HeLa	not applicable	2	MCP_ky_0002036	0	0	Label free	MCP_ky_0002036_0170_39_JBA.RAW	orbitrap	NT=Trypsin	NT=Lys-C	LAP-Q9D1P2
MCP_ky_0002036_KAT8_3	Homo sapiens	Mus musculus	not applicable	epithelial cell	HeLa	not applicable	3	MCP_ky_0002036	0	0	Label free	MCP_ky_0002036_0171_25_JBA.RAW	orbitrap	NT=Trypsin	NT=Lys-C	LAP-Q9D1P2
MCP_ky_0002042_KIF20A_1	Homo sapiens	Mus musculus	not applicable	epithelial cell	HeLa	not applicable	1	MCP_ky_0002042	0	0	Label free	MCP_ky_0002042_0044_39_JBA.RAW	orbitrap	NT=Trypsin	NT=Lys-C	LAP-P97329
MCP_ky_0002042_KIF20A_2	Homo sapiens	Mus musculus	not applicable	epithelial cell	HeLa	not applicable	2	MCP_ky_0002042	0	0	Label free	MCP_ky_0002042_0123_43_JBA.RAW	orbitrap	NT=Trypsin	NT=Lys-C	LAP-P97329
MCP_ky_0002042_KIF20A_3	Homo sapiens	Mus musculus	not applicable	epithelial cell	HeLa	not applicable	3	MCP_ky_0002042	0	0	Label free	MCP_ky_0002042_0174_16_JBA.RAW	orbitrap	NT=Trypsin	NT=Lys-C	LAP-P97329
MCP_ky_0002043_KIF4A_1	Homo sapiens	Mus musculus	not applicable	epithelial cell	HeLa	not applicable	1	MCP_ky_0002043	0	0	Label free	MCP_ky_0002043_0234_32_JBA.RAW	orbitrap	NT=Trypsin	NT=Lys-C	LAP-P33174
MCP_ky_0002043_KIF4A_2	Homo sapiens	Mus musculus	not applicable	epithelial cell	HeLa	not applicable	2	MCP_ky_0002043	0	0	Label free	MCP_ky_0002043_0235_24_JBA.RAW	orbitrap	NT=Trypsin	NT=Lys-C	LAP-P33174
MCP_ky_0002043_KIF4A_3	Homo sapiens	Mus musculus	not applicable	epithelial cell	HeLa	not applicable	3	MCP_ky_0002043	0	0	Label free	MCP_ky_0002043_0237_40_JBA.RAW	orbitrap	NT=Trypsin	NT=Lys-C	LAP-P33174
MCP_ky_0002044_CDCA5_1	Homo sapiens	Mus musculus	not applicable	epithelial cell	HeLa	not applicable	1	MCP_ky_0002044	0	0	Label free	MCP_ky_0002044_0168_31_JBA.RAW	orbitrap	NT=Trypsin	NT=Lys-C	LAP-Q9CPY3
MCP_ky_0002044_CDCA5_2	Homo sapiens	Mus musculus	not applicable	epithelial cell	HeLa	not applicable	2	MCP_ky_0002044	0	0	Label free	MCP_ky_0002044_0172_17_JBA.RAW	orbitrap	NT=Trypsin	NT=Lys-C	LAP-Q9CPY3
MCP_ky_0002044_CDCA5_3	Homo sapiens	Mus musculus	not applicable	epithelial cell	HeLa	not applicable	3	MCP_ky_0002044	0	0	Label free	MCP_ky_0002044_0178_42_JBA.RAW	orbitrap	NT=Trypsin	NT=Lys-C	LAP-Q9CPY3
MCP_ky_0002045_PAPSS1_1	Homo sapiens	Mus musculus	not applicable	epithelial cell	HeLa	not applicable	1	MCP_ky_0002045	0	0	Label free	MCP_ky_0002045_0167_18_JBA.RAW	orbitrap	NT=Trypsin	NT=Lys-C	LAP-Q60967
MCP_ky_0002045_PAPSS1_2	Homo sapiens	Mus musculus	not applicable	epithelial cell	HeLa	not applicable	2	MCP_ky_0002045	0	0	Label free	MCP_ky_0002045_0168_46_JBA.RAW	orbitrap	NT=Trypsin	NT=Lys-C	LAP-Q60967
MCP_ky_0002045_PAPSS1_3	Homo sapiens	Mus musculus	not applicable	epithelial cell	HeLa	not applicable	3	MCP_ky_0002045	0	0	Label free	MCP_ky_0002045_0172_27_JBA.RAW	orbitrap	NT=Trypsin	NT=Lys-C	LAP-Q60967
MCP_ky_0002047_CENPE_1	Homo sapiens	Mus musculus	not applicable	epithelial cell	HeLa	not applicable	1	MCP_ky_0002047	0	0	Label free	MCP_ky_0002047_0167_31_JBA.RAW	orbitrap	NT=Trypsin	NT=Lys-C	LAP-E9QKK1
MCP_ky_0002047_CENPE_2	Homo sapiens	Mus musculus	not applicable	epithelial cell	HeLa	not applicable	2	MCP_ky_0002047	0	0	Label free	MCP_ky_0002047_0168_41_JBA.RAW	orbitrap	NT=Trypsin	NT=Lys-C	LAP-E9QKK1
MCP_ky_0002047_CENPE_3	Homo sapiens	Mus musculus	not applicable	epithelial cell	HeLa	not applicable	3	MCP_ky_0002047	0	0	Label free	MCP_ky_0002047_0172_46_JBA.RAW	orbitrap	NT=Trypsin	NT=Lys-C	LAP-E9QKK1
MCP_ky_0002048_MAD2L1_1	Homo sapiens	Mus musculus	not applicable	epithelial cell	HeLa	not applicable	1	MCP_ky_0002048	0	0	Label free	MCP_ky_0002048_0121_22_JBA.RAW	orbitrap	NT=Trypsin	NT=Lys-C	LAP-Q9Z1B5
MCP_ky_0002048_MAD2L1_2	Homo sapiens	Mus musculus	not applicable	epithelial cell	HeLa	not applicable	2	MCP_ky_0002048	0	0	Label free	MCP_ky_0002048_0143_20_JBA.RAW	orbitrap	NT=Trypsin	NT=Lys-C	LAP-Q9Z1B5
MCP_ky_0002048_MAD2L1_3	Homo sapiens	Mus musculus	not applicable	epithelial cell	HeLa	not applicable	3	MCP_ky_0002048	0	0	Label free	MCP_ky_0002048_0145_02_JBA.RAW	orbitrap	NT=Trypsin	NT=Lys-C	LAP-Q9Z1B5
MCP_ky_0002050_TOR1AIP1_1	Homo sapiens	Mus musculus	not applicable	epithelial cell	HeLa	not applicable	1	MCP_ky_0002050	0	0	Label free	MCP_ky_0002050_0167_42_JBA.RAW	orbitrap	NT=Trypsin	NT=Lys-C	LAP-Q921T2
MCP_ky_0002050_TOR1AIP1_2	Homo sapiens	Mus musculus	not applicable	epithelial cell	HeLa	not applicable	2	MCP_ky_0002050	0	0	Label free	MCP_ky_0002050_0168_09_JBA.RAW	orbitrap	NT=Trypsin	NT=Lys-C	LAP-Q921T2
MCP_ky_0002050_TOR1AIP1_3	Homo sapiens	Mus musculus	not applicable	epithelial cell	HeLa	not applicable	3	MCP_ky_0002050	0	0	Label free	MCP_ky_0002050_0172_43_JBA.RAW	orbitrap	NT=Trypsin	NT=Lys-C	LAP-Q921T2
MCP_ky_0002051_ECT2_1	Homo sapiens	Mus musculus	not applicable	epithelial cell	HeLa	not applicable	1	MCP_ky_0002051	0	0	Label free	MCP_ky_0002051_0167_02_JBA.RAW	orbitrap	NT=Trypsin	NT=Lys-C	LAP-Q07139
MCP_ky_0002051_ECT2_2	Homo sapiens	Mus musculus	not applicable	epithelial cell	HeLa	not applicable	2	MCP_ky_0002051	0	0	Label free	MCP_ky_0002051_0168_18_JBA.RAW	orbitrap	NT=Trypsin	NT=Lys-C	LAP-Q07139
MCP_ky_0002051_ECT2_3	Homo sapiens	Mus musculus	not applicable	epithelial cell	HeLa	not applicable	3	MCP_ky_0002051	0	0	Label free	MCP_ky_0002051_0172_39_JBA.RAW	orbitrap	NT=Trypsin	NT=Lys-C	LAP-Q07139
MCP_ky_0002053_KIF1C_1	Homo sapiens	Mus musculus	not applicable	epithelial cell	HeLa	not applicable	1	MCP_ky_0002053	0	0	Label free	MCP_ky_0002053_0182_03_JBA.RAW	orbitrap	NT=Trypsin	NT=Lys-C	LAP-O35071
MCP_ky_0002053_KIF1C_2	Homo sapiens	Mus musculus	not applicable	epithelial cell	HeLa	not applicable	2	MCP_ky_0002053	0	0	Label free	MCP_ky_0002053_0187_43_JBA.RAW	orbitrap	NT=Trypsin	NT=Lys-C	LAP-O35071
MCP_ky_0002053_KIF1C_3	Homo sapiens	Mus musculus	not applicable	epithelial cell	HeLa	not applicable	3	MCP_ky_0002053	0	0	Label free	MCP_ky_0002053_0188_12_JBA.RAW	orbitrap	NT=Trypsin	NT=Lys-C	LAP-O35071
MCP_ky_0002055_SHOC2_1	Homo sapiens	Mus musculus	not applicable	epithelial cell	HeLa	not applicable	1	MCP_ky_0002055	0	0	Label free	MCP_ky_0002055_0167_03_JBA.RAW	orbitrap	NT=Trypsin	NT=Lys-C	LAP-O88520
MCP_ky_0002055_SHOC2_2	Homo sapiens	Mus musculus	not applicable	epithelial cell	HeLa	not applicable	2	MCP_ky_0002055	0	0	Label free	MCP_ky_0002055_0170_31_JBA.RAW	orbitrap	NT=Trypsin	NT=Lys-C	LAP-O88520
MCP_ky_0002055_SHOC2_3	Homo sapiens	Mus musculus	not applicable	epithelial cell	HeLa	not applicable	3	MCP_ky_0002055	0	0	Label free	MCP_ky_0002055_0171_13_JBA.RAW	orbitrap	NT=Trypsin	NT=Lys-C	LAP-O88520
MCP_ky_0002056_LCK_1	Homo sapiens	Mus musculus	not applicable	epithelial cell	HeLa	not applicable	1	MCP_ky_0002056	0	0	Label free	MCP_ky_0002056_0167_09_JBA.RAW	orbitrap	NT=Trypsin	NT=Lys-C	LAP-P06240
MCP_ky_0002056_LCK_2	Homo sapiens	Mus musculus	not applicable	epithelial cell	HeLa	not applicable	2	MCP_ky_0002056	0	0	Label free	MCP_ky_0002056_0168_02_JBA.RAW	orbitrap	NT=Trypsin	NT=Lys-C	LAP-P06240
