#fileformat=SDRF
#version=v1.1.0
#template=default
#template_version=v1.1.0
source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[disease]	characteristics[individual]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[proteomics data acquisition method]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]
SA121	Homo sapiens	not applicable	hESC	not applicable	not applicable	not applicable	not applicable	not applicable	3	F3.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-3.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-3.raw	3	TMT129N	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
wibj_2	Homo sapiens	not applicable	hiPSC	not applicable	not applicable	not applicable	not applicable	not applicable	4	F3.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-3.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-3.raw	3	TMT129C	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
SA181	Homo sapiens	not applicable	hESC	not applicable	not applicable	not applicable	not applicable	not applicable	4	F3.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-3.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-3.raw	3	TMT130N	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
blank	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	F3.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-3.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-3.raw	3	TMT130C	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
blank	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	F3.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-3.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-3.raw	3	TMT131N	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
bubh_3	Homo sapiens	not applicable	hiPSC	not applicable	not applicable	not applicable	not applicable	not applicable	1	F4.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-4.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-4.raw	4	TMT126	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
H01	Homo sapiens	not applicable	hESC	not applicable	not applicable	not applicable	not applicable	not applicable	1	F4.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-4.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-4.raw	4	TMT127N	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
kucg_2	Homo sapiens	not applicable	hiPSC	not applicable	not applicable	not applicable	not applicable	not applicable	2	F4.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-4.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-4.raw	4	TMT127C	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
H09	Homo sapiens	not applicable	hESC	not applicable	not applicable	not applicable	not applicable	not applicable	2	F4.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-4.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-4.raw	4	TMT128N	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
oaqd_3	Homo sapiens	not applicable	hiPSC	not applicable	not applicable	not applicable	not applicable	not applicable	3	F4.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-4.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-4.raw	4	TMT128C	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
SA121	Homo sapiens	not applicable	hESC	not applicable	not applicable	not applicable	not applicable	not applicable	3	F4.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-4.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-4.raw	4	TMT129N	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
wibj_2	Homo sapiens	not applicable	hiPSC	not applicable	not applicable	not applicable	not applicable	not applicable	4	F4.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-4.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-4.raw	4	TMT129C	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
SA181	Homo sapiens	not applicable	hESC	not applicable	not applicable	not applicable	not applicable	not applicable	4	F4.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-4.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-4.raw	4	TMT130N	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
blank	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	F4.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-4.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-4.raw	4	TMT130C	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
blank	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	F4.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-4.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-4.raw	4	TMT131N	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
bubh_3	Homo sapiens	not applicable	hiPSC	not applicable	not applicable	not applicable	not applicable	not applicable	1	F5.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-5.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-5.raw	5	TMT126	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
H01	Homo sapiens	not applicable	hESC	not applicable	not applicable	not applicable	not applicable	not applicable	1	F5.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-5.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-5.raw	5	TMT127N	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
kucg_2	Homo sapiens	not applicable	hiPSC	not applicable	not applicable	not applicable	not applicable	not applicable	2	F5.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-5.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-5.raw	5	TMT127C	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
H09	Homo sapiens	not applicable	hESC	not applicable	not applicable	not applicable	not applicable	not applicable	2	F5.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-5.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-5.raw	5	TMT128N	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
oaqd_3	Homo sapiens	not applicable	hiPSC	not applicable	not applicable	not applicable	not applicable	not applicable	3	F5.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-5.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-5.raw	5	TMT128C	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
SA121	Homo sapiens	not applicable	hESC	not applicable	not applicable	not applicable	not applicable	not applicable	3	F5.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-5.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-5.raw	5	TMT129N	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
wibj_2	Homo sapiens	not applicable	hiPSC	not applicable	not applicable	not applicable	not applicable	not applicable	4	F5.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-5.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-5.raw	5	TMT129C	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
SA181	Homo sapiens	not applicable	hESC	not applicable	not applicable	not applicable	not applicable	not applicable	4	F5.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-5.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-5.raw	5	TMT130N	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
blank	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	F5.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-5.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-5.raw	5	TMT130C	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
blank	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	F5.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-5.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-5.raw	5	TMT131N	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
bubh_3	Homo sapiens	not applicable	hiPSC	not applicable	not applicable	not applicable	not applicable	not applicable	1	F6.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-6.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-6.raw	6	TMT126	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
H01	Homo sapiens	not applicable	hESC	not applicable	not applicable	not applicable	not applicable	not applicable	1	F6.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-6.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-6.raw	6	TMT127N	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
kucg_2	Homo sapiens	not applicable	hiPSC	not applicable	not applicable	not applicable	not applicable	not applicable	2	F6.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-6.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-6.raw	6	TMT127C	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
H09	Homo sapiens	not applicable	hESC	not applicable	not applicable	not applicable	not applicable	not applicable	2	F6.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-6.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-6.raw	6	TMT128N	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
oaqd_3	Homo sapiens	not applicable	hiPSC	not applicable	not applicable	not applicable	not applicable	not applicable	3	F6.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-6.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-6.raw	6	TMT128C	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
SA121	Homo sapiens	not applicable	hESC	not applicable	not applicable	not applicable	not applicable	not applicable	3	F6.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-6.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-6.raw	6	TMT129N	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
wibj_2	Homo sapiens	not applicable	hiPSC	not applicable	not applicable	not applicable	not applicable	not applicable	4	F6.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-6.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-6.raw	6	TMT129C	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
SA181	Homo sapiens	not applicable	hESC	not applicable	not applicable	not applicable	not applicable	not applicable	4	F6.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-6.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-6.raw	6	TMT130N	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
blank	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	F6.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-6.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-6.raw	6	TMT130C	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
blank	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	F6.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-6.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-6.raw	6	TMT131N	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
bubh_3	Homo sapiens	not applicable	hiPSC	not applicable	not applicable	not applicable	not applicable	not applicable	1	F7.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-7.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-7.raw	7	TMT126	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
H01	Homo sapiens	not applicable	hESC	not applicable	not applicable	not applicable	not applicable	not applicable	1	F7.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-7.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-7.raw	7	TMT127N	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
kucg_2	Homo sapiens	not applicable	hiPSC	not applicable	not applicable	not applicable	not applicable	not applicable	2	F7.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-7.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-7.raw	7	TMT127C	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
H09	Homo sapiens	not applicable	hESC	not applicable	not applicable	not applicable	not applicable	not applicable	2	F7.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-7.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-7.raw	7	TMT128N	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
oaqd_3	Homo sapiens	not applicable	hiPSC	not applicable	not applicable	not applicable	not applicable	not applicable	3	F7.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-7.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-7.raw	7	TMT128C	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
SA121	Homo sapiens	not applicable	hESC	not applicable	not applicable	not applicable	not applicable	not applicable	3	F7.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-7.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-7.raw	7	TMT129N	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
wibj_2	Homo sapiens	not applicable	hiPSC	not applicable	not applicable	not applicable	not applicable	not applicable	4	F7.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-7.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-7.raw	7	TMT129C	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
SA181	Homo sapiens	not applicable	hESC	not applicable	not applicable	not applicable	not applicable	not applicable	4	F7.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-7.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-7.raw	7	TMT130N	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
