source name	characteristics[organism]	characteristics[organism part]	characteristics[age]	characteristics[sex]	characteristics[disease]	characteristics[individual]	characteristics[developmental stage]	characteristics[cell type]	characteristics[ancestry category]	characteristics[biological replicate]	material type	assay name	technology type	comment[label]	comment[instrument]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[file uri]	comment[data file]	factor value[organism part]
Sample 4	Homo sapiens	non-tumor contralateral breast tissues	not available	not available	Breast cancer	not available	not available	not available	not available	1	tissue	run 11	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	1	2	AC=MS:1000133;NT=CID	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;TA=M;MT=Variable	AC=UNIMOD:1;NT=Acetyl;PP=Protein N-term;MT=Variable	AC=UNIMOD:4;NT=Carbamidomethyl;TA=C;MT=Fixed	20 ppm	4.0 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD012431/P2_NCT_2.RAW	P2_NCT_2.RAW	non-tumor contralateral breast tissues
Sample 4	Homo sapiens	non-tumor contralateral breast tissues	not available	not available	Breast cancer	not available	not available	not available	not available	1	tissue	run 12	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	1	3	AC=MS:1000133;NT=CID	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;TA=M;MT=Variable	AC=UNIMOD:1;NT=Acetyl;PP=Protein N-term;MT=Variable	AC=UNIMOD:4;NT=Carbamidomethyl;TA=C;MT=Fixed	20 ppm	4.0 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD012431/P2_NCT_3.RAW	P2_NCT_3.RAW	non-tumor contralateral breast tissues
Sample 5	Homo sapiens	primary breast tumor tissues	not available	not available	Breast cancer	not available	not available	not available	not available	1	tissue	run 13	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	1	1	AC=MS:1000133;NT=CID	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;TA=M;MT=Variable	AC=UNIMOD:1;NT=Acetyl;PP=Protein N-term;MT=Variable	AC=UNIMOD:4;NT=Carbamidomethyl;TA=C;MT=Fixed	20 ppm	4.0 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD012431/P2_PT_1.RAW	P2_PT_1.RAW	primary breast tumor tissues
Sample 5	Homo sapiens	primary breast tumor tissues	not available	not available	Breast cancer	not available	not available	not available	not available	1	tissue	run 14	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	1	2	AC=MS:1000133;NT=CID	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;TA=M;MT=Variable	AC=UNIMOD:1;NT=Acetyl;PP=Protein N-term;MT=Variable	AC=UNIMOD:4;NT=Carbamidomethyl;TA=C;MT=Fixed	20 ppm	4.0 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD012431/P2_PT_2.RAW	P2_PT_2.RAW	primary breast tumor tissues
Sample 5	Homo sapiens	primary breast tumor tissues	not available	not available	Breast cancer	not available	not available	not available	not available	1	tissue	run 15	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	1	3	AC=MS:1000133;NT=CID	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;TA=M;MT=Variable	AC=UNIMOD:1;NT=Acetyl;PP=Protein N-term;MT=Variable	AC=UNIMOD:4;NT=Carbamidomethyl;TA=C;MT=Fixed	20 ppm	4.0 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD012431/P2_PT_3.RAW	P2_PT_3.RAW	primary breast tumor tissues
Sample 6	Homo sapiens	adjacent breast tissues	not available	not available	Breast cancer	not available	not available	not available	not available	1	tissue	run 16	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	1	1	AC=MS:1000133;NT=CID	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;TA=M;MT=Variable	AC=UNIMOD:1;NT=Acetyl;PP=Protein N-term;MT=Variable	AC=UNIMOD:4;NT=Carbamidomethyl;TA=C;MT=Fixed	20 ppm	4.0 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD012431/P3_ANT_1.RAW	P3_ANT_1.RAW	adjacent breast tissues
Sample 6	Homo sapiens	adjacent breast tissues	not available	not available	Breast cancer	not available	not available	not available	not available	1	tissue	run 17	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	1	2	AC=MS:1000133;NT=CID	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;TA=M;MT=Variable	AC=UNIMOD:1;NT=Acetyl;PP=Protein N-term;MT=Variable	AC=UNIMOD:4;NT=Carbamidomethyl;TA=C;MT=Fixed	20 ppm	4.0 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD012431/P3_ANT_2.RAW	P3_ANT_2.RAW	adjacent breast tissues
Sample 6	Homo sapiens	adjacent breast tissues	not available	not available	Breast cancer	not available	not available	not available	not available	1	tissue	run 18	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	1	3	AC=MS:1000133;NT=CID	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;TA=M;MT=Variable	AC=UNIMOD:1;NT=Acetyl;PP=Protein N-term;MT=Variable	AC=UNIMOD:4;NT=Carbamidomethyl;TA=C;MT=Fixed	20 ppm	4.0 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD012431/P3_ANT_3.RAW	P3_ANT_3.RAW	adjacent breast tissues
Sample 7	Homo sapiens	non-tumor contralateral breast tissues	not available	not available	Breast cancer	not available	not available	not available	not available	1	tissue	run 19	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	1	1	AC=MS:1000133;NT=CID	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;TA=M;MT=Variable	AC=UNIMOD:1;NT=Acetyl;PP=Protein N-term;MT=Variable	AC=UNIMOD:4;NT=Carbamidomethyl;TA=C;MT=Fixed	20 ppm	4.0 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD012431/P3_NCT_1.RAW	P3_NCT_1.RAW	non-tumor contralateral breast tissues
Sample 7	Homo sapiens	non-tumor contralateral breast tissues	not available	not available	Breast cancer	not available	not available	not available	not available	1	tissue	run 20	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	1	2	AC=MS:1000133;NT=CID	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;TA=M;MT=Variable	AC=UNIMOD:1;NT=Acetyl;PP=Protein N-term;MT=Variable	AC=UNIMOD:4;NT=Carbamidomethyl;TA=C;MT=Fixed	20 ppm	4.0 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD012431/P3_NCT_2.RAW	P3_NCT_2.RAW	non-tumor contralateral breast tissues
Sample 7	Homo sapiens	non-tumor contralateral breast tissues	not available	not available	Breast cancer	not available	not available	not available	not available	1	tissue	run 21	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	1	3	AC=MS:1000133;NT=CID	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;TA=M;MT=Variable	AC=UNIMOD:1;NT=Acetyl;PP=Protein N-term;MT=Variable	AC=UNIMOD:4;NT=Carbamidomethyl;TA=C;MT=Fixed	20 ppm	4.0 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD012431/P3_NCT_3.RAW	P3_NCT_3.RAW	non-tumor contralateral breast tissues
Sample 8	Homo sapiens	primary breast tumor tissues	not available	not available	Breast cancer	not available	not available	not available	not available	1	tissue	run 22	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	1	1	AC=MS:1000133;NT=CID	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;TA=M;MT=Variable	AC=UNIMOD:1;NT=Acetyl;PP=Protein N-term;MT=Variable	AC=UNIMOD:4;NT=Carbamidomethyl;TA=C;MT=Fixed	20 ppm	4.0 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD012431/P3_PT_1.RAW	P3_PT_1.RAW	primary breast tumor tissues
Sample 8	Homo sapiens	primary breast tumor tissues	not available	not available	Breast cancer	not available	not available	not available	not available	1	tissue	run 23	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	1	2	AC=MS:1000133;NT=CID	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;TA=M;MT=Variable	AC=UNIMOD:1;NT=Acetyl;PP=Protein N-term;MT=Variable	AC=UNIMOD:4;NT=Carbamidomethyl;TA=C;MT=Fixed	20 ppm	4.0 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD012431/P3_PT_2.RAW	P3_PT_2.RAW	primary breast tumor tissues
Sample 8	Homo sapiens	primary breast tumor tissues	not available	not available	Breast cancer	not available	not available	not available	not available	1	tissue	run 24	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	1	3	AC=MS:1000133;NT=CID	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;TA=M;MT=Variable	AC=UNIMOD:1;NT=Acetyl;PP=Protein N-term;MT=Variable	AC=UNIMOD:4;NT=Carbamidomethyl;TA=C;MT=Fixed	20 ppm	4.0 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD012431/P3_PT_3.RAW	P3_PT_3.RAW	primary breast tumor tissues
Sample 9	Homo sapiens	adjacent breast tissues	not available	not available	Breast cancer	not available	not available	not available	not available	1	tissue	run 25	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	1	1	AC=MS:1000133;NT=CID	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;TA=M;MT=Variable	AC=UNIMOD:1;NT=Acetyl;PP=Protein N-term;MT=Variable	AC=UNIMOD:4;NT=Carbamidomethyl;TA=C;MT=Fixed	20 ppm	4.0 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD012431/P4_ANT_1.RAW	P4_ANT_1.RAW	adjacent breast tissues
Sample 9	Homo sapiens	adjacent breast tissues	not available	not available	Breast cancer	not available	not available	not available	not available	1	tissue	run 26	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	1	2	AC=MS:1000133;NT=CID	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;TA=M;MT=Variable	AC=UNIMOD:1;NT=Acetyl;PP=Protein N-term;MT=Variable	AC=UNIMOD:4;NT=Carbamidomethyl;TA=C;MT=Fixed	20 ppm	4.0 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD012431/P4_ANT_2.RAW	P4_ANT_2.RAW	adjacent breast tissues
Sample 9	Homo sapiens	adjacent breast tissues	not available	not available	Breast cancer	not available	not available	not available	not available	1	tissue	run 27	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	1	3	AC=MS:1000133;NT=CID	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;TA=M;MT=Variable	AC=UNIMOD:1;NT=Acetyl;PP=Protein N-term;MT=Variable	AC=UNIMOD:4;NT=Carbamidomethyl;TA=C;MT=Fixed	20 ppm	4.0 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD012431/P4_ANT_3.RAW	P4_ANT_3.RAW	adjacent breast tissues
Sample 10	Homo sapiens	non-tumor contralateral breast tissues	not available	not available	Breast cancer	not available	not available	not available	not available	1	tissue	run 28	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	1	1	AC=MS:1000133;NT=CID	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;TA=M;MT=Variable	AC=UNIMOD:1;NT=Acetyl;PP=Protein N-term;MT=Variable	AC=UNIMOD:4;NT=Carbamidomethyl;TA=C;MT=Fixed	20 ppm	4.0 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD012431/P4_NCT_1.RAW	P4_NCT_1.RAW	non-tumor contralateral breast tissues
Sample 10	Homo sapiens	non-tumor contralateral breast tissues	not available	not available	Breast cancer	not available	not available	not available	not available	1	tissue	run 29	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	1	2	AC=MS:1000133;NT=CID	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;TA=M;MT=Variable	AC=UNIMOD:1;NT=Acetyl;PP=Protein N-term;MT=Variable	AC=UNIMOD:4;NT=Carbamidomethyl;TA=C;MT=Fixed	20 ppm	4.0 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD012431/P4_NCT_2.RAW	P4_NCT_2.RAW	non-tumor contralateral breast tissues
Sample 10	Homo sapiens	non-tumor contralateral breast tissues	not available	not available	Breast cancer	not available	not available	not available	not available	1	tissue	run 30	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	1	3	AC=MS:1000133;NT=CID	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;TA=M;MT=Variable	AC=UNIMOD:1;NT=Acetyl;PP=Protein N-term;MT=Variable	AC=UNIMOD:4;NT=Carbamidomethyl;TA=C;MT=Fixed	20 ppm	4.0 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD012431/P4_NCT_3.RAW	P4_NCT_3.RAW	non-tumor contralateral breast tissues
Sample 11	Homo sapiens	primary breast tumor tissues	not available	not available	Breast cancer	not available	not available	not available	not available	1	tissue	run 31	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	1	1	AC=MS:1000133;NT=CID	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;TA=M;MT=Variable	AC=UNIMOD:1;NT=Acetyl;PP=Protein N-term;MT=Variable	AC=UNIMOD:4;NT=Carbamidomethyl;TA=C;MT=Fixed	20 ppm	4.0 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD012431/P4_PT_1.RAW	P4_PT_1.RAW	primary breast tumor tissues
Sample 11	Homo sapiens	primary breast tumor tissues	not available	not available	Breast cancer	not available	not available	not available	not available	1	tissue	run 32	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	1	2	AC=MS:1000133;NT=CID	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;TA=M;MT=Variable	AC=UNIMOD:1;NT=Acetyl;PP=Protein N-term;MT=Variable	AC=UNIMOD:4;NT=Carbamidomethyl;TA=C;MT=Fixed	20 ppm	4.0 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD012431/P4_PT_2.RAW	P4_PT_2.RAW	primary breast tumor tissues
Sample 11	Homo sapiens	primary breast tumor tissues	not available	not available	Breast cancer	not available	not available	not available	not available	1	tissue	run 33	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	1	3	AC=MS:1000133;NT=CID	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;TA=M;MT=Variable	AC=UNIMOD:1;NT=Acetyl;PP=Protein N-term;MT=Variable	AC=UNIMOD:4;NT=Carbamidomethyl;TA=C;MT=Fixed	20 ppm	4.0 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD012431/P4_PT_3.RAW	P4_PT_3.RAW	primary breast tumor tissues
Sample 12	Homo sapiens	adjacent breast tissues	not available	not available	Breast cancer	not available	not available	not available	not available	1	tissue	run 34	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	1	1	AC=MS:1000133;NT=CID	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;TA=M;MT=Variable	AC=UNIMOD:1;NT=Acetyl;PP=Protein N-term;MT=Variable	AC=UNIMOD:4;NT=Carbamidomethyl;TA=C;MT=Fixed	20 ppm	4.0 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD012431/P5_ANT_1.RAW	P5_ANT_1.RAW	adjacent breast tissues
Sample 12	Homo sapiens	adjacent breast tissues	not available	not available	Breast cancer	not available	not available	not available	not available	1	tissue	run 35	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	1	2	AC=MS:1000133;NT=CID	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;TA=M;MT=Variable	AC=UNIMOD:1;NT=Acetyl;PP=Protein N-term;MT=Variable	AC=UNIMOD:4;NT=Carbamidomethyl;TA=C;MT=Fixed	20 ppm	4.0 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD012431/P5_ANT_2.RAW	P5_ANT_2.RAW	adjacent breast tissues
Sample 12	Homo sapiens	adjacent breast tissues	not available	not available	Breast cancer	not available	not available	not available	not available	1	tissue	run 36	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	1	3	AC=MS:1000133;NT=CID	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;TA=M;MT=Variable	AC=UNIMOD:1;NT=Acetyl;PP=Protein N-term;MT=Variable	AC=UNIMOD:4;NT=Carbamidomethyl;TA=C;MT=Fixed	20 ppm	4.0 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD012431/P5_ANT_3.RAW	P5_ANT_3.RAW	adjacent breast tissues
Sample 13	Homo sapiens	axillary metastatic lymph nodes tissues	not available	not available	Breast cancer	not available	not available	not available	not available	1	tissue	run 37	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	1	1	AC=MS:1000133;NT=CID	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;TA=M;MT=Variable	AC=UNIMOD:1;NT=Acetyl;PP=Protein N-term;MT=Variable	AC=UNIMOD:4;NT=Carbamidomethyl;TA=C;MT=Fixed	20 ppm	4.0 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD012431/P5_LN_1.RAW	P5_LN_1.RAW	axillary metastatic lymph nodes tissues
