source name	characteristics[organism]	characteristics[organism part]	characteristics[developmental stage]	characteristics[disease]	characteristics[sex]	characteristics[age]	characteristics[cell type]	characteristics[cell line]	characteristics[infect]	characteristics[multiplicities of infection]	characteristics[biological replicate]	characteristics[time]	characteristics[multiplicities of infection]	material type	assay name	technology type	comment[label]	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[time]	factor value[multiplicities of infection]
Sample 11	Chlorocebus sabaeus	kidney	not available	normal	not available	not available	epithelial	Vero E6	Severe acute respiratory syndrome coronavirus 2	0	1	1 day	0.01	cell	run 11	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	Q10461_MS20-17_CoV2_J1(MOI-01)r.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD018594/Q10461_MS20-17_CoV2_J1(MOI-01)r.raw	1	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=variable"	5 ppm	0.02 Da	1 day	0.01
Sample 12	Chlorocebus sabaeus	kidney	not available	normal	not available	not available	epithelial	Vero E6	Severe acute respiratory syndrome coronavirus 2	0	1	2 day	0.001	cell	run 12	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	Q10462_MS20-17_CoV2_J1(MOI-001)r.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD018594/Q10462_MS20-17_CoV2_J1(MOI-001)r.raw	1	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=variable"	5 ppm	0.02 Da	2 day	0.001
Sample 13	Chlorocebus sabaeus	kidney	not available	normal	not available	not available	epithelial	Vero E6	Severe acute respiratory syndrome coronavirus 2	0	1	2 days	0.01	cell	run 13	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	Q10463_MS20-17_CoV2_J2(MOI-01)r.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD018594/Q10463_MS20-17_CoV2_J2(MOI-01)r.raw	1	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=variable"	5 ppm	0.02 Da	2 days	0.01
Sample 14	Chlorocebus sabaeus	kidney	not available	normal	not available	not available	epithelial	Vero E6	Severe acute respiratory syndrome coronavirus 2	0	1	2 days	0.001	cell	run 14	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	Q10464_MS20-17_CoV2_J2(MOI-001)r.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD018594/Q10464_MS20-17_CoV2_J2(MOI-001)r.raw	1	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=variable"	5 ppm	0.02 Da	2 days	0.001
Sample 15	Chlorocebus sabaeus	kidney	not available	normal	not available	not available	epithelial	Vero E6	Severe acute respiratory syndrome coronavirus 2	0	1	3 days	0.01	cell	run 15	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	Q10465_MS20-17_CoV2_J3(MOI-01)r.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD018594/Q10465_MS20-17_CoV2_J3(MOI-01)r.raw	1	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=variable"	5 ppm	0.02 Da	3 days	0.01
Sample 16	Chlorocebus sabaeus	kidney	not available	normal	not available	not available	epithelial	Vero E6	Severe acute respiratory syndrome coronavirus 2	0	1	3 days	0.001	cell	run 16	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	Q10466_MS20-17_CoV2_J3(MOI-001)r.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD018594/Q10466_MS20-17_CoV2_J3(MOI-001)r.raw	1	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=variable"	5 ppm	0.02 Da	3 days	0.001
Sample 17	Chlorocebus sabaeus	kidney	not available	normal	not available	not available	epithelial	Vero E6	Severe acute respiratory syndrome coronavirus 2	0	1	4 days	0.01	cell	run 17	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	Q10467_MS20-17_CoV2_J4(MOI-01)r.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD018594/Q10467_MS20-17_CoV2_J4(MOI-01)r.raw	1	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=variable"	5 ppm	0.02 Da	4 days	0.01
Sample 18	Chlorocebus sabaeus	kidney	not available	normal	not available	not available	epithelial	Vero E6	Severe acute respiratory syndrome coronavirus 2	0	1	4 days	0.001	cell	run 18	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	Q10468_MS20-17_CoV2_J4(MOI-001)r.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD018594/Q10468_MS20-17_CoV2_J4(MOI-001)r.raw	1	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=variable"	5 ppm	0.02 Da	4 days	0.001
Sample 19	Chlorocebus sabaeus	kidney	not available	normal	not available	not available	epithelial	Vero E6	Severe acute respiratory syndrome coronavirus 2	0	1	7 days	0.01	cell	run 19	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	Q10469_MS20-17_CoV2_J7(MOI-01)r.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD018594/Q10469_MS20-17_CoV2_J7(MOI-01)r.raw	1	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=variable"	5 ppm	0.02 Da	7 days	0.01
Sample 20	Chlorocebus sabaeus	kidney	not available	normal	not available	not available	epithelial	Vero E6	Severe acute respiratory syndrome coronavirus 2	0	1	7 days	0.001	cell	run 20	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	Q10470_MS20-17_CoV2_J7(MOI-001)r.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD018594/Q10470_MS20-17_CoV2_J7(MOI-001)r.raw	1	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=variable"	5 ppm	0.02 Da	7 days	0.001
