source name	characteristics[organism]	characteristics[organism part]	characteristics[cell line]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[disease]	characteristics[cell type]	characteristics[developmental stage]	characteristics[individual]	characteristics[biological replicate]	assay name	comment[file uri]	comment[fractionation method]	comment[fraction identifier]	comment[cleavage agent details]	comment [cleavage agent details]	comment[instrument]	comment[separation]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[label]	comment[dissociation method]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[data file]	Material Type
Sample 1	Homo sapiens	not applicable	HeLa	Black	31Y	Female	epithelial cervix carcinoma	epithelial	adult	not available	not available	run 11	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD004452/20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_11.raw	AC=PRIDE:0000564; NT=High-pH reversed-phase chromatography	11	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=Glu->pyro-Glu; MT=Variable; PP=Anywhere; AC=UNIMOD:27; TA=Q	not available	not available	not available	AC=MS:1002038;NT=label free sample	AC=MS:1000422;NT=HCD	not available	not available	20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_11.raw	cell line
Sample 1	Homo sapiens	not applicable	HeLa	Black	31Y	Female	epithelial cervix carcinoma	epithelial	adult	not available	not available	run 12	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD004452/20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_12.raw	AC=PRIDE:0000564; NT=High-pH reversed-phase chromatography	12	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=Glu->pyro-Glu; MT=Variable; PP=Anywhere; AC=UNIMOD:27; TA=Q	not available	not available	not available	AC=MS:1002038;NT=label free sample	AC=MS:1000422;NT=HCD	not available	not available	20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_12.raw	cell line
Sample 1	Homo sapiens	not applicable	HeLa	Black	31Y	Female	epithelial cervix carcinoma	epithelial	adult	not available	not available	run 13	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD004452/20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_13.raw	AC=PRIDE:0000564; NT=High-pH reversed-phase chromatography	13	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=Glu->pyro-Glu; MT=Variable; PP=Anywhere; AC=UNIMOD:27; TA=Q	not available	not available	not available	AC=MS:1002038;NT=label free sample	AC=MS:1000422;NT=HCD	not available	not available	20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_13.raw	cell line
Sample 1	Homo sapiens	not applicable	HeLa	Black	31Y	Female	epithelial cervix carcinoma	epithelial	adult	not available	not available	run 14	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD004452/20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_14.raw	AC=PRIDE:0000564; NT=High-pH reversed-phase chromatography	14	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=Glu->pyro-Glu; MT=Variable; PP=Anywhere; AC=UNIMOD:27; TA=Q	not available	not available	not available	AC=MS:1002038;NT=label free sample	AC=MS:1000422;NT=HCD	not available	not available	20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_14.raw	cell line
Sample 1	Homo sapiens	not applicable	HeLa	Black	31Y	Female	epithelial cervix carcinoma	epithelial	adult	not available	not available	run 15	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD004452/20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_15.raw	AC=PRIDE:0000564; NT=High-pH reversed-phase chromatography	15	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=Glu->pyro-Glu; MT=Variable; PP=Anywhere; AC=UNIMOD:27; TA=Q	not available	not available	not available	AC=MS:1002038;NT=label free sample	AC=MS:1000422;NT=HCD	not available	not available	20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_15.raw	cell line
Sample 1	Homo sapiens	not applicable	HeLa	Black	31Y	Female	epithelial cervix carcinoma	epithelial	adult	not available	not available	run 16	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD004452/20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_16.raw	AC=PRIDE:0000564; NT=High-pH reversed-phase chromatography	16	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=Glu->pyro-Glu; MT=Variable; PP=Anywhere; AC=UNIMOD:27; TA=Q	not available	not available	not available	AC=MS:1002038;NT=label free sample	AC=MS:1000422;NT=HCD	not available	not available	20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_16.raw	cell line
Sample 1	Homo sapiens	not applicable	HeLa	Black	31Y	Female	epithelial cervix carcinoma	epithelial	adult	not available	not available	run 17	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD004452/20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_17.raw	AC=PRIDE:0000564; NT=High-pH reversed-phase chromatography	17	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=Glu->pyro-Glu; MT=Variable; PP=Anywhere; AC=UNIMOD:27; TA=Q	not available	not available	not available	AC=MS:1002038;NT=label free sample	AC=MS:1000422;NT=HCD	not available	not available	20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_17.raw	cell line
Sample 1	Homo sapiens	not applicable	HeLa	Black	31Y	Female	epithelial cervix carcinoma	epithelial	adult	not available	not available	run 18	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD004452/20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_18.raw	AC=PRIDE:0000564; NT=High-pH reversed-phase chromatography	18	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=Glu->pyro-Glu; MT=Variable; PP=Anywhere; AC=UNIMOD:27; TA=Q	not available	not available	not available	AC=MS:1002038;NT=label free sample	AC=MS:1000422;NT=HCD	not available	not available	20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_18.raw	cell line
Sample 1	Homo sapiens	not applicable	HeLa	Black	31Y	Female	epithelial cervix carcinoma	epithelial	adult	not available	not available	run 19	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD004452/20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_19.raw	AC=PRIDE:0000564; NT=High-pH reversed-phase chromatography	19	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=Glu->pyro-Glu; MT=Variable; PP=Anywhere; AC=UNIMOD:27; TA=Q	not available	not available	not available	AC=MS:1002038;NT=label free sample	AC=MS:1000422;NT=HCD	not available	not available	20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_19.raw	cell line
Sample 1	Homo sapiens	not applicable	HeLa	Black	31Y	Female	epithelial cervix carcinoma	epithelial	adult	not available	not available	run 20	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD004452/20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_20.raw	AC=PRIDE:0000564; NT=High-pH reversed-phase chromatography	20	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=Glu->pyro-Glu; MT=Variable; PP=Anywhere; AC=UNIMOD:27; TA=Q	not available	not available	not available	AC=MS:1002038;NT=label free sample	AC=MS:1000422;NT=HCD	not available	not available	20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_20.raw	cell line
Sample 1	Homo sapiens	not applicable	HeLa	Black	31Y	Female	epithelial cervix carcinoma	epithelial	adult	not available	not available	run 21	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD004452/20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_21.raw	AC=PRIDE:0000564; NT=High-pH reversed-phase chromatography	21	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=Glu->pyro-Glu; MT=Variable; PP=Anywhere; AC=UNIMOD:27; TA=Q	not available	not available	not available	AC=MS:1002038;NT=label free sample	AC=MS:1000422;NT=HCD	not available	not available	20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_21.raw	cell line
Sample 1	Homo sapiens	not applicable	HeLa	Black	31Y	Female	epithelial cervix carcinoma	epithelial	adult	not available	not available	run 22	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD004452/20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_22.raw	AC=PRIDE:0000564; NT=High-pH reversed-phase chromatography	22	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=Glu->pyro-Glu; MT=Variable; PP=Anywhere; AC=UNIMOD:27; TA=Q	not available	not available	not available	AC=MS:1002038;NT=label free sample	AC=MS:1000422;NT=HCD	not available	not available	20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_22.raw	cell line
Sample 1	Homo sapiens	not applicable	HeLa	Black	31Y	Female	epithelial cervix carcinoma	epithelial	adult	not available	not available	run 23	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD004452/20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_23.raw	AC=PRIDE:0000564; NT=High-pH reversed-phase chromatography	23	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=Glu->pyro-Glu; MT=Variable; PP=Anywhere; AC=UNIMOD:27; TA=Q	not available	not available	not available	AC=MS:1002038;NT=label free sample	AC=MS:1000422;NT=HCD	not available	not available	20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_23.raw	cell line
Sample 1	Homo sapiens	not applicable	HeLa	Black	31Y	Female	epithelial cervix carcinoma	epithelial	adult	not available	not available	run 24	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD004452/20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_24.raw	AC=PRIDE:0000564; NT=High-pH reversed-phase chromatography	24	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=Glu->pyro-Glu; MT=Variable; PP=Anywhere; AC=UNIMOD:27; TA=Q	not available	not available	not available	AC=MS:1002038;NT=label free sample	AC=MS:1000422;NT=HCD	not available	not available	20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_24.raw	cell line
Sample 1	Homo sapiens	not applicable	HeLa	Black	31Y	Female	epithelial cervix carcinoma	epithelial	adult	not available	not available	run 25	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD004452/20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_25.raw	AC=PRIDE:0000564; NT=High-pH reversed-phase chromatography	25	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=Glu->pyro-Glu; MT=Variable; PP=Anywhere; AC=UNIMOD:27; TA=Q	not available	not available	not available	AC=MS:1002038;NT=label free sample	AC=MS:1000422;NT=HCD	not available	not available	20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_25.raw	cell line
