source name	assay name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[disease]	characteristics[developmental stage]	characteristics[individual]	comment[proteomexchange accession number]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[instrument]	comment[modification parameters]	comment[cleavage agent details]	material type	comment[label]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[biological replicate]	comment[technical replicate]	factor value[protocol]	factor value[staining]
Sample 1	run 11	mus musculus	kidney	not applicable	not applicable	6 month	male	not available	not available	1	PXD006401	11_FASP30k_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/08/PXD006401/11_FASP30k_3.raw	1	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	Formalin-fixed paraffin-embedded tissue	AC=MS:1002038;NT=label free sample	20 ppm	4.5 ppm	mouse 1	11	FASP 30k	unstained
Sample 1	run 12	mus musculus	kidney	not applicable	not applicable	6 month	male	not available	not available	1	PXD006401	12_FASP30k_4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/08/PXD006401/12_FASP30k_4.raw	1	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	Formalin-fixed paraffin-embedded tissue	AC=MS:1002038;NT=label free sample	20 ppm	4.5 ppm	mouse 1	12	FASP 30k	unstained
Sample 2	run 13	homo sapiens	tonsil	not applicable	not available	not available	not available	not available	not available	2	PXD006401	1_HE1_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/08/PXD006401/1_HE1_1.raw	1	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	Formalin-fixed paraffin-embedded tissue	AC=MS:1002038;NT=label free sample	20 ppm	4.5 ppm	human 1	1	DTR	H&E
Sample 2	run 14	homo sapiens	tonsil	not applicable	not available	not available	not available	not available	not available	2	PXD006401	2_HE1_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/08/PXD006401/2_HE1_2.raw	1	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	Formalin-fixed paraffin-embedded tissue	AC=MS:1002038;NT=label free sample	20 ppm	4.5 ppm	human 1	2	DTR	H&E
Sample 3	run 15	homo sapiens	tonsil	not applicable	not available	not available	not available	not available	not available	3	PXD006401	9_HE2_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/08/PXD006401/9_HE2_1.raw	1	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	Formalin-fixed paraffin-embedded tissue	AC=MS:1002038;NT=label free sample	20 ppm	4.5 ppm	human 2	1	DTR	H&E
Sample 3	run 16	homo sapiens	tonsil	not applicable	not available	not available	not available	not available	not available	3	PXD006401	10_HE2_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/08/PXD006401/10_HE2_2.raw	1	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	Formalin-fixed paraffin-embedded tissue	AC=MS:1002038;NT=label free sample	20 ppm	4.5 ppm	human 2	2	DTR	H&E
Sample 4	run 17	homo sapiens	tonsil	not applicable	not available	not available	not available	not available	not available	2	PXD006401	3_hematoxylin1_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/08/PXD006401/3_hematoxylin1_1.raw	1	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	Formalin-fixed paraffin-embedded tissue	AC=MS:1002038;NT=label free sample	20 ppm	4.5 ppm	human 1	1	DTR	hematoxylin
Sample 4	run 18	homo sapiens	tonsil	not applicable	not available	not available	not available	not available	not available	2	PXD006401	4_hematoxylin1_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/08/PXD006401/4_hematoxylin1_2.raw	1	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	Formalin-fixed paraffin-embedded tissue	AC=MS:1002038;NT=label free sample	20 ppm	4.5 ppm	human 1	2	DTR	hematoxylin
Sample 5	run 19	homo sapiens	tonsil	not applicable	not available	not available	not available	not available	not available	3	PXD006401	11_hematoxylin2_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/08/PXD006401/11_hematoxylin2_1.raw	1	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	Formalin-fixed paraffin-embedded tissue	AC=MS:1002038;NT=label free sample	20 ppm	4.5 ppm	human 2	1	DTR	hematoxylin
Sample 5	run 20	homo sapiens	tonsil	not applicable	not available	not available	not available	not available	not available	3	PXD006401	12_hematoxylin2_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/08/PXD006401/12_hematoxylin2_2.raw	1	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	Formalin-fixed paraffin-embedded tissue	AC=MS:1002038;NT=label free sample	20 ppm	4.5 ppm	human 2	2	DTR	hematoxylin
Sample 6	run 21	homo sapiens	tonsil	not applicable	not available	not available	not available	not available	not available	2	PXD006401	5_hemalaun1_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/08/PXD006401/5_hemalaun1_1.raw	1	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	Formalin-fixed paraffin-embedded tissue	AC=MS:1002038;NT=label free sample	20 ppm	4.5 ppm	human 1	1	DTR	hemalum
Sample 6	run 22	homo sapiens	tonsil	not applicable	not available	not available	not available	not available	not available	2	PXD006401	6_hemalaun1_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/08/PXD006401/6_hemalaun1_2.raw	1	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	Formalin-fixed paraffin-embedded tissue	AC=MS:1002038;NT=label free sample	20 ppm	4.5 ppm	human 1	2	DTR	hemalum
Sample 7	run 23	homo sapiens	tonsil	not applicable	not available	not available	not available	not available	not available	3	PXD006401	13_hemalaun2_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/08/PXD006401/13_hemalaun2_1.raw	1	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	Formalin-fixed paraffin-embedded tissue	AC=MS:1002038;NT=label free sample	20 ppm	4.5 ppm	human 2	1	DTR	hemalum
Sample 7	run 24	homo sapiens	tonsil	not applicable	not available	not available	not available	not available	not available	3	PXD006401	14_hemalaun2_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/08/PXD006401/14_hemalaun2_2.raw	1	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	Formalin-fixed paraffin-embedded tissue	AC=MS:1002038;NT=label free sample	20 ppm	4.5 ppm	human 2	2	DTR	hemalum
Sample 8	run 25	homo sapiens	tonsil	not applicable	not available	not available	not available	not available	not available	2	PXD006401	7_unstained1_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/08/PXD006401/7_unstained1_1.raw	1	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	Formalin-fixed paraffin-embedded tissue	AC=MS:1002038;NT=label free sample	20 ppm	4.5 ppm	human 1	1	DTR	unstained
Sample 8	run 26	homo sapiens	tonsil	not applicable	not available	not available	not available	not available	not available	2	PXD006401	8_unstained1_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/08/PXD006401/8_unstained1_2.raw	1	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	Formalin-fixed paraffin-embedded tissue	AC=MS:1002038;NT=label free sample	20 ppm	4.5 ppm	human 1	2	DTR	unstained
Sample 9	run 27	homo sapiens	tonsil	not applicable	not available	not available	not available	not available	not available	3	PXD006401	15_unstained2_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/08/PXD006401/15_unstained2_1.raw	1	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	Formalin-fixed paraffin-embedded tissue	AC=MS:1002038;NT=label free sample	20 ppm	4.5 ppm	human 2	1	DTR	unstained
Sample 9	run 28	homo sapiens	tonsil	not applicable	not available	not available	not available	not available	not available	3	PXD006401	16_unstained2_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/08/PXD006401/16_unstained2_2.raw	1	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	Formalin-fixed paraffin-embedded tissue	AC=MS:1002038;NT=label free sample	20 ppm	4.5 ppm	human 2	2	DTR	unstained
