source name	material type	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[disease]	characteristics[protocol]	characteristics[staining]	characteristics[developmental stage]	characteristics[biological replicate]	characteristics[individual]	assay name	technology type	comment[proteomexchange accession number]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[instrument]	comment[modification parameters]	comment[cleavage agent details]	comment[label]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[technical replicate]	factor value[protocol]	factor value[staining]
Sample 1	Formalin-fixed paraffin-embedded tissue	mus musculus	kidney	not applicable	not applicable	6 month	male	not available	FASP 30k	unstained	not available	mouse 1	1	run 11	proteomic profiling by mass spectrometry	PXD006401	11_FASP30k_3.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/08/PXD006401/11_FASP30k_3.raw	1	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	20 ppm	4.5 ppm	11	FASP 30k	unstained
Sample 1	Formalin-fixed paraffin-embedded tissue	mus musculus	kidney	not applicable	not applicable	6 month	male	not available	FASP 30k	unstained	not available	mouse 1	1	run 12	proteomic profiling by mass spectrometry	PXD006401	12_FASP30k_4.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/08/PXD006401/12_FASP30k_4.raw	1	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	20 ppm	4.5 ppm	12	FASP 30k	unstained
Sample 2	Formalin-fixed paraffin-embedded tissue	homo sapiens	tonsil	not applicable	not available	not available	not available	not available	DTR	H&E	not available	human 1	2	run 13	proteomic profiling by mass spectrometry	PXD006401	1_HE1_1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/08/PXD006401/1_HE1_1.raw	1	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	20 ppm	4.5 ppm	1	DTR	H&E
Sample 2	Formalin-fixed paraffin-embedded tissue	homo sapiens	tonsil	not applicable	not available	not available	not available	not available	DTR	H&E	not available	human 1	2	run 14	proteomic profiling by mass spectrometry	PXD006401	2_HE1_2.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/08/PXD006401/2_HE1_2.raw	1	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	20 ppm	4.5 ppm	2	DTR	H&E
Sample 3	Formalin-fixed paraffin-embedded tissue	homo sapiens	tonsil	not applicable	not available	not available	not available	not available	DTR	H&E	not available	human 2	3	run 15	proteomic profiling by mass spectrometry	PXD006401	9_HE2_1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/08/PXD006401/9_HE2_1.raw	1	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	20 ppm	4.5 ppm	1	DTR	H&E
Sample 3	Formalin-fixed paraffin-embedded tissue	homo sapiens	tonsil	not applicable	not available	not available	not available	not available	DTR	H&E	not available	human 2	3	run 16	proteomic profiling by mass spectrometry	PXD006401	10_HE2_2.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/08/PXD006401/10_HE2_2.raw	1	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	20 ppm	4.5 ppm	2	DTR	H&E
Sample 4	Formalin-fixed paraffin-embedded tissue	homo sapiens	tonsil	not applicable	not available	not available	not available	not available	DTR	hematoxylin	not available	human 1	2	run 17	proteomic profiling by mass spectrometry	PXD006401	3_hematoxylin1_1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/08/PXD006401/3_hematoxylin1_1.raw	1	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	20 ppm	4.5 ppm	1	DTR	hematoxylin
Sample 4	Formalin-fixed paraffin-embedded tissue	homo sapiens	tonsil	not applicable	not available	not available	not available	not available	DTR	hematoxylin	not available	human 1	2	run 18	proteomic profiling by mass spectrometry	PXD006401	4_hematoxylin1_2.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/08/PXD006401/4_hematoxylin1_2.raw	1	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	20 ppm	4.5 ppm	2	DTR	hematoxylin
Sample 5	Formalin-fixed paraffin-embedded tissue	homo sapiens	tonsil	not applicable	not available	not available	not available	not available	DTR	hematoxylin	not available	human 2	3	run 19	proteomic profiling by mass spectrometry	PXD006401	11_hematoxylin2_1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/08/PXD006401/11_hematoxylin2_1.raw	1	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	20 ppm	4.5 ppm	1	DTR	hematoxylin
Sample 5	Formalin-fixed paraffin-embedded tissue	homo sapiens	tonsil	not applicable	not available	not available	not available	not available	DTR	hematoxylin	not available	human 2	3	run 20	proteomic profiling by mass spectrometry	PXD006401	12_hematoxylin2_2.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/08/PXD006401/12_hematoxylin2_2.raw	1	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	20 ppm	4.5 ppm	2	DTR	hematoxylin
Sample 6	Formalin-fixed paraffin-embedded tissue	homo sapiens	tonsil	not applicable	not available	not available	not available	not available	DTR	hemalum	not available	human 1	2	run 21	proteomic profiling by mass spectrometry	PXD006401	5_hemalaun1_1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/08/PXD006401/5_hemalaun1_1.raw	1	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	20 ppm	4.5 ppm	1	DTR	hemalum
Sample 6	Formalin-fixed paraffin-embedded tissue	homo sapiens	tonsil	not applicable	not available	not available	not available	not available	DTR	hemalum	not available	human 1	2	run 22	proteomic profiling by mass spectrometry	PXD006401	6_hemalaun1_2.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/08/PXD006401/6_hemalaun1_2.raw	1	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	20 ppm	4.5 ppm	2	DTR	hemalum
Sample 7	Formalin-fixed paraffin-embedded tissue	homo sapiens	tonsil	not applicable	not available	not available	not available	not available	DTR	hemalum	not available	human 2	3	run 23	proteomic profiling by mass spectrometry	PXD006401	13_hemalaun2_1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/08/PXD006401/13_hemalaun2_1.raw	1	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	20 ppm	4.5 ppm	1	DTR	hemalum
Sample 7	Formalin-fixed paraffin-embedded tissue	homo sapiens	tonsil	not applicable	not available	not available	not available	not available	DTR	hemalum	not available	human 2	3	run 24	proteomic profiling by mass spectrometry	PXD006401	14_hemalaun2_2.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/08/PXD006401/14_hemalaun2_2.raw	1	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	20 ppm	4.5 ppm	2	DTR	hemalum
Sample 8	Formalin-fixed paraffin-embedded tissue	homo sapiens	tonsil	not applicable	not available	not available	not available	not available	DTR	unstained	not available	human 1	2	run 25	proteomic profiling by mass spectrometry	PXD006401	7_unstained1_1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/08/PXD006401/7_unstained1_1.raw	1	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	20 ppm	4.5 ppm	1	DTR	unstained
Sample 8	Formalin-fixed paraffin-embedded tissue	homo sapiens	tonsil	not applicable	not available	not available	not available	not available	DTR	unstained	not available	human 1	2	run 26	proteomic profiling by mass spectrometry	PXD006401	8_unstained1_2.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/08/PXD006401/8_unstained1_2.raw	1	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	20 ppm	4.5 ppm	2	DTR	unstained
Sample 9	Formalin-fixed paraffin-embedded tissue	homo sapiens	tonsil	not applicable	not available	not available	not available	not available	DTR	unstained	not available	human 2	3	run 27	proteomic profiling by mass spectrometry	PXD006401	15_unstained2_1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/08/PXD006401/15_unstained2_1.raw	1	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	20 ppm	4.5 ppm	1	DTR	unstained
Sample 9	Formalin-fixed paraffin-embedded tissue	homo sapiens	tonsil	not applicable	not available	not available	not available	not available	DTR	unstained	not available	human 2	3	run 28	proteomic profiling by mass spectrometry	PXD006401	16_unstained2_2.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/08/PXD006401/16_unstained2_2.raw	1	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	20 ppm	4.5 ppm	2	DTR	unstained
