Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[age]	Characteristics[developmental stage]	Characteristics[sex]	Characteristics[ancestry category]	Characteristics[cell type]	Characteristics[cell line]	Characteristics[disease]	Characteristics[individual]	assay name	comment[data file]	comment[file uri]	comment[proteomics data acquisition method]	comment[fractionation method]	comment[fraction identifier]	comment[label]	comment[technical replicate]	comment[cleavage agent details]	comment[cleavage agent details]	comment[ms2 mass analyzer]	comment[instrument]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	Material Type
mixed_0 heart	Homo sapiens	left ventricular	not available	not available	not available	not available	not available	not applicable	heart failure	not applicable	run 11	20181116_QEHFX3_BP_RSLCcap_hHeart_DDA_11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD018678/20181116_QEHFX3_BP_RSLCcap_hHeart_DDA_11.raw	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=High-performance liquid chromatography;AC=PRIDE:0000565	11	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not available	NT=Q Exactive HF-X;AC=MS:1002877	not available	AC=MS:1000422;NT=HCD	27 NCE	not available	not available	tissue
mixed_0 heart	Homo sapiens	left ventricular	not available	not available	not available	not available	not available	not applicable	heart failure	not applicable	run 12	20181116_QEHFX3_BP_RSLCcap_hHeart_DDA_12.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD018678/20181116_QEHFX3_BP_RSLCcap_hHeart_DDA_12.raw	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=High-performance liquid chromatography;AC=PRIDE:0000565	12	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not available	NT=Q Exactive HF-X;AC=MS:1002877	not available	AC=MS:1000422;NT=HCD	27 NCE	not available	not available	tissue
mixed_1 heart	Homo sapiens	left ventricular	not available	not available	not available	not available	not available	not applicable	heart failure	not applicable	run 13	20181116_QEHFX3_BP_RSLCcap_hHeart_DIA_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD018678/20181116_QEHFX3_BP_RSLCcap_hHeart_DIA_1.raw	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	not applicable	1	NT=Trypsin; AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not available	NT=Q Exactive HF-X;AC=MS:1002877	not available	AC=MS:1000422;NT=HCD	27 NCE	not available	not available	tissue
mixed_1 heart	Homo sapiens	left ventricular	not available	not available	not available	not available	not available	not applicable	heart failure	not applicable	run 14	20181116_QEHFX3_BP_RSLCcap_hHeart_DIA_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD018678/20181116_QEHFX3_BP_RSLCcap_hHeart_DIA_3.raw	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=High-performance liquid chromatography;AC=PRIDE:0000565	3	not applicable	1	NT=Trypsin; AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not available	NT=Q Exactive HF-X;AC=MS:1002877	not available	AC=MS:1000422;NT=HCD	27 NCE	not available	not available	tissue
mixed_1 heart	Homo sapiens	left ventricular	not available	not available	not available	not available	not available	not applicable	heart failure	not applicable	run 15	20181116_QEHFX3_BP_RSLCcap_hHeart_DIA_4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD018678/20181116_QEHFX3_BP_RSLCcap_hHeart_DIA_4.raw	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=High-performance liquid chromatography;AC=PRIDE:0000565	4	not applicable	1	NT=Trypsin; AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not available	NT=Q Exactive HF-X;AC=MS:1002877	not available	AC=MS:1000422;NT=HCD	27 NCE	not available	not available	tissue
mixed_1 heart	Homo sapiens	left ventricular	not available	not available	not available	not available	not available	not applicable	heart failure	not applicable	run 16	20181116_QEHFX3_BP_RSLCcap_hHeart_DIA_5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD018678/20181116_QEHFX3_BP_RSLCcap_hHeart_DIA_5.raw	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=High-performance liquid chromatography;AC=PRIDE:0000565	5	not applicable	1	NT=Trypsin; AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not available	NT=Q Exactive HF-X;AC=MS:1002877	not available	AC=MS:1000422;NT=HCD	27 NCE	not available	not available	tissue
mixed_1 heart	Homo sapiens	left ventricular	not available	not available	not available	not available	not available	not applicable	heart failure	not applicable	run 17	20181116_QEHFX3_BP_RSLCcap_hHeart_DIA_7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD018678/20181116_QEHFX3_BP_RSLCcap_hHeart_DIA_7.raw	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=High-performance liquid chromatography;AC=PRIDE:0000565	7	not applicable	1	NT=Trypsin; AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not available	NT=Q Exactive HF-X;AC=MS:1002877	not available	AC=MS:1000422;NT=HCD	27 NCE	not available	not available	tissue
mixed_1 heart	Homo sapiens	left ventricular	not available	not available	not available	not available	not available	not applicable	heart failure	not applicable	run 18	20181116_QEHFX3_BP_RSLCcap_hHeart_DIA_8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD018678/20181116_QEHFX3_BP_RSLCcap_hHeart_DIA_8.raw	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=High-performance liquid chromatography;AC=PRIDE:0000565	8	not applicable	1	NT=Trypsin; AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not available	NT=Q Exactive HF-X;AC=MS:1002877	not available	AC=MS:1000422;NT=HCD	27 NCE	not available	not available	tissue
mixed_1 heart	Homo sapiens	left ventricular	not available	not available	not available	not available	not available	not applicable	heart failure	not applicable	run 19	20181116_QEHFX3_BP_RSLCcap_hHeart_DIA_9.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD018678/20181116_QEHFX3_BP_RSLCcap_hHeart_DIA_9.raw	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=High-performance liquid chromatography;AC=PRIDE:0000565	9	not applicable	1	NT=Trypsin; AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not available	NT=Q Exactive HF-X;AC=MS:1002877	not available	AC=MS:1000422;NT=HCD	27 NCE	not available	not available	tissue
mixed_1 heart	Homo sapiens	left ventricular	not available	not available	not available	not available	not available	not applicable	heart failure	not applicable	run 20	20181116_QEHFX3_BP_RSLCcap_hHeart_DIA_10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD018678/20181116_QEHFX3_BP_RSLCcap_hHeart_DIA_10.raw	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=High-performance liquid chromatography;AC=PRIDE:0000565	10	not applicable	1	NT=Trypsin; AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not available	NT=Q Exactive HF-X;AC=MS:1002877	not available	AC=MS:1000422;NT=HCD	27 NCE	not available	not available	tissue
mixed_1 heart	Homo sapiens	left ventricular	not available	not available	not available	not available	not available	not applicable	heart failure	not applicable	run 21	20181116_QEHFX3_BP_RSLCcap_hHeart_DIA_11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD018678/20181116_QEHFX3_BP_RSLCcap_hHeart_DIA_11.raw	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=High-performance liquid chromatography;AC=PRIDE:0000565	11	not applicable	1	NT=Trypsin; AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not available	NT=Q Exactive HF-X;AC=MS:1002877	not available	AC=MS:1000422;NT=HCD	27 NCE	not available	not available	tissue
mixed_1 heart	Homo sapiens	left ventricular	not available	not available	not available	not available	not available	not applicable	heart failure	not applicable	run 22	20181116_QEHFX3_BP_RSLCcap_hHeart_DIA_13.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD018678/20181116_QEHFX3_BP_RSLCcap_hHeart_DIA_13.raw	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=High-performance liquid chromatography;AC=PRIDE:0000565	13	not applicable	1	NT=Trypsin; AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not available	NT=Q Exactive HF-X;AC=MS:1002877	not available	AC=MS:1000422;NT=HCD	27 NCE	not available	not available	tissue
mixed_1 heart	Homo sapiens	left ventricular	not available	not available	not available	not available	not available	not applicable	heart failure	not applicable	run 23	20181116_QEHFX3_BP_RSLCcap_hHeart_DIA_14.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD018678/20181116_QEHFX3_BP_RSLCcap_hHeart_DIA_14.raw	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=High-performance liquid chromatography;AC=PRIDE:0000565	14	not applicable	1	NT=Trypsin; AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not available	NT=Q Exactive HF-X;AC=MS:1002877	not available	AC=MS:1000422;NT=HCD	27 NCE	not available	not available	tissue
mixed_1 heart	Homo sapiens	left ventricular	not available	not available	not available	not available	not available	not applicable	heart failure	not applicable	run 24	20181116_QEHFX3_BP_RSLCcap_hHeart_DIA_15.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD018678/20181116_QEHFX3_BP_RSLCcap_hHeart_DIA_15.raw	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=High-performance liquid chromatography;AC=PRIDE:0000565	15	not applicable	1	NT=Trypsin; AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not available	NT=Q Exactive HF-X;AC=MS:1002877	not available	AC=MS:1000422;NT=HCD	27 NCE	not available	not available	tissue
mixed_1 heart	Homo sapiens	left ventricular	not available	not available	not available	not available	not available	not applicable	heart failure	not applicable	run 25	20181116_QEHFX3_BP_RSLCcap_hHeart_DIA_19.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD018678/20181116_QEHFX3_BP_RSLCcap_hHeart_DIA_19.raw	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=High-performance liquid chromatography;AC=PRIDE:0000565	19	not applicable	1	NT=Trypsin; AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not available	NT=Q Exactive HF-X;AC=MS:1002877	not available	AC=MS:1000422;NT=HCD	27 NCE	not available	not available	tissue
mixed_1 heart	Homo sapiens	left ventricular	not available	not available	not available	not available	not available	not applicable	heart failure	not applicable	run 26	20181116_QEHFX3_BP_RSLCcap_hHeart_DIA_20.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD018678/20181116_QEHFX3_BP_RSLCcap_hHeart_DIA_20.raw	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=High-performance liquid chromatography;AC=PRIDE:0000565	20	not applicable	1	NT=Trypsin; AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not available	NT=Q Exactive HF-X;AC=MS:1002877	not available	AC=MS:1000422;NT=HCD	27 NCE	not available	not available	tissue
mixed_1 heart	Homo sapiens	left ventricular	not available	not available	not available	not available	not available	not applicable	heart failure	not applicable	run 27	20181116_QEHFX3_BP_RSLCcap_hHeart_DIA_22.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD018678/20181116_QEHFX3_BP_RSLCcap_hHeart_DIA_22.raw	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=High-performance liquid chromatography;AC=PRIDE:0000565	22	not applicable	1	NT=Trypsin; AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not available	NT=Q Exactive HF-X;AC=MS:1002877	not available	AC=MS:1000422;NT=HCD	27 NCE	not available	not available	tissue
mixed_1 heart	Homo sapiens	left ventricular	not available	not available	not available	not available	not available	not applicable	heart failure	not applicable	run 28	20181116_QEHFX3_BP_RSLCcap_hHeart_DIA_28.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD018678/20181116_QEHFX3_BP_RSLCcap_hHeart_DIA_28.raw	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=High-performance liquid chromatography;AC=PRIDE:0000565	28	not applicable	1	NT=Trypsin; AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not available	NT=Q Exactive HF-X;AC=MS:1002877	not available	AC=MS:1000422;NT=HCD	27 NCE	not available	not available	tissue
mixed_1 heart	Homo sapiens	left ventricular	not available	not available	not available	not available	not available	not applicable	heart failure	not applicable	run 29	20181116_QEHFX3_BP_RSLCcap_hHeart_DIA_32.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD018678/20181116_QEHFX3_BP_RSLCcap_hHeart_DIA_32.raw	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=High-performance liquid chromatography;AC=PRIDE:0000565	32	not applicable	1	NT=Trypsin; AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not available	NT=Q Exactive HF-X;AC=MS:1002877	not available	AC=MS:1000422;NT=HCD	27 NCE	not available	not available	tissue
mixed_1 heart	Homo sapiens	left ventricular	not available	not available	not available	not available	not available	not applicable	heart failure	not applicable	run 30	20181116_QEHFX3_BP_RSLCcap_hHeart_DIA_39.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD018678/20181116_QEHFX3_BP_RSLCcap_hHeart_DIA_39.raw	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=High-performance liquid chromatography;AC=PRIDE:0000565	39	not applicable	1	NT=Trypsin; AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not available	NT=Q Exactive HF-X;AC=MS:1002877	not available	AC=MS:1000422;NT=HCD	27 NCE	not available	not available	tissue
mixed_1 heart	Homo sapiens	left ventricular	not available	not available	not available	not available	not available	not applicable	heart failure	not applicable	run 31	20181116_QEHFX3_BP_RSLCcap_hHeart_DIA_40.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD018678/20181116_QEHFX3_BP_RSLCcap_hHeart_DIA_40.raw	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=High-performance liquid chromatography;AC=PRIDE:0000565	40	not applicable	1	NT=Trypsin; AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not available	NT=Q Exactive HF-X;AC=MS:1002877	not available	AC=MS:1000422;NT=HCD	27 NCE	not available	not available	tissue
mixed_1 heart	Homo sapiens	left ventricular	not available	not available	not available	not available	not available	not applicable	heart failure	not applicable	run 32	20181116_QEHFX3_BP_RSLCcap_hHeart_DIA_43.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD018678/20181116_QEHFX3_BP_RSLCcap_hHeart_DIA_43.raw	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=High-performance liquid chromatography;AC=PRIDE:0000565	43	not applicable	1	NT=Trypsin; AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not available	NT=Q Exactive HF-X;AC=MS:1002877	not available	AC=MS:1000422;NT=HCD	27 NCE	not available	not available	tissue
mixed_1 heart	Homo sapiens	left ventricular	not available	not available	not available	not available	not available	not applicable	heart failure	not applicable	run 33	20181116_QEHFX3_BP_RSLCcap_hHeart_DIA_45.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD018678/20181116_QEHFX3_BP_RSLCcap_hHeart_DIA_45.raw	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=High-performance liquid chromatography;AC=PRIDE:0000565	45	not applicable	1	NT=Trypsin; AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not available	NT=Q Exactive HF-X;AC=MS:1002877	not available	AC=MS:1000422;NT=HCD	27 NCE	not available	not available	tissue
mixed_1 heart	Homo sapiens	left ventricular	not available	not available	not available	not available	not available	not applicable	heart failure	not applicable	run 34	20181116_QEHFX3_BP_RSLCcap_hHeart_DIA_47.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD018678/20181116_QEHFX3_BP_RSLCcap_hHeart_DIA_47.raw	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=High-performance liquid chromatography;AC=PRIDE:0000565	47	not applicable	1	NT=Trypsin; AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not available	NT=Q Exactive HF-X;AC=MS:1002877	not available	AC=MS:1000422;NT=HCD	27 NCE	not available	not available	tissue
mixed_1 heart	Homo sapiens	left ventricular	not available	not available	not available	not available	not available	not applicable	heart failure	not applicable	run 35	20181116_QEHFX3_BP_RSLCcap_hHeart_DIA_48.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD018678/20181116_QEHFX3_BP_RSLCcap_hHeart_DIA_48.raw	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=High-performance liquid chromatography;AC=PRIDE:0000565	48	not applicable	1	NT=Trypsin; AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not available	NT=Q Exactive HF-X;AC=MS:1002877	not available	AC=MS:1000422;NT=HCD	27 NCE	not available	not available	tissue
mixed_1 heart	Homo sapiens	left ventricular	not available	not available	not available	not available	not available	not applicable	heart failure	not applicable	run 36	20181116_QEHFX3_BP_RSLCcap_hHeart_DIA_49.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD018678/20181116_QEHFX3_BP_RSLCcap_hHeart_DIA_49.raw	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=High-performance liquid chromatography;AC=PRIDE:0000565	49	not applicable	1	NT=Trypsin; AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not available	NT=Q Exactive HF-X;AC=MS:1002877	not available	AC=MS:1000422;NT=HCD	27 NCE	not available	not available	tissue
mixed_1 heart	Homo sapiens	left ventricular	not available	not available	not available	not available	not available	not applicable	heart failure	not applicable	run 37	20181116_QEHFX3_BP_RSLCcap_hHeart_DIA_51.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD018678/20181116_QEHFX3_BP_RSLCcap_hHeart_DIA_51.raw	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=High-performance liquid chromatography;AC=PRIDE:0000565	51	not applicable	1	NT=Trypsin; AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not available	NT=Q Exactive HF-X;AC=MS:1002877	not available	AC=MS:1000422;NT=HCD	27 NCE	not available	not available	tissue
mixed_1 heart	Homo sapiens	left ventricular	not available	not available	not available	not available	not available	not applicable	heart failure	not applicable	run 38	20181116_QEHFX3_BP_RSLCcap_hHeart_DIA_52.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD018678/20181116_QEHFX3_BP_RSLCcap_hHeart_DIA_52.raw	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=High-performance liquid chromatography;AC=PRIDE:0000565	52	not applicable	1	NT=Trypsin; AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not available	NT=Q Exactive HF-X;AC=MS:1002877	not available	AC=MS:1000422;NT=HCD	27 NCE	not available	not available	tissue
mixed_1 heart	Homo sapiens	left ventricular	not available	not available	not available	not available	not available	not applicable	heart failure	not applicable	run 39	20181116_QEHFX3_BP_RSLCcap_hHeart_DIA_54.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD018678/20181116_QEHFX3_BP_RSLCcap_hHeart_DIA_54.raw	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=High-performance liquid chromatography;AC=PRIDE:0000565	54	not applicable	1	NT=Trypsin; AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not available	NT=Q Exactive HF-X;AC=MS:1002877	not available	AC=MS:1000422;NT=HCD	27 NCE	not available	not available	tissue
