source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[cell line]	characteristics[developmental stage]	characteristics[disease]	characteristics[ancestry category]	characteristics[sex]	characteristics[age]	characteristics[biological replicate]	material type	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[instrument]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[cell line]	factor value[disease]
Sample 8	Homo sapiens	breast	epithelial	MCF 10A	adult	nontumorigenic	Caucasian	female	36Y	1	cell	run 11	proteomic profiling by mass spectrometer	MCF10_SN1_2.RAW	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD014458/MCF10_SN1_2.RAW	2	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ;AC=MS:1000447	35% NCE	2 Da	1 Da	MCF 10A	nontumorigenic
Sample 9	Homo sapiens	breast	epithelial	MCF 10A	adult	nontumorigenic	Caucasian	female	36Y	2	cell	run 12	proteomic profiling by mass spectrometer	MCF10_SN2_1.RAW	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD014458/MCF10_SN2_1.RAW	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ;AC=MS:1000447	35% NCE	2 Da	1 Da	MCF 10A	nontumorigenic
Sample 10	Homo sapiens	breast	epithelial	MCF 10A	adult	nontumorigenic	Caucasian	female	36Y	3	cell	run 13	proteomic profiling by mass spectrometer	MCF10_SN3_1.RAW	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD014458/MCF10_SN3_1.RAW	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ;AC=MS:1000447	35% NCE	2 Da	1 Da	MCF 10A	nontumorigenic
Sample 10	Homo sapiens	breast	epithelial	MCF 10A	adult	nontumorigenic	Caucasian	female	36Y	3	cell	run 14	proteomic profiling by mass spectrometer	MCF10_SN3_3.RAW	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD014458/MCF10_SN3_3.RAW	3	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ;AC=MS:1000447	35% NCE	2 Da	1 Da	MCF 10A	nontumorigenic
Sample 11	Homo sapiens	breast	epithelial	MCF7	adult	breast cancer	Caucasian	female	69Y	1	cell	run 15	proteomic profiling by mass spectrometer	MCF7_G1C1_3.RAW	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD014458/MCF7_G1C1_3.RAW	3	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ;AC=MS:1000447	35% NCE	2 Da	1 Da	MCF7	breast cancer
Sample 12	Homo sapiens	breast	epithelial	MCF7	adult	breast cancer	Caucasian	female	69Y	2	cell	run 16	proteomic profiling by mass spectrometer	MCF7_G1C2_4.RAW	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD014458/MCF7_G1C2_4.RAW	4	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ;AC=MS:1000447	35% NCE	2 Da	1 Da	MCF7	breast cancer
Sample 13	Homo sapiens	breast	epithelial	MCF7	adult	breast cancer	Caucasian	female	69Y	1	cell	run 17	proteomic profiling by mass spectrometer	MCF7_G1N1_1.RAW	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD014458/MCF7_G1N1_1.RAW	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ;AC=MS:1000447	35% NCE	2 Da	1 Da	MCF7	breast cancer
Sample 14	Homo sapiens	breast	epithelial	MCF7	adult	breast cancer	Caucasian	female	69Y	2	cell	run 18	proteomic profiling by mass spectrometer	MCF7_G1N2_1.RAW	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD014458/MCF7_G1N2_1.RAW	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ;AC=MS:1000447	35% NCE	2 Da	1 Da	MCF7	breast cancer
Sample 14	Homo sapiens	breast	epithelial	MCF7	adult	breast cancer	Caucasian	female	69Y	2	cell	run 19	proteomic profiling by mass spectrometer	MCF7_G1N2_3.RAW	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD014458/MCF7_G1N2_3.RAW	3	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ;AC=MS:1000447	35% NCE	2 Da	1 Da	MCF7	breast cancer
Sample 14	Homo sapiens	breast	epithelial	MCF7	adult	breast cancer	Caucasian	female	69Y	2	cell	run 20	proteomic profiling by mass spectrometer	MCF7_G1N2_5.RAW	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD014458/MCF7_G1N2_5.RAW	5	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ;AC=MS:1000447	35% NCE	2 Da	1 Da	MCF7	breast cancer
Sample 15	Homo sapiens	breast	epithelial	MCF7	adult	breast cancer	Caucasian	female	69Y	3	cell	run 21	proteomic profiling by mass spectrometer	MCF7_G1N3_2.RAW	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD014458/MCF7_G1N3_2.RAW	2	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ;AC=MS:1000447	35% NCE	2 Da	1 Da	MCF7	breast cancer
Sample 16	Homo sapiens	breast	epithelial	MCF7	adult	breast cancer	Caucasian	female	69Y	1	cell	run 22	proteomic profiling by mass spectrometer	MCF7_SC1_3.RAW	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD014458/MCF7_SC1_3.RAW	3	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ;AC=MS:1000447	35% NCE	2 Da	1 Da	MCF7	breast cancer
Sample 16	Homo sapiens	breast	epithelial	MCF7	adult	breast cancer	Caucasian	female	69Y	1	cell	run 23	proteomic profiling by mass spectrometer	MCF7_SC1_5.RAW	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD014458/MCF7_SC1_5.RAW	5	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ;AC=MS:1000447	35% NCE	2 Da	1 Da	MCF7	breast cancer
Sample 17	Homo sapiens	breast	epithelial	MCF7	adult	breast cancer	Caucasian	female	69Y	2	cell	run 24	proteomic profiling by mass spectrometer	MCF7_SC2_1.RAW	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD014458/MCF7_SC2_1.RAW	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ;AC=MS:1000447	35% NCE	2 Da	1 Da	MCF7	breast cancer
Sample 17	Homo sapiens	breast	epithelial	MCF7	adult	breast cancer	Caucasian	female	69Y	2	cell	run 25	proteomic profiling by mass spectrometer	MCF7_SC2_5.RAW	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD014458/MCF7_SC2_5.RAW	5	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ;AC=MS:1000447	35% NCE	2 Da	1 Da	MCF7	breast cancer
Sample 18	Homo sapiens	breast	epithelial	MCF7	adult	breast cancer	Caucasian	female	69Y	3	cell	run 26	proteomic profiling by mass spectrometer	MCF7_SC3_1.RAW	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD014458/MCF7_SC3_1.RAW	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ;AC=MS:1000447	35% NCE	2 Da	1 Da	MCF7	breast cancer
Sample 18	Homo sapiens	breast	epithelial	MCF7	adult	breast cancer	Caucasian	female	69Y	3	cell	run 27	proteomic profiling by mass spectrometer	MCF7_SC3_3.RAW	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD014458/MCF7_SC3_3.RAW	3	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ;AC=MS:1000447	35% NCE	2 Da	1 Da	MCF7	breast cancer
Sample 19	Homo sapiens	breast	epithelial	MCF7	adult	breast cancer	Caucasian	female	69Y	1	cell	run 28	proteomic profiling by mass spectrometer	MCF7_SN1_1.RAW	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD014458/MCF7_SN1_1.RAW	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ;AC=MS:1000447	35% NCE	2 Da	1 Da	MCF7	breast cancer
Sample 19	Homo sapiens	breast	epithelial	MCF7	adult	breast cancer	Caucasian	female	69Y	1	cell	run 29	proteomic profiling by mass spectrometer	MCF7_SN1_2.RAW	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD014458/MCF7_SN1_2.RAW	2	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ;AC=MS:1000447	35% NCE	2 Da	1 Da	MCF7	breast cancer
Sample 19	Homo sapiens	breast	epithelial	MCF7	adult	breast cancer	Caucasian	female	69Y	1	cell	run 30	proteomic profiling by mass spectrometer	MCF7_SN1_3.RAW	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD014458/MCF7_SN1_3.RAW	3	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ;AC=MS:1000447	35% NCE	2 Da	1 Da	MCF7	breast cancer
Sample 19	Homo sapiens	breast	epithelial	MCF7	adult	breast cancer	Caucasian	female	69Y	1	cell	run 31	proteomic profiling by mass spectrometer	MCF7_SN1_4.RAW	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD014458/MCF7_SN1_4.RAW	4	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ;AC=MS:1000447	35% NCE	2 Da	1 Da	MCF7	breast cancer
Sample 20	Homo sapiens	breast	epithelial	MCF7	adult	breast cancer	Caucasian	female	69Y	2	cell	run 32	proteomic profiling by mass spectrometer	MCF7_SN2_5.RAW	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD014458/MCF7_SN2_5.RAW	5	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ;AC=MS:1000447	35% NCE	2 Da	1 Da	MCF7	breast cancer
Sample 21	Homo sapiens	breast	epithelial	MCF7	adult	breast cancer	Caucasian	female	69Y	3	cell	run 33	proteomic profiling by mass spectrometer	MCF7_SN3_3.RAW	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD014458/MCF7_SN3_3.RAW	3	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ;AC=MS:1000447	35% NCE	2 Da	1 Da	MCF7	breast cancer
Sample 22	Homo sapiens	breast	epithelial	SKBR3	adult	breast cancer	Caucasian	female	43Y	2	cell	run 34	proteomic profiling by mass spectrometer	SKBR3_G1C2_6.RAW	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD014458/SKBR3_G1C2_6.RAW	6	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ;AC=MS:1000447	35% NCE	2 Da	1 Da	SKBR3	breast cancer
Sample 23	Homo sapiens	breast	epithelial	SKBR3	adult	breast cancer	Caucasian	female	43Y	2	cell	run 35	proteomic profiling by mass spectrometer	SKBR3_G1N2_1.RAW	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD014458/SKBR3_G1N2_1.RAW	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ;AC=MS:1000447	35% NCE	2 Da	1 Da	SKBR3	breast cancer
Sample 24	Homo sapiens	breast	epithelial	SKBR3	adult	breast cancer	Caucasian	female	43Y	1	cell	run 36	proteomic profiling by mass spectrometer	SKBR3_SC1_4.RAW	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD014458/SKBR3_SC1_4.RAW	4	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ;AC=MS:1000447	35% NCE	2 Da	1 Da	SKBR3	breast cancer
Sample 25	Homo sapiens	breast	epithelial	SKBR3	adult	breast cancer	Caucasian	female	43Y	2	cell	run 37	proteomic profiling by mass spectrometer	SKBR3_SC2_2_5.RAW	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD014458/SKBR3_SC2_2_5.RAW	5	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ;AC=MS:1000447	35% NCE	2 Da	1 Da	SKBR3	breast cancer
Sample 26	Homo sapiens	breast	epithelial	SKBR3	adult	breast cancer	Caucasian	female	43Y	3	cell	run 38	proteomic profiling by mass spectrometer	SKBR3_SC3_1.RAW	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD014458/SKBR3_SC3_1.RAW	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ;AC=MS:1000447	35% NCE	2 Da	1 Da	SKBR3	breast cancer
Sample 27	Homo sapiens	breast	epithelial	SKBR3	adult	breast cancer	Caucasian	female	43Y	1	cell	run 39	proteomic profiling by mass spectrometer	SKBR3_SN1_1.RAW	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD014458/SKBR3_SN1_1.RAW	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ;AC=MS:1000447	35% NCE	2 Da	1 Da	SKBR3	breast cancer
Sample 27	Homo sapiens	breast	epithelial	SKBR3	adult	breast cancer	Caucasian	female	43Y	1	cell	run 40	proteomic profiling by mass spectrometer	SKBR3_SN1_7.RAW	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD014458/SKBR3_SN1_7.RAW	7	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ;AC=MS:1000447	35% NCE	2 Da	1 Da	SKBR3	breast cancer
Sample 28	Homo sapiens	breast	epithelial	SKBR3	adult	breast cancer	Caucasian	female	43Y	2	cell	run 41	proteomic profiling by mass spectrometer	SKBR3_SN2_1.RAW	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD014458/SKBR3_SN2_1.RAW	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ;AC=MS:1000447	35% NCE	2 Da	1 Da	SKBR3	breast cancer
Sample 28	Homo sapiens	breast	epithelial	SKBR3	adult	breast cancer	Caucasian	female	43Y	2	cell	run 42	proteomic profiling by mass spectrometer	SKBR3_SN2_2.RAW	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD014458/SKBR3_SN2_2.RAW	2	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ;AC=MS:1000447	35% NCE	2 Da	1 Da	SKBR3	breast cancer
Sample 28	Homo sapiens	breast	epithelial	SKBR3	adult	breast cancer	Caucasian	female	43Y	2	cell	run 43	proteomic profiling by mass spectrometer	SKBR3_SN2_3.RAW	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD014458/SKBR3_SN2_3.RAW	3	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ;AC=MS:1000447	35% NCE	2 Da	1 Da	SKBR3	breast cancer
Sample 29	Homo sapiens	breast	epithelial	SKBR3	adult	breast cancer	Caucasian	female	43Y	3	cell	run 44	proteomic profiling by mass spectrometer	SKBR3_SN3_6.RAW	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD014458/SKBR3_SN3_6.RAW	6	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ;AC=MS:1000447	35% NCE	2 Da	1 Da	SKBR3	breast cancer
