source name	characteristics[organism]	characteristics[organism part]	characteristics[age]	characteristics[developmental stage]	characteristics[sex]	characteristics[disease]	characteristics[cell type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[biological replicate]	material type	assay name	technology type	comment[file uri]	comment[fractionation method]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[ms2 mass analyzer]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[data file]	factor value[organism part]
Sample 1	Homo sapiens	Adrenal gland	not available	Adult	not available	not available	not applicable	not available	not available	not available	1	organism part	run 11	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000561/Adult_Adrenalgland_bRP_Velos_1_f11.raw	NT=high pH RPLC;AC=PRIDE:0000564	1	11	AC=MS:1002038;NT=label free sample	AC=MS:1000484; NT=Orbitrap	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=cyclization;AC=UNIMOD:28;PP=Any N-term;TA=Q;MT=Variable	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	10 ppm	0.05 Da	Adult_Adrenalgland_bRP_Velos_1_f11.raw	Adrenal gland
Sample 1	Homo sapiens	Adrenal gland	not available	Adult	not available	not available	not applicable	not available	not available	not available	1	organism part	run 12	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000561/Adult_Adrenalgland_bRP_Velos_1_f12.raw	NT=high pH RPLC;AC=PRIDE:0000564	1	12	AC=MS:1002038;NT=label free sample	AC=MS:1000484; NT=Orbitrap	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=cyclization;AC=UNIMOD:28;PP=Any N-term;TA=Q;MT=Variable	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	10 ppm	0.05 Da	Adult_Adrenalgland_bRP_Velos_1_f12.raw	Adrenal gland
Sample 1	Homo sapiens	Adrenal gland	not available	Adult	not available	not available	not applicable	not available	not available	not available	1	organism part	run 13	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000561/Adult_Adrenalgland_bRP_Velos_1_f13.raw	NT=high pH RPLC;AC=PRIDE:0000564	1	13	AC=MS:1002038;NT=label free sample	AC=MS:1000484; NT=Orbitrap	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=cyclization;AC=UNIMOD:28;PP=Any N-term;TA=Q;MT=Variable	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	10 ppm	0.05 Da	Adult_Adrenalgland_bRP_Velos_1_f13.raw	Adrenal gland
Sample 1	Homo sapiens	Adrenal gland	not available	Adult	not available	not available	not applicable	not available	not available	not available	1	organism part	run 14	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000561/Adult_Adrenalgland_bRP_Velos_1_f14.raw	NT=high pH RPLC;AC=PRIDE:0000564	1	14	AC=MS:1002038;NT=label free sample	AC=MS:1000484; NT=Orbitrap	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=cyclization;AC=UNIMOD:28;PP=Any N-term;TA=Q;MT=Variable	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	10 ppm	0.05 Da	Adult_Adrenalgland_bRP_Velos_1_f14.raw	Adrenal gland
Sample 1	Homo sapiens	Adrenal gland	not available	Adult	not available	not available	not applicable	not available	not available	not available	1	organism part	run 15	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000561/Adult_Adrenalgland_bRP_Velos_1_f15.raw	NT=high pH RPLC;AC=PRIDE:0000564	1	15	AC=MS:1002038;NT=label free sample	AC=MS:1000484; NT=Orbitrap	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=cyclization;AC=UNIMOD:28;PP=Any N-term;TA=Q;MT=Variable	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	10 ppm	0.05 Da	Adult_Adrenalgland_bRP_Velos_1_f15.raw	Adrenal gland
Sample 1	Homo sapiens	Adrenal gland	not available	Adult	not available	not available	not applicable	not available	not available	not available	1	organism part	run 16	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000561/Adult_Adrenalgland_bRP_Velos_1_f16.raw	NT=high pH RPLC;AC=PRIDE:0000564	1	16	AC=MS:1002038;NT=label free sample	AC=MS:1000484; NT=Orbitrap	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=cyclization;AC=UNIMOD:28;PP=Any N-term;TA=Q;MT=Variable	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	10 ppm	0.05 Da	Adult_Adrenalgland_bRP_Velos_1_f16.raw	Adrenal gland
Sample 1	Homo sapiens	Adrenal gland	not available	Adult	not available	not available	not applicable	not available	not available	not available	1	organism part	run 17	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000561/Adult_Adrenalgland_bRP_Velos_1_f17.raw	NT=high pH RPLC;AC=PRIDE:0000564	1	17	AC=MS:1002038;NT=label free sample	AC=MS:1000484; NT=Orbitrap	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=cyclization;AC=UNIMOD:28;PP=Any N-term;TA=Q;MT=Variable	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	10 ppm	0.05 Da	Adult_Adrenalgland_bRP_Velos_1_f17.raw	Adrenal gland
Sample 1	Homo sapiens	Adrenal gland	not available	Adult	not available	not available	not applicable	not available	not available	not available	1	organism part	run 18	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000561/Adult_Adrenalgland_bRP_Velos_1_f18.raw	NT=high pH RPLC;AC=PRIDE:0000564	1	18	AC=MS:1002038;NT=label free sample	AC=MS:1000484; NT=Orbitrap	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=cyclization;AC=UNIMOD:28;PP=Any N-term;TA=Q;MT=Variable	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	10 ppm	0.05 Da	Adult_Adrenalgland_bRP_Velos_1_f18.raw	Adrenal gland
Sample 1	Homo sapiens	Adrenal gland	not available	Adult	not available	not available	not applicable	not available	not available	not available	1	organism part	run 19	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000561/Adult_Adrenalgland_bRP_Velos_1_f19.raw	NT=high pH RPLC;AC=PRIDE:0000564	1	19	AC=MS:1002038;NT=label free sample	AC=MS:1000484; NT=Orbitrap	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=cyclization;AC=UNIMOD:28;PP=Any N-term;TA=Q;MT=Variable	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	10 ppm	0.05 Da	Adult_Adrenalgland_bRP_Velos_1_f19.raw	Adrenal gland
Sample 1	Homo sapiens	Adrenal gland	not available	Adult	not available	not available	not applicable	not available	not available	not available	1	organism part	run 20	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000561/Adult_Adrenalgland_bRP_Velos_1_f20.raw	NT=high pH RPLC;AC=PRIDE:0000564	1	20	AC=MS:1002038;NT=label free sample	AC=MS:1000484; NT=Orbitrap	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=cyclization;AC=UNIMOD:28;PP=Any N-term;TA=Q;MT=Variable	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	10 ppm	0.05 Da	Adult_Adrenalgland_bRP_Velos_1_f20.raw	Adrenal gland
Sample 1	Homo sapiens	Adrenal gland	not available	Adult	not available	not available	not applicable	not available	not available	not available	1	organism part	run 21	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000561/Adult_Adrenalgland_bRP_Velos_1_f21.raw	NT=high pH RPLC;AC=PRIDE:0000564	1	21	AC=MS:1002038;NT=label free sample	AC=MS:1000484; NT=Orbitrap	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=cyclization;AC=UNIMOD:28;PP=Any N-term;TA=Q;MT=Variable	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	10 ppm	0.05 Da	Adult_Adrenalgland_bRP_Velos_1_f21.raw	Adrenal gland
Sample 1	Homo sapiens	Adrenal gland	not available	Adult	not available	not available	not applicable	not available	not available	not available	1	organism part	run 22	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000561/Adult_Adrenalgland_bRP_Velos_1_f22.raw	NT=high pH RPLC;AC=PRIDE:0000564	1	22	AC=MS:1002038;NT=label free sample	AC=MS:1000484; NT=Orbitrap	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=cyclization;AC=UNIMOD:28;PP=Any N-term;TA=Q;MT=Variable	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	10 ppm	0.05 Da	Adult_Adrenalgland_bRP_Velos_1_f22.raw	Adrenal gland
Sample 1	Homo sapiens	Adrenal gland	not available	Adult	not available	not available	not applicable	not available	not available	not available	1	organism part	run 23	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000561/Adult_Adrenalgland_bRP_Velos_1_f23.raw	NT=high pH RPLC;AC=PRIDE:0000564	1	23	AC=MS:1002038;NT=label free sample	AC=MS:1000484; NT=Orbitrap	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=cyclization;AC=UNIMOD:28;PP=Any N-term;TA=Q;MT=Variable	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	10 ppm	0.05 Da	Adult_Adrenalgland_bRP_Velos_1_f23.raw	Adrenal gland
Sample 1	Homo sapiens	Adrenal gland	not available	Adult	not available	not available	not applicable	not available	not available	not available	1	organism part	run 24	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000561/Adult_Adrenalgland_bRP_Velos_1_f24.raw	NT=high pH RPLC;AC=PRIDE:0000564	1	24	AC=MS:1002038;NT=label free sample	AC=MS:1000484; NT=Orbitrap	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=cyclization;AC=UNIMOD:28;PP=Any N-term;TA=Q;MT=Variable	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	10 ppm	0.05 Da	Adult_Adrenalgland_bRP_Velos_1_f24.raw	Adrenal gland
Sample 1	Homo sapiens	Adrenal gland	not available	Adult	not available	not available	not applicable	not available	not available	not available	1	organism part	run 25	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000561/Adult_Adrenalgland_bRP_Velos_1_f25.raw	NT=high pH RPLC;AC=PRIDE:0000564	1	25	AC=MS:1002038;NT=label free sample	AC=MS:1000484; NT=Orbitrap	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=cyclization;AC=UNIMOD:28;PP=Any N-term;TA=Q;MT=Variable	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	10 ppm	0.05 Da	Adult_Adrenalgland_bRP_Velos_1_f25.raw	Adrenal gland
Sample 1	Homo sapiens	Adrenal gland	not available	Adult	not available	not available	not applicable	not available	not available	not available	1	organism part	run 26	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000561/Adult_Adrenalgland_bRP_Velos_1_f26.raw	NT=high pH RPLC;AC=PRIDE:0000564	1	26	AC=MS:1002038;NT=label free sample	AC=MS:1000484; NT=Orbitrap	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=cyclization;AC=UNIMOD:28;PP=Any N-term;TA=Q;MT=Variable	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	10 ppm	0.05 Da	Adult_Adrenalgland_bRP_Velos_1_f26.raw	Adrenal gland
Sample 1	Homo sapiens	Adrenal gland	not available	Adult	not available	not available	not applicable	not available	not available	not available	1	organism part	run 27	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000561/Adult_Adrenalgland_bRP_Velos_1_f27.raw	NT=high pH RPLC;AC=PRIDE:0000564	1	27	AC=MS:1002038;NT=label free sample	AC=MS:1000484; NT=Orbitrap	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=cyclization;AC=UNIMOD:28;PP=Any N-term;TA=Q;MT=Variable	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	10 ppm	0.05 Da	Adult_Adrenalgland_bRP_Velos_1_f27.raw	Adrenal gland
Sample 1	Homo sapiens	Adrenal gland	not available	Adult	not available	not available	not applicable	not available	not available	not available	1	organism part	run 28	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000561/Adult_Adrenalgland_bRP_Velos_1_f28.raw	NT=high pH RPLC;AC=PRIDE:0000564	1	28	AC=MS:1002038;NT=label free sample	AC=MS:1000484; NT=Orbitrap	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=cyclization;AC=UNIMOD:28;PP=Any N-term;TA=Q;MT=Variable	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	10 ppm	0.05 Da	Adult_Adrenalgland_bRP_Velos_1_f28.raw	Adrenal gland
