source name	characteristics[Organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[mass]	characteristics[spiked compound]	assay name	comment[label]	comment[instrument]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[technical replicate]	comment[fraction identifier]	comment[file uri]	comment[data file]	Material Type	factor value[spiked compound]
Sample 4	Saccharomyces cerevisiae	not available	not available	not applicable	2 mg	CT=mixture;QY=2500 amol;CN=UPS1;CV=Standards Research Group	run 12	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	5 ppm	0.8 Da	NT=trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	3	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD001819/UPS1_2500amol_R3.raw	UPS1_2500amol_R3.raw	lysate	CT=mixture;QY=2500 amol;CN=UPS1;CV=Standards Research Group
Sample 5	Saccharomyces cerevisiae	not available	not available	not applicable	2 mg	CT=mixture;QY=250 amol;CN=UPS1;CV=Standards Research Group	run 13	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	5 ppm	0.8 Da	NT=trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD001819/UPS1_250amol_R1.raw	UPS1_250amol_R1.raw	lysate	CT=mixture;QY=250 amol;CN=UPS1;CV=Standards Research Group
Sample 5	Saccharomyces cerevisiae	not available	not available	not applicable	2 mg	CT=mixture;QY=250 amol;CN=UPS1;CV=Standards Research Group	run 14	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	5 ppm	0.8 Da	NT=trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	2	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD001819/UPS1_250amol_R2.raw	UPS1_250amol_R2.raw	lysate	CT=mixture;QY=250 amol;CN=UPS1;CV=Standards Research Group
Sample 5	Saccharomyces cerevisiae	not available	not available	not applicable	2 mg	CT=mixture;QY=250 amol;CN=UPS1;CV=Standards Research Group	run 15	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	5 ppm	0.8 Da	NT=trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	3	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD001819/UPS1_250amol_R3.raw	UPS1_250amol_R3.raw	lysate	CT=mixture;QY=250 amol;CN=UPS1;CV=Standards Research Group
Sample 6	Saccharomyces cerevisiae	not available	not available	not applicable	2 mg	CT=mixture;QY=50000 amol;CN=UPS1;CV=Standards Research Group	run 16	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	5 ppm	0.8 Da	NT=trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD001819/UPS1_50000amol_R1.raw	UPS1_50000amol_R1.raw	lysate	CT=mixture;QY=50000 amol;CN=UPS1;CV=Standards Research Group
Sample 6	Saccharomyces cerevisiae	not available	not available	not applicable	2 mg	CT=mixture;QY=50000 amol;CN=UPS1;CV=Standards Research Group	run 17	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	5 ppm	0.8 Da	NT=trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	2	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD001819/UPS1_50000amol_R2.raw	UPS1_50000amol_R2.raw	lysate	CT=mixture;QY=50000 amol;CN=UPS1;CV=Standards Research Group
Sample 6	Saccharomyces cerevisiae	not available	not available	not applicable	2 mg	CT=mixture;QY=50000 amol;CN=UPS1;CV=Standards Research Group	run 18	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	5 ppm	0.8 Da	NT=trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	3	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD001819/UPS1_50000amol_R3.raw	UPS1_50000amol_R3.raw	lysate	CT=mixture;QY=50000 amol;CN=UPS1;CV=Standards Research Group
Sample 7	Saccharomyces cerevisiae	not available	not available	not applicable	2 mg	CT=mixture;QY=5000 amol;CN=UPS1;CV=Standards Research Group	run 19	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	5 ppm	0.8 Da	NT=trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD001819/UPS1_5000amol_R1.raw	UPS1_5000amol_R1.raw	lysate	CT=mixture;QY=5000 amol;CN=UPS1;CV=Standards Research Group
Sample 7	Saccharomyces cerevisiae	not available	not available	not applicable	2 mg	CT=mixture;QY=5000 amol;CN=UPS1;CV=Standards Research Group	run 20	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	5 ppm	0.8 Da	NT=trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	2	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD001819/UPS1_5000amol_R2.raw	UPS1_5000amol_R2.raw	lysate	CT=mixture;QY=5000 amol;CN=UPS1;CV=Standards Research Group
Sample 7	Saccharomyces cerevisiae	not available	not available	not applicable	2 mg	CT=mixture;QY=5000 amol;CN=UPS1;CV=Standards Research Group	run 21	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	5 ppm	0.8 Da	NT=trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	3	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD001819/UPS1_5000amol_R3.raw	UPS1_5000amol_R3.raw	lysate	CT=mixture;QY=5000 amol;CN=UPS1;CV=Standards Research Group
Sample 8	Saccharomyces cerevisiae	not available	not available	not applicable	2 mg	CT=mixture;QY=500 amol;CN=UPS1;CV=Standards Research Group	run 22	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	5 ppm	0.8 Da	NT=trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD001819/UPS1_500amol_R1.raw	UPS1_500amol_R1.raw	lysate	CT=mixture;QY=500 amol;CN=UPS1;CV=Standards Research Group
Sample 8	Saccharomyces cerevisiae	not available	not available	not applicable	2 mg	CT=mixture;QY=500 amol;CN=UPS1;CV=Standards Research Group	run 23	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	5 ppm	0.8 Da	NT=trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	2	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD001819/UPS1_500amol_R2.raw	UPS1_500amol_R2.raw	lysate	CT=mixture;QY=500 amol;CN=UPS1;CV=Standards Research Group
Sample 8	Saccharomyces cerevisiae	not available	not available	not applicable	2 mg	CT=mixture;QY=500 amol;CN=UPS1;CV=Standards Research Group	run 24	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	5 ppm	0.8 Da	NT=trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	3	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD001819/UPS1_500amol_R3.raw	UPS1_500amol_R3.raw	lysate	CT=mixture;QY=500 amol;CN=UPS1;CV=Standards Research Group
Sample 9	Saccharomyces cerevisiae	not available	not available	not applicable	2 mg	CT=mixture;QY=50 amol;CN=UPS1;CV=Standards Research Group	run 25	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	5 ppm	0.8 Da	NT=trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD001819/UPS1_50amol_R1.raw	UPS1_50amol_R1.raw	lysate	CT=mixture;QY=50 amol;CN=UPS1;CV=Standards Research Group
Sample 9	Saccharomyces cerevisiae	not available	not available	not applicable	2 mg	CT=mixture;QY=50 amol;CN=UPS1;CV=Standards Research Group	run 26	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	5 ppm	0.8 Da	NT=trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	2	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD001819/UPS1_50amol_R2.raw	UPS1_50amol_R2.raw	lysate	CT=mixture;QY=50 amol;CN=UPS1;CV=Standards Research Group
Sample 9	Saccharomyces cerevisiae	not available	not available	not applicable	2 mg	CT=mixture;QY=50 amol;CN=UPS1;CV=Standards Research Group	run 27	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	5 ppm	0.8 Da	NT=trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	3	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD001819/UPS1_50amol_R3.raw	UPS1_50amol_R3.raw	lysate	CT=mixture;QY=50 amol;CN=UPS1;CV=Standards Research Group
