#fileformat=SDRF
#version=v1.1.0
#template=default
#template_version=v1.1.0
source name	characteristics[organism]	characteristics[organism part]	characteristics[strain/breed]	characteristics[disease]	characteristics[cell type]	characteristics[treatment]	characteristics[biological replicate]	characteristics[medium]	characteristics[medium supplements]	characteristics[optical density]	characteristics[growth phase]	assay name	technology type	comment[technical replicate]	comment[proteomics data acquisition method]	comment[data file]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[file uri]	factor value[medium supplements]
Sample 11	Escherichia coli	Cell lysate	Escherichia coli str. W0153	Not applicable	Prokaryotic cell	Antibiotic stress	1	Not available	Antibiotics	0.5	Mid exponential phase	Run 11	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	1DLC110217QE_antiEcoli_#11_BR3_FASP2_tip1.raw	1	Label free sample	NT=Q Exactive	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	20 ppm	5 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016001/1DLC110217QE_antiEcoli_#11_BR3_FASP2_tip1.raw	Antibiotics
Sample 12	Escherichia coli	Cell lysate	Escherichia coli str. W0153	Not applicable	Prokaryotic cell	Antibiotic stress	1	Not available	Antibiotics	0.5	Mid exponential phase	Run 12	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	1DLC110217QE_antiEcoli_#11_BR3_FASP2_tip2.raw	1	Label free sample	NT=Q Exactive	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	20 ppm	5 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016001/1DLC110217QE_antiEcoli_#11_BR3_FASP2_tip2.raw	Antibiotics
Sample 13	Escherichia coli	Cell lysate	Escherichia coli str. W0153	Not applicable	Prokaryotic cell	Antibiotic stress	1	Not available	Antibiotics	0.5	Mid exponential phase	Run 13	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	1DLC110217QE_antiEcoli_#28_BR1_run1.raw	1	Label free sample	NT=Q Exactive	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	20 ppm	5 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016001/1DLC110217QE_antiEcoli_#28_BR1_run1.raw	Antibiotics
Sample 14	Escherichia coli	Cell lysate	Escherichia coli str. W0153	Not applicable	Prokaryotic cell	Antibiotic stress	1	Not available	Antibiotics	0.5	Mid exponential phase	Run 14	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	1DLC110217QE_antiEcoli_#28_BR1_run2.raw	1	Label free sample	NT=Q Exactive	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	20 ppm	5 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016001/1DLC110217QE_antiEcoli_#28_BR1_run2.raw	Antibiotics
Sample 15	Escherichia coli	Cell lysate	Escherichia coli str. W0153	Not applicable	Prokaryotic cell	Antibiotic stress	1	Not available	Antibiotics	0.5	Mid exponential phase	Run 15	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	1DLC110217QE_antiEcoli_#28_BR2_run1.raw	1	Label free sample	NT=Q Exactive	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	20 ppm	5 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016001/1DLC110217QE_antiEcoli_#28_BR2_run1.raw	Antibiotics
Sample 16	Escherichia coli	Cell lysate	Escherichia coli str. W0153	Not applicable	Prokaryotic cell	Antibiotic stress	1	Not available	Antibiotics	0.5	Mid exponential phase	Run 16	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	1DLC110217QE_antiEcoli_#28_BR2_run2.raw	1	Label free sample	NT=Q Exactive	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	20 ppm	5 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016001/1DLC110217QE_antiEcoli_#28_BR2_run2.raw	Antibiotics
Sample 17	Escherichia coli	Cell lysate	Escherichia coli str. W0153	Not applicable	Prokaryotic cell	Antibiotic stress	1	Not available	Antibiotics	0.5	Mid exponential phase	Run 17	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	1DLC110217QE_antiEcoli_#28_BR3_run1.raw	1	Label free sample	NT=Q Exactive	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	20 ppm	5 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016001/1DLC110217QE_antiEcoli_#28_BR3_run1.raw	Antibiotics
Sample 18	Escherichia coli	Cell lysate	Escherichia coli str. W0153	Not applicable	Prokaryotic cell	Antibiotic stress	1	Not available	Antibiotics	0.5	Mid exponential phase	Run 18	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	1DLC110217QE_antiEcoli_#28_BR3_run2.raw	1	Label free sample	NT=Q Exactive	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	20 ppm	5 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016001/1DLC110217QE_antiEcoli_#28_BR3_run2.raw	Antibiotics
Sample 19	Escherichia coli	Cell lysate	Escherichia coli str. W0153	Not applicable	Prokaryotic cell	Antibiotic stress	1	Not available	Antibiotics	0.5	Mid exponential phase	Run 19	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	1DLC110217QE_antiEcoli_#28_BR3_run3.raw	1	Label free sample	NT=Q Exactive	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	20 ppm	5 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016001/1DLC110217QE_antiEcoli_#28_BR3_run3.raw	Antibiotics
Sample 20	Escherichia coli	Cell lysate	Escherichia coli str. W0153	Not applicable	Prokaryotic cell	Antibiotic stress	1	Not available	Antibiotics	0.5	Mid exponential phase	Run 20	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	1DLC110217QE_antiEcoli_#28_BR3_run4.raw	1	Label free sample	NT=Q Exactive	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	20 ppm	5 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016001/1DLC110217QE_antiEcoli_#28_BR3_run4.raw	Antibiotics
Sample 21	Escherichia coli	Cell lysate	Escherichia coli str. W0153	Not applicable	Prokaryotic cell	Antibiotic stress	1	Not available	Antibiotics	0.5	Mid exponential phase	Run 21	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	1DLC112017QE_antiEcoli_#18_BR2_FASP2.raw	1	Label free sample	NT=Q Exactive	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	20 ppm	5 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016001/1DLC112017QE_antiEcoli_#18_BR2_FASP2.raw	Antibiotics
Sample 22	Escherichia coli	Cell lysate	Escherichia coli str. W0153	Not applicable	Prokaryotic cell	Antibiotic stress	1	Not available	Antibiotics	0.5	Mid exponential phase	Run 22	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	1DLC112017QE_antiEcoli_#18_BR2_FASP3.raw	1	Label free sample	NT=Q Exactive	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	20 ppm	5 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016001/1DLC112017QE_antiEcoli_#18_BR2_FASP3.raw	Antibiotics
Sample 23	Escherichia coli	Cell lysate	Escherichia coli str. W0153	Not applicable	Prokaryotic cell	Antibiotic stress	1	Not available	Antibiotics	0.5	Mid exponential phase	Run 23	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	1DLC112017QE_antiEcoli_#19_BR2_FASP1.raw	1	Label free sample	NT=Q Exactive	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	20 ppm	5 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016001/1DLC112017QE_antiEcoli_#19_BR2_FASP1.raw	Antibiotics
Sample 24	Escherichia coli	Cell lysate	Escherichia coli str. W0153	Not applicable	Prokaryotic cell	Antibiotic stress	1	Not available	Antibiotics	0.5	Mid exponential phase	Run 24	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	1DLC112017QE_antiEcoli_#19_BR2_FASP2.raw	1	Label free sample	NT=Q Exactive	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	20 ppm	5 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016001/1DLC112017QE_antiEcoli_#19_BR2_FASP2.raw	Antibiotics
Sample 25	Escherichia coli	Cell lysate	Escherichia coli str. W0153	Not applicable	Prokaryotic cell	Antibiotic stress	1	Not available	Antibiotics	0.5	Mid exponential phase	Run 25	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	1DLC112017QE_antiEcoli_#19_BR2_FASP3.raw	1	Label free sample	NT=Q Exactive	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	20 ppm	5 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016001/1DLC112017QE_antiEcoli_#19_BR2_FASP3.raw	Antibiotics
Sample 26	Escherichia coli	Cell lysate	Escherichia coli str. W0153	Not applicable	Prokaryotic cell	Antibiotic stress	1	Not available	Antibiotics	0.5	Mid exponential phase	Run 26	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	1DLC112117QE_antiEcoli_#21_BR2_FASP1.raw	1	Label free sample	NT=Q Exactive	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	20 ppm	5 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016001/1DLC112117QE_antiEcoli_#21_BR2_FASP1.raw	Antibiotics
Sample 27	Escherichia coli	Cell lysate	Escherichia coli str. W0153	Not applicable	Prokaryotic cell	Antibiotic stress	1	Not available	Antibiotics	0.5	Mid exponential phase	Run 27	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	1DLC112117QE_antiEcoli_#21_BR2_FASP2.raw	1	Label free sample	NT=Q Exactive	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	20 ppm	5 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016001/1DLC112117QE_antiEcoli_#21_BR2_FASP2.raw	Antibiotics
Sample 28	Escherichia coli	Cell lysate	Escherichia coli str. W0153	Not applicable	Prokaryotic cell	Antibiotic stress	1	Not available	Antibiotics	0.5	Mid exponential phase	Run 28	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	1DLC112117QE_antiEcoli_#21_BR2_FASP3.raw	1	Label free sample	NT=Q Exactive	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	20 ppm	5 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016001/1DLC112117QE_antiEcoli_#21_BR2_FASP3.raw	Antibiotics
Sample 29	Escherichia coli	Cell lysate	Escherichia coli str. W0153	Not applicable	Prokaryotic cell	Antibiotic stress	1	Not available	Antibiotics	0.5	Mid exponential phase	Run 29	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	1DLC112117QE_antiEcoli_#27_BR2_FASP1.raw	1	Label free sample	NT=Q Exactive	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	20 ppm	5 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016001/1DLC112117QE_antiEcoli_#27_BR2_FASP1.raw	Antibiotics
Sample 30	Escherichia coli	Cell lysate	Escherichia coli str. W0153	Not applicable	Prokaryotic cell	Antibiotic stress	1	Not available	Antibiotics	0.5	Mid exponential phase	Run 30	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	1DLC112117QE_antiEcoli_#27_BR2_FASP2.raw	1	Label free sample	NT=Q Exactive	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	20 ppm	5 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016001/1DLC112117QE_antiEcoli_#27_BR2_FASP2.raw	Antibiotics
Sample 31	Escherichia coli	Cell lysate	Escherichia coli str. W0153	Not applicable	Prokaryotic cell	Antibiotic stress	1	Not available	Antibiotics	0.5	Mid exponential phase	Run 31	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	1DLC112117QE_antiEcoli_#27_BR2_FASP3.raw	1	Label free sample	NT=Q Exactive	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	20 ppm	5 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016001/1DLC112117QE_antiEcoli_#27_BR2_FASP3.raw	Antibiotics
Sample 32	Escherichia coli	Cell lysate	Escherichia coli str. W0153	Not applicable	Prokaryotic cell	Antibiotic stress	1	Not available	Antibiotics	0.5	Mid exponential phase	Run 32	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	1DLC112317QE_antiEcoli_#18_BR3_FASP1.raw	1	Label free sample	NT=Q Exactive	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	20 ppm	5 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016001/1DLC112317QE_antiEcoli_#18_BR3_FASP1.raw	Antibiotics
Sample 33	Escherichia coli	Cell lysate	Escherichia coli str. W0153	Not applicable	Prokaryotic cell	Antibiotic stress	1	Not available	Antibiotics	0.5	Mid exponential phase	Run 33	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	1DLC112317QE_antiEcoli_#18_BR3_FASP2.raw	1	Label free sample	NT=Q Exactive	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	20 ppm	5 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016001/1DLC112317QE_antiEcoli_#18_BR3_FASP2.raw	Antibiotics
