source name	characteristics[organism]	characteristics[organism part]	characteristics[developmental stage]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[cell type]	characteristics[cell line]	characteristics[compound]	characteristics[compound]	characteristics[concentration of]	characteristics[biological replicate]	characteristics[enrichment process]	characteristics[synthetic peptide]	characteristics[sample amount]	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[proteomics data acquisition method]	comment[label]	comment[cleavage agent details]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[sdrf version]	comment[sdrf template]
Sample 11	Homo sapiens	retinal pigment epithelium	not available	normal	not available	female	not available	epithelial cell	not applicable	none	kinase inhibitors MK-2206	1 uM	2	enrichment of phosphorylated Protein	not synthetic	not applicable	run 11	proteomic profiling by mass spectrometry	20180202_QE7_nLC7_DBJ_SA_DIAphos_RPE1_Akti_MK-2206_1_rep5_01.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20180202_QE7_nLC7_DBJ_SA_DIAphos_RPE1_Akti_MK-2206_1_rep5_01.raw	1	1	NT=Data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	not available	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 12	Homo sapiens	retinal pigment epithelium	not available	normal	not available	female	not available	epithelial cell	not applicable	none	kinase inhibitors MK-2206	1 uM	3	enrichment of phosphorylated Protein	not synthetic	not applicable	run 12	proteomic profiling by mass spectrometry	20180202_QE7_nLC7_DBJ_SA_DIAphos_RPE1_Akti_MK-2206_1_rep6_01.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20180202_QE7_nLC7_DBJ_SA_DIAphos_RPE1_Akti_MK-2206_1_rep6_01.raw	1	1	NT=Data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	not available	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 13	Homo sapiens	retinal pigment epithelium	not available	normal	not available	female	not available	epithelial cell	not applicable	none	kinase inhibitors Perifisone	0.1 uM	1	enrichment of phosphorylated Protein	not synthetic	not applicable	run 13	proteomic profiling by mass spectrometry	20180202_QE7_nLC7_DBJ_SA_DIAphos_RPE1_Akti_Perifosine_0-1_rep4_01.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20180202_QE7_nLC7_DBJ_SA_DIAphos_RPE1_Akti_Perifosine_0-1_rep4_01.raw	1	1	NT=Data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	not available	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 14	Homo sapiens	retinal pigment epithelium	not available	normal	not available	female	not available	epithelial cell	not applicable	none	kinase inhibitors Perifisone	0.1 uM	2	enrichment of phosphorylated Protein	not synthetic	not applicable	run 14	proteomic profiling by mass spectrometry	20180202_QE7_nLC7_DBJ_SA_DIAphos_RPE1_Akti_Perifosine_0-1_rep5_01.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20180202_QE7_nLC7_DBJ_SA_DIAphos_RPE1_Akti_Perifosine_0-1_rep5_01.raw	1	1	NT=Data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	not available	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 15	Homo sapiens	retinal pigment epithelium	not available	normal	not available	female	not available	epithelial cell	not applicable	none	kinase inhibitors Perifisone	0.1 uM	3	enrichment of phosphorylated Protein	not synthetic	not applicable	run 15	proteomic profiling by mass spectrometry	20180202_QE7_nLC7_DBJ_SA_DIAphos_RPE1_Akti_Perifosine_0-1_rep6_01.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20180202_QE7_nLC7_DBJ_SA_DIAphos_RPE1_Akti_Perifosine_0-1_rep6_01.raw	1	1	NT=Data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	not available	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 16	Homo sapiens	retinal pigment epithelium	not available	normal	not available	female	not available	epithelial cell	not applicable	none	kinase inhibitors Perifisone	1 uM	1	enrichment of phosphorylated Protein	not synthetic	not applicable	run 16	proteomic profiling by mass spectrometry	20180202_QE7_nLC7_DBJ_SA_DIAphos_RPE1_Akti_Perifosine_1_rep4_01.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20180202_QE7_nLC7_DBJ_SA_DIAphos_RPE1_Akti_Perifosine_1_rep4_01.raw	1	1	NT=Data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	not available	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 17	Homo sapiens	retinal pigment epithelium	not available	normal	not available	female	not available	epithelial cell	not applicable	none	kinase inhibitors Perifisone	1 uM	2	enrichment of phosphorylated Protein	not synthetic	not applicable	run 17	proteomic profiling by mass spectrometry	20180202_QE7_nLC7_DBJ_SA_DIAphos_RPE1_Akti_Perifosine_1_rep5_01.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20180202_QE7_nLC7_DBJ_SA_DIAphos_RPE1_Akti_Perifosine_1_rep5_01.raw	1	1	NT=Data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	not available	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 18	Homo sapiens	retinal pigment epithelium	not available	normal	not available	female	not available	epithelial cell	not applicable	none	kinase inhibitors Perifisone	1 uM	3	enrichment of phosphorylated Protein	not synthetic	not applicable	run 18	proteomic profiling by mass spectrometry	20180202_QE7_nLC7_DBJ_SA_DIAphos_RPE1_Akti_Perifosine_1_rep6_01.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20180202_QE7_nLC7_DBJ_SA_DIAphos_RPE1_Akti_Perifosine_1_rep6_01.raw	1	1	NT=Data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	not available	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 19	Homo sapiens	retinal pigment epithelium	not available	normal	not available	female	not available	epithelial cell	not applicable	none	kinase inhibitors AG1478	0.1 uM	1	enrichment of phosphorylated Protein	not synthetic	not applicable	run 19	proteomic profiling by mass spectrometry	20180202_QE7_nLC7_DBJ_SA_DIAphos_RPE1_EGFRi_AG1478_0-1_rep4_01.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20180202_QE7_nLC7_DBJ_SA_DIAphos_RPE1_EGFRi_AG1478_0-1_rep4_01.raw	1	1	NT=Data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	not available	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 20	Homo sapiens	retinal pigment epithelium	not available	normal	not available	female	not available	epithelial cell	not applicable	none	kinase inhibitors AG1478	0.1 uM	2	enrichment of phosphorylated Protein	not synthetic	not applicable	run 20	proteomic profiling by mass spectrometry	20180202_QE7_nLC7_DBJ_SA_DIAphos_RPE1_EGFRi_AG1478_0-1_rep5_01.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20180202_QE7_nLC7_DBJ_SA_DIAphos_RPE1_EGFRi_AG1478_0-1_rep5_01.raw	1	1	NT=Data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	not available	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 21	Homo sapiens	retinal pigment epithelium	not available	normal	not available	female	not available	epithelial cell	not applicable	none	kinase inhibitors AG1478	0.1 uM	3	enrichment of phosphorylated Protein	not synthetic	not applicable	run 21	proteomic profiling by mass spectrometry	20180202_QE7_nLC7_DBJ_SA_DIAphos_RPE1_EGFRi_AG1478_0-1_rep6_01.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20180202_QE7_nLC7_DBJ_SA_DIAphos_RPE1_EGFRi_AG1478_0-1_rep6_01.raw	1	1	NT=Data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	not available	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 22	Homo sapiens	retinal pigment epithelium	not available	normal	not available	female	not available	epithelial cell	not applicable	none	kinase inhibitors AG1478	1 uM	1	enrichment of phosphorylated Protein	not synthetic	not applicable	run 22	proteomic profiling by mass spectrometry	20180202_QE7_nLC7_DBJ_SA_DIAphos_RPE1_EGFRi_AG1478_1_rep4_01.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20180202_QE7_nLC7_DBJ_SA_DIAphos_RPE1_EGFRi_AG1478_1_rep4_01.raw	1	1	NT=Data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	not available	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 23	Homo sapiens	retinal pigment epithelium	not available	normal	not available	female	not available	epithelial cell	not applicable	none	kinase inhibitors AG1478	1 uM	2	enrichment of phosphorylated Protein	not synthetic	not applicable	run 23	proteomic profiling by mass spectrometry	20180202_QE7_nLC7_DBJ_SA_DIAphos_RPE1_EGFRi_AG1478_1_rep5_01.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20180202_QE7_nLC7_DBJ_SA_DIAphos_RPE1_EGFRi_AG1478_1_rep5_01.raw	1	1	NT=Data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	not available	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 24	Homo sapiens	retinal pigment epithelium	not available	normal	not available	female	not available	epithelial cell	not applicable	none	kinase inhibitors AG1478	1 uM	3	enrichment of phosphorylated Protein	not synthetic	not applicable	run 24	proteomic profiling by mass spectrometry	20180202_QE7_nLC7_DBJ_SA_DIAphos_RPE1_EGFRi_AG1478_1_rep6_01.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20180202_QE7_nLC7_DBJ_SA_DIAphos_RPE1_EGFRi_AG1478_1_rep6_01.raw	1	1	NT=Data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	not available	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 25	Homo sapiens	retinal pigment epithelium	not available	normal	not available	female	not available	epithelial cell	not applicable	none	kinase inhibitors erlotinib	0.1 uM	1	enrichment of phosphorylated Protein	not synthetic	not applicable	run 25	proteomic profiling by mass spectrometry	20180202_QE7_nLC7_DBJ_SA_DIAphos_RPE1_EGFRi_Erlotinib_0-1_rep4_01.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20180202_QE7_nLC7_DBJ_SA_DIAphos_RPE1_EGFRi_Erlotinib_0-1_rep4_01.raw	1	1	NT=Data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	not available	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 26	Homo sapiens	retinal pigment epithelium	not available	normal	not available	female	not available	epithelial cell	not applicable	none	kinase inhibitors erlotinib	0.1 uM	2	enrichment of phosphorylated Protein	not synthetic	not applicable	run 26	proteomic profiling by mass spectrometry	20180202_QE7_nLC7_DBJ_SA_DIAphos_RPE1_EGFRi_Erlotinib_0-1_rep5_01.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20180202_QE7_nLC7_DBJ_SA_DIAphos_RPE1_EGFRi_Erlotinib_0-1_rep5_01.raw	1	1	NT=Data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	not available	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 27	Homo sapiens	retinal pigment epithelium	not available	normal	not available	female	not available	epithelial cell	not applicable	none	kinase inhibitors erlotinib	0.1 uM	3	enrichment of phosphorylated Protein	not synthetic	not applicable	run 27	proteomic profiling by mass spectrometry	20180202_QE7_nLC7_DBJ_SA_DIAphos_RPE1_EGFRi_Erlotinib_0-1_rep6_01.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20180202_QE7_nLC7_DBJ_SA_DIAphos_RPE1_EGFRi_Erlotinib_0-1_rep6_01.raw	1	1	NT=Data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	not available	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 28	Homo sapiens	retinal pigment epithelium	not available	normal	not available	female	not available	epithelial cell	not applicable	none	kinase inhibitors erlotinib	1 uM	1	enrichment of phosphorylated Protein	not synthetic	not applicable	run 28	proteomic profiling by mass spectrometry	20180202_QE7_nLC7_DBJ_SA_DIAphos_RPE1_EGFRi_Erlotinib_1_rep4_01.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20180202_QE7_nLC7_DBJ_SA_DIAphos_RPE1_EGFRi_Erlotinib_1_rep4_01.raw	1	1	NT=Data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	not available	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 29	Homo sapiens	retinal pigment epithelium	not available	normal	not available	female	not available	epithelial cell	not applicable	none	kinase inhibitors erlotinib	1 uM	2	enrichment of phosphorylated Protein	not synthetic	not applicable	run 29	proteomic profiling by mass spectrometry	20180202_QE7_nLC7_DBJ_SA_DIAphos_RPE1_EGFRi_Erlotinib_1_rep5_01.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20180202_QE7_nLC7_DBJ_SA_DIAphos_RPE1_EGFRi_Erlotinib_1_rep5_01.raw	1	1	NT=Data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	not available	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 30	Homo sapiens	retinal pigment epithelium	not available	normal	not available	female	not available	epithelial cell	not applicable	none	kinase inhibitors erlotinib	1 uM	3	enrichment of phosphorylated Protein	not synthetic	not applicable	run 30	proteomic profiling by mass spectrometry	20180202_QE7_nLC7_DBJ_SA_DIAphos_RPE1_EGFRi_Erlotinib_1_rep6_01.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20180202_QE7_nLC7_DBJ_SA_DIAphos_RPE1_EGFRi_Erlotinib_1_rep6_01.raw	1	1	NT=Data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	not available	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	v1.1.0	NT=ms-proteomics;version=v1.1.0
