#file_format=SDRF
#version=v1.1.0
#template=default
#template_version=v1.1.0
source name	characteristics[organism]	characteristics[organism part]	characteristics[ancestry category]	characteristics[age]	characteristics[developmental stage]	characteristics[sex]	characteristics[cell line]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	material type	assay name	technology type	comment[fraction identifier]	comment[technical replicate]	comment[file uri]	comment[instrument]	comment[MS2 analyzer type]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[proteomics data acquisition method]	comment[data file]
Sample 5	Homo sapiens	cervix	Black	31Y	adult	female	HeLa cells	adenocarcinoma	epithelial	1	cell line	run 11	proteomic profiling by mass spectrometry	1	2	https://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD000895/120123_C2_CYT.raw	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	not available	not available	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	120123_C2_CYT.raw
Sample 6	Homo sapiens	cervix	Black	31Y	adult	female	HeLa cells	adenocarcinoma	epithelial	1	cell line	run 12	proteomic profiling by mass spectrometry	1	2	https://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD000895/120123_C2_NF.raw	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	not available	not available	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	120123_C2_NF.raw
Sample 7	Homo sapiens	cervix	Black	31Y	adult	female	HeLa cells	adenocarcinoma	epithelial	1	cell line	run 13	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD000895/120123_hnRNPH1_CYT.raw	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	not available	not available	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	120123_hnRNPH1_CYT.raw
Sample 8	Homo sapiens	cervix	Black	31Y	adult	female	HeLa cells	adenocarcinoma	epithelial	1	cell line	run 14	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD000895/120123_hnRNPH1_NF.raw	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	not available	not available	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	120123_hnRNPH1_NF.raw
Sample 7	Homo sapiens	cervix	Black	31Y	adult	female	HeLa cells	adenocarcinoma	epithelial	1	cell line	run 15	proteomic profiling by mass spectrometry	1	2	https://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD000895/120123_hnRNPH2_CYT.raw	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	not available	not available	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	120123_hnRNPH2_CYT.raw
Sample 8	Homo sapiens	cervix	Black	31Y	adult	female	HeLa cells	adenocarcinoma	epithelial	1	cell line	run 16	proteomic profiling by mass spectrometry	1	2	https://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD000895/120123_hnRNPH2_NF.raw	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	not available	not available	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	120123_hnRNPH2_NF.raw
Sample 9	Homo sapiens	cervix	Black	31Y	adult	female	HeLa cells	adenocarcinoma	epithelial	1	cell line	run 17	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD000895/120308_C1_CYT.raw	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	not available	not available	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	120308_C1_CYT.raw
Sample 10	Homo sapiens	cervix	Black	31Y	adult	female	HeLa cells	adenocarcinoma	epithelial	1	cell line	run 18	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD000895/120308_C1_NF.raw	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	not available	not available	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	120308_C1_NF.raw
Sample 9	Homo sapiens	cervix	Black	31Y	adult	female	HeLa cells	adenocarcinoma	epithelial	1	cell line	run 19	proteomic profiling by mass spectrometry	1	2	https://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD000895/120308_C2_CYT.raw	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	not available	not available	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	120308_C2_CYT.raw
Sample 10	Homo sapiens	cervix	Black	31Y	adult	female	HeLa cells	adenocarcinoma	epithelial	1	cell line	run 20	proteomic profiling by mass spectrometry	1	2	https://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD000895/120308_C2_NF.raw	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	not available	not available	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	120308_C2_NF.raw
Sample 11	Homo sapiens	cervix	Black	31Y	adult	female	HeLa cells	adenocarcinoma	epithelial	1	cell line	run 21	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD000895/120308_hnRNPH1_CYT.raw	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	not available	not available	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	120308_hnRNPH1_CYT.raw
Sample 12	Homo sapiens	cervix	Black	31Y	adult	female	HeLa cells	adenocarcinoma	epithelial	1	cell line	run 22	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD000895/120308_hnRNPH1_NF.raw	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	not available	not available	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	120308_hnRNPH1_NF.raw
Sample 11	Homo sapiens	cervix	Black	31Y	adult	female	HeLa cells	adenocarcinoma	epithelial	1	cell line	run 23	proteomic profiling by mass spectrometry	1	2	https://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD000895/120308_hnRNPH2_CYT.raw	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	not available	not available	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	120308_hnRNPH2_CYT.raw
Sample 12	Homo sapiens	cervix	Black	31Y	adult	female	HeLa cells	adenocarcinoma	epithelial	1	cell line	run 24	proteomic profiling by mass spectrometry	1	2	https://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD000895/120308_hnRNPH2_NF.raw	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	not available	not available	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	120308_hnRNPH2_NF.raw
Sample 13	Homo sapiens	cervix	Black	31Y	adult	female	HeLa cells	adenocarcinoma	epithelial	1	cell line	run 25	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD000895/120318_C1_CYT.raw	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	not available	not available	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	120318_C1_CYT.raw
Sample 14	Homo sapiens	cervix	Black	31Y	adult	female	HeLa cells	adenocarcinoma	epithelial	1	cell line	run 26	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD000895/120318_C1_NF.raw	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	not available	not available	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	120318_C1_NF.raw
Sample 13	Homo sapiens	cervix	Black	31Y	adult	female	HeLa cells	adenocarcinoma	epithelial	1	cell line	run 27	proteomic profiling by mass spectrometry	1	2	https://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD000895/120318_C2_CYT.raw	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	not available	not available	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	120318_C2_CYT.raw
Sample 14	Homo sapiens	cervix	Black	31Y	adult	female	HeLa cells	adenocarcinoma	epithelial	1	cell line	run 28	proteomic profiling by mass spectrometry	1	2	https://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD000895/120318_C2_NF.raw	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	not available	not available	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	120318_C2_NF.raw
Sample 15	Homo sapiens	cervix	Black	31Y	adult	female	HeLa cells	adenocarcinoma	epithelial	1	cell line	run 29	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD000895/120318_hnRNPH1_CYT.raw	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	not available	not available	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	120318_hnRNPH1_CYT.raw
Sample 16	Homo sapiens	cervix	Black	31Y	adult	female	HeLa cells	adenocarcinoma	epithelial	1	cell line	run 30	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD000895/120318_hnRNPH1_NF.raw	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	not available	not available	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	120318_hnRNPH1_NF.raw
Sample 15	Homo sapiens	cervix	Black	31Y	adult	female	HeLa cells	adenocarcinoma	epithelial	1	cell line	run 31	proteomic profiling by mass spectrometry	1	2	https://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD000895/120318_hnRNPH2_CYT.raw	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	not available	not available	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	120318_hnRNPH2_CYT.raw
Sample 16	Homo sapiens	cervix	Black	31Y	adult	female	HeLa cells	adenocarcinoma	epithelial	1	cell line	run 32	proteomic profiling by mass spectrometry	1	2	https://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD000895/120318_hnRNPH2_NF.raw	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	not available	not available	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	120318_hnRNPH2_NF.raw
