Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[ancestry category]	Characteristics[age]	Characteristics[developmental stage]	Characteristics[sex]	Characteristics[cell type]	Characteristics[disease]	Characteristics[phenotype]	Material Type	Assay Name	Technology Type	Comment[fraction identifier]	Comment[technical replicate]	Characteristics[biological replicate]	Comment[file uri]	Comment[Experiment Type]	Comment[instrument]	Comment[MS2 analyzer type]	Comment[MS2 analyzer type]	Comment[label]	Comment[cleavage agent details]	Comment[modification parameters]	Comment[dissociation method]	Comment[collision energy]	Comment[precursor mass tolerance]	Comment[fragment mass tolerance]	Comment[data file]
Sample 11	Homo sapiens	urine	not available	not available	adult	not available	not available	normal	healthy	tissue	run 11	proteomic profiling by mass spectrometry	1	1	30	http://download.iprox.org/IPX0002166000/IPX0002166001/0000_ZYH_NZ54_HF5_H30_20170823.raw	Shotgun proteomics	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Orbitrap;AC=MS:1000484	NT=Ion Trap;AC=MS:1000264	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;TA=M;AC=UNIMOD:35	not available	not available	20 ppm	0.5 Da	0000_ZYH_NZ54_HF5_H30_20170823.raw
Sample 12	Homo sapiens	urine	not available	not available	adult	not available	not available	normal	healthy	tissue	run 12	proteomic profiling by mass spectrometry	1	1	31	http://download.iprox.org/IPX0002166000/IPX0002166001/0000_ZYH_NZ55_HF5_H31_20170823.raw	Shotgun proteomics	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Orbitrap;AC=MS:1000484	NT=Ion Trap;AC=MS:1000264	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;TA=M;AC=UNIMOD:35	not available	not available	20 ppm	0.5 Da	0000_ZYH_NZ55_HF5_H31_20170823.raw
Sample 13	Homo sapiens	urine	not available	not available	adult	not available	not available	normal	healthy	tissue	run 13	proteomic profiling by mass spectrometry	1	1	32	http://download.iprox.org/IPX0002166000/IPX0002166001/0000_ZYH_NZ57_HF5_H32_20170823.raw	Shotgun proteomics	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Orbitrap;AC=MS:1000484	NT=Ion Trap;AC=MS:1000264	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;TA=M;AC=UNIMOD:35	not available	not available	20 ppm	0.5 Da	0000_ZYH_NZ57_HF5_H32_20170823.raw
Sample 14	Homo sapiens	urine	not available	not available	adult	not available	not available	normal	healthy	tissue	run 14	proteomic profiling by mass spectrometry	1	1	22	http://download.iprox.org/IPX0002166000/IPX0002166001/170322_HF02_SW_NB9_H22_F1_R1.raw	Shotgun proteomics	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Orbitrap;AC=MS:1000484	NT=Ion Trap;AC=MS:1000264	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;TA=M;AC=UNIMOD:35	not available	not available	20 ppm	0.5 Da	170322_HF02_SW_NB9_H22_F1_R1.raw
Sample 15	Homo sapiens	urine	not available	not available	adult	not available	not available	normal	healthy	tissue	run 15	proteomic profiling by mass spectrometry	1	1	7	http://download.iprox.org/IPX0002166000/IPX0002166001/170401_HF01_SW_973A_NB04_H07_F1_R1.raw	Shotgun proteomics	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Orbitrap;AC=MS:1000484	NT=Ion Trap;AC=MS:1000264	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;TA=M;AC=UNIMOD:35	not available	not available	20 ppm	0.5 Da	170401_HF01_SW_973A_NB04_H07_F1_R1.raw
Sample 16	Homo sapiens	urine	not available	not available	adult	not available	not available	normal	healthy	tissue	run 16	proteomic profiling by mass spectrometry	1	1	8	http://download.iprox.org/IPX0002166000/IPX0002166001/170401_HF01_SW_973A_NB05_H08_F1_R1.raw	Shotgun proteomics	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Orbitrap;AC=MS:1000484	NT=Ion Trap;AC=MS:1000264	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;TA=M;AC=UNIMOD:35	not available	not available	20 ppm	0.5 Da	170401_HF01_SW_973A_NB05_H08_F1_R1.raw
Sample 17	Homo sapiens	urine	not available	not available	adult	not available	not available	normal	healthy	tissue	run 17	proteomic profiling by mass spectrometry	1	1	10	http://download.iprox.org/IPX0002166000/IPX0002166001/170401_HF01_SW_973A_NB11_H10_F1_R1.raw	Shotgun proteomics	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Orbitrap;AC=MS:1000484	NT=Ion Trap;AC=MS:1000264	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;TA=M;AC=UNIMOD:35	not available	not available	20 ppm	0.5 Da	170401_HF01_SW_973A_NB11_H10_F1_R1.raw
Sample 18	Homo sapiens	urine	not available	not available	adult	not available	not available	normal	healthy	tissue	run 18	proteomic profiling by mass spectrometry	1	1	11	http://download.iprox.org/IPX0002166000/IPX0002166001/170401_HF01_SW_973A_NB13_H11_F1_R1.raw	Shotgun proteomics	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Orbitrap;AC=MS:1000484	NT=Ion Trap;AC=MS:1000264	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;TA=M;AC=UNIMOD:35	not available	not available	20 ppm	0.5 Da	170401_HF01_SW_973A_NB13_H11_F1_R1.raw
Sample 19	Homo sapiens	urine	not available	not available	adult	not available	not available	normal	healthy	tissue	run 19	proteomic profiling by mass spectrometry	1	1	12	http://download.iprox.org/IPX0002166000/IPX0002166001/170401_HF01_SW_973A_NB15_H12_F1_R1.raw	Shotgun proteomics	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Orbitrap;AC=MS:1000484	NT=Ion Trap;AC=MS:1000264	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;TA=M;AC=UNIMOD:35	not available	not available	20 ppm	0.5 Da	170401_HF01_SW_973A_NB15_H12_F1_R1.raw
Sample 20	Homo sapiens	urine	not available	not available	adult	not available	not available	normal	healthy	tissue	run 20	proteomic profiling by mass spectrometry	1	1	13	http://download.iprox.org/IPX0002166000/IPX0002166001/170401_HF01_SW_973A_NB17_H13_F1_R1.raw	Shotgun proteomics	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Orbitrap;AC=MS:1000484	NT=Ion Trap;AC=MS:1000264	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;TA=M;AC=UNIMOD:35	not available	not available	20 ppm	0.5 Da	170401_HF01_SW_973A_NB17_H13_F1_R1.raw
Sample 21	Homo sapiens	urine	not available	not available	adult	not available	not available	normal	healthy	tissue	run 21	proteomic profiling by mass spectrometry	1	1	14	http://download.iprox.org/IPX0002166000/IPX0002166001/170401_HF01_SW_973A_NB19_H14_F1_R1.raw	Shotgun proteomics	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Orbitrap;AC=MS:1000484	NT=Ion Trap;AC=MS:1000264	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;TA=M;AC=UNIMOD:35	not available	not available	20 ppm	0.5 Da	170401_HF01_SW_973A_NB19_H14_F1_R1.raw
Sample 22	Homo sapiens	urine	not available	not available	adult	not available	not available	normal	healthy	tissue	run 22	proteomic profiling by mass spectrometry	1	1	15	http://download.iprox.org/IPX0002166000/IPX0002166001/170401_HF01_SW_973A_NB24_H15_F1_R1.raw	Shotgun proteomics	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Orbitrap;AC=MS:1000484	NT=Ion Trap;AC=MS:1000264	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;TA=M;AC=UNIMOD:35	not available	not available	20 ppm	0.5 Da	170401_HF01_SW_973A_NB24_H15_F1_R1.raw
Sample 23	Homo sapiens	urine	not available	not available	adult	not available	not available	normal	healthy	tissue	run 23	proteomic profiling by mass spectrometry	1	1	16	http://download.iprox.org/IPX0002166000/IPX0002166001/170401_HF01_SW_973A_NB25_H16_F1_R1.raw	Shotgun proteomics	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Orbitrap;AC=MS:1000484	NT=Ion Trap;AC=MS:1000264	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;TA=M;AC=UNIMOD:35	not available	not available	20 ppm	0.5 Da	170401_HF01_SW_973A_NB25_H16_F1_R1.raw
Sample 24	Homo sapiens	urine	not available	not available	adult	not available	not available	normal	healthy	tissue	run 24	proteomic profiling by mass spectrometry	1	1	17	http://download.iprox.org/IPX0002166000/IPX0002166001/170401_HF01_SW_973A_NB26_H17_F1_R1.raw	Shotgun proteomics	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Orbitrap;AC=MS:1000484	NT=Ion Trap;AC=MS:1000264	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;TA=M;AC=UNIMOD:35	not available	not available	20 ppm	0.5 Da	170401_HF01_SW_973A_NB26_H17_F1_R1.raw
Sample 25	Homo sapiens	urine	not available	not available	adult	not available	not available	normal	healthy	tissue	run 25	proteomic profiling by mass spectrometry	1	1	18	http://download.iprox.org/IPX0002166000/IPX0002166001/170401_HF01_SW_973A_NB27_H18_F1_R1.raw	Shotgun proteomics	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Orbitrap;AC=MS:1000484	NT=Ion Trap;AC=MS:1000264	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;TA=M;AC=UNIMOD:35	not available	not available	20 ppm	0.5 Da	170401_HF01_SW_973A_NB27_H18_F1_R1.raw
Sample 26	Homo sapiens	urine	not available	not available	adult	not available	not available	normal	healthy	tissue	run 26	proteomic profiling by mass spectrometry	1	1	19	http://download.iprox.org/IPX0002166000/IPX0002166001/170401_HF01_SW_973A_NB28_H19_F1_R1.raw	Shotgun proteomics	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Orbitrap;AC=MS:1000484	NT=Ion Trap;AC=MS:1000264	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;TA=M;AC=UNIMOD:35	not available	not available	20 ppm	0.5 Da	170401_HF01_SW_973A_NB28_H19_F1_R1.raw
Sample 27	Homo sapiens	urine	not available	not available	adult	not available	not available	normal	healthy	tissue	run 27	proteomic profiling by mass spectrometry	1	1	6	http://download.iprox.org/IPX0002166000/IPX0002166001/LTQ_Urine-H06-m1.raw	Shotgun proteomics	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Orbitrap;AC=MS:1000484	NT=Ion Trap;AC=MS:1000264	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;TA=M;AC=UNIMOD:35	not available	not available	20 ppm	0.5 Da	LTQ_Urine-H06-m1.raw
Sample 27	Homo sapiens	urine	not available	not available	adult	not available	not available	normal	healthy	tissue	run 28	proteomic profiling by mass spectrometry	1	2	6	http://download.iprox.org/IPX0002166000/IPX0002166001/LTQ_Urine-H06-m2.raw	Shotgun proteomics	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Orbitrap;AC=MS:1000484	NT=Ion Trap;AC=MS:1000264	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;TA=M;AC=UNIMOD:35	not available	not available	20 ppm	0.5 Da	LTQ_Urine-H06-m2.raw
Sample 27	Homo sapiens	urine	not available	not available	adult	not available	not available	normal	healthy	tissue	run 29	proteomic profiling by mass spectrometry	1	3	6	http://download.iprox.org/IPX0002166000/IPX0002166001/LTQ_Urine-H06-m3.raw	Shotgun proteomics	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Orbitrap;AC=MS:1000484	NT=Ion Trap;AC=MS:1000264	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;TA=M;AC=UNIMOD:35	not available	not available	20 ppm	0.5 Da	LTQ_Urine-H06-m3.raw
Sample 28	Homo sapiens	urine	not available	not available	adult	male	not available	COVID-19	infected	tissue	run 30	proteomic profiling by mass spectrometry	1	1	1	http://download.iprox.org/IPX0002166000/IPX0002166001/Lumos1_2019nCoV_Urine_P1_r1.raw	Shotgun proteomics	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Orbitrap;AC=MS:1000484	NT=Ion Trap;AC=MS:1000264	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;TA=M;AC=UNIMOD:35	not available	not available	20 ppm	0.5 Da	Lumos1_2019nCoV_Urine_P1_r1.raw
Sample 28	Homo sapiens	urine	not available	not available	adult	male	not available	COVID-19	infected	tissue	run 31	proteomic profiling by mass spectrometry	1	2	1	http://download.iprox.org/IPX0002166000/IPX0002166001/Lumos1_2019nCoV_Urine_P1_r2.raw	Shotgun proteomics	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Orbitrap;AC=MS:1000484	NT=Ion Trap;AC=MS:1000264	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;TA=M;AC=UNIMOD:35	not available	not available	20 ppm	0.5 Da	Lumos1_2019nCoV_Urine_P1_r2.raw
Sample 29	Homo sapiens	urine	not available	not available	adult	male	not available	COVID-19	infected	tissue	run 32	proteomic profiling by mass spectrometry	1	1	2	http://download.iprox.org/IPX0002166000/IPX0002166001/Lumos1_2019nCoV_Urine_P2_r1.raw	Shotgun proteomics	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Orbitrap;AC=MS:1000484	NT=Ion Trap;AC=MS:1000264	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;TA=M;AC=UNIMOD:35	not available	not available	20 ppm	0.5 Da	Lumos1_2019nCoV_Urine_P2_r1.raw
Sample 29	Homo sapiens	urine	not available	not available	adult	male	not available	COVID-19	infected	tissue	run 33	proteomic profiling by mass spectrometry	1	2	2	http://download.iprox.org/IPX0002166000/IPX0002166001/Lumos1_2019nCoV_Urine_P2_r2.raw	Shotgun proteomics	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Orbitrap;AC=MS:1000484	NT=Ion Trap;AC=MS:1000264	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;TA=M;AC=UNIMOD:35	not available	not available	20 ppm	0.5 Da	Lumos1_2019nCoV_Urine_P2_r2.raw
Sample 30	Homo sapiens	urine	not available	not available	adult	male	not available	COVID-19	infected	tissue	run 34	proteomic profiling by mass spectrometry	1	1	3	http://download.iprox.org/IPX0002166000/IPX0002166001/Lumos1_2019nCoV_Urine_P3_r1.raw	Shotgun proteomics	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Orbitrap;AC=MS:1000484	NT=Ion Trap;AC=MS:1000264	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;TA=M;AC=UNIMOD:35	not available	not available	20 ppm	0.5 Da	Lumos1_2019nCoV_Urine_P3_r1.raw
Sample 30	Homo sapiens	urine	not available	not available	adult	male	not available	COVID-19	infected	tissue	run 35	proteomic profiling by mass spectrometry	1	2	3	http://download.iprox.org/IPX0002166000/IPX0002166001/Lumos1_2019nCoV_Urine_P3_r2.raw	Shotgun proteomics	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Orbitrap;AC=MS:1000484	NT=Ion Trap;AC=MS:1000264	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;TA=M;AC=UNIMOD:35	not available	not available	20 ppm	0.5 Da	Lumos1_2019nCoV_Urine_P3_r2.raw
Sample 31	Homo sapiens	urine	not available	not available	adult	male	not available	COVID-19	infected	tissue	run 36	proteomic profiling by mass spectrometry	1	1	4	http://download.iprox.org/IPX0002166000/IPX0002166001/Lumos1_2019nCoV_Urine_P4_r1.raw	Shotgun proteomics	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Orbitrap;AC=MS:1000484	NT=Ion Trap;AC=MS:1000264	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;TA=M;AC=UNIMOD:35	not available	not available	20 ppm	0.5 Da	Lumos1_2019nCoV_Urine_P4_r1.raw
Sample 31	Homo sapiens	urine	not available	not available	adult	male	not available	COVID-19	infected	tissue	run 37	proteomic profiling by mass spectrometry	1	2	4	http://download.iprox.org/IPX0002166000/IPX0002166001/Lumos1_2019nCoV_Urine_P4_r2.raw	Shotgun proteomics	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Orbitrap;AC=MS:1000484	NT=Ion Trap;AC=MS:1000264	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;TA=M;AC=UNIMOD:35	not available	not available	20 ppm	0.5 Da	Lumos1_2019nCoV_Urine_P4_r2.raw
Sample 32	Homo sapiens	urine	not available	not available	adult	famale	not available	COVID-19	infected	tissue	run 38	proteomic profiling by mass spectrometry	1	1	5	http://download.iprox.org/IPX0002166000/IPX0002166001/Lumos1_2019nCoV_Urine_P5_r1.raw	Shotgun proteomics	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Orbitrap;AC=MS:1000484	NT=Ion Trap;AC=MS:1000264	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;TA=M;AC=UNIMOD:35	not available	not available	20 ppm	0.5 Da	Lumos1_2019nCoV_Urine_P5_r1.raw
Sample 32	Homo sapiens	urine	not available	not available	adult	famale	not available	COVID-19	infected	tissue	run 39	proteomic profiling by mass spectrometry	1	2	5	http://download.iprox.org/IPX0002166000/IPX0002166001/Lumos1_2019nCoV_Urine_P5_r2.raw	Shotgun proteomics	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Orbitrap;AC=MS:1000484	NT=Ion Trap;AC=MS:1000264	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;TA=M;AC=UNIMOD:35	not available	not available	20 ppm	0.5 Da	Lumos1_2019nCoV_Urine_P5_r2.raw
Sample 33	Homo sapiens	urine	not available	not available	adult	famale	not available	COVID-19	infected	tissue	run 40	proteomic profiling by mass spectrometry	1	1	6	http://download.iprox.org/IPX0002166000/IPX0002166001/Lumos1_2019nCoV_Urine_P6_r1.raw	Shotgun proteomics	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Orbitrap;AC=MS:1000484	NT=Ion Trap;AC=MS:1000264	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;TA=M;AC=UNIMOD:35	not available	not available	20 ppm	0.5 Da	Lumos1_2019nCoV_Urine_P6_r1.raw
Sample 33	Homo sapiens	urine	not available	not available	adult	famale	not available	COVID-19	infected	tissue	run 41	proteomic profiling by mass spectrometry	1	2	6	http://download.iprox.org/IPX0002166000/IPX0002166001/Lumos1_2019nCoV_Urine_P6_r2.raw	Shotgun proteomics	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Orbitrap;AC=MS:1000484	NT=Ion Trap;AC=MS:1000264	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;TA=M;AC=UNIMOD:35	not available	not available	20 ppm	0.5 Da	Lumos1_2019nCoV_Urine_P6_r2.raw
Sample 34	Homo sapiens	urine	not available	not available	adult	not available	not available	normal	recovery	tissue	run 42	proteomic profiling by mass spectrometry	1	1	1	http://download.iprox.org/IPX0002166000/IPX0002166001/Lumos1_2019nCoV_Urine_RP1_r1.raw	Shotgun proteomics	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Orbitrap;AC=MS:1000484	NT=Ion Trap;AC=MS:1000264	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;TA=M;AC=UNIMOD:35	not available	not available	20 ppm	0.5 Da	Lumos1_2019nCoV_Urine_RP1_r1.raw
Sample 34	Homo sapiens	urine	not available	not available	adult	not available	not available	normal	recovery	tissue	run 43	proteomic profiling by mass spectrometry	1	2	1	http://download.iprox.org/IPX0002166000/IPX0002166001/Lumos1_2019nCoV_Urine_RP1_r2.raw	Shotgun proteomics	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Orbitrap;AC=MS:1000484	NT=Ion Trap;AC=MS:1000264	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;TA=M;AC=UNIMOD:35	not available	not available	20 ppm	0.5 Da	Lumos1_2019nCoV_Urine_RP1_r2.raw
