source name	characteristics[organism]	characteristics[organism part]	characteristics[developmental stage]	characteristics[ancestry category]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[cell type]	characteristics[treatment]	characteristics[cell line]	characteristics[biological replicate]	material type	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[ms2 mass analyzer]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[cell line]	factor value[treatment]
Sample 11	Homo sapiens	not applicable	not available	not available	Melanoma	not available	not available	not available	heat shock	335	5	cell	run 11	proteomic profiling by mass spectrometry	20161223_Qp2_65_335_T2.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/12/PXD007662/20161223_Qp2_65_335_T2.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	AC=MS:1000484; NT=Orbitrap	AC=MS:1002634; NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	10 ppm	0.02 Da	335	heat shock
Sample 12	Homo sapiens	not applicable	not available	not available	Melanoma	not available	not available	not available	heat shock	335	6	cell	run 12	proteomic profiling by mass spectrometry	20161223_Qp2_34_335_T3.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/12/PXD007662/20161223_Qp2_34_335_T3.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	AC=MS:1000484; NT=Orbitrap	AC=MS:1002634; NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	10 ppm	0.02 Da	335	heat shock
Sample 13	Homo sapiens	not applicable	not available	not available	Melanoma	not available	not available	not available	none	G	1	cell	run 13	proteomic profiling by mass spectrometry	20161223_Qp2_25_G_T1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/12/PXD007662/20161223_Qp2_25_G_T1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	AC=MS:1000484; NT=Orbitrap	AC=MS:1002634; NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	10 ppm	0.02 Da	G	none
Sample 14	Homo sapiens	not applicable	not available	not available	Melanoma	not available	not available	not available	none	G	2	cell	run 14	proteomic profiling by mass spectrometry	20161223_Qp2_45_G_T2.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/12/PXD007662/20161223_Qp2_45_G_T2.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	AC=MS:1000484; NT=Orbitrap	AC=MS:1002634; NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	10 ppm	0.02 Da	G	none
Sample 15	Homo sapiens	not applicable	not available	not available	Melanoma	not available	not available	not available	none	G	3	cell	run 15	proteomic profiling by mass spectrometry	20161223_Qp2_03_G_T3.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/12/PXD007662/20161223_Qp2_03_G_T3.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	AC=MS:1000484; NT=Orbitrap	AC=MS:1002634; NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	10 ppm	0.02 Da	G	none
Sample 16	Homo sapiens	not applicable	not available	not available	Melanoma	not available	not available	not available	heat shock	G	4	cell	run 16	proteomic profiling by mass spectrometry	20161223_Qp2_57_G_1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/12/PXD007662/20161223_Qp2_57_G_1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	AC=MS:1000484; NT=Orbitrap	AC=MS:1002634; NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	10 ppm	0.02 Da	G	heat shock
Sample 17	Homo sapiens	not applicable	not available	not available	Melanoma	not available	not available	not available	heat shock	G	5	cell	run 17	proteomic profiling by mass spectrometry	20161223_Qp2_22_G_2.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/12/PXD007662/20161223_Qp2_22_G_2.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	AC=MS:1000484; NT=Orbitrap	AC=MS:1002634; NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	10 ppm	0.02 Da	G	heat shock
Sample 18	Homo sapiens	not applicable	not available	not available	Melanoma	not available	not available	not available	heat shock	G	6	cell	run 18	proteomic profiling by mass spectrometry	20161223_Qp2_39_G_3.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/12/PXD007662/20161223_Qp2_39_G_3.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	AC=MS:1000484; NT=Orbitrap	AC=MS:1002634; NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	10 ppm	0.02 Da	G	heat shock
Sample 19	Homo sapiens	not applicable	not available	not available	Melanoma	not available	not available	not available	none	KIS	1	cell	run 19	proteomic profiling by mass spectrometry	20161223_Qp2_13_KIS_T1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/12/PXD007662/20161223_Qp2_13_KIS_T1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	AC=MS:1000484; NT=Orbitrap	AC=MS:1002634; NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	10 ppm	0.02 Da	KIS	none
Sample 20	Homo sapiens	not applicable	not available	not available	Melanoma	not available	not available	not available	none	KIS	2	cell	run 20	proteomic profiling by mass spectrometry	20161223_Qp2_23_KIS_T2.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/12/PXD007662/20161223_Qp2_23_KIS_T2.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	AC=MS:1000484; NT=Orbitrap	AC=MS:1002634; NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	10 ppm	0.02 Da	KIS	none
Sample 21	Homo sapiens	not applicable	not available	not available	Melanoma	not available	not available	not available	none	KIS	3	cell	run 21	proteomic profiling by mass spectrometry	20161223_Qp2_28_KIS_T3.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/12/PXD007662/20161223_Qp2_28_KIS_T3.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	AC=MS:1000484; NT=Orbitrap	AC=MS:1002634; NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	10 ppm	0.02 Da	KIS	none
Sample 22	Homo sapiens	not applicable	not available	not available	Melanoma	not available	not available	not available	heat shock	KIS	4	cell	run 22	proteomic profiling by mass spectrometry	20161223_Qp2_60_KIS_1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/12/PXD007662/20161223_Qp2_60_KIS_1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	AC=MS:1000484; NT=Orbitrap	AC=MS:1002634; NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	10 ppm	0.02 Da	KIS	heat shock
Sample 23	Homo sapiens	not applicable	not available	not available	Melanoma	not available	not available	not available	heat shock	KIS	5	cell	run 23	proteomic profiling by mass spectrometry	20161223_Qp2_67_KIS_2.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/12/PXD007662/20161223_Qp2_67_KIS_2.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	AC=MS:1000484; NT=Orbitrap	AC=MS:1002634; NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	10 ppm	0.02 Da	KIS	heat shock
Sample 24	Homo sapiens	not applicable	not available	not available	Melanoma	not available	not available	not available	heat shock	KIS	6	cell	run 24	proteomic profiling by mass spectrometry	20161223_Qp2_09_KIS_3.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/12/PXD007662/20161223_Qp2_09_KIS_3.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	AC=MS:1000484; NT=Orbitrap	AC=MS:1002634; NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	10 ppm	0.02 Da	KIS	heat shock
Sample 25	Homo sapiens	not applicable	not available	not available	Melanoma	not available	not available	not available	none	KOR	1	cell	run 25	proteomic profiling by mass spectrometry	20161223_Qp2_48_KOR_T1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/12/PXD007662/20161223_Qp2_48_KOR_T1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	AC=MS:1000484; NT=Orbitrap	AC=MS:1002634; NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	10 ppm	0.02 Da	KOR	none
Sample 26	Homo sapiens	not applicable	not available	not available	Melanoma	not available	not available	not available	none	KOR	2	cell	run 26	proteomic profiling by mass spectrometry	20161223_Qp2_08_KOR_T2.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/12/PXD007662/20161223_Qp2_08_KOR_T2.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	AC=MS:1000484; NT=Orbitrap	AC=MS:1002634; NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	10 ppm	0.02 Da	KOR	none
Sample 27	Homo sapiens	not applicable	not available	not available	Melanoma	not available	not available	not available	none	KOR	3	cell	run 27	proteomic profiling by mass spectrometry	20161223_Qp2_59_KOR_T3.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/12/PXD007662/20161223_Qp2_59_KOR_T3.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	AC=MS:1000484; NT=Orbitrap	AC=MS:1002634; NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	10 ppm	0.02 Da	KOR	none
Sample 28	Homo sapiens	not applicable	not available	not available	Melanoma	not available	not available	not available	heat shock	KOR	4	cell	run 28	proteomic profiling by mass spectrometry	20161223_Qp2_47_KOR_1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/12/PXD007662/20161223_Qp2_47_KOR_1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	AC=MS:1000484; NT=Orbitrap	AC=MS:1002634; NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	10 ppm	0.02 Da	KOR	heat shock
Sample 29	Homo sapiens	not applicable	not available	not available	Melanoma	not available	not available	not available	heat shock	KOR	5	cell	run 29	proteomic profiling by mass spectrometry	20161223_Qp2_37_KOR_2.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/12/PXD007662/20161223_Qp2_37_KOR_2.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	AC=MS:1000484; NT=Orbitrap	AC=MS:1002634; NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	10 ppm	0.02 Da	KOR	heat shock
Sample 30	Homo sapiens	not applicable	not available	not available	Melanoma	not available	not available	not available	heat shock	KOR	6	cell	run 30	proteomic profiling by mass spectrometry	20161223_Qp2_18_KOR_3.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/12/PXD007662/20161223_Qp2_18_KOR_3.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	AC=MS:1000484; NT=Orbitrap	AC=MS:1002634; NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	10 ppm	0.02 Da	KOR	heat shock
Sample 31	Homo sapiens	not applicable	not available	not available	Melanoma	not available	not available	not available	none	ME	1	cell	run 31	proteomic profiling by mass spectrometry	20161223_Qp2_17_ME_T1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/12/PXD007662/20161223_Qp2_17_ME_T1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	AC=MS:1000484; NT=Orbitrap	AC=MS:1002634; NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	10 ppm	0.02 Da	ME	none
Sample 32	Homo sapiens	not applicable	not available	not available	Melanoma	not available	not available	not available	none	ME	2	cell	run 32	proteomic profiling by mass spectrometry	20161223_Qp2_05_ME_T2.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/12/PXD007662/20161223_Qp2_05_ME_T2.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	AC=MS:1000484; NT=Orbitrap	AC=MS:1002634; NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	10 ppm	0.02 Da	ME	none
Sample 33	Homo sapiens	not applicable	not available	not available	Melanoma	not available	not available	not available	none	ME	3	cell	run 33	proteomic profiling by mass spectrometry	20161223_Qp2_50_ME_T3.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/12/PXD007662/20161223_Qp2_50_ME_T3.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	AC=MS:1000484; NT=Orbitrap	AC=MS:1002634; NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	10 ppm	0.02 Da	ME	none
Sample 34	Homo sapiens	not applicable	not available	not available	Melanoma	not available	not available	not available	heat shock	ME	4	cell	run 34	proteomic profiling by mass spectrometry	20161223_Qp2_30_ME_1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/12/PXD007662/20161223_Qp2_30_ME_1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	AC=MS:1000484; NT=Orbitrap	AC=MS:1002634; NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	10 ppm	0.02 Da	ME	heat shock
Sample 35	Homo sapiens	not applicable	not available	not available	Melanoma	not available	not available	not available	heat shock	ME	5	cell	run 35	proteomic profiling by mass spectrometry	20161223_Qp2_32_ME_2.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/12/PXD007662/20161223_Qp2_32_ME_2.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	AC=MS:1000484; NT=Orbitrap	AC=MS:1002634; NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	10 ppm	0.02 Da	ME	heat shock
