source name	assay name	characteristics[organism]	characteristics[organism part]	characteristics[sex]	characteristics[cell type]	characteristics[development stage]	characteristics[disease]	comment[biological replicate]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[fraction identifier]	comment[instrument]	comment[cleavage agent details]	comment[number of missed cleavages]	comment[data file]	comment[file uri]
E1	run_1_fraction_10	Citrus maxima	floral bud	male	not applicable	stage 3	sterile (G1+HBP)	1	iTRAQ reagent 115	NT=iTRAQ8plex:13C(6)15N(2) ;PP=Any N-term;TA=K;AC=UNIMOD:731;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	10	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	2	P12162_1_F10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD000527/P12162_1_F10.raw
F1	run_1_fraction_10	Citrus maxima	floral bud	male	not applicable	stage 3	fertile (HBP)	1	iTRAQ reagent 116	NT=iTRAQ8plex;PP=Any N-term;TA=K;AC=UNIMOD:730;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	10	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	2	P12162_1_F10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD000527/P12162_1_F10.raw
C1	run_1_fraction_10	Citrus maxima	floral bud	male	not applicable	stage 2	sterile (G1+HBP)	1	iTRAQ reagent 117	NT=iTRAQ8plex;PP=Any N-term;TA=K;AC=UNIMOD:730;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	10	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	2	P12162_1_F10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD000527/P12162_1_F10.raw
B1	run_1_fraction_10	Citrus maxima	floral bud	male	not applicable	stage 1	fertile (HBP)	1	iTRAQ reagent 118	NT=iTRAQ8plex:13C(6)15N(2) ;PP=Any N-term;TA=K;AC=UNIMOD:731;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	10	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	2	P12162_1_F10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD000527/P12162_1_F10.raw
D1	run_1_fraction_10	Citrus maxima	floral bud	male	not applicable	stage 2	fertile (HBP)	1	iTRAQ reagent 119	NT=iTRAQ8plex:13C(6)15N(2) ;PP=Any N-term;TA=K;AC=UNIMOD:731;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	10	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	2	P12162_1_F10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD000527/P12162_1_F10.raw
E2	run_1_fraction_10	Citrus maxima	floral bud	male	not applicable	stage 3	sterile (G1+HBP)	2	iTRAQ reagent 121	NT=iTRAQ8plex:13C(6)15N(2) ;PP=Any N-term;TA=K;AC=UNIMOD:731;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	10	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	2	P12162_1_F10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD000527/P12162_1_F10.raw
IS1	run_1_fraction_2	Citrus maxima	floral bud	male	not applicable	pool	pool	1	iTRAQ reagent 113	NT=iTRAQ8plex;PP=Any N-term;TA=K;AC=UNIMOD:730;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	2	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	2	P12162_1_F2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD000527/P12162_1_F2.raw
A1	run_1_fraction_2	Citrus maxima	floral bud	male	not applicable	stage 1	sterile (G1+HBP)	1	iTRAQ reagent 114	NT=iTRAQ8plex;PP=Any N-term;TA=K;AC=UNIMOD:730;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	2	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	2	P12162_1_F2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD000527/P12162_1_F2.raw
E1	run_1_fraction_2	Citrus maxima	floral bud	male	not applicable	stage 3	sterile (G1+HBP)	1	iTRAQ reagent 115	NT=iTRAQ8plex:13C(6)15N(2) ;PP=Any N-term;TA=K;AC=UNIMOD:731;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	2	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	2	P12162_1_F2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD000527/P12162_1_F2.raw
F1	run_1_fraction_2	Citrus maxima	floral bud	male	not applicable	stage 3	fertile (HBP)	1	iTRAQ reagent 116	NT=iTRAQ8plex;PP=Any N-term;TA=K;AC=UNIMOD:730;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	2	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	2	P12162_1_F2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD000527/P12162_1_F2.raw
C1	run_1_fraction_2	Citrus maxima	floral bud	male	not applicable	stage 2	sterile (G1+HBP)	1	iTRAQ reagent 117	NT=iTRAQ8plex;PP=Any N-term;TA=K;AC=UNIMOD:730;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	2	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	2	P12162_1_F2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD000527/P12162_1_F2.raw
B1	run_1_fraction_2	Citrus maxima	floral bud	male	not applicable	stage 1	fertile (HBP)	1	iTRAQ reagent 118	NT=iTRAQ8plex:13C(6)15N(2) ;PP=Any N-term;TA=K;AC=UNIMOD:731;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	2	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	2	P12162_1_F2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD000527/P12162_1_F2.raw
D1	run_1_fraction_2	Citrus maxima	floral bud	male	not applicable	stage 2	fertile (HBP)	1	iTRAQ reagent 119	NT=iTRAQ8plex:13C(6)15N(2) ;PP=Any N-term;TA=K;AC=UNIMOD:731;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	2	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	2	P12162_1_F2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD000527/P12162_1_F2.raw
E2	run_1_fraction_2	Citrus maxima	floral bud	male	not applicable	stage 3	sterile (G1+HBP)	2	iTRAQ reagent 121	NT=iTRAQ8plex:13C(6)15N(2) ;PP=Any N-term;TA=K;AC=UNIMOD:731;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	2	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	2	P12162_1_F2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD000527/P12162_1_F2.raw
IS1	run_1_fraction_3	Citrus maxima	floral bud	male	not applicable	pool	pool	1	iTRAQ reagent 113	NT=iTRAQ8plex;PP=Any N-term;TA=K;AC=UNIMOD:730;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	3	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	2	P12162_1_F3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD000527/P12162_1_F3.raw
A1	run_1_fraction_3	Citrus maxima	floral bud	male	not applicable	stage 1	sterile (G1+HBP)	1	iTRAQ reagent 114	NT=iTRAQ8plex;PP=Any N-term;TA=K;AC=UNIMOD:730;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	3	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	2	P12162_1_F3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD000527/P12162_1_F3.raw
E1	run_1_fraction_3	Citrus maxima	floral bud	male	not applicable	stage 3	sterile (G1+HBP)	1	iTRAQ reagent 115	NT=iTRAQ8plex:13C(6)15N(2) ;PP=Any N-term;TA=K;AC=UNIMOD:731;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	3	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	2	P12162_1_F3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD000527/P12162_1_F3.raw
F1	run_1_fraction_3	Citrus maxima	floral bud	male	not applicable	stage 3	fertile (HBP)	1	iTRAQ reagent 116	NT=iTRAQ8plex;PP=Any N-term;TA=K;AC=UNIMOD:730;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	3	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	2	P12162_1_F3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD000527/P12162_1_F3.raw
C1	run_1_fraction_3	Citrus maxima	floral bud	male	not applicable	stage 2	sterile (G1+HBP)	1	iTRAQ reagent 117	NT=iTRAQ8plex;PP=Any N-term;TA=K;AC=UNIMOD:730;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	3	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	2	P12162_1_F3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD000527/P12162_1_F3.raw
B1	run_1_fraction_3	Citrus maxima	floral bud	male	not applicable	stage 1	fertile (HBP)	1	iTRAQ reagent 118	NT=iTRAQ8plex:13C(6)15N(2) ;PP=Any N-term;TA=K;AC=UNIMOD:731;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	3	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	2	P12162_1_F3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD000527/P12162_1_F3.raw
D1	run_1_fraction_3	Citrus maxima	floral bud	male	not applicable	stage 2	fertile (HBP)	1	iTRAQ reagent 119	NT=iTRAQ8plex:13C(6)15N(2) ;PP=Any N-term;TA=K;AC=UNIMOD:731;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	3	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	2	P12162_1_F3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD000527/P12162_1_F3.raw
E2	run_1_fraction_3	Citrus maxima	floral bud	male	not applicable	stage 3	sterile (G1+HBP)	2	iTRAQ reagent 121	NT=iTRAQ8plex:13C(6)15N(2) ;PP=Any N-term;TA=K;AC=UNIMOD:731;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	3	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	2	P12162_1_F3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD000527/P12162_1_F3.raw
IS1	run_1_fraction_4	Citrus maxima	floral bud	male	not applicable	pool	pool	1	iTRAQ reagent 113	NT=iTRAQ8plex;PP=Any N-term;TA=K;AC=UNIMOD:730;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	4	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	2	P12162_1_F4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD000527/P12162_1_F4.raw
A1	run_1_fraction_4	Citrus maxima	floral bud	male	not applicable	stage 1	sterile (G1+HBP)	1	iTRAQ reagent 114	NT=iTRAQ8plex;PP=Any N-term;TA=K;AC=UNIMOD:730;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	4	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	2	P12162_1_F4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD000527/P12162_1_F4.raw
E1	run_1_fraction_4	Citrus maxima	floral bud	male	not applicable	stage 3	sterile (G1+HBP)	1	iTRAQ reagent 115	NT=iTRAQ8plex:13C(6)15N(2) ;PP=Any N-term;TA=K;AC=UNIMOD:731;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	4	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	2	P12162_1_F4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD000527/P12162_1_F4.raw
F1	run_1_fraction_4	Citrus maxima	floral bud	male	not applicable	stage 3	fertile (HBP)	1	iTRAQ reagent 116	NT=iTRAQ8plex;PP=Any N-term;TA=K;AC=UNIMOD:730;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	4	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	2	P12162_1_F4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD000527/P12162_1_F4.raw
C1	run_1_fraction_4	Citrus maxima	floral bud	male	not applicable	stage 2	sterile (G1+HBP)	1	iTRAQ reagent 117	NT=iTRAQ8plex;PP=Any N-term;TA=K;AC=UNIMOD:730;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	4	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	2	P12162_1_F4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD000527/P12162_1_F4.raw
B1	run_1_fraction_4	Citrus maxima	floral bud	male	not applicable	stage 1	fertile (HBP)	1	iTRAQ reagent 118	NT=iTRAQ8plex:13C(6)15N(2) ;PP=Any N-term;TA=K;AC=UNIMOD:731;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	4	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	2	P12162_1_F4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD000527/P12162_1_F4.raw
D1	run_1_fraction_4	Citrus maxima	floral bud	male	not applicable	stage 2	fertile (HBP)	1	iTRAQ reagent 119	NT=iTRAQ8plex:13C(6)15N(2) ;PP=Any N-term;TA=K;AC=UNIMOD:731;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	4	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	2	P12162_1_F4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD000527/P12162_1_F4.raw
E2	run_1_fraction_4	Citrus maxima	floral bud	male	not applicable	stage 3	sterile (G1+HBP)	2	iTRAQ reagent 121	NT=iTRAQ8plex:13C(6)15N(2) ;PP=Any N-term;TA=K;AC=UNIMOD:731;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	4	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	2	P12162_1_F4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD000527/P12162_1_F4.raw
IS1	run_1_fraction_5	Citrus maxima	floral bud	male	not applicable	pool	pool	1	iTRAQ reagent 113	NT=iTRAQ8plex;PP=Any N-term;TA=K;AC=UNIMOD:730;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	5	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	2	P12162_1_F5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD000527/P12162_1_F5.raw
A1	run_1_fraction_5	Citrus maxima	floral bud	male	not applicable	stage 1	sterile (G1+HBP)	1	iTRAQ reagent 114	NT=iTRAQ8plex;PP=Any N-term;TA=K;AC=UNIMOD:730;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	5	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	2	P12162_1_F5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD000527/P12162_1_F5.raw
E1	run_1_fraction_5	Citrus maxima	floral bud	male	not applicable	stage 3	sterile (G1+HBP)	1	iTRAQ reagent 115	NT=iTRAQ8plex:13C(6)15N(2) ;PP=Any N-term;TA=K;AC=UNIMOD:731;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	5	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	2	P12162_1_F5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD000527/P12162_1_F5.raw
F1	run_1_fraction_5	Citrus maxima	floral bud	male	not applicable	stage 3	fertile (HBP)	1	iTRAQ reagent 116	NT=iTRAQ8plex;PP=Any N-term;TA=K;AC=UNIMOD:730;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	5	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	2	P12162_1_F5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD000527/P12162_1_F5.raw
C1	run_1_fraction_5	Citrus maxima	floral bud	male	not applicable	stage 2	sterile (G1+HBP)	1	iTRAQ reagent 117	NT=iTRAQ8plex;PP=Any N-term;TA=K;AC=UNIMOD:730;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	5	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	2	P12162_1_F5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD000527/P12162_1_F5.raw
B1	run_1_fraction_5	Citrus maxima	floral bud	male	not applicable	stage 1	fertile (HBP)	1	iTRAQ reagent 118	NT=iTRAQ8plex:13C(6)15N(2) ;PP=Any N-term;TA=K;AC=UNIMOD:731;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	5	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	2	P12162_1_F5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD000527/P12162_1_F5.raw
D1	run_1_fraction_5	Citrus maxima	floral bud	male	not applicable	stage 2	fertile (HBP)	1	iTRAQ reagent 119	NT=iTRAQ8plex:13C(6)15N(2) ;PP=Any N-term;TA=K;AC=UNIMOD:731;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	5	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	2	P12162_1_F5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD000527/P12162_1_F5.raw
