#file_format=SDRF
#version=v1.1.0
#template=ms-proteomics,version=v1.1.0
source name	characteristics[organism]	characteristics[organism part]	characteristics[strain/breed]	characteristics[disease]	characteristics[cell type]	characteristics[growth condition]	characteristics[biological replicate]	characteristics[medium]	characteristics[medium supplements]	characteristics[aeration]	characteristics[temperature]	characteristics[pH]	characteristics[growth phase]	characteristics[growth rate]	assay name	technology type	comment[technical replicate]	comment[proteomics data acquisition method]	comment[data file]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[cleavage agent details]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[file uri]	factor value[strain/breed]	factor value[growth condition]
Sample 11	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. NCM3722	Not applicable	Prokaryotic cell	Glucose	2	M9 minimal medium	Glucose	Not available	37°C	7	Steady state growth	1,03	Run 11	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	A14-07029.raw	1	Label free sample	NT=Orbitrap Elite	NT=Trypsin;AC=1001251	NT=LysC; AC=1001317	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD000498/A14-07029.raw	Escherichia coli str. K-12 substr. NCM3722	Glucose
Sample 12	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. NCM3722	Not applicable	Prokaryotic cell	Glucose	3	M9 minimal medium	Glucose	Not available	37°C	7	Steady state growth	1,03	Run 12	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	A14-07030.raw	1	Label free sample	NT=Orbitrap Elite	NT=Trypsin;AC=1001251	NT=LysC; AC=1001318	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD000498/A14-07030.raw	Escherichia coli str. K-12 substr. NCM3722	Glucose
Sample 13	Escherichia coli	Cell lysate	Escherichia coli BW25113	Not applicable	Prokaryotic cell	LB medium	1	LB medium	Not applicable	Not available	37°C	7	Steady state growth	1,9	Run 13	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	A14-07032.raw	1	Label free sample	NT=Orbitrap Elite	NT=Trypsin;AC=1001251	NT=LysC; AC=1001319	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD000498/A14-07032.raw	Escherichia coli BW25113	LB medium
Sample 14	Escherichia coli	Cell lysate	Escherichia coli BW25113	Not applicable	Prokaryotic cell	LB medium	2	LB medium	Not applicable	Not available	37°C	7	Steady state growth	1,9	Run 14	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	A14-07033.raw	1	Label free sample	NT=Orbitrap Elite	NT=Trypsin;AC=1001251	NT=LysC; AC=1001320	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD000498/A14-07033.raw	Escherichia coli BW25113	LB medium
Sample 15	Escherichia coli	Cell lysate	Escherichia coli BW25113	Not applicable	Prokaryotic cell	LB medium	3	LB medium	Not applicable	Not available	37°C	7	Steady state growth	1,9	Run 15	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	A14-07034.raw	1	Label free sample	NT=Orbitrap Elite	NT=Trypsin;AC=1001251	NT=LysC; AC=1001321	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD000498/A14-07034.raw	Escherichia coli BW25113	LB medium
Sample 16	Escherichia coli	Cell lysate	Escherichia coli BW25113	Not applicable	Prokaryotic cell	Glucose	1	M9 minimal medium	Glucose	Not available	37°C	7	Steady state growth	0,58	Run 16	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	A14-07036.raw	1	Label free sample	NT=Orbitrap Elite	NT=Trypsin;AC=1001251	NT=LysC; AC=1001322	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD000498/A14-07036.raw	Escherichia coli BW25113	Glucose
Sample 17	Escherichia coli	Cell lysate	Escherichia coli BW25113	Not applicable	Prokaryotic cell	Glucose	2	M9 minimal medium	Glucose	Not available	37°C	7	Steady state growth	0,58	Run 17	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	A14-07037.raw	1	Label free sample	NT=Orbitrap Elite	NT=Trypsin;AC=1001251	NT=LysC; AC=1001323	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD000498/A14-07037.raw	Escherichia coli BW25113	Glucose
Sample 18	Escherichia coli	Cell lysate	Escherichia coli BW25113	Not applicable	Prokaryotic cell	Glucose	3	M9 minimal medium	Glucose	Not available	37°C	7	Steady state growth	0,58	Run 18	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	A14-07038.raw	1	Label free sample	NT=Orbitrap Elite	NT=Trypsin;AC=1001251	NT=LysC; AC=1001324	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD000498/A14-07038.raw	Escherichia coli BW25113	Glucose
Sample 19	Escherichia coli	Cell lysate	Escherichia coli BW25113	Not applicable	Prokaryotic cell	Glycerol+AA	1	M9 minimal medium	Glycerol+AA	Not available	37°C	7	Steady state growth	1,27	Run 19	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	A14-07040.raw	1	Label free sample	NT=Orbitrap Elite	NT=Trypsin;AC=1001251	NT=LysC; AC=1001325	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD000498/A14-07040.raw	Escherichia coli BW25113	Glycerol+AA
Sample 20	Escherichia coli	Cell lysate	Escherichia coli BW25113	Not applicable	Prokaryotic cell	Glycerol+AA	2	M9 minimal medium	Glycerol+AA	Not available	37°C	7	Steady state growth	1,27	Run 20	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	A14-07041.raw	1	Label free sample	NT=Orbitrap Elite	NT=Trypsin;AC=1001251	NT=LysC; AC=1001326	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD000498/A14-07041.raw	Escherichia coli BW25113	Glycerol+AA
Sample 21	Escherichia coli	Cell lysate	Escherichia coli BW25113	Not applicable	Prokaryotic cell	Glycerol+AA	3	M9 minimal medium	Glycerol+AA	Not available	37°C	7	Steady state growth	1,27	Run 21	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	A14-07042.raw	1	Label free sample	NT=Orbitrap Elite	NT=Trypsin;AC=1001251	NT=LysC; AC=1001327	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD000498/A14-07042.raw	Escherichia coli BW25113	Glycerol+AA
Sample 22	Escherichia coli	Cell lysate	Escherichia coli BW25113	Not applicable	Prokaryotic cell	Acetate	1	M9 minimal medium	Acetate	Not available	37°C	7	Steady state growth	0,3	Run 22	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	A14-07044.raw	1	Label free sample	NT=Orbitrap Elite	NT=Trypsin;AC=1001251	NT=LysC; AC=1001328	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD000498/A14-07044.raw	Escherichia coli BW25113	Acetate
Sample 23	Escherichia coli	Cell lysate	Escherichia coli BW25113	Not applicable	Prokaryotic cell	Acetate	2	M9 minimal medium	Acetate	Not available	37°C	7	Steady state growth	0,3	Run 23	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	A14-07045.raw	1	Label free sample	NT=Orbitrap Elite	NT=Trypsin;AC=1001251	NT=LysC; AC=1001329	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD000498/A14-07045.raw	Escherichia coli BW25113	Acetate
Sample 24	Escherichia coli	Cell lysate	Escherichia coli BW25113	Not applicable	Prokaryotic cell	Acetate	3	M9 minimal medium	Acetate	Not available	37°C	7	Steady state growth	0,3	Run 24	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	A14-07046.raw	1	Label free sample	NT=Orbitrap Elite	NT=Trypsin;AC=1001251	NT=LysC; AC=1001330	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD000498/A14-07046.raw	Escherichia coli BW25113	Acetate
Sample 25	Escherichia coli	Cell lysate	Escherichia coli BW25113	Not applicable	Prokaryotic cell	Fumarate	1	M9 minimal medium	Fumarate	Not available	37°C	7	Steady state growth	0,42	Run 25	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	A14-07048.raw	1	Label free sample	NT=Orbitrap Elite	NT=Trypsin;AC=1001251	NT=LysC; AC=1001331	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD000498/A14-07048.raw	Escherichia coli BW25113	Fumarate
Sample 26	Escherichia coli	Cell lysate	Escherichia coli BW25113	Not applicable	Prokaryotic cell	Fumarate	2	M9 minimal medium	Fumarate	Not available	37°C	7	Steady state growth	0,42	Run 26	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	A14-07049.raw	1	Label free sample	NT=Orbitrap Elite	NT=Trypsin;AC=1001251	NT=LysC; AC=1001332	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD000498/A14-07049.raw	Escherichia coli BW25113	Fumarate
Sample 27	Escherichia coli	Cell lysate	Escherichia coli BW25113	Not applicable	Prokaryotic cell	Fumarate	3	M9 minimal medium	Fumarate	Not available	37°C	7	Steady state growth	0,42	Run 27	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	A14-07050.raw	1	Label free sample	NT=Orbitrap Elite	NT=Trypsin;AC=1001251	NT=LysC; AC=1001333	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD000498/A14-07050.raw	Escherichia coli BW25113	Fumarate
Sample 28	Escherichia coli	Cell lysate	Escherichia coli BW25113	Not applicable	Prokaryotic cell	Glucosamine	1	M9 minimal medium	Glucosamine	Not available	37°C	7	Steady state growth	0,46	Run 28	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	A14-07052.raw	1	Label free sample	NT=Orbitrap Elite	NT=Trypsin;AC=1001251	NT=LysC; AC=1001334	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD000498/A14-07052.raw	Escherichia coli BW25113	Glucosamine
Sample 29	Escherichia coli	Cell lysate	Escherichia coli BW25113	Not applicable	Prokaryotic cell	Glucosamine	2	M9 minimal medium	Glucosamine	Not available	37°C	7	Steady state growth	0,46	Run 29	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	A14-07053.raw	1	Label free sample	NT=Orbitrap Elite	NT=Trypsin;AC=1001251	NT=LysC; AC=1001335	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD000498/A14-07053.raw	Escherichia coli BW25113	Glucosamine
Sample 30	Escherichia coli	Cell lysate	Escherichia coli BW25113	Not applicable	Prokaryotic cell	Glucosamine	3	M9 minimal medium	Glucosamine	Not available	37°C	7	Steady state growth	0,46	Run 30	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	A14-07054.raw	1	Label free sample	NT=Orbitrap Elite	NT=Trypsin;AC=1001251	NT=LysC; AC=1001336	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD000498/A14-07054.raw	Escherichia coli BW25113	Glucosamine
Sample 31	Escherichia coli	Cell lysate	Escherichia coli BW25113	Not applicable	Prokaryotic cell	Glycerol	1	M9 minimal medium	Glycerol	Not available	37°C	7	Steady state growth	0,47	Run 31	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	A14-07056.raw	1	Label free sample	NT=Orbitrap Elite	NT=Trypsin;AC=1001251	NT=LysC; AC=1001337	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD000498/A14-07056.raw	Escherichia coli BW25113	Glycerol
Sample 32	Escherichia coli	Cell lysate	Escherichia coli BW25113	Not applicable	Prokaryotic cell	Glycerol	2	M9 minimal medium	Glycerol	Not available	37°C	7	Steady state growth	0,47	Run 32	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	A14-07057.raw	1	Label free sample	NT=Orbitrap Elite	NT=Trypsin;AC=1001251	NT=LysC; AC=1001338	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD000498/A14-07057.raw	Escherichia coli BW25113	Glycerol
Sample 33	Escherichia coli	Cell lysate	Escherichia coli BW25113	Not applicable	Prokaryotic cell	Glycerol	3	M9 minimal medium	Glycerol	Not available	37°C	7	Steady state growth	0,47	Run 33	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	A14-07058.raw	1	Label free sample	NT=Orbitrap Elite	NT=Trypsin;AC=1001251	NT=LysC; AC=1001339	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD000498/A14-07058.raw	Escherichia coli BW25113	Glycerol
