source name	characteristics[organism]	characteristics[organism part]	characteristics[age]	characteristics[developmental stage]	characteristics[sex]	characteristics[ancestry category]	characteristics[disease]	characteristics[compound]	characteristics[phenotype]	characteristics[cell type]	characteristics[cell line]	characteristics[enrichment process]	characteristics[biological replicate]	material type	assay name	technology type	comment[fractionation method]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[dissociation method]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[file uri]	comment[data file]	factor value[compound]	factor value[enrichment process]
Sample 2	Homo sapiens	cervix	31Y	adult	female	Black	adenocarcinoma	none	compound: none	epithelial cell	HeLa-S3	enrichment of phosphorylated Protein	5	cell	run 11	proteomic profiling by mass spectrometry	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	1	5	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	20 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000612/20111225_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep5_Fr5.raw	20111225_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep5_Fr5.raw	none	enrichment of phosphorylated Protein
Sample 2	Homo sapiens	cervix	31Y	adult	female	Black	adenocarcinoma	none	compound: none	epithelial cell	HeLa-S3	enrichment of phosphorylated Protein	5	cell	run 12	proteomic profiling by mass spectrometry	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	1	6	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	20 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000612/20111225_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep5_Fr6.raw	20111225_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep5_Fr6.raw	none	enrichment of phosphorylated Protein
Sample 3	Homo sapiens	cervix	31Y	adult	female	Black	adenocarcinoma	none	compound: none	epithelial cell	HeLa-S3	enrichment of phosphorylated Protein	1	cell	run 13	proteomic profiling by mass spectrometry	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	20 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000612/20120126_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep1_Fr1.raw	20120126_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep1_Fr1.raw	none	enrichment of phosphorylated Protein
Sample 3	Homo sapiens	cervix	31Y	adult	female	Black	adenocarcinoma	none	compound: none	epithelial cell	HeLa-S3	enrichment of phosphorylated Protein	1	cell	run 14	proteomic profiling by mass spectrometry	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	1	2	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	20 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000612/20120126_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep1_Fr2.raw	20120126_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep1_Fr2.raw	none	enrichment of phosphorylated Protein
Sample 3	Homo sapiens	cervix	31Y	adult	female	Black	adenocarcinoma	none	compound: none	epithelial cell	HeLa-S3	enrichment of phosphorylated Protein	1	cell	run 15	proteomic profiling by mass spectrometry	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	1	3	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	20 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000612/20120126_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep1_Fr3.raw	20120126_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep1_Fr3.raw	none	enrichment of phosphorylated Protein
Sample 3	Homo sapiens	cervix	31Y	adult	female	Black	adenocarcinoma	none	compound: none	epithelial cell	HeLa-S3	enrichment of phosphorylated Protein	1	cell	run 16	proteomic profiling by mass spectrometry	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	1	4	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	20 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000612/20120126_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep1_Fr4.raw	20120126_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep1_Fr4.raw	none	enrichment of phosphorylated Protein
Sample 3	Homo sapiens	cervix	31Y	adult	female	Black	adenocarcinoma	none	compound: none	epithelial cell	HeLa-S3	enrichment of phosphorylated Protein	1	cell	run 17	proteomic profiling by mass spectrometry	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	1	5	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	20 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000612/20120126_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep1_Fr5.raw	20120126_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep1_Fr5.raw	none	enrichment of phosphorylated Protein
Sample 3	Homo sapiens	cervix	31Y	adult	female	Black	adenocarcinoma	none	compound: none	epithelial cell	HeLa-S3	enrichment of phosphorylated Protein	1	cell	run 18	proteomic profiling by mass spectrometry	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	1	6	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	20 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000612/20120126_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep1_Fr6.raw	20120126_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep1_Fr6.raw	none	enrichment of phosphorylated Protein
Sample 4	Homo sapiens	cervix	31Y	adult	female	Black	adenocarcinoma	none	compound: none	epithelial cell	HeLa-S3	enrichment of phosphorylated Protein	2	cell	run 19	proteomic profiling by mass spectrometry	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	20 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000612/20120127_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep2_Fr1.raw	20120127_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep2_Fr1.raw	none	enrichment of phosphorylated Protein
Sample 4	Homo sapiens	cervix	31Y	adult	female	Black	adenocarcinoma	none	compound: none	epithelial cell	HeLa-S3	enrichment of phosphorylated Protein	2	cell	run 20	proteomic profiling by mass spectrometry	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	1	2	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	20 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000612/20120127_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep2_Fr2.raw	20120127_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep2_Fr2.raw	none	enrichment of phosphorylated Protein
Sample 4	Homo sapiens	cervix	31Y	adult	female	Black	adenocarcinoma	none	compound: none	epithelial cell	HeLa-S3	enrichment of phosphorylated Protein	2	cell	run 21	proteomic profiling by mass spectrometry	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	1	3	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	20 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000612/20120127_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep2_Fr3.raw	20120127_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep2_Fr3.raw	none	enrichment of phosphorylated Protein
Sample 4	Homo sapiens	cervix	31Y	adult	female	Black	adenocarcinoma	none	compound: none	epithelial cell	HeLa-S3	enrichment of phosphorylated Protein	2	cell	run 22	proteomic profiling by mass spectrometry	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	1	4	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	20 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000612/20120127_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep2_Fr4.raw	20120127_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep2_Fr4.raw	none	enrichment of phosphorylated Protein
Sample 4	Homo sapiens	cervix	31Y	adult	female	Black	adenocarcinoma	none	compound: none	epithelial cell	HeLa-S3	enrichment of phosphorylated Protein	2	cell	run 23	proteomic profiling by mass spectrometry	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	1	5	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	20 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000612/20120127_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep2_Fr5.raw	20120127_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep2_Fr5.raw	none	enrichment of phosphorylated Protein
Sample 4	Homo sapiens	cervix	31Y	adult	female	Black	adenocarcinoma	none	compound: none	epithelial cell	HeLa-S3	enrichment of phosphorylated Protein	2	cell	run 24	proteomic profiling by mass spectrometry	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	1	6	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	20 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000612/20120127_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep2_Fr6.raw	20120127_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep2_Fr6.raw	none	enrichment of phosphorylated Protein
Sample 5	Homo sapiens	cervix	31Y	adult	female	Black	adenocarcinoma	none	compound: none	epithelial cell	HeLa-S3	enrichment of phosphorylated Protein	3	cell	run 25	proteomic profiling by mass spectrometry	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	20 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000612/20120128_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep3_Fr1.raw	20120128_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep3_Fr1.raw	none	enrichment of phosphorylated Protein
