source name	characteristics[organism]	characteristics[organism part]	characteristics[sex]	characteristics[age]	characteristics[developmental stage]	characteristics[ethnic group]	characteristics[disease]	characteristics[cell line]	characteristics[infect]	characteristics[time]	assay name	comment[label]	comment[file uri]	comment[fraction identifier]	comment[technical replicate]	comment[instrument]	comment[modification parameters]	comment[modification parameters ]	comment[cleavage agent details]	comment[cleavage agent details]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[data file]	Material Type	factor value[infect]	factor value[time]
Sample 11	Homo sapiens	colon	male	72	adult	caucasian	colon cancer	CaCo-2	none	SILAC heavy 	run 1	TMT131C	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017710/20200219_KKL_SARS_CoV2_pool1_F1.raw	1	1	NM=Q Exactive HF	NM=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed;TA=C;AC=UNIMOD:4;MT=fixed	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NE=Trypsin	NE=Lys-C	not available	not available	20200219_KKL_SARS_CoV2_pool1_F1.raw	cell	none	SILAC heavy 
Sample 1	Homo sapiens	colon	male	72	adult	caucasian	colon cancer	CaCo-2	none	SILAC light 	run 2	TMT126	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017710/20200219_KKL_SARS_CoV2_pool1_F2.raw	2	1	NM=Q Exactive HF	NM=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed;TA=C;AC=UNIMOD:4;MT=fixed	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NE=Trypsin	NE=Lys-C	not available	not available	20200219_KKL_SARS_CoV2_pool1_F2.raw	cell	none	SILAC light 
Sample 2	Homo sapiens	colon	male	72	adult	caucasian	colon cancer	CaCo-2	none	 2h	run 2	TMT127N	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017710/20200219_KKL_SARS_CoV2_pool1_F2.raw	2	1	NM=Q Exactive HF	NM=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed;TA=C;AC=UNIMOD:4;MT=fixed	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NE=Trypsin	NE=Lys-C	not available	not available	20200219_KKL_SARS_CoV2_pool1_F2.raw	cell	none	 2h
Sample 3	Homo sapiens	colon	male	72	adult	caucasian	colon cancer	CaCo-2	none	 6h	run 2	TMT127C	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017710/20200219_KKL_SARS_CoV2_pool1_F2.raw	2	1	NM=Q Exactive HF	NM=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed;TA=C;AC=UNIMOD:4;MT=fixed	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NE=Trypsin	NE=Lys-C	not available	not available	20200219_KKL_SARS_CoV2_pool1_F2.raw	cell	none	 6h
Sample 4	Homo sapiens	colon	male	72	adult	caucasian	colon cancer	CaCo-2	none	 10h	run 2	TMT128N	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017710/20200219_KKL_SARS_CoV2_pool1_F2.raw	2	1	NM=Q Exactive HF	NM=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed;TA=C;AC=UNIMOD:4;MT=fixed	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NE=Trypsin	NE=Lys-C	not available	not available	20200219_KKL_SARS_CoV2_pool1_F2.raw	cell	none	 10h
Sample 5	Homo sapiens	colon	male	72	adult	caucasian	colon cancer	CaCo-2	none	 24h	run 2	TMT128C	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017710/20200219_KKL_SARS_CoV2_pool1_F2.raw	2	1	NM=Q Exactive HF	NM=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed;TA=C;AC=UNIMOD:4;MT=fixed	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NE=Trypsin	NE=Lys-C	not available	not available	20200219_KKL_SARS_CoV2_pool1_F2.raw	cell	none	 24h
Sample 6	Homo sapiens	colon	male	72	adult	caucasian	colon cancer	CaCo-2	Severe acute respiratory syndrome coronavirus 2	 2h	run 2	TMT129N	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017710/20200219_KKL_SARS_CoV2_pool1_F2.raw	2	1	NM=Q Exactive HF	NM=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed;TA=C;AC=UNIMOD:4;MT=fixed	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NE=Trypsin	NE=Lys-C	not available	not available	20200219_KKL_SARS_CoV2_pool1_F2.raw	cell	Severe acute respiratory syndrome coronavirus 2	 2h
Sample 7	Homo sapiens	colon	male	72	adult	caucasian	colon cancer	CaCo-2	Severe acute respiratory syndrome coronavirus 2	 6h	run 2	TMT129C	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017710/20200219_KKL_SARS_CoV2_pool1_F2.raw	2	1	NM=Q Exactive HF	NM=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed;TA=C;AC=UNIMOD:4;MT=fixed	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NE=Trypsin	NE=Lys-C	not available	not available	20200219_KKL_SARS_CoV2_pool1_F2.raw	cell	Severe acute respiratory syndrome coronavirus 2	 6h
Sample 8	Homo sapiens	colon	male	72	adult	caucasian	colon cancer	CaCo-2	Severe acute respiratory syndrome coronavirus 2	 10h	run 2	TMT130N	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017710/20200219_KKL_SARS_CoV2_pool1_F2.raw	2	1	NM=Q Exactive HF	NM=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed;TA=C;AC=UNIMOD:4;MT=fixed	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NE=Trypsin	NE=Lys-C	not available	not available	20200219_KKL_SARS_CoV2_pool1_F2.raw	cell	Severe acute respiratory syndrome coronavirus 2	 10h
Sample 9	Homo sapiens	colon	male	72	adult	caucasian	colon cancer	CaCo-2	Severe acute respiratory syndrome coronavirus 2	 24h	run 2	TMT130C	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017710/20200219_KKL_SARS_CoV2_pool1_F2.raw	2	1	NM=Q Exactive HF	NM=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed;TA=C;AC=UNIMOD:4;MT=fixed	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NE=Trypsin	NE=Lys-C	not available	not available	20200219_KKL_SARS_CoV2_pool1_F2.raw	cell	Severe acute respiratory syndrome coronavirus 2	 24h
Sample 10	Homo sapiens	colon	male	72	adult	caucasian	colon cancer	CaCo-2	Severe acute respiratory syndrome coronavirus 2	Bridge	run 2	TMT131N	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017710/20200219_KKL_SARS_CoV2_pool1_F2.raw	2	1	NM=Q Exactive HF	NM=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed;TA=C;AC=UNIMOD:4;MT=fixed	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NE=Trypsin	NE=Lys-C	not available	not available	20200219_KKL_SARS_CoV2_pool1_F2.raw	cell	Severe acute respiratory syndrome coronavirus 2	Bridge
Sample 11	Homo sapiens	colon	male	72	adult	caucasian	colon cancer	CaCo-2	none	SILAC heavy 	run 2	TMT131C	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017710/20200219_KKL_SARS_CoV2_pool1_F2.raw	2	1	NM=Q Exactive HF	NM=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed;TA=C;AC=UNIMOD:4;MT=fixed	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NE=Trypsin	NE=Lys-C	not available	not available	20200219_KKL_SARS_CoV2_pool1_F2.raw	cell	none	SILAC heavy 
Sample 1	Homo sapiens	colon	male	72	adult	caucasian	colon cancer	CaCo-2	none	SILAC light 	run 3	TMT126	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017710/20200219_KKL_SARS_CoV2_pool1_F3.raw	3	1	NM=Q Exactive HF	NM=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed;TA=C;AC=UNIMOD:4;MT=fixed	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NE=Trypsin	NE=Lys-C	not available	not available	20200219_KKL_SARS_CoV2_pool1_F3.raw	cell	none	SILAC light 
Sample 2	Homo sapiens	colon	male	72	adult	caucasian	colon cancer	CaCo-2	none	 2h	run 3	TMT127N	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017710/20200219_KKL_SARS_CoV2_pool1_F3.raw	3	1	NM=Q Exactive HF	NM=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed;TA=C;AC=UNIMOD:4;MT=fixed	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NE=Trypsin	NE=Lys-C	not available	not available	20200219_KKL_SARS_CoV2_pool1_F3.raw	cell	none	 2h
Sample 3	Homo sapiens	colon	male	72	adult	caucasian	colon cancer	CaCo-2	none	 6h	run 3	TMT127C	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017710/20200219_KKL_SARS_CoV2_pool1_F3.raw	3	1	NM=Q Exactive HF	NM=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed;TA=C;AC=UNIMOD:4;MT=fixed	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NE=Trypsin	NE=Lys-C	not available	not available	20200219_KKL_SARS_CoV2_pool1_F3.raw	cell	none	 6h
Sample 4	Homo sapiens	colon	male	72	adult	caucasian	colon cancer	CaCo-2	none	 10h	run 3	TMT128N	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017710/20200219_KKL_SARS_CoV2_pool1_F3.raw	3	1	NM=Q Exactive HF	NM=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed;TA=C;AC=UNIMOD:4;MT=fixed	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NE=Trypsin	NE=Lys-C	not available	not available	20200219_KKL_SARS_CoV2_pool1_F3.raw	cell	none	 10h
Sample 5	Homo sapiens	colon	male	72	adult	caucasian	colon cancer	CaCo-2	none	 24h	run 3	TMT128C	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017710/20200219_KKL_SARS_CoV2_pool1_F3.raw	3	1	NM=Q Exactive HF	NM=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed;TA=C;AC=UNIMOD:4;MT=fixed	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NE=Trypsin	NE=Lys-C	not available	not available	20200219_KKL_SARS_CoV2_pool1_F3.raw	cell	none	 24h
Sample 6	Homo sapiens	colon	male	72	adult	caucasian	colon cancer	CaCo-2	Severe acute respiratory syndrome coronavirus 2	 2h	run 3	TMT129N	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017710/20200219_KKL_SARS_CoV2_pool1_F3.raw	3	1	NM=Q Exactive HF	NM=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed;TA=C;AC=UNIMOD:4;MT=fixed	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NE=Trypsin	NE=Lys-C	not available	not available	20200219_KKL_SARS_CoV2_pool1_F3.raw	cell	Severe acute respiratory syndrome coronavirus 2	 2h
Sample 7	Homo sapiens	colon	male	72	adult	caucasian	colon cancer	CaCo-2	Severe acute respiratory syndrome coronavirus 2	 6h	run 3	TMT129C	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017710/20200219_KKL_SARS_CoV2_pool1_F3.raw	3	1	NM=Q Exactive HF	NM=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed;TA=C;AC=UNIMOD:4;MT=fixed	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NE=Trypsin	NE=Lys-C	not available	not available	20200219_KKL_SARS_CoV2_pool1_F3.raw	cell	Severe acute respiratory syndrome coronavirus 2	 6h
Sample 8	Homo sapiens	colon	male	72	adult	caucasian	colon cancer	CaCo-2	Severe acute respiratory syndrome coronavirus 2	 10h	run 3	TMT130N	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017710/20200219_KKL_SARS_CoV2_pool1_F3.raw	3	1	NM=Q Exactive HF	NM=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed;TA=C;AC=UNIMOD:4;MT=fixed	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NE=Trypsin	NE=Lys-C	not available	not available	20200219_KKL_SARS_CoV2_pool1_F3.raw	cell	Severe acute respiratory syndrome coronavirus 2	 10h
Sample 9	Homo sapiens	colon	male	72	adult	caucasian	colon cancer	CaCo-2	Severe acute respiratory syndrome coronavirus 2	 24h	run 3	TMT130C	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017710/20200219_KKL_SARS_CoV2_pool1_F3.raw	3	1	NM=Q Exactive HF	NM=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed;TA=C;AC=UNIMOD:4;MT=fixed	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NE=Trypsin	NE=Lys-C	not available	not available	20200219_KKL_SARS_CoV2_pool1_F3.raw	cell	Severe acute respiratory syndrome coronavirus 2	 24h
Sample 10	Homo sapiens	colon	male	72	adult	caucasian	colon cancer	CaCo-2	Severe acute respiratory syndrome coronavirus 2	Bridge	run 3	TMT131N	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017710/20200219_KKL_SARS_CoV2_pool1_F3.raw	3	1	NM=Q Exactive HF	NM=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed;TA=C;AC=UNIMOD:4;MT=fixed	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NE=Trypsin	NE=Lys-C	not available	not available	20200219_KKL_SARS_CoV2_pool1_F3.raw	cell	Severe acute respiratory syndrome coronavirus 2	Bridge
Sample 11	Homo sapiens	colon	male	72	adult	caucasian	colon cancer	CaCo-2	none	SILAC heavy 	run 3	TMT131C	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017710/20200219_KKL_SARS_CoV2_pool1_F3.raw	3	1	NM=Q Exactive HF	NM=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed;TA=C;AC=UNIMOD:4;MT=fixed	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NE=Trypsin	NE=Lys-C	not available	not available	20200219_KKL_SARS_CoV2_pool1_F3.raw	cell	none	SILAC heavy 
Sample 1	Homo sapiens	colon	male	72	adult	caucasian	colon cancer	CaCo-2	none	SILAC light 	run 4	TMT126	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017710/20200219_KKL_SARS_CoV2_pool1_F4.raw	4	1	NM=Q Exactive HF	NM=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed;TA=C;AC=UNIMOD:4;MT=fixed	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NE=Trypsin	NE=Lys-C	not available	not available	20200219_KKL_SARS_CoV2_pool1_F4.raw	cell	none	SILAC light 
Sample 2	Homo sapiens	colon	male	72	adult	caucasian	colon cancer	CaCo-2	none	 2h	run 4	TMT127N	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017710/20200219_KKL_SARS_CoV2_pool1_F4.raw	4	1	NM=Q Exactive HF	NM=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed;TA=C;AC=UNIMOD:4;MT=fixed	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NE=Trypsin	NE=Lys-C	not available	not available	20200219_KKL_SARS_CoV2_pool1_F4.raw	cell	none	 2h
Sample 3	Homo sapiens	colon	male	72	adult	caucasian	colon cancer	CaCo-2	none	 6h	run 4	TMT127C	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017710/20200219_KKL_SARS_CoV2_pool1_F4.raw	4	1	NM=Q Exactive HF	NM=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed;TA=C;AC=UNIMOD:4;MT=fixed	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NE=Trypsin	NE=Lys-C	not available	not available	20200219_KKL_SARS_CoV2_pool1_F4.raw	cell	none	 6h
Sample 4	Homo sapiens	colon	male	72	adult	caucasian	colon cancer	CaCo-2	none	 10h	run 4	TMT128N	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017710/20200219_KKL_SARS_CoV2_pool1_F4.raw	4	1	NM=Q Exactive HF	NM=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed;TA=C;AC=UNIMOD:4;MT=fixed	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NE=Trypsin	NE=Lys-C	not available	not available	20200219_KKL_SARS_CoV2_pool1_F4.raw	cell	none	 10h
Sample 5	Homo sapiens	colon	male	72	adult	caucasian	colon cancer	CaCo-2	none	 24h	run 4	TMT128C	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017710/20200219_KKL_SARS_CoV2_pool1_F4.raw	4	1	NM=Q Exactive HF	NM=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed;TA=C;AC=UNIMOD:4;MT=fixed	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NE=Trypsin	NE=Lys-C	not available	not available	20200219_KKL_SARS_CoV2_pool1_F4.raw	cell	none	 24h
Sample 6	Homo sapiens	colon	male	72	adult	caucasian	colon cancer	CaCo-2	Severe acute respiratory syndrome coronavirus 2	 2h	run 4	TMT129N	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017710/20200219_KKL_SARS_CoV2_pool1_F4.raw	4	1	NM=Q Exactive HF	NM=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed;TA=C;AC=UNIMOD:4;MT=fixed	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NE=Trypsin	NE=Lys-C	not available	not available	20200219_KKL_SARS_CoV2_pool1_F4.raw	cell	Severe acute respiratory syndrome coronavirus 2	 2h
Sample 7	Homo sapiens	colon	male	72	adult	caucasian	colon cancer	CaCo-2	Severe acute respiratory syndrome coronavirus 2	 6h	run 4	TMT129C	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017710/20200219_KKL_SARS_CoV2_pool1_F4.raw	4	1	NM=Q Exactive HF	NM=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed;TA=C;AC=UNIMOD:4;MT=fixed	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NE=Trypsin	NE=Lys-C	not available	not available	20200219_KKL_SARS_CoV2_pool1_F4.raw	cell	Severe acute respiratory syndrome coronavirus 2	 6h
Sample 8	Homo sapiens	colon	male	72	adult	caucasian	colon cancer	CaCo-2	Severe acute respiratory syndrome coronavirus 2	 10h	run 4	TMT130N	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017710/20200219_KKL_SARS_CoV2_pool1_F4.raw	4	1	NM=Q Exactive HF	NM=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed;TA=C;AC=UNIMOD:4;MT=fixed	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NE=Trypsin	NE=Lys-C	not available	not available	20200219_KKL_SARS_CoV2_pool1_F4.raw	cell	Severe acute respiratory syndrome coronavirus 2	 10h
Sample 9	Homo sapiens	colon	male	72	adult	caucasian	colon cancer	CaCo-2	Severe acute respiratory syndrome coronavirus 2	 24h	run 4	TMT130C	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017710/20200219_KKL_SARS_CoV2_pool1_F4.raw	4	1	NM=Q Exactive HF	NM=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed;TA=C;AC=UNIMOD:4;MT=fixed	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NE=Trypsin	NE=Lys-C	not available	not available	20200219_KKL_SARS_CoV2_pool1_F4.raw	cell	Severe acute respiratory syndrome coronavirus 2	 24h
