#file_format=SDRF
#version=v1.1.0
#template=default
#template_version=v1.1.0
source name	characteristics[organism]	characteristics[organism part]	characteristics[strain/breed]	characteristics[plasmid]	characteristics[disease]	characteristics[cell type]	characteristics[treatment]	characteristics[biological replicate]	characteristics[genetic background]	characteristics[medium]	characteristics[temperature]	characteristics[pressure]	characteristics[optical density]	assay name	technology type	comment[technical replicate]	comment[proteomics data acquisition method]	comment[data file]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	Factor value[plasmid]	Factor value[treatment]
prk_highpress_incl_repl2	Escherichia coli	Inclusion Body	Escherichia coli str. K-12 substr. MG1655	pRK767	Not applicable	Prokaryotic cell	Pressure treatment	2	Plasmid RK767	LB medium	37°C	Increased pressure	1.0	Run 11	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	BBM_006_P021_SH_011.raw	1	Label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	20 ppm	4.5 ppm	DTT	Chloroacetamide	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Acetyl; MT=Variable; PP=Protein N-term	NT=HCD; AC=MS:1002481	30% NCE	pRK767	Pressure treatment
plhr_highpress_incl_repl2	Escherichia coli	Inclusion Body	Escherichia coli str. K-12 substr. MG1655	Plasmid LHR	Not applicable	Prokaryotic cell	Pressure treatment	2	Plasmid LHR	LB medium	37°C	Increased pressure	1.0	Run 12	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	BBM_006_P021_SH_012.raw	1	Label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	20 ppm	4.5 ppm	DTT	Chloroacetamide	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Acetyl; MT=Variable; PP=Protein N-term	NT=HCD; AC=MS:1002481	30% NCE	Plasmid LHR	Pressure treatment
prk_highpress_incl_repl3	Escherichia coli	Inclusion Body	Escherichia coli str. K-12 substr. MG1655	pRK767	Not applicable	Prokaryotic cell	Pressure treatment	3	Plasmid RK767	LB medium	37°C	Increased pressure	1.0	Run 13	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	BBM_006_P021_SH_013.raw	1	Label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	20 ppm	4.5 ppm	DTT	Chloroacetamide	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Acetyl; MT=Variable; PP=Protein N-term	NT=HCD; AC=MS:1002481	30% NCE	pRK767	Pressure treatment
plhr_highpress_incl_repl3	Escherichia coli	Inclusion Body	Escherichia coli str. K-12 substr. MG1655	Plasmid LHR	Not applicable	Prokaryotic cell	Pressure treatment	3	Plasmid LHR	LB medium	37°C	Increased pressure	1.0	Run 14	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	BBM_006_P021_SH_014.raw	1	Label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	20 ppm	4.5 ppm	DTT	Chloroacetamide	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Acetyl; MT=Variable; PP=Protein N-term	NT=HCD; AC=MS:1002481	30% NCE	Plasmid LHR	Pressure treatment
prk_highpress_incl_repl4	Escherichia coli	Inclusion Body	Escherichia coli str. K-12 substr. MG1655	pRK767	Not applicable	Prokaryotic cell	Pressure treatment	4	Plasmid RK767	LB medium	37°C	Increased pressure	1.0	Run 15	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	BBM_006_P021_SH_015.raw	1	Label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	20 ppm	4.5 ppm	DTT	Chloroacetamide	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Acetyl; MT=Variable; PP=Protein N-term	NT=HCD; AC=MS:1002481	30% NCE	pRK767	Pressure treatment
plhr_highpress_incl_repl4	Escherichia coli	Inclusion Body	Escherichia coli str. K-12 substr. MG1655	Plasmid LHR	Not applicable	Prokaryotic cell	Pressure treatment	4	Plasmid LHR	LB medium	37°C	Increased pressure	1.0	Run 16	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	BBM_006_P021_SH_016.raw	1	Label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	20 ppm	4.5 ppm	DTT	Chloroacetamide	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Acetyl; MT=Variable; PP=Protein N-term	NT=HCD; AC=MS:1002481	30% NCE	Plasmid LHR	Pressure treatment
prk_untreated_whole_repl1	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. MG1655	pRK767	Not applicable	Prokaryotic cell	Control	1	Plasmid RK767	LB medium	37°C	Not available	1.0	Run 17	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	BBM_006_P021_SH_017.raw	1	Label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	20 ppm	4.5 ppm	DTT	Chloroacetamide	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Acetyl; MT=Variable; PP=Protein N-term	NT=HCD; AC=MS:1002481	30% NCE	pRK767	Control
plhr_untreated_whole_repl1	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. MG1655	Plasmid LHR	Not applicable	Prokaryotic cell	Control	1	Plasmid LHR	LB medium	37°C	Not available	1.0	Run 18	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	BBM_006_P021_SH_018.raw	1	Label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	20 ppm	4.5 ppm	DTT	Chloroacetamide	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Acetyl; MT=Variable; PP=Protein N-term	NT=HCD; AC=MS:1002481	30% NCE	Plasmid LHR	Control
prk_untreated_whole_repl2	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. MG1655	pRK767	Not applicable	Prokaryotic cell	Control	2	Plasmid RK767	LB medium	37°C	Not available	1.0	Run 19	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	BBM_006_P021_SH_019.raw	1	Label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	20 ppm	4.5 ppm	DTT	Chloroacetamide	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Acetyl; MT=Variable; PP=Protein N-term	NT=HCD; AC=MS:1002481	30% NCE	pRK767	Control
plhr_untreated_whole_repl2	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. MG1655	Plasmid LHR	Not applicable	Prokaryotic cell	Control	2	Plasmid LHR	LB medium	37°C	Not available	1.0	Run 20	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	BBM_006_P021_SH_020.raw	1	Label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	20 ppm	4.5 ppm	DTT	Chloroacetamide	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Acetyl; MT=Variable; PP=Protein N-term	NT=HCD; AC=MS:1002481	30% NCE	Plasmid LHR	Control
prk_untreated_whole_repl3	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. MG1655	pRK767	Not applicable	Prokaryotic cell	Control	3	Plasmid RK767	LB medium	37°C	Not available	1.0	Run 21	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	BBM_006_P021_SH_021.raw	1	Label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	20 ppm	4.5 ppm	DTT	Chloroacetamide	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Acetyl; MT=Variable; PP=Protein N-term	NT=HCD; AC=MS:1002481	30% NCE	pRK767	Control
plhr_untreated_whole_repl3	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. MG1655	Plasmid LHR	Not applicable	Prokaryotic cell	Control	3	Plasmid LHR	LB medium	37°C	Not available	1.0	Run 22	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	BBM_006_P021_SH_022.raw	1	Label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	20 ppm	4.5 ppm	DTT	Chloroacetamide	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Acetyl; MT=Variable; PP=Protein N-term	NT=HCD; AC=MS:1002481	30% NCE	Plasmid LHR	Control
prk_untreated_whole_repl4	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. MG1655	pRK767	Not applicable	Prokaryotic cell	Control	4	Plasmid RK767	LB medium	37°C	Not available	1.0	Run 23	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	BBM_006_P021_SH_023.raw	1	Label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	20 ppm	4.5 ppm	DTT	Chloroacetamide	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Acetyl; MT=Variable; PP=Protein N-term	NT=HCD; AC=MS:1002481	30% NCE	pRK767	Control
plhr_untreated_whole_repl4	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. MG1655	Plasmid LHR	Not applicable	Prokaryotic cell	Control	4	Plasmid LHR	LB medium	37°C	Not available	1.0	Run 24	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	BBM_006_P021_SH_024.raw	1	Label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	20 ppm	4.5 ppm	DTT	Chloroacetamide	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Acetyl; MT=Variable; PP=Protein N-term	NT=HCD; AC=MS:1002481	30% NCE	Plasmid LHR	Control
prk_untreated_incl_repl1	Escherichia coli	Inclusion Body	Escherichia coli str. K-12 substr. MG1655	pRK767	Not applicable	Prokaryotic cell	Control	1	Plasmid RK767	LB medium	37°C	Not available	1.0	Run 25	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	BBM_006_P021_SH_025.raw	1	Label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	20 ppm	4.5 ppm	DTT	Chloroacetamide	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Acetyl; MT=Variable; PP=Protein N-term	NT=HCD; AC=MS:1002481	30% NCE	pRK767	Control
plhr_untreated_incl_repl1	Escherichia coli	Inclusion Body	Escherichia coli str. K-12 substr. MG1655	Plasmid LHR	Not applicable	Prokaryotic cell	Control	1	Plasmid LHR	LB medium	37°C	Not available	1.0	Run 26	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	BBM_006_P021_SH_026.raw	1	Label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	20 ppm	4.5 ppm	DTT	Chloroacetamide	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Acetyl; MT=Variable; PP=Protein N-term	NT=HCD; AC=MS:1002481	30% NCE	Plasmid LHR	Control
prk_untreated_incl_repl2	Escherichia coli	Inclusion Body	Escherichia coli str. K-12 substr. MG1655	pRK767	Not applicable	Prokaryotic cell	Control	2	Plasmid RK767	LB medium	37°C	Not available	1.0	Run 27	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	BBM_006_P021_SH_027.raw	1	Label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	20 ppm	4.5 ppm	DTT	Chloroacetamide	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Acetyl; MT=Variable; PP=Protein N-term	NT=HCD; AC=MS:1002481	30% NCE	pRK767	Control
plhr_untreated_incl_repl2	Escherichia coli	Inclusion Body	Escherichia coli str. K-12 substr. MG1655	Plasmid LHR	Not applicable	Prokaryotic cell	Control	2	Plasmid LHR	LB medium	37°C	Not available	1.0	Run 28	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	BBM_006_P021_SH_028.raw	1	Label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	20 ppm	4.5 ppm	DTT	Chloroacetamide	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Acetyl; MT=Variable; PP=Protein N-term	NT=HCD; AC=MS:1002481	30% NCE	Plasmid LHR	Control
prk_untreated_incl_repl3	Escherichia coli	Inclusion Body	Escherichia coli str. K-12 substr. MG1655	pRK767	Not applicable	Prokaryotic cell	Control	3	Plasmid RK767	LB medium	37°C	Not available	1.0	Run 29	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	BBM_006_P021_SH_029.raw	1	Label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	20 ppm	4.5 ppm	DTT	Chloroacetamide	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Acetyl; MT=Variable; PP=Protein N-term	NT=HCD; AC=MS:1002481	30% NCE	pRK767	Control
plhr_untreated_incl_repl3	Escherichia coli	Inclusion Body	Escherichia coli str. K-12 substr. MG1655	Plasmid LHR	Not applicable	Prokaryotic cell	Control	3	Plasmid LHR	LB medium	37°C	Not available	1.0	Run 30	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	BBM_006_P021_SH_030.raw	1	Label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	20 ppm	4.5 ppm	DTT	Chloroacetamide	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Acetyl; MT=Variable; PP=Protein N-term	NT=HCD; AC=MS:1002481	30% NCE	Plasmid LHR	Control
prk_untreated_incl_repl4	Escherichia coli	Inclusion Body	Escherichia coli str. K-12 substr. MG1655	pRK767	Not applicable	Prokaryotic cell	Control	4	Plasmid RK767	LB medium	37°C	Not available	1.0	Run 31	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	BBM_006_P021_SH_031.raw	1	Label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	20 ppm	4.5 ppm	DTT	Chloroacetamide	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Acetyl; MT=Variable; PP=Protein N-term	NT=HCD; AC=MS:1002481	30% NCE	pRK767	Control
