source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell line]	characteristics[enrichment process]	characteristics[enrichment method]	characteristics[technical replicate]	assay name	comment[fraction identifier]	comment[label]	comment[instrument]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[file uri]	comment[data file]	factor value[phenotype]
HeLa sample	homo sapiens	not applicable	adenocarcinoma	HeLa cell	none	none	2	HeLa_1ug_isow4_3hgradient_datasetD_rep2	1	label free sample	Q Exactive	10ppm	0.02Da	NT=Trypsin	NT=Lys-C	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:45	NT=CarbamidomethylDTT;AC=UNIMOD:893;TA=C;MT=fixed	none	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD007750/HeLa_1ug_isow4_3hgradient_datasetD_rep2.msf	HeLa_1ug_isow4_3hgradient_datasetD_rep2.raw	"3 h gradient, 4 m/z isolation width, 1 _g"
HeLa sample	homo sapiens	not applicable	adenocarcinoma	HeLa cell	none	none	3	HeLa_1ug_isow4_3hgradient_datasetD_rep3	1	label free sample	Q Exactive	10ppm	0.02Da	NT=Trypsin	NT=Lys-C	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:46	NT=CarbamidomethylDTT;AC=UNIMOD:893;TA=C;MT=fixed	none	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD007750/HeLa_1ug_isow4_3hgradient_datasetD_rep3.msf	HeLa_1ug_isow4_3hgradient_datasetD_rep3.raw	"3 h gradient, 4 m/z isolation width, 1 _g"
HeLa sample	homo sapiens	not applicable	adenocarcinoma	HeLa cell	none	none	1	HeLa_1ug_isow8_1hgradient_datasetE_rep1	1	label free sample	Q Exactive	10ppm	0.02Da	NT=Trypsin	NT=Lys-C	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:47	NT=CarbamidomethylDTT;AC=UNIMOD:893;TA=C;MT=fixed	none	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD007750/HeLa_1ug_isow8_1hgradient_datasetE_rep1.msf	HeLa_1ug_isow8_1hgradient_datasetE_rep1.raw	"1 h gradient, 8 m/z isolation width, 1 _g"
HeLa sample	homo sapiens	not applicable	adenocarcinoma	HeLa cell	none	none	2	HeLa_1ug_isow8_1hgradient_datasetE_rep2	1	label free sample	Q Exactive	10ppm	0.02Da	NT=Trypsin	NT=Lys-C	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:48	NT=CarbamidomethylDTT;AC=UNIMOD:893;TA=C;MT=fixed	none	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD007750/HeLa_1ug_isow8_1hgradient_datasetE_rep2.msf	HeLa_1ug_isow8_1hgradient_datasetE_rep2.raw	"1 h gradient, 8 m/z isolation width, 1 _g"
HeLa sample	homo sapiens	not applicable	adenocarcinoma	HeLa cell	none	none	3	HeLa_1ug_isow8_1hgradient_datasetE_rep3	1	label free sample	Q Exactive	10ppm	0.02Da	NT=Trypsin	NT=Lys-C	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:49	NT=CarbamidomethylDTT;AC=UNIMOD:893;TA=C;MT=fixed	none	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD007750/HeLa_1ug_isow8_1hgradient_datasetE_rep3.msf	HeLa_1ug_isow8_1hgradient_datasetE_rep3.raw	"1 h gradient, 8 m/z isolation width, 1 _g"
HeLa sample	homo sapiens	not applicable	adenocarcinoma	HeLa cell	none	none	1	HeLa_1ug_isow8_3hgradient_datasetF_rep1	1	label free sample	Q Exactive	10ppm	0.02Da	NT=Trypsin	NT=Lys-C	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:50	NT=CarbamidomethylDTT;AC=UNIMOD:893;TA=C;MT=fixed	none	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD007750/HeLa_1ug_isow8_3hgradient_datasetF_rep1.msf	HeLa_1ug_isow8_3hgradient_datasetF_rep1.raw	"3 h gradient, 8 m/z isolation width, 1 _g"
HeLa sample	homo sapiens	not applicable	adenocarcinoma	HeLa cell	none	none	2	HeLa_1ug_isow8_3hgradient_datasetF_rep2	1	label free sample	Q Exactive	10ppm	0.02Da	NT=Trypsin	NT=Lys-C	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:51	NT=CarbamidomethylDTT;AC=UNIMOD:893;TA=C;MT=fixed	none	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD007750/HeLa_1ug_isow8_3hgradient_datasetF_rep2.msf	HeLa_1ug_isow8_3hgradient_datasetF_rep2.raw	"3 h gradient, 8 m/z isolation width, 1 _g"
HeLa sample	homo sapiens	not applicable	adenocarcinoma	HeLa cell	none	none	3	HeLa_1ug_isow8_3hgradient_datasetF_rep3	1	label free sample	Q Exactive	10ppm	0.02Da	NT=Trypsin	NT=Lys-C	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:52	NT=CarbamidomethylDTT;AC=UNIMOD:893;TA=C;MT=fixed	none	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD007750/HeLa_1ug_isow8_3hgradient_datasetF_rep3.msf	HeLa_1ug_isow8_3hgradient_datasetF_rep3.raw	"3 h gradient, 8 m/z isolation width, 1 _g"
HeLa sample	homo sapiens	not applicable	adenocarcinoma	HeLa cell	none	none	1	HeLa_100ng_isow2_3hgradient_datasetI_rep1	1	label free sample	Q Exactive	10ppm	0.02Da	NT=Trypsin	NT=Lys-C	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:53	NT=CarbamidomethylDTT;AC=UNIMOD:893;TA=C;MT=fixed	none	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD007750/HeLa_100ng_isow2_3hgradient_datasetI_rep1.msf	HeLa_100ng_isow2_3hgradient_datasetI_rep1.raw	"3 h gradient, 2 m/z isolation width, 100 ng"
HeLa sample	homo sapiens	not applicable	adenocarcinoma	HeLa cell	none	none	2	HeLa_100ng_isow2_3hgradient_datasetI_rep2	1	label free sample	Q Exactive	10ppm	0.02Da	NT=Trypsin	NT=Lys-C	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:54	NT=CarbamidomethylDTT;AC=UNIMOD:893;TA=C;MT=fixed	none	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD007750/HeLa_100ng_isow2_3hgradient_datasetI_rep2.msf	HeLa_100ng_isow2_3hgradient_datasetI_rep2.raw	"3 h gradient, 2 m/z isolation width, 100 ng"
HeLa sample	homo sapiens	not applicable	adenocarcinoma	HeLa cell	none	none	3	HeLa_100ng_isow2_3hgradient_datasetI_rep3	1	label free sample	Q Exactive	10ppm	0.02Da	NT=Trypsin	NT=Lys-C	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:55	NT=CarbamidomethylDTT;AC=UNIMOD:893;TA=C;MT=fixed	none	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD007750/HeLa_100ng_isow2_3hgradient_datasetI_rep3.msf	HeLa_100ng_isow2_3hgradient_datasetI_rep3.raw	"3 h gradient, 2 m/z isolation width, 100 ng"
HeLa sample 3	homo sapiens	not applicable	adenocarcinoma	HeLa cell	enrichment of phosphorylated peptides	TIO2	1	HeLa_Phospho_100ng_isow2_3hgradient_datasetG_rep1	1	label free sample	Q Exactive	10ppm	0.02Da	NT=Trypsin	NT=Lys-C	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:56	NT=CarbamidomethylDTT;AC=UNIMOD:893;TA=C;MT=fixed	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD007750/HeLa_Phospho_100ng_isow2_3hgradient_datasetG_rep1.msf	HeLa_Phospho_100ng_isow2_3hgradient_datasetG_rep1.raw	"3 h gradient, 2 m/z isolation width, 100 ng, TiO2"
HeLa sample 3	homo sapiens	not applicable	adenocarcinoma	HeLa cell	enrichment of phosphorylated peptides	TIO2	2	HeLa_Phospho_100ng_isow2_3hgradient_datasetG_rep2	1	label free sample	Q Exactive	10ppm	0.02Da	NT=Trypsin	NT=Lys-C	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:57	NT=CarbamidomethylDTT;AC=UNIMOD:893;TA=C;MT=fixed	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD007750/HeLa_Phospho_100ng_isow2_3hgradient_datasetG_rep2.msf	HeLa_Phospho_100ng_isow2_3hgradient_datasetG_rep2.raw	"3 h gradient, 2 m/z isolation width, 100 ng, TiO2"
HeLa sample 3	homo sapiens	not applicable	adenocarcinoma	HeLa cell	enrichment of phosphorylated peptides	TIO2	3	HeLa_Phospho_100ng_isow2_3hgradient_datasetG_rep3	1	label free sample	Q Exactive	10ppm	0.02Da	NT=Trypsin	NT=Lys-C	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:58	NT=CarbamidomethylDTT;AC=UNIMOD:893;TA=C;MT=fixed	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD007750/HeLa_Phospho_100ng_isow2_3hgradient_datasetG_rep3.msf	HeLa_Phospho_100ng_isow2_3hgradient_datasetG_rep3.raw	"3 h gradient, 2 m/z isolation width, 100 ng, TiO2"
