source name	characteristics[organism]	characteristics[organism part]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[disease]	characteristics[cell type]	characteristics[compound]	characteristics[phenotype]	characteristics[bait]	characteristics[ancestry category]	characteristics[cell line]	characteristics[biological replicate]	material type	assay name	technology type	comment[label]	comment[technical replicate]	comment[fraction identifier]	comment[instrument]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[dissociation method]	comment[collision energy]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[file uri]	comment[data file]	factor value[phenotype]	factor value[bait]
Sample 12	Homo sapiens	not available	not available	not available	not available	not available	not available	control	compound: none	OASL	not available	HEK FlpIn TREX	3	cell	run 12	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	1	1	AC=MS:1002523;NT=Q Exactive HF	6 ppm	0.5 Da	AC=MS:1000422;NT=HCD	27% NCE	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012277/20170802_QEp5_PhHu_SA_Hek_Easy12_FlipInOASL_noDox_18.raw	20170802_QEp5_PhHu_SA_Hek_Easy12_FlipInOASL_noDox_18.raw	compound: none	OASL
Sample 13	Homo sapiens	not available	not available	not available	not available	not available	not available	doxycycline	compound: drug doxycycline	P2RY6	not available	HEK FlpIn TREX	1	cell	run 13	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	1	1	AC=MS:1002523;NT=Q Exactive HF	6 ppm	0.5 Da	AC=MS:1000422;NT=HCD	27% NCE	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012277/20170802_QEp5_PhHu_SA_Hek_Easy12_FlipInP2RY6_Dox_4.raw	20170802_QEp5_PhHu_SA_Hek_Easy12_FlipInP2RY6_Dox_4.raw	compound: drug doxycycline	P2RY6
Sample 14	Homo sapiens	not available	not available	not available	not available	not available	not available	doxycycline	compound: drug doxycycline	P2RY6	not available	HEK FlpIn TREX	2	cell	run 14	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	1	1	AC=MS:1002523;NT=Q Exactive HF	6 ppm	0.5 Da	AC=MS:1000422;NT=HCD	27% NCE	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012277/20170802_QEp5_PhHu_SA_Hek_Easy12_FlipInP2RY6_Dox_5.raw	20170802_QEp5_PhHu_SA_Hek_Easy12_FlipInP2RY6_Dox_5.raw	compound: drug doxycycline	P2RY6
Sample 15	Homo sapiens	not available	not available	not available	not available	not available	not available	doxycycline	compound: drug doxycycline	P2RY6	not available	HEK FlpIn TREX	3	cell	run 15	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	1	1	AC=MS:1002523;NT=Q Exactive HF	6 ppm	0.5 Da	AC=MS:1000422;NT=HCD	27% NCE	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012277/20170802_QEp5_PhHu_SA_Hek_Easy12_FlipInP2RY6_Dox_6.raw	20170802_QEp5_PhHu_SA_Hek_Easy12_FlipInP2RY6_Dox_6.raw	compound: drug doxycycline	P2RY6
Sample 16	Homo sapiens	not available	not available	not available	not available	not available	not available	control	compound: none	P2RY6	not available	HEK FlpIn TREX	1	cell	run 16	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	1	1	AC=MS:1002523;NT=Q Exactive HF	6 ppm	0.5 Da	AC=MS:1000422;NT=HCD	27% NCE	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012277/20170802_QEp5_PhHu_SA_Hek_Easy12_FlipInP2RY6_NoDox_1.raw	20170802_QEp5_PhHu_SA_Hek_Easy12_FlipInP2RY6_NoDox_1.raw	compound: none	P2RY6
Sample 17	Homo sapiens	not available	not available	not available	not available	not available	not available	control	compound: none	P2RY6	not available	HEK FlpIn TREX	2	cell	run 17	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	1	1	AC=MS:1002523;NT=Q Exactive HF	6 ppm	0.5 Da	AC=MS:1000422;NT=HCD	27% NCE	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012277/20170802_QEp5_PhHu_SA_Hek_Easy12_FlipInP2RY6_NoDox_2.raw	20170802_QEp5_PhHu_SA_Hek_Easy12_FlipInP2RY6_NoDox_2.raw	compound: none	P2RY6
Sample 18	Homo sapiens	not available	not available	not available	not available	not available	not available	control	compound: none	P2RY6	not available	HEK FlpIn TREX	3	cell	run 18	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	1	1	AC=MS:1002523;NT=Q Exactive HF	6 ppm	0.5 Da	AC=MS:1000422;NT=HCD	27% NCE	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012277/20170802_QEp5_PhHu_SA_Hek_Easy12_FlipInP2RY6_NoDox_3.raw	20170802_QEp5_PhHu_SA_Hek_Easy12_FlipInP2RY6_NoDox_3.raw	compound: none	P2RY6
Sample 19	Homo sapiens	not available	not available	not available	not available	not available	not available	doxycycline	compound: drug doxycycline	P2RY6	not available	HEK FlpIn TREX	1	cell	run 19	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	1	1	AC=MS:1002523;NT=Q Exactive HF	6 ppm	0.5 Da	AC=MS:1000422;NT=HCD	27% NCE	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012277/20170904_QEp5_PhHu_SA_Hek_Easy12_FlipInP2RY6_Dox_1.raw	20170904_QEp5_PhHu_SA_Hek_Easy12_FlipInP2RY6_Dox_1.raw	compound: drug doxycycline	P2RY6
Sample 20	Homo sapiens	not available	not available	not available	not available	not available	not available	doxycycline	compound: drug doxycycline	P2RY6	not available	HEK FlpIn TREX	2	cell	run 20	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	1	1	AC=MS:1002523;NT=Q Exactive HF	6 ppm	0.5 Da	AC=MS:1000422;NT=HCD	27% NCE	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012277/20170904_QEp5_PhHu_SA_Hek_Easy12_FlipInP2RY6_Dox_2.raw	20170904_QEp5_PhHu_SA_Hek_Easy12_FlipInP2RY6_Dox_2.raw	compound: drug doxycycline	P2RY6
Sample 21	Homo sapiens	not available	not available	not available	not available	not available	not available	doxycycline	compound: drug doxycycline	P2RY6	not available	HEK FlpIn TREX	3	cell	run 21	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	1	1	AC=MS:1002523;NT=Q Exactive HF	6 ppm	0.5 Da	AC=MS:1000422;NT=HCD	27% NCE	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012277/20170904_QEp5_PhHu_SA_Hek_Easy12_FlipInP2RY6_Dox_3.raw	20170904_QEp5_PhHu_SA_Hek_Easy12_FlipInP2RY6_Dox_3.raw	compound: drug doxycycline	P2RY6
Sample 22	Homo sapiens	not available	not available	not available	not available	not available	not available	control	compound: none	P2RY6	not available	HEK FlpIn TREX	1	cell	run 22	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	1	1	AC=MS:1002523;NT=Q Exactive HF	6 ppm	0.5 Da	AC=MS:1000422;NT=HCD	27% NCE	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012277/20170904_QEp5_PhHu_SA_Hek_Easy12_FlipInP2RY6_NoDox_1.raw	20170904_QEp5_PhHu_SA_Hek_Easy12_FlipInP2RY6_NoDox_1.raw	compound: none	P2RY6
Sample 23	Homo sapiens	not available	not available	not available	not available	not available	not available	control	compound: none	P2RY6	not available	HEK FlpIn TREX	2	cell	run 23	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	1	1	AC=MS:1002523;NT=Q Exactive HF	6 ppm	0.5 Da	AC=MS:1000422;NT=HCD	27% NCE	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012277/20170904_QEp5_PhHu_SA_Hek_Easy12_FlipInP2RY6_NoDox_2.raw	20170904_QEp5_PhHu_SA_Hek_Easy12_FlipInP2RY6_NoDox_2.raw	compound: none	P2RY6
Sample 24	Homo sapiens	not available	not available	not available	not available	not available	not available	control	compound: none	P2RY6	not available	HEK FlpIn TREX	3	cell	run 24	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	1	1	AC=MS:1002523;NT=Q Exactive HF	6 ppm	0.5 Da	AC=MS:1000422;NT=HCD	27% NCE	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012277/20170904_QEp5_PhHu_SA_Hek_Easy12_FlipInP2RY6_NoDox_3.raw	20170904_QEp5_PhHu_SA_Hek_Easy12_FlipInP2RY6_NoDox_3.raw	compound: none	P2RY6
Sample 25	Homo sapiens	not available	not available	not available	not available	not available	not available	doxycycline	compound: drug doxycycline	SLC15A3	not available	HEK FlpIn TREX	1	cell	run 25	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	1	1	AC=MS:1002523;NT=Q Exactive HF	6 ppm	0.5 Da	AC=MS:1000422;NT=HCD	27% NCE	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012277/20170904_QEp5_PhHu_SA_Hek_Easy12_FlipInSLC15A3_Dox_1.raw	20170904_QEp5_PhHu_SA_Hek_Easy12_FlipInSLC15A3_Dox_1.raw	compound: drug doxycycline	SLC15A3
Sample 26	Homo sapiens	not available	not available	not available	not available	not available	not available	doxycycline	compound: drug doxycycline	SLC15A3	not available	HEK FlpIn TREX	2	cell	run 26	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	1	1	AC=MS:1002523;NT=Q Exactive HF	6 ppm	0.5 Da	AC=MS:1000422;NT=HCD	27% NCE	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012277/20170904_QEp5_PhHu_SA_Hek_Easy12_FlipInSLC15A3_Dox_2.raw	20170904_QEp5_PhHu_SA_Hek_Easy12_FlipInSLC15A3_Dox_2.raw	compound: drug doxycycline	SLC15A3
Sample 27	Homo sapiens	not available	not available	not available	not available	not available	not available	doxycycline	compound: drug doxycycline	SLC15A3	not available	HEK FlpIn TREX	3	cell	run 27	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	1	1	AC=MS:1002523;NT=Q Exactive HF	6 ppm	0.5 Da	AC=MS:1000422;NT=HCD	27% NCE	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012277/20170904_QEp5_PhHu_SA_Hek_Easy12_FlipInSLC15A3_Dox_3.raw	20170904_QEp5_PhHu_SA_Hek_Easy12_FlipInSLC15A3_Dox_3.raw	compound: drug doxycycline	SLC15A3
Sample 28	Homo sapiens	not available	not available	not available	not available	not available	not available	control	compound: none	SLC15A3	not available	HEK FlpIn TREX	1	cell	run 28	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	1	1	AC=MS:1002523;NT=Q Exactive HF	6 ppm	0.5 Da	AC=MS:1000422;NT=HCD	27% NCE	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012277/20170904_QEp5_PhHu_SA_Hek_Easy12_FlipInSLC15A3_NoDox_1.raw	20170904_QEp5_PhHu_SA_Hek_Easy12_FlipInSLC15A3_NoDox_1.raw	compound: none	SLC15A3
Sample 29	Homo sapiens	not available	not available	not available	not available	not available	not available	control	compound: none	SLC15A3	not available	HEK FlpIn TREX	2	cell	run 29	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	1	1	AC=MS:1002523;NT=Q Exactive HF	6 ppm	0.5 Da	AC=MS:1000422;NT=HCD	27% NCE	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012277/20170904_QEp5_PhHu_SA_Hek_Easy12_FlipInSLC15A3_NoDox_2.raw	20170904_QEp5_PhHu_SA_Hek_Easy12_FlipInSLC15A3_NoDox_2.raw	compound: none	SLC15A3
