Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[developmental stage]	Characteristics[age]	Characteristics[sex]	Characteristics[disease]	characteristics[cell type]	Characteristics[compound]	Characteristics[phenotype]	Characteristics[bait]	Characteristics[cell line]	assay name	comment[label]	comment[biological replicate]	comment[technical replicate]	comment[fraction identifier]	comment[instrument]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[dissociation method]	comment[collision energy]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[file uri]	comment[data file]	Material Type	factor value[phenotype]	factor value[bait]
Sample 11	Homo sapiens	not available	not available	not available	not available	not available	not available	control	compound: none	OASL	HEK FlpIn TREX	run 11	AC=MS:1002038;NT=label free sample	2	1	1	AC=MS:1002523;NT=Q Exactive HF	6 ppm	0.5 Da	AC=MS:1000422;NT=HCD	27% NCE	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012277/20170802_QEp5_PhHu_SA_Hek_Easy12_FlipInOASL_noDox_17.raw	20170802_QEp5_PhHu_SA_Hek_Easy12_FlipInOASL_noDox_17.raw	cell	compound: none	OASL
Sample 12	Homo sapiens	not available	not available	not available	not available	not available	not available	control	compound: none	OASL	HEK FlpIn TREX	run 12	AC=MS:1002038;NT=label free sample	3	1	1	AC=MS:1002523;NT=Q Exactive HF	6 ppm	0.5 Da	AC=MS:1000422;NT=HCD	27% NCE	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012277/20170802_QEp5_PhHu_SA_Hek_Easy12_FlipInOASL_noDox_18.raw	20170802_QEp5_PhHu_SA_Hek_Easy12_FlipInOASL_noDox_18.raw	cell	compound: none	OASL
Sample 13	Homo sapiens	not available	not available	not available	not available	not available	not available	doxycycline	compound: drug doxycycline	P2RY6	HEK FlpIn TREX	run 13	AC=MS:1002038;NT=label free sample	1	1	1	AC=MS:1002523;NT=Q Exactive HF	6 ppm	0.5 Da	AC=MS:1000422;NT=HCD	27% NCE	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012277/20170802_QEp5_PhHu_SA_Hek_Easy12_FlipInP2RY6_Dox_4.raw	20170802_QEp5_PhHu_SA_Hek_Easy12_FlipInP2RY6_Dox_4.raw	cell	compound: drug doxycycline	P2RY6
Sample 14	Homo sapiens	not available	not available	not available	not available	not available	not available	doxycycline	compound: drug doxycycline	P2RY6	HEK FlpIn TREX	run 14	AC=MS:1002038;NT=label free sample	2	1	1	AC=MS:1002523;NT=Q Exactive HF	6 ppm	0.5 Da	AC=MS:1000422;NT=HCD	27% NCE	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012277/20170802_QEp5_PhHu_SA_Hek_Easy12_FlipInP2RY6_Dox_5.raw	20170802_QEp5_PhHu_SA_Hek_Easy12_FlipInP2RY6_Dox_5.raw	cell	compound: drug doxycycline	P2RY6
Sample 15	Homo sapiens	not available	not available	not available	not available	not available	not available	doxycycline	compound: drug doxycycline	P2RY6	HEK FlpIn TREX	run 15	AC=MS:1002038;NT=label free sample	3	1	1	AC=MS:1002523;NT=Q Exactive HF	6 ppm	0.5 Da	AC=MS:1000422;NT=HCD	27% NCE	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012277/20170802_QEp5_PhHu_SA_Hek_Easy12_FlipInP2RY6_Dox_6.raw	20170802_QEp5_PhHu_SA_Hek_Easy12_FlipInP2RY6_Dox_6.raw	cell	compound: drug doxycycline	P2RY6
Sample 16	Homo sapiens	not available	not available	not available	not available	not available	not available	control	compound: none	P2RY6	HEK FlpIn TREX	run 16	AC=MS:1002038;NT=label free sample	1	1	1	AC=MS:1002523;NT=Q Exactive HF	6 ppm	0.5 Da	AC=MS:1000422;NT=HCD	27% NCE	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012277/20170802_QEp5_PhHu_SA_Hek_Easy12_FlipInP2RY6_NoDox_1.raw	20170802_QEp5_PhHu_SA_Hek_Easy12_FlipInP2RY6_NoDox_1.raw	cell	compound: none	P2RY6
Sample 17	Homo sapiens	not available	not available	not available	not available	not available	not available	control	compound: none	P2RY6	HEK FlpIn TREX	run 17	AC=MS:1002038;NT=label free sample	2	1	1	AC=MS:1002523;NT=Q Exactive HF	6 ppm	0.5 Da	AC=MS:1000422;NT=HCD	27% NCE	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012277/20170802_QEp5_PhHu_SA_Hek_Easy12_FlipInP2RY6_NoDox_2.raw	20170802_QEp5_PhHu_SA_Hek_Easy12_FlipInP2RY6_NoDox_2.raw	cell	compound: none	P2RY6
Sample 18	Homo sapiens	not available	not available	not available	not available	not available	not available	control	compound: none	P2RY6	HEK FlpIn TREX	run 18	AC=MS:1002038;NT=label free sample	3	1	1	AC=MS:1002523;NT=Q Exactive HF	6 ppm	0.5 Da	AC=MS:1000422;NT=HCD	27% NCE	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012277/20170802_QEp5_PhHu_SA_Hek_Easy12_FlipInP2RY6_NoDox_3.raw	20170802_QEp5_PhHu_SA_Hek_Easy12_FlipInP2RY6_NoDox_3.raw	cell	compound: none	P2RY6
Sample 19	Homo sapiens	not available	not available	not available	not available	not available	not available	doxycycline	compound: drug doxycycline	P2RY6	HEK FlpIn TREX	run 19	AC=MS:1002038;NT=label free sample	1	1	1	AC=MS:1002523;NT=Q Exactive HF	6 ppm	0.5 Da	AC=MS:1000422;NT=HCD	27% NCE	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012277/20170904_QEp5_PhHu_SA_Hek_Easy12_FlipInP2RY6_Dox_1.raw	20170904_QEp5_PhHu_SA_Hek_Easy12_FlipInP2RY6_Dox_1.raw	cell	compound: drug doxycycline	P2RY6
Sample 20	Homo sapiens	not available	not available	not available	not available	not available	not available	doxycycline	compound: drug doxycycline	P2RY6	HEK FlpIn TREX	run 20	AC=MS:1002038;NT=label free sample	2	1	1	AC=MS:1002523;NT=Q Exactive HF	6 ppm	0.5 Da	AC=MS:1000422;NT=HCD	27% NCE	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012277/20170904_QEp5_PhHu_SA_Hek_Easy12_FlipInP2RY6_Dox_2.raw	20170904_QEp5_PhHu_SA_Hek_Easy12_FlipInP2RY6_Dox_2.raw	cell	compound: drug doxycycline	P2RY6
Sample 21	Homo sapiens	not available	not available	not available	not available	not available	not available	doxycycline	compound: drug doxycycline	P2RY6	HEK FlpIn TREX	run 21	AC=MS:1002038;NT=label free sample	3	1	1	AC=MS:1002523;NT=Q Exactive HF	6 ppm	0.5 Da	AC=MS:1000422;NT=HCD	27% NCE	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012277/20170904_QEp5_PhHu_SA_Hek_Easy12_FlipInP2RY6_Dox_3.raw	20170904_QEp5_PhHu_SA_Hek_Easy12_FlipInP2RY6_Dox_3.raw	cell	compound: drug doxycycline	P2RY6
Sample 22	Homo sapiens	not available	not available	not available	not available	not available	not available	control	compound: none	P2RY6	HEK FlpIn TREX	run 22	AC=MS:1002038;NT=label free sample	1	1	1	AC=MS:1002523;NT=Q Exactive HF	6 ppm	0.5 Da	AC=MS:1000422;NT=HCD	27% NCE	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012277/20170904_QEp5_PhHu_SA_Hek_Easy12_FlipInP2RY6_NoDox_1.raw	20170904_QEp5_PhHu_SA_Hek_Easy12_FlipInP2RY6_NoDox_1.raw	cell	compound: none	P2RY6
Sample 23	Homo sapiens	not available	not available	not available	not available	not available	not available	control	compound: none	P2RY6	HEK FlpIn TREX	run 23	AC=MS:1002038;NT=label free sample	2	1	1	AC=MS:1002523;NT=Q Exactive HF	6 ppm	0.5 Da	AC=MS:1000422;NT=HCD	27% NCE	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012277/20170904_QEp5_PhHu_SA_Hek_Easy12_FlipInP2RY6_NoDox_2.raw	20170904_QEp5_PhHu_SA_Hek_Easy12_FlipInP2RY6_NoDox_2.raw	cell	compound: none	P2RY6
Sample 24	Homo sapiens	not available	not available	not available	not available	not available	not available	control	compound: none	P2RY6	HEK FlpIn TREX	run 24	AC=MS:1002038;NT=label free sample	3	1	1	AC=MS:1002523;NT=Q Exactive HF	6 ppm	0.5 Da	AC=MS:1000422;NT=HCD	27% NCE	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012277/20170904_QEp5_PhHu_SA_Hek_Easy12_FlipInP2RY6_NoDox_3.raw	20170904_QEp5_PhHu_SA_Hek_Easy12_FlipInP2RY6_NoDox_3.raw	cell	compound: none	P2RY6
Sample 25	Homo sapiens	not available	not available	not available	not available	not available	not available	doxycycline	compound: drug doxycycline	SLC15A3	HEK FlpIn TREX	run 25	AC=MS:1002038;NT=label free sample	1	1	1	AC=MS:1002523;NT=Q Exactive HF	6 ppm	0.5 Da	AC=MS:1000422;NT=HCD	27% NCE	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012277/20170904_QEp5_PhHu_SA_Hek_Easy12_FlipInSLC15A3_Dox_1.raw	20170904_QEp5_PhHu_SA_Hek_Easy12_FlipInSLC15A3_Dox_1.raw	cell	compound: drug doxycycline	SLC15A3
Sample 26	Homo sapiens	not available	not available	not available	not available	not available	not available	doxycycline	compound: drug doxycycline	SLC15A3	HEK FlpIn TREX	run 26	AC=MS:1002038;NT=label free sample	2	1	1	AC=MS:1002523;NT=Q Exactive HF	6 ppm	0.5 Da	AC=MS:1000422;NT=HCD	27% NCE	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012277/20170904_QEp5_PhHu_SA_Hek_Easy12_FlipInSLC15A3_Dox_2.raw	20170904_QEp5_PhHu_SA_Hek_Easy12_FlipInSLC15A3_Dox_2.raw	cell	compound: drug doxycycline	SLC15A3
Sample 27	Homo sapiens	not available	not available	not available	not available	not available	not available	doxycycline	compound: drug doxycycline	SLC15A3	HEK FlpIn TREX	run 27	AC=MS:1002038;NT=label free sample	3	1	1	AC=MS:1002523;NT=Q Exactive HF	6 ppm	0.5 Da	AC=MS:1000422;NT=HCD	27% NCE	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012277/20170904_QEp5_PhHu_SA_Hek_Easy12_FlipInSLC15A3_Dox_3.raw	20170904_QEp5_PhHu_SA_Hek_Easy12_FlipInSLC15A3_Dox_3.raw	cell	compound: drug doxycycline	SLC15A3
Sample 28	Homo sapiens	not available	not available	not available	not available	not available	not available	control	compound: none	SLC15A3	HEK FlpIn TREX	run 28	AC=MS:1002038;NT=label free sample	1	1	1	AC=MS:1002523;NT=Q Exactive HF	6 ppm	0.5 Da	AC=MS:1000422;NT=HCD	27% NCE	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012277/20170904_QEp5_PhHu_SA_Hek_Easy12_FlipInSLC15A3_NoDox_1.raw	20170904_QEp5_PhHu_SA_Hek_Easy12_FlipInSLC15A3_NoDox_1.raw	cell	compound: none	SLC15A3
Sample 29	Homo sapiens	not available	not available	not available	not available	not available	not available	control	compound: none	SLC15A3	HEK FlpIn TREX	run 29	AC=MS:1002038;NT=label free sample	2	1	1	AC=MS:1002523;NT=Q Exactive HF	6 ppm	0.5 Da	AC=MS:1000422;NT=HCD	27% NCE	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012277/20170904_QEp5_PhHu_SA_Hek_Easy12_FlipInSLC15A3_NoDox_2.raw	20170904_QEp5_PhHu_SA_Hek_Easy12_FlipInSLC15A3_NoDox_2.raw	cell	compound: none	SLC15A3
Sample 30	Homo sapiens	not available	not available	not available	not available	not available	not available	control	compound: none	SLC15A3	HEK FlpIn TREX	run 30	AC=MS:1002038;NT=label free sample	3	1	1	AC=MS:1002523;NT=Q Exactive HF	6 ppm	0.5 Da	AC=MS:1000422;NT=HCD	27% NCE	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012277/20170904_QEp5_PhHu_SA_Hek_Easy12_FlipInSLC15A3_NoDox_3.raw	20170904_QEp5_PhHu_SA_Hek_Easy12_FlipInSLC15A3_NoDox_3.raw	cell	compound: none	SLC15A3
