source name	characteristics[organism]	characteristics[disease]	characteristics[organism part]	characteristics[organism part]	characteristics[cell type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[cell line]	characteristics[biological replicate]	characteristics[individual]	assay name	technology type	comment[proteomexchange accession number]	comment[file uri]	comment[instrument]	comment[technical replicate]	comment[fraction identifier]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[label]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[data file]
Sample 48	homo sapiens	invasive ductal carcinoma	breast	mammary gland	not available	not available	not available	not available	not available	BT549	1	not applicable	run 11	proteomic profiling by mass spectrometry	PXD005942	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005942/000120_D01_P000703_B00_A00_R1.RAW	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	1	1	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.6 Da	20 ppm	000120_D01_P000703_B00_A00_R1.RAW
Sample 49	homo sapiens	cutaneous melanoma	skin	melanocytes	not available	not available	not available	not available	not available	SK-MEL-28	1	not applicable	run 12	proteomic profiling by mass spectrometry	PXD005942	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005942/000120_C01_P000704_B00_A00_R1.RAW	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	1	1	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.6 Da	20 ppm	000120_C01_P000704_B00_A00_R1.RAW
Sample 50	homo sapiens	breast adenocarcinoma	breast	mammary gland	not available	not available	not available	not available	not available	MDAMB231	1	not applicable	run 13	proteomic profiling by mass spectrometry	PXD005942	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005942/000120_B01_P000705_B00_A00_R1.RAW	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	1	1	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.6 Da	20 ppm	000120_B01_P000705_B00_A00_R1.RAW
Sample 51	homo sapiens	colon adenocarcinoma	colon	colorectum	not available	not available	not available	not available	not available	SW620	1	not applicable	run 14	proteomic profiling by mass spectrometry	PXD005942	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005942/000120_A01_P000706_B00_A00_R1.RAW	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	1	1	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.6 Da	20 ppm	000120_A01_P000706_B00_A00_R1.RAW
Sample 52	homo sapiens	melanoma	skin	melanocytes	not available	not available	not available	not available	not available	UACC-257	1	not applicable	run 15	proteomic profiling by mass spectrometry	PXD005942	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005942/000120_B03_P000707_B00_A00_R1.RAW	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	1	1	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.6 Da	20 ppm	000120_B03_P000707_B00_A00_R1.RAW
Sample 53	homo sapiens	amelanotic melanoma	lymph node	not available	not available	not available	not available	not available	not available	LOXIMVI	1	not applicable	run 16	proteomic profiling by mass spectrometry	PXD005942	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005942/000120_A03_P000708_B00_A00_R1.RAW	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	1	1	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.6 Da	20 ppm	000120_A03_P000708_B00_A00_R1.RAW
Sample 54	homo sapiens	renal cell carcinoma	kidney	renal glomerulus	not available	not available	not available	not available	not available	UO31	1	not applicable	run 17	proteomic profiling by mass spectrometry	PXD005942	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005942/000120_H02_P000709_B00_A00_R1.RAW	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	1	1	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.6 Da	20 ppm	000120_H02_P000709_B00_A00_R1.RAW
Sample 55	homo sapiens	high grade ovarian serous adenocarcinoma	ovary	fallopian tube	not available	not available	not available	not available	not available	OVCAR5	1	not applicable	run 18	proteomic profiling by mass spectrometry	PXD005942	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005942/000120_G02_P000710_B00_A00_R1.RAW	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	1	1	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.6 Da	20 ppm	000120_G02_P000710_B00_A00_R1.RAW
Sample 56	homo sapiens	renal cell carcinoma	kidney	renal system	not available	not available	not available	not available	not available	786-0	1	not applicable	run 19	proteomic profiling by mass spectrometry	PXD005942	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005942/000120_F02_P000711_B00_A00_R1.RAW	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	1	1	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.6 Da	20 ppm	000120_F02_P000711_B00_A00_R1.RAW
Sample 57	homo sapiens	melanoma	skin	melanocytes	not available	not available	not available	not available	not available	UACC-62	1	not applicable	run 20	proteomic profiling by mass spectrometry	PXD005942	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005942/000120_E02_P000712_B00_A00_R1.RAW	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	1	1	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.6 Da	20 ppm	000120_E02_P000712_B00_A00_R1.RAW
Sample 58	homo sapiens	non-small cell lung adenocarcinoma	lung	not available	not available	not available	not available	not available	not available	NCI-H460	1	not applicable	run 21	proteomic profiling by mass spectrometry	PXD005942	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005942/000120_D02_P000713_B00_A00_R1.RAW	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	1	1	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.6 Da	20 ppm	000120_D02_P000713_B00_A00_R1.RAW
Sample 59	homo sapiens	renal cell carcinoma	renal glomerulus	not available	not available	not available	not available	not available	not available	SN12C	1	not applicable	run 22	proteomic profiling by mass spectrometry	PXD005942	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005942/000120_C02_P000714_B00_A00_R2.RAW	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	1	1	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.6 Da	20 ppm	000120_C02_P000714_B00_A00_R2.RAW
Sample 60	homo sapiens	Ovarian Endometrioid Adenocarcinoma	ovary	not available	not available	not available	not available	not available	not available	IGROV-1	1	not applicable	run 23	proteomic profiling by mass spectrometry	PXD005942	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005942/000120_B02_P000715_B00_A00_R2.RAW	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	1	1	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.6 Da	20 ppm	000120_B02_P000715_B00_A00_R2.RAW
Sample 61	homo sapiens	lung adenocarcinoma	lung	epithelium of bronchiole	not available	not available	not available	not available	not available	NCI-H23	1	not applicable	run 24	proteomic profiling by mass spectrometry	PXD005942	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005942/000124_A01_P000746_B00_A00_R1.RAW	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	1	1	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.6 Da	20 ppm	000124_A01_P000746_B00_A00_R1.RAW
Sample 62	homo sapiens	prostate carcinoma	prostate	male reproductive system	not available	not available	not available	not available	not available	PC-3	1	not applicable	run 25	proteomic profiling by mass spectrometry	PXD005942	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005942/000124_B01_P000747_B00_A00_R1.RAW	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	1	1	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.6 Da	20 ppm	000124_B01_P000747_B00_A00_R1.RAW
Sample 63	homo sapiens	brain glioblastoma	brain	embryonic central brain glia	not available	not available	not available	not available	not available	SF295	1	not applicable	run 26	proteomic profiling by mass spectrometry	PXD005942	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005942/000124_C01_P000748_B00_A00_R1.RAW	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	1	1	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.6 Da	20 ppm	000124_C01_P000748_B00_A00_R1.RAW
Sample 64	homo sapiens	anaplastic large cell lymphoma	blood	blood component	not available	not available	not available	not available	not available	SR	1	not applicable	run 27	proteomic profiling by mass spectrometry	PXD005942	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005942/000124_D01_P000749_B00_A00_R1.RAW	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	1	1	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.6 Da	20 ppm	000124_D01_P000749_B00_A00_R1.RAW
Sample 65	homo sapiens	metastatic melanoma	skin	melanocytes	not available	not available	not available	not available	not available	SK-MEL-2	1	not applicable	run 28	proteomic profiling by mass spectrometry	PXD005942	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005942/000124_E01_P000750_B00_A00_R1.RAW	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	1	1	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.6 Da	20 ppm	000124_E01_P000750_B00_A00_R1.RAW
Sample 66	homo sapiens	high grade ovarian serous adenocarcinoma	ovary	fallopian tube	not available	not available	not available	not available	not available	OVCAR3	1	not applicable	run 29	proteomic profiling by mass spectrometry	PXD005942	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005942/000124_F01_P000751_B00_A00_R1.RAW	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	1	1	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.6 Da	20 ppm	000124_F01_P000751_B00_A00_R1.RAW
Sample 67	homo sapiens	colon carcinoma	colon	colonic mucosa	not available	not available	not available	not available	not available	HCT116	1	not applicable	run 30	proteomic profiling by mass spectrometry	PXD005942	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005942/000124_G01_P000752_B00_A00_R1.RAW	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	1	1	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.6 Da	20 ppm	000124_G01_P000752_B00_A00_R1.RAW
Sample 68	homo sapiens	childhood T acute lymphoblastic leukemia	blood	lymphatic part of lymphoid system	not available	not available	not available	not available	not available	CCRFCEM	1	not applicable	run 31	proteomic profiling by mass spectrometry	PXD005942	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005942/000124_H01_P000753_B00_A00_R1.RAW	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	1	1	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.6 Da	20 ppm	000124_H01_P000753_B00_A00_R1.RAW
Sample 69	homo sapiens	ovarian serous cystadenocarcinoma	ovary	female gonad	not available	not available	not available	not available	not available	SKOV3	1	not applicable	run 32	proteomic profiling by mass spectrometry	PXD005942	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005942/000124_A02_P000754_B00_A00_R1.RAW	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	1	1	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.6 Da	20 ppm	000124_A02_P000754_B00_A00_R1.RAW
Sample 70	homo sapiens	adult T acute lymphoblastic leukemia	blood	lymphoid tissue	not available	not available	not available	not available	not available	MOLT-4	1	not applicable	run 33	proteomic profiling by mass spectrometry	PXD005942	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005942/000124_A03_P000755_B00_A00_R3.RAW	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	1	1	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.6 Da	20 ppm	000124_A03_P000755_B00_A00_R3.RAW
Sample 71	homo sapiens	prostate carcinoma	prostate	prostate gland	not available	not available	not available	not available	not available	DU 145	1	not applicable	run 34	proteomic profiling by mass spectrometry	PXD005942	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005942/000124_H02_P000756_B00_A00_R1.RAW	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	1	1	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.6 Da	20 ppm	000124_H02_P000756_B00_A00_R1.RAW
Sample 72	homo sapiens	multiple myeloma	blood	blood plasma	not available	not available	not available	not available	not available	RPMI8226	1	not applicable	run 35	proteomic profiling by mass spectrometry	PXD005942	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005942/000124_G02_P000757_B00_A00_R1.RAW	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	1	1	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.6 Da	20 ppm	000124_G02_P000757_B00_A00_R1.RAW
Sample 73	homo sapiens	Colon adenocarcinoma	colon	colorectum	not available	not available	not available	not available	not available	HT-29	1	not applicable	run 36	proteomic profiling by mass spectrometry	PXD005942	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005942/000132_G01_P000803_B00_A00_R1.RAW	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	1	1	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.6 Da	20 ppm	000132_G01_P000803_B00_A00_R1.RAW
