source name	characteristics[organism]	characteristics[organism part]	characteristics[cultivar]	characteristics[cell type]	characteristics[developmental stage]	characteristics[disease]	characteristics[age]	characteristics[compound 2]	characteristics[time]	characteristics[biological replicate]	characteristics[enrichment process]	material type	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[compound 2]	factor value[time]
Sample 11	Arabidopsis thaliana	Whole Organism	wild-type	not available	not available	not available	not available	none	0 min	2	enrichment of phosphorylated Protein	cell	run 11	proteomic profiling by mass spectrometry	E12611_2p_EXT431_6085_HanChao_T0-2.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD008355/E12611_2p_EXT431_6085_HanChao_T0-2.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	25% NCE	20 ppm	0.5 Da	none	0 min
Sample 12	Arabidopsis thaliana	Whole Organism	wild-type	not available	not available	not available	not available	none	10 min	2	enrichment of phosphorylated Protein	cell	run 12	proteomic profiling by mass spectrometry	E12613_2p_EXT431_6085_HanChao_T10-2.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD008355/E12613_2p_EXT431_6085_HanChao_T10-2.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	25% NCE	20 ppm	0.5 Da	none	10 min
Sample 13	Arabidopsis thaliana	Whole Organism	wild-type	not available	not available	not available	not available	none	20 min	2	enrichment of phosphorylated Protein	cell	run 13	proteomic profiling by mass spectrometry	E12615_2p_EXT431_6085_HanChao_T20-2.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD008355/E12615_2p_EXT431_6085_HanChao_T20-2.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	25% NCE	20 ppm	0.5 Da	none	20 min
Sample 14	Arabidopsis thaliana	Whole Organism	wild-type	not available	not available	not available	not available	none	40 min	2	enrichment of phosphorylated Protein	cell	run 14	proteomic profiling by mass spectrometry	E12617_2p_EXT431_6085_HanChao_T40-2.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD008355/E12617_2p_EXT431_6085_HanChao_T40-2.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	25% NCE	20 ppm	0.5 Da	none	40 min
Sample 15	Arabidopsis thaliana	Whole Organism	wild-type	not available	not available	not available	not available	rapamycin	10 min	2	enrichment of phosphorylated Protein	cell	run 15	proteomic profiling by mass spectrometry	E12619_2p_EXT431_6085_HanChao_T10-Rapa-2.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD008355/E12619_2p_EXT431_6085_HanChao_T10-Rapa-2.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	25% NCE	20 ppm	0.5 Da	rapamycin	10 min
Sample 16	Arabidopsis thaliana	Whole Organism	wild-type	not available	not available	not available	not available	rapamycin	20 min	2	enrichment of phosphorylated Protein	cell	run 16	proteomic profiling by mass spectrometry	E12621_2p_EXT431_6085_HanChao_T20-Rapa-2.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD008355/E12621_2p_EXT431_6085_HanChao_T20-Rapa-2.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	25% NCE	20 ppm	0.5 Da	rapamycin	20 min
Sample 17	Arabidopsis thaliana	Whole Organism	wild-type	not available	not available	not available	not available	rapamycin	40 min	2	enrichment of phosphorylated Protein	cell	run 17	proteomic profiling by mass spectrometry	E12623_2p_EXT431_6085_HanChao_T40-Rapa-2.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD008355/E12623_2p_EXT431_6085_HanChao_T40-Rapa-2.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	25% NCE	20 ppm	0.5 Da	rapamycin	40 min
Sample 18	Arabidopsis thaliana	Whole Organism	wild-type	not available	not available	not available	not available	AZD8055	10 min	2	enrichment of phosphorylated Protein	cell	run 18	proteomic profiling by mass spectrometry	E12625_2p_EXT431_6085_HanChao_T10-AZD-2.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD008355/E12625_2p_EXT431_6085_HanChao_T10-AZD-2.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	25% NCE	20 ppm	0.5 Da	AZD8055	10 min
Sample 19	Arabidopsis thaliana	Whole Organism	wild-type	not available	not available	not available	not available	AZD8055	20 min	2	enrichment of phosphorylated Protein	cell	run 19	proteomic profiling by mass spectrometry	E12627_2p_EXT431_6085_HanChao_T20-AZD-2.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD008355/E12627_2p_EXT431_6085_HanChao_T20-AZD-2.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	25% NCE	20 ppm	0.5 Da	AZD8055	20 min
Sample 20	Arabidopsis thaliana	Whole Organism	wild-type	not available	not available	not available	not available	AZD8055	40 min	2	enrichment of phosphorylated Protein	cell	run 20	proteomic profiling by mass spectrometry	E12629_2p_EXT431_6085_HanChao_T40-AZD-2.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD008355/E12629_2p_EXT431_6085_HanChao_T40-AZD-2.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	25% NCE	20 ppm	0.5 Da	AZD8055	40 min
Sample 21	Arabidopsis thaliana	Whole Organism	wild-type	not available	not available	not available	not available	none	0 min	3	enrichment of phosphorylated Protein	cell	run 21	proteomic profiling by mass spectrometry	E12631_2p_EXT431_6085_HanChao_T0-3.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD008355/E12631_2p_EXT431_6085_HanChao_T0-3.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	25% NCE	20 ppm	0.5 Da	none	0 min
Sample 22	Arabidopsis thaliana	Whole Organism	wild-type	not available	not available	not available	not available	none	10 min	3	enrichment of phosphorylated Protein	cell	run 22	proteomic profiling by mass spectrometry	E12633_2p_EXT431_6085_HanChao_T10-3.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD008355/E12633_2p_EXT431_6085_HanChao_T10-3.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	25% NCE	20 ppm	0.5 Da	none	10 min
Sample 23	Arabidopsis thaliana	Whole Organism	wild-type	not available	not available	not available	not available	none	20 min	3	enrichment of phosphorylated Protein	cell	run 23	proteomic profiling by mass spectrometry	E12635_2p_EXT431_6085_HanChao_T20-3.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD008355/E12635_2p_EXT431_6085_HanChao_T20-3.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	25% NCE	20 ppm	0.5 Da	none	20 min
Sample 24	Arabidopsis thaliana	Whole Organism	wild-type	not available	not available	not available	not available	none	40 min	3	enrichment of phosphorylated Protein	cell	run 24	proteomic profiling by mass spectrometry	E12637_2p_EXT431_6085_HanChao_T40-3.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD008355/E12637_2p_EXT431_6085_HanChao_T40-3.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	25% NCE	20 ppm	0.5 Da	none	40 min
Sample 25	Arabidopsis thaliana	Whole Organism	wild-type	not available	not available	not available	not available	rapamycin	10 min	3	enrichment of phosphorylated Protein	cell	run 25	proteomic profiling by mass spectrometry	E12639_2p_EXT431_6085_HanChao_T10-Rapa-3.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD008355/E12639_2p_EXT431_6085_HanChao_T10-Rapa-3.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	25% NCE	20 ppm	0.5 Da	rapamycin	10 min
Sample 26	Arabidopsis thaliana	Whole Organism	wild-type	not available	not available	not available	not available	rapamycin	20 min	3	enrichment of phosphorylated Protein	cell	run 26	proteomic profiling by mass spectrometry	E12641_2p_EXT431_6085_HanChao_T20-Rapa-3.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD008355/E12641_2p_EXT431_6085_HanChao_T20-Rapa-3.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	25% NCE	20 ppm	0.5 Da	rapamycin	20 min
Sample 27	Arabidopsis thaliana	Whole Organism	wild-type	not available	not available	not available	not available	rapamycin	40 min	3	enrichment of phosphorylated Protein	cell	run 27	proteomic profiling by mass spectrometry	E12643_2p_EXT431_6085_HanChao_T40-Rapa-3.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD008355/E12643_2p_EXT431_6085_HanChao_T40-Rapa-3.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	25% NCE	20 ppm	0.5 Da	rapamycin	40 min
Sample 28	Arabidopsis thaliana	Whole Organism	wild-type	not available	not available	not available	not available	AZD8055	10 min	3	enrichment of phosphorylated Protein	cell	run 28	proteomic profiling by mass spectrometry	E12645_2p_EXT431_6085_HanChao_T10-AZD-3.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD008355/E12645_2p_EXT431_6085_HanChao_T10-AZD-3.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	25% NCE	20 ppm	0.5 Da	AZD8055	10 min
Sample 29	Arabidopsis thaliana	Whole Organism	wild-type	not available	not available	not available	not available	AZD8055	20 min	3	enrichment of phosphorylated Protein	cell	run 29	proteomic profiling by mass spectrometry	E12647_2p_EXT431_6085_HanChao_T20-AZD-3.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD008355/E12647_2p_EXT431_6085_HanChao_T20-AZD-3.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	25% NCE	20 ppm	0.5 Da	AZD8055	20 min
Sample 30	Arabidopsis thaliana	Whole Organism	wild-type	not available	not available	not available	not available	AZD8055	40 min	3	enrichment of phosphorylated Protein	cell	run 30	proteomic profiling by mass spectrometry	E12649_2p_EXT431_6085_HanChao_T40-AZD-3.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD008355/E12649_2p_EXT431_6085_HanChao_T40-AZD-3.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	25% NCE	20 ppm	0.5 Da	AZD8055	40 min
