source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[cell line]	characteristics[developmental stage]	characteristics[disease]	characteristics[ancestry category]	characteristics[sex]	characteristics[age]	characteristics[biological replicate]	material type	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[organism part]
Sample 18	Homo sapiens	placenta	not applicable	not applicable	adult	none	not available	not available	not available	2	tissue	run 18	proteomic profiling by mass spectrometry	S18_Placenta_2.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S18_Placenta_2.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	placenta
Sample 19	Homo sapiens	endometrium	not applicable	not applicable	adult	none	not available	not available	not available	1	tissue	run 19	proteomic profiling by mass spectrometry	S19_Endometrium_1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S19_Endometrium_1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	endometrium
Sample 20	Homo sapiens	endometrium	not applicable	not applicable	adult	none	not available	not available	not available	2	tissue	run 20	proteomic profiling by mass spectrometry	S20_Endometrium_2.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S20_Endometrium_2.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	endometrium
Sample 21	Homo sapiens	adrenalgland	not applicable	not applicable	adult	none	not available	not available	not available	1	tissue	run 21	proteomic profiling by mass spectrometry	S21_AdrenalGland_1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S21_AdrenalGland_1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	adrenalgland
Sample 22	Homo sapiens	adrenalgland	not applicable	not applicable	adult	none	not available	not available	not available	2	tissue	run 22	proteomic profiling by mass spectrometry	S22_AdrenalGland_2.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S22_AdrenalGland_2.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	adrenalgland
Sample 23	Homo sapiens	appendix	not applicable	not applicable	adult	none	not available	not available	not available	1	tissue	run 23	proteomic profiling by mass spectrometry	S23_Appendix_1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S23_Appendix_1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	appendix
Sample 24	Homo sapiens	appendix	not applicable	not applicable	adult	none	not available	not available	not available	2	tissue	run 24	proteomic profiling by mass spectrometry	S24_Appendix_2.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S24_Appendix_2.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	appendix
Sample 25	Homo sapiens	lung	not applicable	not applicable	adult	none	not available	not available	not available	1	tissue	run 25	proteomic profiling by mass spectrometry	S25_Lung_1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S25_Lung_1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	lung
Sample 26	Homo sapiens	lung	not applicable	not applicable	adult	none	not available	not available	not available	2	tissue	run 26	proteomic profiling by mass spectrometry	S26_Lung_2.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S26_Lung_2.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	lung
Sample 27	Homo sapiens	liver	not applicable	not applicable	adult	none	not available	not available	not available	1	tissue	run 27	proteomic profiling by mass spectrometry	S27_Liver_1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S27_Liver_1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	liver
Sample 28	Homo sapiens	liver	not applicable	not applicable	adult	none	not available	not available	not available	2	tissue	run 28	proteomic profiling by mass spectrometry	S28_Liver_2.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S28_Liver_2.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	liver
Sample 29	Homo sapiens	heart	not applicable	not applicable	adult	none	not available	not available	not available	1	tissue	run 29	proteomic profiling by mass spectrometry	S29_Heart_1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S29_Heart_1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	heart
Sample 30	Homo sapiens	heart	not applicable	not applicable	adult	none	not available	not available	not available	2	tissue	run 30	proteomic profiling by mass spectrometry	S30_Heart_2.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S30_Heart_2.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	heart
Sample 31	Homo sapiens	colon	not applicable	not applicable	adult	none	not available	not available	not available	1	tissue	run 31	proteomic profiling by mass spectrometry	S31_Colon_1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S31_Colon_1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	colon
Sample 32	Homo sapiens	colon	not applicable	not applicable	adult	none	not available	not available	not available	2	tissue	run 32	proteomic profiling by mass spectrometry	S32_Colon_2.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S32_Colon_2.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	colon
Sample 33	Homo sapiens	esophagus	not applicable	not applicable	adult	none	not available	not available	not available	1	tissue	run 33	proteomic profiling by mass spectrometry	S33_Esophagus_1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S33_Esophagus_1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	esophagus
Sample 34	Homo sapiens	esophagus	not applicable	not applicable	adult	none	not available	not available	not available	2	tissue	run 34	proteomic profiling by mass spectrometry	S34_Esophagus_2.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S34_Esophagus_2.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	esophagus
Sample 35	Homo sapiens	stomach	not applicable	not applicable	adult	none	not available	not available	not available	1	tissue	run 35	proteomic profiling by mass spectrometry	S35_Stomach_1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S35_Stomach_1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	stomach
Sample 36	Homo sapiens	stomach	not applicable	not applicable	adult	none	not available	not available	not available	2	tissue	run 36	proteomic profiling by mass spectrometry	S36_Stomach_2.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S36_Stomach_2.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	stomach
Sample 37	Homo sapiens	small intestine	not applicable	not applicable	adult	none	not available	not available	not available	1	tissue	run 37	proteomic profiling by mass spectrometry	S37_SmallIntestine_1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S37_SmallIntestine_1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	small intestine
Sample 38	Homo sapiens	small intestine	not applicable	not applicable	adult	none	not available	not available	not available	2	tissue	run 38	proteomic profiling by mass spectrometry	S38_SmallIntestine_2.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S38_SmallIntestine_2.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	small intestine
Sample 39	Homo sapiens	trachea	not applicable	not applicable	adult	none	not available	not available	not available	1	tissue	run 39	proteomic profiling by mass spectrometry	S39_Trachea_1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S39_Trachea_1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	trachea
Sample 40	Homo sapiens	trachea	not applicable	not applicable	adult	none	not available	not available	not available	2	tissue	run 40	proteomic profiling by mass spectrometry	S40_Trachea_2.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S40_Trachea_2.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	trachea
Sample 41	Homo sapiens	kidney	not applicable	not applicable	adult	none	not available	not available	not available	1	tissue	run 41	proteomic profiling by mass spectrometry	S41_Kidney_1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S41_Kidney_1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	kidney
Sample 42	Homo sapiens	kidney	not applicable	not applicable	adult	none	not available	not available	not available	2	tissue	run 42	proteomic profiling by mass spectrometry	S42_Kidney_2.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S42_Kidney_2.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	kidney
Sample 43	Homo sapiens	cervix	not applicable	not applicable	adult	none	not available	not available	not available	1	tissue	run 43	proteomic profiling by mass spectrometry	S43_Cervix_1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S43_Cervix_1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	cervix
Sample 44	Homo sapiens	cervix	not applicable	not applicable	adult	none	not available	not available	not available	2	tissue	run 44	proteomic profiling by mass spectrometry	S44_Cervix_2.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S44_Cervix_2.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	cervix
