Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[cell type]	Characteristics[cell line]	Characteristics[developmental stage]	Characteristics[disease]	Characteristics[ancestry category]	Characteristics[sex]	Characteristics[age]	Characteristics[biological replicate]	assay name	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	Material Type	Factor Value[organism part]
Sample 11	Homo sapiens	spinalcord	not applicable	not applicable	adult	none	not available	not available	not available	1	run 11	S11_SpinalCord_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S11_SpinalCord_1.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	tissue	spinalcord
Sample 12	Homo sapiens	spinalcord	not applicable	not applicable	adult	none	not available	not available	not available	2	run 12	S12_SpinalCord_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S12_SpinalCord_2.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	tissue	spinalcord
Sample 13	Homo sapiens	brain	not applicable	not applicable	adult	none	not available	not available	not available	1	run 13	S13_Brain_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S13_Brain_1.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	tissue	brain
Sample 14	Homo sapiens	brain	not applicable	not applicable	adult	none	not available	not available	not available	2	run 14	S14_Brain_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S14_Brain_2.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	tissue	brain
Sample 15	Homo sapiens	medulla oblongata	not applicable	not applicable	adult	none	not available	not available	not available	1	run 15	S15_MedullaOblongata_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S15_MedullaOblongata_1.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	tissue	medulla oblongata
Sample 16	Homo sapiens	medulla oblongata	not applicable	not applicable	adult	none	not available	not available	not available	2	run 16	S16_MedullaOblongata_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S16_MedullaOblongata_2.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	tissue	medulla oblongata
Sample 17	Homo sapiens	placenta	not applicable	not applicable	adult	none	not available	not available	not available	1	run 17	S17_Placenta_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S17_Placenta_1.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	tissue	placenta
Sample 18	Homo sapiens	placenta	not applicable	not applicable	adult	none	not available	not available	not available	2	run 18	S18_Placenta_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S18_Placenta_2.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	tissue	placenta
Sample 19	Homo sapiens	endometrium	not applicable	not applicable	adult	none	not available	not available	not available	1	run 19	S19_Endometrium_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S19_Endometrium_1.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	tissue	endometrium
Sample 20	Homo sapiens	endometrium	not applicable	not applicable	adult	none	not available	not available	not available	2	run 20	S20_Endometrium_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S20_Endometrium_2.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	tissue	endometrium
Sample 21	Homo sapiens	adrenalgland	not applicable	not applicable	adult	none	not available	not available	not available	1	run 21	S21_AdrenalGland_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S21_AdrenalGland_1.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	tissue	adrenalgland
Sample 22	Homo sapiens	adrenalgland	not applicable	not applicable	adult	none	not available	not available	not available	2	run 22	S22_AdrenalGland_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S22_AdrenalGland_2.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	tissue	adrenalgland
Sample 23	Homo sapiens	appendix	not applicable	not applicable	adult	none	not available	not available	not available	1	run 23	S23_Appendix_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S23_Appendix_1.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	tissue	appendix
Sample 24	Homo sapiens	appendix	not applicable	not applicable	adult	none	not available	not available	not available	2	run 24	S24_Appendix_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S24_Appendix_2.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	tissue	appendix
Sample 25	Homo sapiens	lung	not applicable	not applicable	adult	none	not available	not available	not available	1	run 25	S25_Lung_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S25_Lung_1.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	tissue	lung
Sample 26	Homo sapiens	lung	not applicable	not applicable	adult	none	not available	not available	not available	2	run 26	S26_Lung_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S26_Lung_2.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	tissue	lung
Sample 27	Homo sapiens	liver	not applicable	not applicable	adult	none	not available	not available	not available	1	run 27	S27_Liver_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S27_Liver_1.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	tissue	liver
Sample 28	Homo sapiens	liver	not applicable	not applicable	adult	none	not available	not available	not available	2	run 28	S28_Liver_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S28_Liver_2.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	tissue	liver
Sample 29	Homo sapiens	heart	not applicable	not applicable	adult	none	not available	not available	not available	1	run 29	S29_Heart_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S29_Heart_1.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	tissue	heart
Sample 30	Homo sapiens	heart	not applicable	not applicable	adult	none	not available	not available	not available	2	run 30	S30_Heart_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S30_Heart_2.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	tissue	heart
Sample 31	Homo sapiens	colon	not applicable	not applicable	adult	none	not available	not available	not available	1	run 31	S31_Colon_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S31_Colon_1.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	tissue	colon
Sample 32	Homo sapiens	colon	not applicable	not applicable	adult	none	not available	not available	not available	2	run 32	S32_Colon_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S32_Colon_2.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	tissue	colon
Sample 33	Homo sapiens	esophagus	not applicable	not applicable	adult	none	not available	not available	not available	1	run 33	S33_Esophagus_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S33_Esophagus_1.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	tissue	esophagus
Sample 34	Homo sapiens	esophagus	not applicable	not applicable	adult	none	not available	not available	not available	2	run 34	S34_Esophagus_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S34_Esophagus_2.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	tissue	esophagus
Sample 35	Homo sapiens	stomach	not applicable	not applicable	adult	none	not available	not available	not available	1	run 35	S35_Stomach_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S35_Stomach_1.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	tissue	stomach
Sample 36	Homo sapiens	stomach	not applicable	not applicable	adult	none	not available	not available	not available	2	run 36	S36_Stomach_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S36_Stomach_2.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	tissue	stomach
Sample 37	Homo sapiens	small intestine	not applicable	not applicable	adult	none	not available	not available	not available	1	run 37	S37_SmallIntestine_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S37_SmallIntestine_1.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	tissue	small intestine
Sample 38	Homo sapiens	small intestine	not applicable	not applicable	adult	none	not available	not available	not available	2	run 38	S38_SmallIntestine_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S38_SmallIntestine_2.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	tissue	small intestine
Sample 39	Homo sapiens	trachea	not applicable	not applicable	adult	none	not available	not available	not available	1	run 39	S39_Trachea_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S39_Trachea_1.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	tissue	trachea
Sample 40	Homo sapiens	trachea	not applicable	not applicable	adult	none	not available	not available	not available	2	run 40	S40_Trachea_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S40_Trachea_2.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	tissue	trachea
Sample 41	Homo sapiens	kidney	not applicable	not applicable	adult	none	not available	not available	not available	1	run 41	S41_Kidney_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S41_Kidney_1.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	tissue	kidney
Sample 42	Homo sapiens	kidney	not applicable	not applicable	adult	none	not available	not available	not available	2	run 42	S42_Kidney_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S42_Kidney_2.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	tissue	kidney
Sample 43	Homo sapiens	cervix	not applicable	not applicable	adult	none	not available	not available	not available	1	run 43	S43_Cervix_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S43_Cervix_1.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	tissue	cervix
Sample 44	Homo sapiens	cervix	not applicable	not applicable	adult	none	not available	not available	not available	2	run 44	S44_Cervix_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S44_Cervix_2.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	tissue	cervix
Sample 45	Homo sapiens	bladder	not applicable	not applicable	adult	none	not available	not available	not available	1	run 45	S45_Bladder_1_20200129213259.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S45_Bladder_1_20200129213259.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	tissue	bladder
Sample 46	Homo sapiens	bladder	not applicable	not applicable	adult	none	not available	not available	not available	2	run 46	S46_Bladder_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S46_Bladder_2.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	tissue	bladder
Sample 47	Homo sapiens	breast	not applicable	not applicable	adult	none	not available	not available	not available	1	run 47	S47_Breast_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S47_Breast_1.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	tissue	breast
