Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[cell line]	Characteristics[age]	Characteristics[sex]	Characteristics[disease]	Characteristics[developmental stage]	Characteristics[individual]	characteristics[cell type]	characteristics[ancestry category]	assay name	comment[label]	comment[instrument]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[file uri]	comment[data file]	Material Type
Sample 1	Homo sapiens	colon	HCT 116	not available	not available	colon carcinoma	not available	not available	not available	not available	run 11	AC=MS:1002038;NT=label free sample	AC=MS:1002523;NT=Q Exactive HF	1	1	not available	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:1;NT=Acetyl;MT=Variable;PP=Protein N-term	"AC=UNIMOD:21;NT=Phospho;MT=variable;TA=S,T,Y"	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Fixed;TA=C	20 ppm	0.05 Da	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD012255/Phospho_redissolve_final_11.raw	Phospho_redissolve_final_11.raw	cell
Sample 1	Homo sapiens	colon	HCT 116	not available	not available	colon carcinoma	not available	not available	not available	not available	run 12	AC=MS:1002038;NT=label free sample	AC=MS:1002523;NT=Q Exactive HF	1	1	not available	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:1;NT=Acetyl;MT=Variable;PP=Protein N-term	"AC=UNIMOD:21;NT=Phospho;MT=variable;TA=S,T,Y"	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Fixed;TA=C	20 ppm	0.05 Da	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD012255/Phospho_redissolve_final_12.raw	Phospho_redissolve_final_12.raw	cell
Sample 1	Homo sapiens	colon	HCT 116	not available	not available	colon carcinoma	not available	not available	not available	not available	run 13	AC=MS:1002038;NT=label free sample	AC=MS:1002523;NT=Q Exactive HF	1	1	not available	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:1;NT=Acetyl;MT=Variable;PP=Protein N-term	"AC=UNIMOD:21;NT=Phospho;MT=variable;TA=S,T,Y"	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Fixed;TA=C	20 ppm	0.05 Da	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD012255/Phospho_redissolve_final_13.raw	Phospho_redissolve_final_13.raw	cell
Sample 1	Homo sapiens	colon	HCT 116	not available	not available	colon carcinoma	not available	not available	not available	not available	run 14	AC=MS:1002038;NT=label free sample	AC=MS:1002523;NT=Q Exactive HF	1	1	not available	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:1;NT=Acetyl;MT=Variable;PP=Protein N-term	"AC=UNIMOD:21;NT=Phospho;MT=variable;TA=S,T,Y"	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Fixed;TA=C	20 ppm	0.05 Da	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD012255/Phospho_redissolve_final_14.raw	Phospho_redissolve_final_14.raw	cell
Sample 1	Homo sapiens	colon	HCT 116	not available	not available	colon carcinoma	not available	not available	not available	not available	run 15	AC=MS:1002038;NT=label free sample	AC=MS:1002523;NT=Q Exactive HF	1	1	not available	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:1;NT=Acetyl;MT=Variable;PP=Protein N-term	"AC=UNIMOD:21;NT=Phospho;MT=variable;TA=S,T,Y"	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Fixed;TA=C	20 ppm	0.05 Da	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD012255/Phospho_redissolve_final_15.raw	Phospho_redissolve_final_15.raw	cell
Sample 1	Homo sapiens	colon	HCT 116	not available	not available	colon carcinoma	not available	not available	not available	not available	run 16	AC=MS:1002038;NT=label free sample	AC=MS:1002523;NT=Q Exactive HF	1	1	not available	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:1;NT=Acetyl;MT=Variable;PP=Protein N-term	"AC=UNIMOD:21;NT=Phospho;MT=variable;TA=S,T,Y"	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Fixed;TA=C	20 ppm	0.05 Da	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD012255/Phospho_redissolve_final_16.raw	Phospho_redissolve_final_16.raw	cell
Sample 1	Homo sapiens	colon	HCT 116	not available	not available	colon carcinoma	not available	not available	not available	not available	run 17	AC=MS:1002038;NT=label free sample	AC=MS:1002523;NT=Q Exactive HF	1	1	not available	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:1;NT=Acetyl;MT=Variable;PP=Protein N-term	"AC=UNIMOD:21;NT=Phospho;MT=variable;TA=S,T,Y"	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Fixed;TA=C	20 ppm	0.05 Da	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD012255/Phospho_redissolve_final_17.raw	Phospho_redissolve_final_17.raw	cell
Sample 1	Homo sapiens	colon	HCT 116	not available	not available	colon carcinoma	not available	not available	not available	not available	run 18	AC=MS:1002038;NT=label free sample	AC=MS:1002523;NT=Q Exactive HF	1	1	not available	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:1;NT=Acetyl;MT=Variable;PP=Protein N-term	"AC=UNIMOD:21;NT=Phospho;MT=variable;TA=S,T,Y"	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Fixed;TA=C	20 ppm	0.05 Da	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD012255/Phospho_redissolve_final_18.raw	Phospho_redissolve_final_18.raw	cell
Sample 1	Homo sapiens	colon	HCT 116	not available	not available	colon carcinoma	not available	not available	not available	not available	run 19	AC=MS:1002038;NT=label free sample	AC=MS:1002523;NT=Q Exactive HF	1	1	not available	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:1;NT=Acetyl;MT=Variable;PP=Protein N-term	"AC=UNIMOD:21;NT=Phospho;MT=variable;TA=S,T,Y"	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Fixed;TA=C	20 ppm	0.05 Da	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD012255/Phospho_redissolve_final_19.raw	Phospho_redissolve_final_19.raw	cell
Sample 1	Homo sapiens	colon	HCT 116	not available	not available	colon carcinoma	not available	not available	not available	not available	run 20	AC=MS:1002038;NT=label free sample	AC=MS:1002523;NT=Q Exactive HF	1	1	not available	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:1;NT=Acetyl;MT=Variable;PP=Protein N-term	"AC=UNIMOD:21;NT=Phospho;MT=variable;TA=S,T,Y"	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Fixed;TA=C	20 ppm	0.05 Da	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD012255/Phospho_redissolve_final_20.raw	Phospho_redissolve_final_20.raw	cell
Sample 1	Homo sapiens	colon	HCT 116	not available	not available	colon carcinoma	not available	not available	not available	not available	run 21	AC=MS:1002038;NT=label free sample	AC=MS:1002523;NT=Q Exactive HF	1	1	not available	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:1;NT=Acetyl;MT=Variable;PP=Protein N-term	"AC=UNIMOD:21;NT=Phospho;MT=variable;TA=S,T,Y"	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Fixed;TA=C	20 ppm	0.05 Da	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD012255/Phospho_redissolve_final_21.raw	Phospho_redissolve_final_21.raw	cell
Sample 1	Homo sapiens	colon	HCT 116	not available	not available	colon carcinoma	not available	not available	not available	not available	run 22	AC=MS:1002038;NT=label free sample	AC=MS:1002523;NT=Q Exactive HF	1	1	not available	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:1;NT=Acetyl;MT=Variable;PP=Protein N-term	"AC=UNIMOD:21;NT=Phospho;MT=variable;TA=S,T,Y"	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Fixed;TA=C	20 ppm	0.05 Da	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD012255/Phospho_redissolve_final_22.raw	Phospho_redissolve_final_22.raw	cell
Sample 1	Homo sapiens	colon	HCT 116	not available	not available	colon carcinoma	not available	not available	not available	not available	run 23	AC=MS:1002038;NT=label free sample	AC=MS:1002523;NT=Q Exactive HF	1	1	not available	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:1;NT=Acetyl;MT=Variable;PP=Protein N-term	"AC=UNIMOD:21;NT=Phospho;MT=variable;TA=S,T,Y"	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Fixed;TA=C	20 ppm	0.05 Da	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD012255/Phospho_redissolve_final_23.raw	Phospho_redissolve_final_23.raw	cell
Sample 1	Homo sapiens	colon	HCT 116	not available	not available	colon carcinoma	not available	not available	not available	not available	run 24	AC=MS:1002038;NT=label free sample	AC=MS:1002523;NT=Q Exactive HF	1	1	not available	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:1;NT=Acetyl;MT=Variable;PP=Protein N-term	"AC=UNIMOD:21;NT=Phospho;MT=variable;TA=S,T,Y"	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Fixed;TA=C	20 ppm	0.05 Da	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD012255/Phospho_redissolve_final_24.raw	Phospho_redissolve_final_24.raw	cell
Sample 1	Homo sapiens	colon	HCT 116	not available	not available	colon carcinoma	not available	not available	not available	not available	run 25	AC=MS:1002038;NT=label free sample	AC=MS:1002523;NT=Q Exactive HF	1	1	not available	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:1;NT=Acetyl;MT=Variable;PP=Protein N-term	"AC=UNIMOD:21;NT=Phospho;MT=variable;TA=S,T,Y"	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Fixed;TA=C	20 ppm	0.05 Da	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD012255/Phospho_redissolve_final_25.raw	Phospho_redissolve_final_25.raw	cell
Sample 1	Homo sapiens	colon	HCT 116	not available	not available	colon carcinoma	not available	not available	not available	not available	run 26	AC=MS:1002038;NT=label free sample	AC=MS:1002523;NT=Q Exactive HF	1	1	not available	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:1;NT=Acetyl;MT=Variable;PP=Protein N-term	"AC=UNIMOD:21;NT=Phospho;MT=variable;TA=S,T,Y"	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Fixed;TA=C	20 ppm	0.05 Da	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD012255/Phospho_redissolve_final_26.raw	Phospho_redissolve_final_26.raw	cell
Sample 1	Homo sapiens	colon	HCT 116	not available	not available	colon carcinoma	not available	not available	not available	not available	run 27	AC=MS:1002038;NT=label free sample	AC=MS:1002523;NT=Q Exactive HF	1	1	not available	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:1;NT=Acetyl;MT=Variable;PP=Protein N-term	"AC=UNIMOD:21;NT=Phospho;MT=variable;TA=S,T,Y"	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Fixed;TA=C	20 ppm	0.05 Da	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD012255/Phospho_redissolve_final_27.raw	Phospho_redissolve_final_27.raw	cell
Sample 1	Homo sapiens	colon	HCT 116	not available	not available	colon carcinoma	not available	not available	not available	not available	run 28	AC=MS:1002038;NT=label free sample	AC=MS:1002523;NT=Q Exactive HF	1	1	not available	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:1;NT=Acetyl;MT=Variable;PP=Protein N-term	"AC=UNIMOD:21;NT=Phospho;MT=variable;TA=S,T,Y"	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Fixed;TA=C	20 ppm	0.05 Da	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD012255/Phospho_redissolve_final_28.raw	Phospho_redissolve_final_28.raw	cell
Sample 1	Homo sapiens	colon	HCT 116	not available	not available	colon carcinoma	not available	not available	not available	not available	run 29	AC=MS:1002038;NT=label free sample	AC=MS:1002523;NT=Q Exactive HF	1	1	not available	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:1;NT=Acetyl;MT=Variable;PP=Protein N-term	"AC=UNIMOD:21;NT=Phospho;MT=variable;TA=S,T,Y"	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Fixed;TA=C	20 ppm	0.05 Da	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD012255/Phospho_redissolve_final_29.raw	Phospho_redissolve_final_29.raw	cell
Sample 1	Homo sapiens	colon	HCT 116	not available	not available	colon carcinoma	not available	not available	not available	not available	run 30	AC=MS:1002038;NT=label free sample	AC=MS:1002523;NT=Q Exactive HF	1	1	not available	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:1;NT=Acetyl;MT=Variable;PP=Protein N-term	"AC=UNIMOD:21;NT=Phospho;MT=variable;TA=S,T,Y"	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Fixed;TA=C	20 ppm	0.05 Da	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD012255/Phospho_redissolve_final_30.raw	Phospho_redissolve_final_30.raw	cell
Sample 1	Homo sapiens	colon	HCT 116	not available	not available	colon carcinoma	not available	not available	not available	not available	run 31	AC=MS:1002038;NT=label free sample	AC=MS:1002523;NT=Q Exactive HF	1	1	not available	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:1;NT=Acetyl;MT=Variable;PP=Protein N-term	"AC=UNIMOD:21;NT=Phospho;MT=variable;TA=S,T,Y"	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Fixed;TA=C	20 ppm	0.05 Da	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD012255/Phospho_redissolve_final_31.raw	Phospho_redissolve_final_31.raw	cell
Sample 1	Homo sapiens	colon	HCT 116	not available	not available	colon carcinoma	not available	not available	not available	not available	run 32	AC=MS:1002038;NT=label free sample	AC=MS:1002523;NT=Q Exactive HF	1	1	not available	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:1;NT=Acetyl;MT=Variable;PP=Protein N-term	"AC=UNIMOD:21;NT=Phospho;MT=variable;TA=S,T,Y"	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Fixed;TA=C	20 ppm	0.05 Da	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD012255/Phospho_redissolve_final_32.raw	Phospho_redissolve_final_32.raw	cell
Sample 1	Homo sapiens	colon	HCT 116	not available	not available	colon carcinoma	not available	not available	not available	not available	run 33	AC=MS:1002038;NT=label free sample	AC=MS:1002523;NT=Q Exactive HF	1	1	not available	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:1;NT=Acetyl;MT=Variable;PP=Protein N-term	"AC=UNIMOD:21;NT=Phospho;MT=variable;TA=S,T,Y"	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Fixed;TA=C	20 ppm	0.05 Da	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD012255/Phospho_redissolve_final_33.raw	Phospho_redissolve_final_33.raw	cell
Sample 1	Homo sapiens	colon	HCT 116	not available	not available	colon carcinoma	not available	not available	not available	not available	run 34	AC=MS:1002038;NT=label free sample	AC=MS:1002523;NT=Q Exactive HF	1	1	not available	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:1;NT=Acetyl;MT=Variable;PP=Protein N-term	"AC=UNIMOD:21;NT=Phospho;MT=variable;TA=S,T,Y"	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Fixed;TA=C	20 ppm	0.05 Da	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD012255/Phospho_redissolve_final_34.raw	Phospho_redissolve_final_34.raw	cell
Sample 1	Homo sapiens	colon	HCT 116	not available	not available	colon carcinoma	not available	not available	not available	not available	run 35	AC=MS:1002038;NT=label free sample	AC=MS:1002523;NT=Q Exactive HF	1	1	not available	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:1;NT=Acetyl;MT=Variable;PP=Protein N-term	"AC=UNIMOD:21;NT=Phospho;MT=variable;TA=S,T,Y"	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Fixed;TA=C	20 ppm	0.05 Da	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD012255/Phospho_redissolve_final_35.raw	Phospho_redissolve_final_35.raw	cell
Sample 1	Homo sapiens	colon	HCT 116	not available	not available	colon carcinoma	not available	not available	not available	not available	run 36	AC=MS:1002038;NT=label free sample	AC=MS:1002523;NT=Q Exactive HF	1	1	not available	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:1;NT=Acetyl;MT=Variable;PP=Protein N-term	"AC=UNIMOD:21;NT=Phospho;MT=variable;TA=S,T,Y"	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Fixed;TA=C	20 ppm	0.05 Da	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD012255/Phospho_redissolve_final_36.raw	Phospho_redissolve_final_36.raw	cell
Sample 1	Homo sapiens	colon	HCT 116	not available	not available	colon carcinoma	not available	not available	not available	not available	run 37	AC=MS:1002038;NT=label free sample	AC=MS:1002523;NT=Q Exactive HF	1	1	not available	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:1;NT=Acetyl;MT=Variable;PP=Protein N-term	"AC=UNIMOD:21;NT=Phospho;MT=variable;TA=S,T,Y"	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Fixed;TA=C	20 ppm	0.05 Da	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD012255/Phospho_redissolve_final_37.raw	Phospho_redissolve_final_37.raw	cell
