source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	assay name	comment[fraction identifier]	comment[technical replicate]	comment[Instrument]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[dissociation method]	comment[data file]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]
PXD004209_NP11-TDr-BA7-O1005_6-1	Danio rerio	Tissue brain plasma membrane	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	NP11-TDr-BA7-O1005_6-1.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=None	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD004209_NP11-TDr-BA7-O1005_6-2	Danio rerio	Tissue brain plasma membrane	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	NP11-TDr-BA7-O1005_6-2.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=None	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD004209_NP11-TDr-BA8-O1005_7-1	Danio rerio	Tissue brain plasma membrane	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	NP11-TDr-BA8-O1005_7-1.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=None	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD004209_NP11-TDr-BA8-O1005_7-2	Danio rerio	Tissue brain plasma membrane	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	NP11-TDr-BA8-O1005_7-2.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=None	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD004209_NP11-TDr-BB1-O1005_8-1	Danio rerio	Tissue brain plasma membrane	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	NP11-TDr-BB1-O1005_8-1.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=None	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD004209_NP11-TDr-BB1-O1005_8-2	Danio rerio	Tissue brain plasma membrane	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	NP11-TDr-BB1-O1005_8-2.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=None	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD004209_NP11-TDr-BB2-O1005_9-1	Danio rerio	Tissue brain plasma membrane	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	NP11-TDr-BB2-O1005_9-1.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=None	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD004209_NP11-TDr-BB2-O1005_9-2	Danio rerio	Tissue brain plasma membrane	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	NP11-TDr-BB2-O1005_9-2.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=None	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD004209_NP11-TDr-BB3-O1005_10-1	Danio rerio	Tissue brain plasma membrane	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	NP11-TDr-BB3-O1005_10-1.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=None	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD004209_NP11-TDr-BB3-O1005_10-2	Danio rerio	Tissue brain plasma membrane	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	NP11-TDr-BB3-O1005_10-2.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=None	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD004209_NP11-TDr-BB4-O1005_11-1	Danio rerio	Tissue brain plasma membrane	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	NP11-TDr-BB4-O1005_11-1.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=None	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD004209_NP11-TDr-BB4-O1005_11-2	Danio rerio	Tissue brain plasma membrane	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	NP11-TDr-BB4-O1005_11-2.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=None	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD004209_NP11-TDr-BB5-O1005_12-1	Danio rerio	Tissue brain plasma membrane	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	NP11-TDr-BB5-O1005_12-1.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=None	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD004209_NP11-TDr-BB5-O1005_12-2	Danio rerio	Tissue brain plasma membrane	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	NP11-TDr-BB5-O1005_12-2.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=None	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD004209_NP11-TDr-BB6-O1005_13-1	Danio rerio	Tissue brain plasma membrane	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	NP11-TDr-BB6-O1005_13-1.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=None	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD004209_NP11-TDr-BB6-O1005_13-2	Danio rerio	Tissue brain plasma membrane	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	NP11-TDr-BB6-O1005_13-2.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=None	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD004209_NP11-TDr-BB7-O1005_14-1	Danio rerio	Tissue brain plasma membrane	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	NP11-TDr-BB7-O1005_14-1.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=None	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD004209_NP11-TDr-BB7-O1005_14-2	Danio rerio	Tissue brain plasma membrane	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	NP11-TDr-BB7-O1005_14-2.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=None	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD004209_NP11-TDr-BB8-O1005_15-1	Danio rerio	Tissue brain plasma membrane	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	NP11-TDr-BB8-O1005_15-1.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=None	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD004209_NP11-TDr-BB8-O1005_15-2	Danio rerio	Tissue brain plasma membrane	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	NP11-TDr-BB8-O1005_15-2.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=None	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD004209_NP11-TDr-BC1-O1005_16-1	Danio rerio	Tissue brain plasma membrane	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	NP11-TDr-BC1-O1005_16-1.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=None	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD004209_NP11-TDr-BC1-O1005_16-2	Danio rerio	Tissue brain plasma membrane	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	NP11-TDr-BC1-O1005_16-2.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=None	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD004209_NP11-TDr-BC2-O1005_17-1	Danio rerio	Tissue brain plasma membrane	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	NP11-TDr-BC2-O1005_17-1.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=None	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD004209_NP11-TDr-BC2-O1005_17-2	Danio rerio	Tissue brain plasma membrane	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	NP11-TDr-BC2-O1005_17-2.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=None	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD004209_NP11-TDr-BC3-O1005_18-1	Danio rerio	Tissue brain plasma membrane	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	NP11-TDr-BC3-O1005_18-1.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=None	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD004209_NP11-TDr-BC3-O1005_18-2	Danio rerio	Tissue brain plasma membrane	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	NP11-TDr-BC3-O1005_18-2.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=None	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD004209_NP11-TDr-BC4-O1005_19-1	Danio rerio	Tissue brain plasma membrane	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	NP11-TDr-BC4-O1005_19-1.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=None	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD004209_NP11-TDr-BC4-O1005_19-2	Danio rerio	Tissue brain plasma membrane	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	NP11-TDr-BC4-O1005_19-2.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=None	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD004209_NP11-TDr-BC5-O1005_20-1	Danio rerio	Tissue brain plasma membrane	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	NP11-TDr-BC5-O1005_20-1.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=None	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD004209_NP11-TDr-BC5-O1005_20-2	Danio rerio	Tissue brain plasma membrane	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	NP11-TDr-BC5-O1005_20-2.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=None	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD004209_NP11-TDr-BC6-O1005_21-1	Danio rerio	Tissue brain plasma membrane	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	NP11-TDr-BC6-O1005_21-1.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=None	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD004209_NP11-TDr-BC6-O1005_21-2	Danio rerio	Tissue brain plasma membrane	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	NP11-TDr-BC6-O1005_21-2.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=None	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD004209_NP11-TDr-BC7-O1005_22-1	Danio rerio	Tissue brain plasma membrane	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	NP11-TDr-BC7-O1005_22-1.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=None	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD004209_NP11-TDr-BC7-O1005_22-2	Danio rerio	Tissue brain plasma membrane	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	NP11-TDr-BC7-O1005_22-2.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=None	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD004209_NP11-TDr-BC8-O1005_23-1	Danio rerio	Tissue brain plasma membrane	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	NP11-TDr-BC8-O1005_23-1.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=None	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD004209_NP11-TDr-BC8-O1005_23-2	Danio rerio	Tissue brain plasma membrane	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	NP11-TDr-BC8-O1005_23-2.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=None	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD004209_NP11-TDr-BD1-O1005_24-1	Danio rerio	Tissue brain plasma membrane	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	NP11-TDr-BD1-O1005_24-1.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=None	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD004209_NP11-TDr-BD1-O1005_24-2	Danio rerio	Tissue brain plasma membrane	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	NP11-TDr-BD1-O1005_24-2.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=None	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD004209_NP11-TDr-BD2-O1005_25-1	Danio rerio	Tissue brain plasma membrane	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	NP11-TDr-BD2-O1005_25-1.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=None	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
