Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[cell type]	Characteristics[cell line]	Characteristics[developmental stage]	Characteristics[disease]	Characteristics[ancestry category]	Characteristics[sex]	Characteristics[age]	Characteristics[sample amount]	Characteristics[treatment]	Characteristics[biological replicate]	Characteristics[enrichment process]	Characteristics[enrichment method]	assay name	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	Material Type	Factor Value[sample amount]	Factor Value[treatment]	Factor Value[enrichment method]
Sample 11	Homo sapiens	uterine cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	200 ug	none	3	enrichment of phosphorylated Protein	TiO2	run 11	OR10_20151203_HP_LMR_HeLa_TiO2_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20151203_HP_LMR_HeLa_TiO2_3.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	not available	not available	cell	200 ug	none	TiO2
Sample 12	Homo sapiens	uterine cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	200 ug	none	4	enrichment of phosphorylated Protein	TiO2	run 12	OR10_20151203_HP_LMR_HeLa_TiO2_4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20151203_HP_LMR_HeLa_TiO2_4.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	not available	not available	cell	200 ug	none	TiO2
Sample 13	Homo sapiens	uterine cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	0.1 ug	none	1	enrichment of phosphorylated Protein	Fe(III)-IMAC	run 13	OR10_20160321_HP_RP_HeLa_0p1ug_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_HeLa_0p1ug_1.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	not available	not available	cell	0.1 ug	none	Fe(III)-IMAC
Sample 14	Homo sapiens	uterine cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	0.1 ug	none	2	enrichment of phosphorylated Protein	Fe(III)-IMAC	run 14	OR10_20160321_HP_RP_HeLa_0p1ug_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_HeLa_0p1ug_2.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	not available	not available	cell	0.1 ug	none	Fe(III)-IMAC
Sample 15	Homo sapiens	uterine cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	0.1 ug	none	3	enrichment of phosphorylated Protein	Fe(III)-IMAC	run 15	OR10_20160321_HP_RP_HeLa_0p1ug_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_HeLa_0p1ug_3.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	not available	not available	cell	0.1 ug	none	Fe(III)-IMAC
Sample 16	Homo sapiens	uterine cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	0.25 ug	none	1	enrichment of phosphorylated Protein	Fe(III)-IMAC	run 16	OR10_20160321_HP_RP_HeLa_0p25ug_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_HeLa_0p25ug_1.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	not available	not available	cell	0.25 ug	none	Fe(III)-IMAC
Sample 17	Homo sapiens	uterine cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	0.25 ug	none	2	enrichment of phosphorylated Protein	Fe(III)-IMAC	run 17	OR10_20160321_HP_RP_HeLa_0p25ug_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_HeLa_0p25ug_2.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	not available	not available	cell	0.25 ug	none	Fe(III)-IMAC
Sample 18	Homo sapiens	uterine cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	0.25 ug	none	3	enrichment of phosphorylated Protein	Fe(III)-IMAC	run 18	OR10_20160321_HP_RP_HeLa_0p25ug_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_HeLa_0p25ug_3.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	not available	not available	cell	0.25 ug	none	Fe(III)-IMAC
Sample 19	Homo sapiens	uterine cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	0.5 ug	none	1	enrichment of phosphorylated Protein	Fe(III)-IMAC	run 19	OR10_20160321_HP_RP_HeLa_0p5ug_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_HeLa_0p5ug_1.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	not available	not available	cell	0.5 ug	none	Fe(III)-IMAC
Sample 20	Homo sapiens	uterine cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	0.5 ug	none	2	enrichment of phosphorylated Protein	Fe(III)-IMAC	run 20	OR10_20160321_HP_RP_HeLa_0p5ug_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_HeLa_0p5ug_2.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	not available	not available	cell	0.5 ug	none	Fe(III)-IMAC
Sample 21	Homo sapiens	uterine cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	0.5 ug	none	3	enrichment of phosphorylated Protein	Fe(III)-IMAC	run 21	OR10_20160321_HP_RP_HeLa_0p5ug_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_HeLa_0p5ug_3.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	not available	not available	cell	0.5 ug	none	Fe(III)-IMAC
Sample 22	Homo sapiens	uterine cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	100 ug	none	1	enrichment of phosphorylated Protein	Fe(III)-IMAC	run 22	OR10_20160321_HP_RP_HeLa_100ug_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_HeLa_100ug_1.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	not available	not available	cell	100 ug	none	Fe(III)-IMAC
Sample 23	Homo sapiens	uterine cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	100 ug	none	2	enrichment of phosphorylated Protein	Fe(III)-IMAC	run 23	OR10_20160321_HP_RP_HeLa_100ug_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_HeLa_100ug_2.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	not available	not available	cell	100 ug	none	Fe(III)-IMAC
Sample 24	Homo sapiens	uterine cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	100 ug	none	3	enrichment of phosphorylated Protein	Fe(III)-IMAC	run 24	OR10_20160321_HP_RP_HeLa_100ug_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_HeLa_100ug_3.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	not available	not available	cell	100 ug	none	Fe(III)-IMAC
Sample 25	Homo sapiens	uterine cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	100 ug	none	1	enrichment of phosphorylated Protein	Fe(III)-IMAC	run 25	OR10_20160321_HP_RP_HeLa_10ug_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_HeLa_10ug_1.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	not available	not available	cell	100 ug	none	Fe(III)-IMAC
Sample 26	Homo sapiens	uterine cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	100 ug	none	2	enrichment of phosphorylated Protein	Fe(III)-IMAC	run 26	OR10_20160321_HP_RP_HeLa_10ug_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_HeLa_10ug_2.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	not available	not available	cell	100 ug	none	Fe(III)-IMAC
Sample 27	Homo sapiens	uterine cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	100 ug	none	3	enrichment of phosphorylated Protein	Fe(III)-IMAC	run 27	OR10_20160321_HP_RP_HeLa_10ug_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_HeLa_10ug_3.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	not available	not available	cell	100 ug	none	Fe(III)-IMAC
Sample 28	Homo sapiens	uterine cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	1 ug	none	1	enrichment of phosphorylated Protein	Fe(III)-IMAC	run 28	OR10_20160321_HP_RP_HeLa_1ug_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_HeLa_1ug_1.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	not available	not available	cell	1 ug	none	Fe(III)-IMAC
Sample 29	Homo sapiens	uterine cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	1 ug	none	2	enrichment of phosphorylated Protein	Fe(III)-IMAC	run 29	OR10_20160321_HP_RP_HeLa_1ug_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_HeLa_1ug_2.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	not available	not available	cell	1 ug	none	Fe(III)-IMAC
