source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[cell line]	characteristics[developmental stage]	characteristics[disease]	characteristics[ancestry category]	characteristics[sex]	characteristics[age]	characteristics[sample amount]	characteristics[treatment]	characteristics[biological replicate]	characteristics[enrichment process]	characteristics[enrichment method]	material type	assay name	technology type	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[technical replicate]	comment[label]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[sample amount]	factor value[treatment]	factor value[enrichment method]
Sample 11	Homo sapiens	cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	200 ug	none	3	enrichment of phosphorylated Protein	TiO2	cell	run 11	proteomic profiling by mass spectrometry	OR10_20151203_HP_LMR_HeLa_TiO2_3.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20151203_HP_LMR_HeLa_TiO2_3.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	not available	not available	200 ug	none	TiO2
Sample 12	Homo sapiens	cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	200 ug	none	4	enrichment of phosphorylated Protein	TiO2	cell	run 12	proteomic profiling by mass spectrometry	OR10_20151203_HP_LMR_HeLa_TiO2_4.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20151203_HP_LMR_HeLa_TiO2_4.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	not available	not available	200 ug	none	TiO2
Sample 13	Homo sapiens	cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	0.1 ug	none	1	enrichment of phosphorylated Protein	Fe(III)-IMAC	cell	run 13	proteomic profiling by mass spectrometry	OR10_20160321_HP_RP_HeLa_0p1ug_1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_HeLa_0p1ug_1.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	not available	not available	0.1 ug	none	Fe(III)-IMAC
Sample 14	Homo sapiens	cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	0.1 ug	none	2	enrichment of phosphorylated Protein	Fe(III)-IMAC	cell	run 14	proteomic profiling by mass spectrometry	OR10_20160321_HP_RP_HeLa_0p1ug_2.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_HeLa_0p1ug_2.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	not available	not available	0.1 ug	none	Fe(III)-IMAC
Sample 15	Homo sapiens	cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	0.1 ug	none	3	enrichment of phosphorylated Protein	Fe(III)-IMAC	cell	run 15	proteomic profiling by mass spectrometry	OR10_20160321_HP_RP_HeLa_0p1ug_3.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_HeLa_0p1ug_3.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	not available	not available	0.1 ug	none	Fe(III)-IMAC
Sample 16	Homo sapiens	cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	0.25 ug	none	1	enrichment of phosphorylated Protein	Fe(III)-IMAC	cell	run 16	proteomic profiling by mass spectrometry	OR10_20160321_HP_RP_HeLa_0p25ug_1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_HeLa_0p25ug_1.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	not available	not available	0.25 ug	none	Fe(III)-IMAC
Sample 17	Homo sapiens	cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	0.25 ug	none	2	enrichment of phosphorylated Protein	Fe(III)-IMAC	cell	run 17	proteomic profiling by mass spectrometry	OR10_20160321_HP_RP_HeLa_0p25ug_2.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_HeLa_0p25ug_2.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	not available	not available	0.25 ug	none	Fe(III)-IMAC
Sample 18	Homo sapiens	cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	0.25 ug	none	3	enrichment of phosphorylated Protein	Fe(III)-IMAC	cell	run 18	proteomic profiling by mass spectrometry	OR10_20160321_HP_RP_HeLa_0p25ug_3.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_HeLa_0p25ug_3.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	not available	not available	0.25 ug	none	Fe(III)-IMAC
Sample 19	Homo sapiens	cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	0.5 ug	none	1	enrichment of phosphorylated Protein	Fe(III)-IMAC	cell	run 19	proteomic profiling by mass spectrometry	OR10_20160321_HP_RP_HeLa_0p5ug_1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_HeLa_0p5ug_1.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	not available	not available	0.5 ug	none	Fe(III)-IMAC
Sample 20	Homo sapiens	cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	0.5 ug	none	2	enrichment of phosphorylated Protein	Fe(III)-IMAC	cell	run 20	proteomic profiling by mass spectrometry	OR10_20160321_HP_RP_HeLa_0p5ug_2.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_HeLa_0p5ug_2.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	not available	not available	0.5 ug	none	Fe(III)-IMAC
Sample 21	Homo sapiens	cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	0.5 ug	none	3	enrichment of phosphorylated Protein	Fe(III)-IMAC	cell	run 21	proteomic profiling by mass spectrometry	OR10_20160321_HP_RP_HeLa_0p5ug_3.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_HeLa_0p5ug_3.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	not available	not available	0.5 ug	none	Fe(III)-IMAC
Sample 22	Homo sapiens	cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	100 ug	none	1	enrichment of phosphorylated Protein	Fe(III)-IMAC	cell	run 22	proteomic profiling by mass spectrometry	OR10_20160321_HP_RP_HeLa_100ug_1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_HeLa_100ug_1.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	not available	not available	100 ug	none	Fe(III)-IMAC
Sample 23	Homo sapiens	cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	100 ug	none	2	enrichment of phosphorylated Protein	Fe(III)-IMAC	cell	run 23	proteomic profiling by mass spectrometry	OR10_20160321_HP_RP_HeLa_100ug_2.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_HeLa_100ug_2.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	not available	not available	100 ug	none	Fe(III)-IMAC
Sample 24	Homo sapiens	cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	100 ug	none	3	enrichment of phosphorylated Protein	Fe(III)-IMAC	cell	run 24	proteomic profiling by mass spectrometry	OR10_20160321_HP_RP_HeLa_100ug_3.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_HeLa_100ug_3.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	not available	not available	100 ug	none	Fe(III)-IMAC
Sample 25	Homo sapiens	cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	100 ug	none	1	enrichment of phosphorylated Protein	Fe(III)-IMAC	cell	run 25	proteomic profiling by mass spectrometry	OR10_20160321_HP_RP_HeLa_10ug_1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_HeLa_10ug_1.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	not available	not available	100 ug	none	Fe(III)-IMAC
Sample 26	Homo sapiens	cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	100 ug	none	2	enrichment of phosphorylated Protein	Fe(III)-IMAC	cell	run 26	proteomic profiling by mass spectrometry	OR10_20160321_HP_RP_HeLa_10ug_2.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_HeLa_10ug_2.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	not available	not available	100 ug	none	Fe(III)-IMAC
Sample 27	Homo sapiens	cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	100 ug	none	3	enrichment of phosphorylated Protein	Fe(III)-IMAC	cell	run 27	proteomic profiling by mass spectrometry	OR10_20160321_HP_RP_HeLa_10ug_3.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_HeLa_10ug_3.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	not available	not available	100 ug	none	Fe(III)-IMAC
Sample 28	Homo sapiens	cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	1 ug	none	1	enrichment of phosphorylated Protein	Fe(III)-IMAC	cell	run 28	proteomic profiling by mass spectrometry	OR10_20160321_HP_RP_HeLa_1ug_1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_HeLa_1ug_1.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	not available	not available	1 ug	none	Fe(III)-IMAC
