#file_format=SDRF
#version=v1.1.0
#template=ms-proteomics,version=v1.1.0
source name	characteristics[organism]	characteristics[organism part]	characteristics[strain/breed]	characteristics[disease]	characteristics[cell type]	characteristics[treatment]	characteristics[genetic background]	characteristics[medium]	characteristics[medium supplements]	characteristics[temperature]	characteristics[optical density]	characteristics[growth phase]	characteristics[biological replicate]	characteristics[time]	characteristics[enrichment process]	assay name	technology type	comment[technical replicate]	comment[proteomics data acquisition method]	comment[data file]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	factor value[medium supplements]
20170420_OR13_MH_W3110_Day4_colistin_2.raw	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. W3110	Not applicable	Prokaryotic cell	Colistin	Not available	LB medium	Colistin	37°C	1.2	Early stationary phase	2	4 day	Not available	run 29	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	20170420_OR13_MH_W3110_Day4_colistin_2.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	20 ppm	4.5 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	27 %	Colistin
20170420_OR13_MH_W3110_Day4_colistin_3.raw	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. W3110	Not applicable	Prokaryotic cell	Colistin	Not available	LB medium	Colistin	37°C	1.2	Early stationary phase	3	4 day	Not available	run 30	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	20170420_OR13_MH_W3110_Day4_colistin_3.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	20 ppm	4.5 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	27 %	Colistin
20170420_OR13_MH_W3110_Day4_colistin_blk_1.raw	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. W3110	Not applicable	Prokaryotic cell	Not available	Not available	LB medium	Not available	37°C	1.2	Early stationary phase	1	4 day	Not available	run 31	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	20170420_OR13_MH_W3110_Day4_colistin_blk_1.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	20 ppm	4.5 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	27 %	Not available
20170420_OR13_MH_W3110_Day4_colistin_blk_2.raw	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. W3110	Not applicable	Prokaryotic cell	Not available	Not available	LB medium	Not available	37°C	1.2	Early stationary phase	2	4 day	Not available	run 32	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	20170420_OR13_MH_W3110_Day4_colistin_blk_2.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	20 ppm	4.5 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	27 %	Not available
20170420_OR13_MH_W3110_Day4_colistin_blk_3.raw	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. W3110	Not applicable	Prokaryotic cell	Not available	Not available	LB medium	Not available	37°C	1.2	Early stationary phase	3	4 day	Not available	run 33	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	20170420_OR13_MH_W3110_Day4_colistin_blk_3.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	20 ppm	4.5 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	27 %	Not available
20170422_OR13_MH_MCR1_Day4_blk_1.raw	Escherichia coli	Cell lysate	Not available	Not applicable	Prokaryotic cell	Not available	Plasmid MCR1	LB medium	Not available	37°C	1.2	Early stationary phase	1	4 day	Not available	run 34	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	20170422_OR13_MH_MCR1_Day4_blk_1.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	20 ppm	4.5 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	27 %	Not available
20170422_OR13_MH_MCR1_Day4_blk_2.raw	Escherichia coli	Cell lysate	Not available	Not applicable	Prokaryotic cell	Not available	Plasmid MCR1	LB medium	Not available	37°C	1.2	Early stationary phase	2	4 day	Not available	run 35	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	20170422_OR13_MH_MCR1_Day4_blk_2.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	20 ppm	4.5 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	27 %	Not available
20170422_OR13_MH_MCR1_Day4_blk_3.raw	Escherichia coli	Cell lysate	Not available	Not applicable	Prokaryotic cell	Not available	Plasmid MCR1	LB medium	Not available	37°C	1.2	Early stationary phase	3	4 day	Not available	run 36	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	20170422_OR13_MH_MCR1_Day4_blk_3.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	20 ppm	4.5 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	27 %	Not available
OR14_A3_20170411_MH_W3110_control_cipro_IMAC_1.raw	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. W3110	Not applicable	Prokaryotic cell	Not available	Not available	LB medium	Not available	37°C	1.2	Early stationary phase	1	Not available	enrichment of phosphorylated Protein	run 5	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	OR14_A3_20170411_MH_W3110_control_cipro_IMAC_1.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	20 ppm	4.5 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	27 %	Not available
OR14_A3_20170411_MH_W3110_control_cipro_IMAC_2.raw	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. W3110	Not applicable	Prokaryotic cell	Not available	Not available	LB medium	Not available	37°C	1.2	Early stationary phase	2	Not available	enrichment of phosphorylated Protein	run 6	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	OR14_A3_20170411_MH_W3110_control_cipro_IMAC_2.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	20 ppm	4.5 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	27 %	Not available
OR14_A3_20170411_MH_W3110_control_cipro_IMAC_3.raw	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. W3110	Not applicable	Prokaryotic cell	Not available	Not available	LB medium	Not available	37°C	1.2	Early stationary phase	3	Not available	enrichment of phosphorylated Protein	run 7	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	OR14_A3_20170411_MH_W3110_control_cipro_IMAC_3.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	20 ppm	4.5 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	27 %	Not available
OR14_A3_20170411_MH_W3110_D3_cipro_IMAC_1.raw	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. W3110	Not applicable	Prokaryotic cell	Ciprofloxacin	Not available	LB medium	Ciprofloxacin	37°C	1.2	Early stationary phase	1	3 day	enrichment of phosphorylated Protein	run 1	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	OR14_A3_20170411_MH_W3110_D3_cipro_IMAC_1.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	20 ppm	4.5 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	27 %	Ciprofloxacin
OR14_A3_20170411_MH_W3110_D3_cipro_IMAC_2.raw	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. W3110	Not applicable	Prokaryotic cell	Ciprofloxacin	Not available	LB medium	Ciprofloxacin	37°C	1.2	Early stationary phase	2	3 day	enrichment of phosphorylated Protein	run 2	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	OR14_A3_20170411_MH_W3110_D3_cipro_IMAC_2.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	20 ppm	4.5 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	27 %	Ciprofloxacin
OR14_A3_20170411_MH_W3110_D3_cipro_IMAC_3.raw	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. W3110	Not applicable	Prokaryotic cell	Ciprofloxacin	Not available	LB medium	Ciprofloxacin	37°C	1.2	Early stationary phase	3	3 day	enrichment of phosphorylated Protein	run 3	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	OR14_A3_20170411_MH_W3110_D3_cipro_IMAC_3.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	20 ppm	4.5 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	27 %	Ciprofloxacin
OR14_A3_20170502_MH_MCR1_D4_blank_IMAC_1.raw	Escherichia coli	Cell lysate	Not available	Not applicable	Prokaryotic cell	Not available	Plasmid MCR1	LB medium	Not available	37°C	1.2	Early stationary phase	1	4 day	enrichment of phosphorylated Protein	run 8	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	OR14_A3_20170502_MH_MCR1_D4_blank_IMAC_1.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	20 ppm	4.5 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	27 %	Not available
OR14_A3_20170502_MH_MCR1_D4_blank_IMAC_2.raw	Escherichia coli	Cell lysate	Not available	Not applicable	Prokaryotic cell	Not available	Plasmid MCR1	LB medium	Not available	37°C	1.2	Early stationary phase	2	4 day	enrichment of phosphorylated Protein	run 9	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	OR14_A3_20170502_MH_MCR1_D4_blank_IMAC_2.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	20 ppm	4.5 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	27 %	Not available
OR14_A3_20170502_MH_MCR1_D4_blank_IMAC_3.raw	Escherichia coli	Cell lysate	Not available	Not applicable	Prokaryotic cell	Not available	Plasmid MCR1	LB medium	Not available	37°C	1.2	Early stationary phase	3	4 day	enrichment of phosphorylated Protein	run 10	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	OR14_A3_20170502_MH_MCR1_D4_blank_IMAC_3.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	20 ppm	4.5 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	27 %	Not available
OR14_A3_20170504_MH_W3110_colistin_blank_IMAC_1.raw	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. W3110	Not applicable	Prokaryotic cell	Not available	Not available	LB medium	Not available	37°C	1.2	Early stationary phase	1	Not available	enrichment of phosphorylated Protein	run 14	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	OR14_A3_20170504_MH_W3110_colistin_blank_IMAC_1.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	20 ppm	4.5 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	27 %	Not available
OR14_A3_20170504_MH_W3110_colistin_blank_IMAC_2.raw	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. W3110	Not applicable	Prokaryotic cell	Not available	Not available	LB medium	Not available	37°C	1.2	Early stationary phase	2	Not available	enrichment of phosphorylated Protein	run 15	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	OR14_A3_20170504_MH_W3110_colistin_blank_IMAC_2.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	20 ppm	4.5 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	27 %	Not available
OR14_A3_20170504_MH_W3110_colistin_blank_IMAC_3.raw	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. W3110	Not applicable	Prokaryotic cell	Not available	Not available	LB medium	Not available	37°C	1.2	Early stationary phase	3	Not available	enrichment of phosphorylated Protein	run 16	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	OR14_A3_20170504_MH_W3110_colistin_blank_IMAC_3.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	20 ppm	4.5 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	27 %	Not available
OR14_A3_20170504_MH_W3110_D4_colistin_IMAC_1.raw	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. W3110	Not applicable	Prokaryotic cell	Colistin	Not available	LB medium	Colistin	37°C	1.2	Early stationary phase	1	4 day	enrichment of phosphorylated Protein	run 11	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	OR14_A3_20170504_MH_W3110_D4_colistin_IMAC_1.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	20 ppm	4.5 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	27 %	Colistin
OR14_A3_20170504_MH_W3110_D4_colistin_IMAC_2.raw	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. W3110	Not applicable	Prokaryotic cell	Colistin	Not available	LB medium	Colistin	37°C	1.2	Early stationary phase	2	4 day	enrichment of phosphorylated Protein	run 12	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	OR14_A3_20170504_MH_W3110_D4_colistin_IMAC_2.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	20 ppm	4.5 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	27 %	Colistin
OR14_A3_20170504_MH_W3110_D4_colistin_IMAC_3.raw	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. W3110	Not applicable	Prokaryotic cell	Colistin	Not available	LB medium	Colistin	37°C	1.2	Early stationary phase	3	4 day	enrichment of phosphorylated Protein	run 13	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	OR14_A3_20170504_MH_W3110_D4_colistin_IMAC_3.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	20 ppm	4.5 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	27 %	Colistin
OR14_A3_20170411_MH_W3110_D7_cipro_IMAC_2.raw	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. W3110	Not applicable	Prokaryotic cell	Ciprofloxacin	Not available	LB medium	Ciprofloxacin	37°C	1.2	Early stationary phase	1	7 day	enrichment of phosphorylated Protein	run 4	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	OR14_A3_20170411_MH_W3110_D7_cipro_IMAC_2.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	20 ppm	4.5 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	27 %	Ciprofloxacin
OR14_A3_20170505_MH_W3110_D7_cipro_IMAC_3.raw	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. W3110	Not applicable	Prokaryotic cell	Ciprofloxacin	Not available	LB medium	Ciprofloxacin	37°C	1.2	Early stationary phase	2	7 day	enrichment of phosphorylated Protein	run 17	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	OR14_A3_20170505_MH_W3110_D7_cipro_IMAC_3.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	20 ppm	4.5 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	27 %	Ciprofloxacin
OR14_A3_20170505_MH_W3110_D7_cipro_IMAC_4.raw	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. W3110	Not applicable	Prokaryotic cell	Ciprofloxacin	Not available	LB medium	Ciprofloxacin	37°C	1.2	Early stationary phase	3	7 day	enrichment of phosphorylated Protein	run 18	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	OR14_A3_20170505_MH_W3110_D7_cipro_IMAC_4.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	20 ppm	4.5 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	27 %	Ciprofloxacin
