source name	characteristics[organism]	characteristics[organism part]	characteristics[age]	characteristics[developmental stage]	characteristics[sex]	characteristics[disease]	characteristics[cell type]	characteristics[ancestry category]	characteristics[biological replicate]	material type	assay name	technology type	comment[file uri]	comment[fractionation method]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[ms2 mass analyzer]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[number of missed cleavages]	comment[cleavage agent details]	comment[number of missed cleavages]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[data file]	factor value[organism part]
Sample 1	Homo sapiens	Cervix	not available	not available	not available	Cancer	not available	not available	1	Cell line	run 21	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/02/PXD012243/LUMOS_SCL-IAH_AR-H2O2_LysC_1x_R2_F3_ETD.raw	not available	2	4	AC=MS:1002038;NT=label free sample	AC=MS:1000484; NT=Orbitrap	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:55	NT=Phosphorylation;MT=Variable;AC=UNIMOD:31	AC=MS:1001251;NT=Trypsin	not available	NT=Lys-C;AC=MS:1001329	not available	AC=MS:1000422;NT=HCD	not available	4.5 ppm	20 ppm	LUMOS_SCL-IAH_AR-H2O2_LysC_1x_R2_F3_ETD.raw	Cervix
Sample 1	Homo sapiens	Cervix	not available	not available	not available	Cancer	not available	not available	1	Cell line	run 23	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/02/PXD012243/LUMOS_SCL-IAH_AR-H2O2_LysC_1x_R2_F4_ETD.raw	not available	2	5	AC=MS:1002038;NT=label free sample	AC=MS:1000484; NT=Orbitrap	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:57	NT=Phosphorylation;MT=Variable;AC=UNIMOD:32	AC=MS:1001251;NT=Trypsin	not available	NT=Lys-C;AC=MS:1001331	not available	AC=MS:1000422;NT=HCD	not available	4.5 ppm	20 ppm	LUMOS_SCL-IAH_AR-H2O2_LysC_1x_R2_F4_ETD.raw	Cervix
Sample 1	Homo sapiens	Cervix	not available	not available	not available	Cancer	not available	not available	1	Cell line	run 25	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/02/PXD012243/LUMOS_SCL-IAH_AR-H2O2_LysC_1x_R2_F5_ETD.raw	not available	2	6	AC=MS:1002038;NT=label free sample	AC=MS:1000484; NT=Orbitrap	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:59	NT=Phosphorylation;MT=Variable;AC=UNIMOD:33	AC=MS:1001251;NT=Trypsin	not available	NT=Lys-C;AC=MS:1001333	not available	AC=MS:1000422;NT=HCD	not available	4.5 ppm	20 ppm	LUMOS_SCL-IAH_AR-H2O2_LysC_1x_R2_F5_ETD.raw	Cervix
Sample 1	Homo sapiens	Cervix	not available	not available	not available	Cancer	not available	not available	1	Cell line	run 27	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/02/PXD012243/LUMOS_SCL-IAH_AR-H2O2_LysC_1x_R2_F6_ETD.raw	not available	2	7	AC=MS:1002038;NT=label free sample	AC=MS:1000484; NT=Orbitrap	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:61	NT=Phosphorylation;MT=Variable;AC=UNIMOD:34	AC=MS:1001251;NT=Trypsin	not available	NT=Lys-C;AC=MS:1001335	not available	AC=MS:1000422;NT=HCD	not available	4.5 ppm	20 ppm	LUMOS_SCL-IAH_AR-H2O2_LysC_1x_R2_F6_ETD.raw	Cervix
Sample 10	Homo sapiens	Cervix	not available	not available	not available	Cancer	not available	not available	1	Cell line	run 114	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/02/PXD012243/LUMOS_SCL-IAH_AR-NCE_C_R1_EThcD20.raw	not available	1	not available	AC=MS:1002038;NT=label free sample	AC=MS:1000484; NT=Orbitrap	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:148	NT=Phosphorylation;MT=Variable;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	not available	NT=Lys-C;AC=MS:1001422	not available	AC=MS:1000422;NT=HCD	not available	4.5 ppm	20 ppm	LUMOS_SCL-IAH_AR-NCE_C_R1_EThcD20.raw	Cervix
Sample 10	Homo sapiens	Cervix	not available	not available	not available	Cancer	not available	not available	1	Cell line	run 116	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/02/PXD012243/LUMOS_SCL-IAH_AR-NCE_C_R2_EThcD15.raw	not available	2	not available	AC=MS:1002038;NT=label free sample	AC=MS:1000484; NT=Orbitrap	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:150	NT=Phosphorylation;MT=Variable;AC=UNIMOD:36	AC=MS:1001251;NT=Trypsin	not available	NT=Lys-C;AC=MS:1001424	not available	AC=MS:1000422;NT=HCD	not available	4.5 ppm	20 ppm	LUMOS_SCL-IAH_AR-NCE_C_R2_EThcD15.raw	Cervix
Sample 10	Homo sapiens	Cervix	not available	not available	not available	Cancer	not available	not available	1	Cell line	run 118	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/02/PXD012243/LUMOS_SCL-IAH_AR-NCE_C_R3_EThcD10.raw	not available	3	not available	AC=MS:1002038;NT=label free sample	AC=MS:1000484; NT=Orbitrap	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:152	NT=Phosphorylation;MT=Variable;AC=UNIMOD:37	AC=MS:1001251;NT=Trypsin	not available	NT=Lys-C;AC=MS:1001426	not available	AC=MS:1000422;NT=HCD	not available	4.5 ppm	20 ppm	LUMOS_SCL-IAH_AR-NCE_C_R3_EThcD10.raw	Cervix
Sample 10	Homo sapiens	Cervix	not available	not available	not available	Cancer	not available	not available	1	Cell line	run 120	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/02/PXD012243/LUMOS_SCL-IAH_AR-NCE_C_R4_EThcD25.raw	not available	4	not available	AC=MS:1002038;NT=label free sample	AC=MS:1000484; NT=Orbitrap	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:154	NT=Phosphorylation;MT=Variable;AC=UNIMOD:38	AC=MS:1001251;NT=Trypsin	not available	NT=Lys-C;AC=MS:1001428	not available	AC=MS:1000422;NT=HCD	not available	4.5 ppm	20 ppm	LUMOS_SCL-IAH_AR-NCE_C_R4_EThcD25.raw	Cervix
Sample 11	Homo sapiens	Cervix	not available	not available	not available	Cancer	not available	not available	1	Cell line	run 121	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/02/PXD012243/LUMOS_SCL-IAH_AR-NCE_H2O2_R1_ETD.raw	not available	1	not available	AC=MS:1002038;NT=label free sample	AC=MS:1000484; NT=Orbitrap	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:155	NT=Phosphorylation;MT=Variable;AC=UNIMOD:39	AC=MS:1001251;NT=Trypsin	not available	NT=Lys-C;AC=MS:1001429	not available	AC=MS:1000422;NT=HCD	not available	4.5 ppm	20 ppm	LUMOS_SCL-IAH_AR-NCE_H2O2_R1_ETD.raw	Cervix
Sample 11	Homo sapiens	Cervix	not available	not available	not available	Cancer	not available	not available	1	Cell line	run 123	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/02/PXD012243/LUMOS_SCL-IAH_AR-NCE_H2O2_R2_ETD.raw	not available	2	not available	AC=MS:1002038;NT=label free sample	AC=MS:1000484; NT=Orbitrap	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:157	NT=Phosphorylation;MT=Variable;AC=UNIMOD:40	AC=MS:1001251;NT=Trypsin	not available	NT=Lys-C;AC=MS:1001431	not available	AC=MS:1000422;NT=HCD	not available	4.5 ppm	20 ppm	LUMOS_SCL-IAH_AR-NCE_H2O2_R2_ETD.raw	Cervix
Sample 11	Homo sapiens	Cervix	not available	not available	not available	Cancer	not available	not available	1	Cell line	run 125	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/02/PXD012243/LUMOS_SCL-IAH_AR-NCE_H2O2_R3_ETD.raw	not available	3	not available	AC=MS:1002038;NT=label free sample	AC=MS:1000484; NT=Orbitrap	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:159	NT=Phosphorylation;MT=Variable;AC=UNIMOD:41	AC=MS:1001251;NT=Trypsin	not available	NT=Lys-C;AC=MS:1001433	not available	AC=MS:1000422;NT=HCD	not available	4.5 ppm	20 ppm	LUMOS_SCL-IAH_AR-NCE_H2O2_R3_ETD.raw	Cervix
Sample 11	Homo sapiens	Cervix	not available	not available	not available	Cancer	not available	not available	1	Cell line	run 127	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/02/PXD012243/LUMOS_SCL-IAH_AR-NCE_H2O2_R4_ETD.raw	not available	4	not available	AC=MS:1002038;NT=label free sample	AC=MS:1000484; NT=Orbitrap	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:161	NT=Phosphorylation;MT=Variable;AC=UNIMOD:42	AC=MS:1001251;NT=Trypsin	not available	NT=Lys-C;AC=MS:1001435	not available	AC=MS:1000422;NT=HCD	not available	4.5 ppm	20 ppm	LUMOS_SCL-IAH_AR-NCE_H2O2_R4_ETD.raw	Cervix
Sample 12	Homo sapiens	Cervix	not available	not available	not available	Cancer	not available	not available	1	Cell line	run 122	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/02/PXD012243/LUMOS_SCL-IAH_AR-NCE_H2O2_R1_EThcD20.raw	not available	1	not available	AC=MS:1002038;NT=label free sample	AC=MS:1000484; NT=Orbitrap	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:156	NT=Phosphorylation;MT=Variable;AC=UNIMOD:43	AC=MS:1001251;NT=Trypsin	not available	NT=Lys-C;AC=MS:1001430	not available	AC=MS:1000422;NT=HCD	not available	4.5 ppm	20 ppm	LUMOS_SCL-IAH_AR-NCE_H2O2_R1_EThcD20.raw	Cervix
Sample 12	Homo sapiens	Cervix	not available	not available	not available	Cancer	not available	not available	1	Cell line	run 124	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/02/PXD012243/LUMOS_SCL-IAH_AR-NCE_H2O2_R2_EThcD15.raw	not available	2	not available	AC=MS:1002038;NT=label free sample	AC=MS:1000484; NT=Orbitrap	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:158	NT=Phosphorylation;MT=Variable;AC=UNIMOD:44	AC=MS:1001251;NT=Trypsin	not available	NT=Lys-C;AC=MS:1001432	not available	AC=MS:1000422;NT=HCD	not available	4.5 ppm	20 ppm	LUMOS_SCL-IAH_AR-NCE_H2O2_R2_EThcD15.raw	Cervix
Sample 12	Homo sapiens	Cervix	not available	not available	not available	Cancer	not available	not available	1	Cell line	run 126	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/02/PXD012243/LUMOS_SCL-IAH_AR-NCE_H2O2_R3_EThcD10.raw	not available	3	not available	AC=MS:1002038;NT=label free sample	AC=MS:1000484; NT=Orbitrap	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:160	NT=Phosphorylation;MT=Variable;AC=UNIMOD:45	AC=MS:1001251;NT=Trypsin	not available	NT=Lys-C;AC=MS:1001434	not available	AC=MS:1000422;NT=HCD	not available	4.5 ppm	20 ppm	LUMOS_SCL-IAH_AR-NCE_H2O2_R3_EThcD10.raw	Cervix
Sample 12	Homo sapiens	Cervix	not available	not available	not available	Cancer	not available	not available	1	Cell line	run 128	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/02/PXD012243/LUMOS_SCL-IAH_AR-NCE_H2O2_R4_EThcD25.raw	not available	4	not available	AC=MS:1002038;NT=label free sample	AC=MS:1000484; NT=Orbitrap	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:162	NT=Phosphorylation;MT=Variable;AC=UNIMOD:46	AC=MS:1001251;NT=Trypsin	not available	NT=Lys-C;AC=MS:1001436	not available	AC=MS:1000422;NT=HCD	not available	4.5 ppm	20 ppm	LUMOS_SCL-IAH_AR-NCE_H2O2_R4_EThcD25.raw	Cervix
Sample 2	Homo sapiens	Cervix	not available	not available	not available	Cancer	not available	not available	1	Cell line	run 2	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/02/PXD012243/LUMOS_SCL-IAH_AR-H2O2_LysC_1x_R1_F0_EThcD.raw	not available	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1000484; NT=Orbitrap	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:36	NT=Phosphorylation;MT=Variable;AC=UNIMOD:47	AC=MS:1001251;NT=Trypsin	not available	NT=Lys-C;AC=MS:1001310	not available	AC=MS:1000422;NT=HCD	not available	4.5 ppm	20 ppm	LUMOS_SCL-IAH_AR-H2O2_LysC_1x_R1_F0_EThcD.raw	Cervix
