source name	characteristics[organism]	characteristics[strain]	characteristics[organism part]	characteristics[cell type]	characteristics[cell part]	characteristics[developmental stage]	assay name	comment[data file]	comment[technical replicate]	comment[fraction identifier]	factor value[condition]	factor value[day at label]	comment[data uri]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]
AJ_ISO_Heart_Cyto_d03	Mus musculus	A/J	Heart	cardiac	TN=Cytosol;AC=NCIT:C61561	9W-12W	run 1	AJ_ISO_Heart_Cyto_d03_A01.raw	1	1	Isoproterenol	3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002870/AJ_ISO_Heart_Cyto_d03_A01.raw	AC=MS:1001910;NT=LTQ Orbitrap Elite	AC=MS:1001251;NT=Trypsin	AC=CHMO:0001678;NT=deuterium labelling	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Deamidated;MT=variable;TA=N;AC=UNIMOD:7
AJ_ISO_Heart_Cyto_d05	Mus musculus	A/J	Heart	cardiac	TN=Cytosol;AC=NCIT:C61568	9W-12W	run 1	AJ_ISO_Heart_Cyto_d05_A01.raw	1	1	Isoproterenol	5	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002870/AJ_ISO_Heart_Cyto_d05_A01.raw	AC=MS:1001910;NT=LTQ Orbitrap Elite	AC=MS:1001251;NT=Trypsin	AC=CHMO:0001678;NT=deuterium labelling	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Deamidated;MT=variable;TA=N;AC=UNIMOD:7
AJ_ISO_Heart_Cyto_d07	Mus musculus	A/J	Heart	cardiac	TN=Cytosol;AC=NCIT:C61574	9W-12W	run 1	AJ_ISO_Heart_Cyto_d07_A01.raw	1	1	Isoproterenol	7	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002870/AJ_ISO_Heart_Cyto_d07_A01.raw	AC=MS:1001910;NT=LTQ Orbitrap Elite	AC=MS:1001251;NT=Trypsin	AC=CHMO:0001678;NT=deuterium labelling	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Deamidated;MT=variable;TA=N;AC=UNIMOD:7
AJ_ISO_Heart_Cyto_d10	Mus musculus	A/J	Heart	cardiac	TN=Cytosol;AC=NCIT:C61580	9W-12W	run 1	AJ_ISO_Heart_Cyto_d10_A01.raw	1	1	Isoproterenol	10	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002870/AJ_ISO_Heart_Cyto_d10_A01.raw	AC=MS:1001910;NT=LTQ Orbitrap Elite	AC=MS:1001251;NT=Trypsin	AC=CHMO:0001678;NT=deuterium labelling	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Deamidated;MT=variable;TA=N;AC=UNIMOD:7
AJ_ISO_Heart_Cyto_d14	Mus musculus	A/J	Heart	cardiac	TN=Cytosol;AC=NCIT:C61586	9W-12W	run 1	AJ_ISO_Heart_Cyto_d14_A01.raw	1	1	Isoproterenol	14	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002870/AJ_ISO_Heart_Cyto_d14_A01.raw	AC=MS:1001910;NT=LTQ Orbitrap Elite	AC=MS:1001251;NT=Trypsin	AC=CHMO:0001678;NT=deuterium labelling	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Deamidated;MT=variable;TA=N;AC=UNIMOD:7
BALB_CTRL_Heart_Cyto_d00	Mus musculus	BALB/cJ	Heart	cardiac	TN=Cytosol;AC=NCIT:C61554	9W-12W	run 1	BALB_CTRL_Heart_Cyto_d00_A01.raw	1	1	Control	0	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002870/BALB_CTRL_Heart_Cyto_d00_A01.raw	AC=MS:1001910;NT=LTQ Orbitrap Elite	AC=MS:1001251;NT=Trypsin	AC=CHMO:0001678;NT=deuterium labelling	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Deamidated;MT=variable;TA=N;AC=UNIMOD:7
BALB_CTRL_Heart_Cyto_d01	Mus musculus	BALB/cJ	Heart	cardiac	TN=Cytosol;AC=NCIT:C61560	9W-12W	run 1	BALB_CTRL_Heart_Cyto_d01_A01.raw	1	1	Control	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002870/BALB_CTRL_Heart_Cyto_d01_A01.raw	AC=MS:1001910;NT=LTQ Orbitrap Elite	AC=MS:1001251;NT=Trypsin	AC=CHMO:0001678;NT=deuterium labelling	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Deamidated;MT=variable;TA=N;AC=UNIMOD:7
BALB_CTRL_Heart_Cyto_d03	Mus musculus	BALB/cJ	Heart	cardiac	TN=Cytosol;AC=NCIT:C61566	9W-12W	run 1	BALB_CTRL_Heart_Cyto_d03_A01.raw	1	1	Control	3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002870/BALB_CTRL_Heart_Cyto_d03_A01.raw	AC=MS:1001910;NT=LTQ Orbitrap Elite	AC=MS:1001251;NT=Trypsin	AC=CHMO:0001678;NT=deuterium labelling	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Deamidated;MT=variable;TA=N;AC=UNIMOD:7
BALB_CTRL_Heart_Cyto_d05	Mus musculus	BALB/cJ	Heart	cardiac	TN=Cytosol;AC=NCIT:C61572	9W-12W	run 1	BALB_CTRL_Heart_Cyto_d05_A01.raw	1	1	Control	5	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002870/BALB_CTRL_Heart_Cyto_d05_A01.raw	AC=MS:1001910;NT=LTQ Orbitrap Elite	AC=MS:1001251;NT=Trypsin	AC=CHMO:0001678;NT=deuterium labelling	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Deamidated;MT=variable;TA=N;AC=UNIMOD:7
BALB_CTRL_Heart_Cyto_d07	Mus musculus	BALB/cJ	Heart	cardiac	TN=Cytosol;AC=NCIT:C61578	9W-12W	run 1	BALB_CTRL_Heart_Cyto_d07_A01.raw	1	1	Control	7	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002870/BALB_CTRL_Heart_Cyto_d07_A01.raw	AC=MS:1001910;NT=LTQ Orbitrap Elite	AC=MS:1001251;NT=Trypsin	AC=CHMO:0001678;NT=deuterium labelling	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Deamidated;MT=variable;TA=N;AC=UNIMOD:7
BALB_CTRL_Heart_Cyto_d10	Mus musculus	BALB/cJ	Heart	cardiac	TN=Cytosol;AC=NCIT:C61584	9W-12W	run 1	BALB_CTRL_Heart_Cyto_d10_A01.raw	1	1	Control	10	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002870/BALB_CTRL_Heart_Cyto_d10_A01.raw	AC=MS:1001910;NT=LTQ Orbitrap Elite	AC=MS:1001251;NT=Trypsin	AC=CHMO:0001678;NT=deuterium labelling	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Deamidated;MT=variable;TA=N;AC=UNIMOD:7
BALB_CTRL_Heart_Cyto_d14	Mus musculus	BALB/cJ	Heart	cardiac	TN=Cytosol;AC=NCIT:C61590	9W-12W	run 1	BALB_CTRL_Heart_Cyto_d14_A01.raw	1	1	Control	14	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002870/BALB_CTRL_Heart_Cyto_d14_A01.raw	AC=MS:1001910;NT=LTQ Orbitrap Elite	AC=MS:1001251;NT=Trypsin	AC=CHMO:0001678;NT=deuterium labelling	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Deamidated;MT=variable;TA=N;AC=UNIMOD:7
BALB_ISO_Heart_Cyto_d01	Mus musculus	BALB/cJ	Heart	cardiac	TN=Cytosol;AC=NCIT:C61595	9W-12W	run 1	BALB_ISO_Heart_Cyto_d01_A01.raw	1	1	Isoproterenol	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002870/BALB_ISO_Heart_Cyto_d01_A01.raw	AC=MS:1001910;NT=LTQ Orbitrap Elite	AC=MS:1001251;NT=Trypsin	AC=CHMO:0001678;NT=deuterium labelling	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Deamidated;MT=variable;TA=N;AC=UNIMOD:7
BALB_ISO_Heart_Cyto_d03	Mus musculus	BALB/cJ	Heart	cardiac	TN=Cytosol;AC=NCIT:C61595	9W-12W	run 1	BALB_ISO_Heart_Cyto_d03_A01.raw	1	1	Isoproterenol	3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002870/BALB_ISO_Heart_Cyto_d03_A01.raw	AC=MS:1001910;NT=LTQ Orbitrap Elite	AC=MS:1001251;NT=Trypsin	AC=CHMO:0001678;NT=deuterium labelling	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Deamidated;MT=variable;TA=N;AC=UNIMOD:7
BALB_ISO_Heart_Cyto_d05	Mus musculus	BALB/cJ	Heart	cardiac	TN=Cytosol;AC=NCIT:C61595	9W-12W	run 1	BALB_ISO_Heart_Cyto_d05_A01.raw	1	1	Isoproterenol	5	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002870/BALB_ISO_Heart_Cyto_d05_A01.raw	AC=MS:1001910;NT=LTQ Orbitrap Elite	AC=MS:1001251;NT=Trypsin	AC=CHMO:0001678;NT=deuterium labelling	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Deamidated;MT=variable;TA=N;AC=UNIMOD:7
BALB_ISO_Heart_Cyto_d07	Mus musculus	BALB/cJ	Heart	cardiac	TN=Cytosol;AC=NCIT:C61595	9W-12W	run 1	BALB_ISO_Heart_Cyto_d07_A01.raw	1	1	Isoproterenol	7	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002870/BALB_ISO_Heart_Cyto_d07_A01.raw	AC=MS:1001910;NT=LTQ Orbitrap Elite	AC=MS:1001251;NT=Trypsin	AC=CHMO:0001678;NT=deuterium labelling	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Deamidated;MT=variable;TA=N;AC=UNIMOD:7
BALB_ISO_Heart_Cyto_d10	Mus musculus	BALB/cJ	Heart	cardiac	TN=Cytosol;AC=NCIT:C61595	9W-12W	run 1	BALB_ISO_Heart_Cyto_d10_A01.raw	1	1	Isoproterenol	10	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002870/BALB_ISO_Heart_Cyto_d10_A01.raw	AC=MS:1001910;NT=LTQ Orbitrap Elite	AC=MS:1001251;NT=Trypsin	AC=CHMO:0001678;NT=deuterium labelling	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Deamidated;MT=variable;TA=N;AC=UNIMOD:7
BALB_ISO_Heart_Cyto_d14	Mus musculus	BALB/cJ	Heart	cardiac	TN=Cytosol;AC=NCIT:C61595	9W-12W	run 1	BALB_ISO_Heart_Cyto_d14_A01.raw	1	1	Isoproterenol	14	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002870/BALB_ISO_Heart_Cyto_d14_A01.raw	AC=MS:1001910;NT=LTQ Orbitrap Elite	AC=MS:1001251;NT=Trypsin	AC=CHMO:0001678;NT=deuterium labelling	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Deamidated;MT=variable;TA=N;AC=UNIMOD:7
C57_CTRL_Heart_Cyto_d00	Mus musculus	C57BL/6J	Heart	cardiac	TN=Cytosol;AC=NCIT:C61595	9W-12W	run 1	C57_CTRL_Heart_Cyto_d00_A01.raw	1	1	Control	0	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002870/C57_CTRL_Heart_Cyto_d00_A01.raw	AC=MS:1001910;NT=LTQ Orbitrap Elite	AC=MS:1001251;NT=Trypsin	AC=CHMO:0001678;NT=deuterium labelling	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Deamidated;MT=variable;TA=N;AC=UNIMOD:7
C57_CTRL_Heart_Cyto_d01	Mus musculus	C57BL/6J	Heart	cardiac	TN=Cytosol;AC=NCIT:C61595	9W-12W	run 1	C57_CTRL_Heart_Cyto_d01_A01.raw	1	1	Control	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002870/C57_CTRL_Heart_Cyto_d01_A01.raw	AC=MS:1001910;NT=LTQ Orbitrap Elite	AC=MS:1001251;NT=Trypsin	AC=CHMO:0001678;NT=deuterium labelling	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Deamidated;MT=variable;TA=N;AC=UNIMOD:7
C57_CTRL_Heart_Cyto_d03	Mus musculus	C57BL/6J	Heart	cardiac	TN=Cytosol;AC=NCIT:C61595	9W-12W	run 1	C57_CTRL_Heart_Cyto_d03_A01.raw	1	1	Control	3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002870/C57_CTRL_Heart_Cyto_d03_A01.raw	AC=MS:1001910;NT=LTQ Orbitrap Elite	AC=MS:1001251;NT=Trypsin	AC=CHMO:0001678;NT=deuterium labelling	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Deamidated;MT=variable;TA=N;AC=UNIMOD:7
C57_CTRL_Heart_Cyto_d05	Mus musculus	C57BL/6J	Heart	cardiac	TN=Cytosol;AC=NCIT:C61595	9W-12W	run 1	C57_CTRL_Heart_Cyto_d05_A01.raw	1	1	Control	5	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002870/C57_CTRL_Heart_Cyto_d05_A01.raw	AC=MS:1001910;NT=LTQ Orbitrap Elite	AC=MS:1001251;NT=Trypsin	AC=CHMO:0001678;NT=deuterium labelling	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Deamidated;MT=variable;TA=N;AC=UNIMOD:7
