Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[sex]	Characteristics[developmental stage]	Characteristics[infect]	Characteristics[disease]	Characteristics[cell line]	Characteristics[individual]	assay name	comment[label]	comment[file uri]	comment[fraction identifier]	comment[biological replicate]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[data file]	Material Type	factor value[infect]
Sample 13	Homo sapiens	kidney	not available	fetus	Control	not available	HEK293T	CoV03-001	run 13	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017184.raw	not available	6	NM=Q Exactive Plus;AC=MS:1002634	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NM=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NE=Trypsin	not available	not available	qx017184.raw	cell	Control
Sample 14	Homo sapiens	kidney	not available	fetus	Control	not available	HEK293T	CoV03-002	run 14	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017208.raw	not available	7	NM=Q Exactive Plus;AC=MS:1002634	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NM=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NE=Trypsin	not available	not available	qx017208.raw	cell	Control
Sample 15	Homo sapiens	kidney	not available	fetus	Severe acute respiratory syndrome coronavirus 2	not available	HEK293T	CoV01-003_H10	run 15	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017138.raw	not available	1	NM=Q Exactive Plus;AC=MS:1002634	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NM=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NE=Trypsin	not available	not available	qx017138.raw	cell	Severe acute respiratory syndrome coronavirus 2
Sample 16	Homo sapiens	kidney	not available	fetus	Severe acute respiratory syndrome coronavirus 2	not available	HEK293T	CoV01-024_G1	run 16	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017139.raw	not available	2	NM=Q Exactive Plus;AC=MS:1002634	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NM=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NE=Trypsin	not available	not available	qx017139.raw	cell	Severe acute respiratory syndrome coronavirus 2
Sample 17	Homo sapiens	kidney	not available	fetus	Severe acute respiratory syndrome coronavirus 2	not available	HEK293T	CoV01-028_F9	run 17	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017140.raw	not available	3	NM=Q Exactive Plus;AC=MS:1002634	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NM=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NE=Trypsin	not available	not available	qx017140.raw	cell	Severe acute respiratory syndrome coronavirus 2
Sample 18	Homo sapiens	kidney	not available	fetus	Severe acute respiratory syndrome coronavirus 2	not available	HEK293T	CoV01-004_H9	run 18	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017104.raw	not available	1	NM=Q Exactive Plus;AC=MS:1002634	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NM=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NE=Trypsin	not available	not available	qx017104.raw	cell	Severe acute respiratory syndrome coronavirus 2
Sample 19	Homo sapiens	kidney	not available	fetus	Severe acute respiratory syndrome coronavirus 2	not available	HEK293T	CoV01-023_G2	run 19	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017105.raw	not available	2	NM=Q Exactive Plus;AC=MS:1002634	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NM=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NE=Trypsin	not available	not available	qx017105.raw	cell	Severe acute respiratory syndrome coronavirus 2
Sample 20	Homo sapiens	kidney	not available	fetus	Severe acute respiratory syndrome coronavirus 2	not available	HEK293T	CoV01-034_F3	run 20	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017106.raw	not available	3	NM=Q Exactive Plus;AC=MS:1002634	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NM=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NE=Trypsin	not available	not available	qx017106.raw	cell	Severe acute respiratory syndrome coronavirus 2
Sample 21	Homo sapiens	kidney	not available	fetus	Severe acute respiratory syndrome coronavirus 2	not available	HEK293T	CoV02-007	run 21	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017080.raw	not available	1	NM=Q Exactive Plus;AC=MS:1002634	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NM=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NE=Trypsin	not available	not available	qx017080.raw	cell	Severe acute respiratory syndrome coronavirus 2
Sample 22	Homo sapiens	kidney	not available	fetus	Severe acute respiratory syndrome coronavirus 2	not available	HEK293T	CoV02-008	run 22	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017081.raw	not available	2	NM=Q Exactive Plus;AC=MS:1002634	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NM=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NE=Trypsin	not available	not available	qx017081.raw	cell	Severe acute respiratory syndrome coronavirus 2
Sample 23	Homo sapiens	kidney	not available	fetus	Severe acute respiratory syndrome coronavirus 2	not available	HEK293T	CoV02-009	run 23	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017082.raw	not available	3	NM=Q Exactive Plus;AC=MS:1002634	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NM=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NE=Trypsin	not available	not available	qx017082.raw	cell	Severe acute respiratory syndrome coronavirus 2
Sample 24	Homo sapiens	kidney	not available	fetus	Severe acute respiratory syndrome coronavirus 2	not available	HEK293T	CoV02-028	run 24	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017160.raw	not available	1	NM=Q Exactive Plus;AC=MS:1002634	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NM=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NE=Trypsin	not available	not available	qx017160.raw	cell	Severe acute respiratory syndrome coronavirus 2
Sample 25	Homo sapiens	kidney	not available	fetus	Severe acute respiratory syndrome coronavirus 2	not available	HEK293T	CoV02-029	run 25	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017161.raw	not available	2	NM=Q Exactive Plus;AC=MS:1002634	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NM=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NE=Trypsin	not available	not available	qx017161.raw	cell	Severe acute respiratory syndrome coronavirus 2
Sample 26	Homo sapiens	kidney	not available	fetus	Severe acute respiratory syndrome coronavirus 2	not available	HEK293T	CoV02-030	run 26	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017162.raw	not available	3	NM=Q Exactive Plus;AC=MS:1002634	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NM=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NE=Trypsin	not available	not available	qx017162.raw	cell	Severe acute respiratory syndrome coronavirus 2
Sample 27	Homo sapiens	kidney	not available	fetus	Severe acute respiratory syndrome coronavirus 2	not available	HEK293T	CoV02-031	run 27	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017164.raw	not available	1	NM=Q Exactive Plus;AC=MS:1002634	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NM=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NE=Trypsin	not available	not available	qx017164.raw	cell	Severe acute respiratory syndrome coronavirus 2
Sample 28	Homo sapiens	kidney	not available	fetus	Severe acute respiratory syndrome coronavirus 2	not available	HEK293T	CoV02-032	run 28	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017165.raw	not available	2	NM=Q Exactive Plus;AC=MS:1002634	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NM=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NE=Trypsin	not available	not available	qx017165.raw	cell	Severe acute respiratory syndrome coronavirus 2
Sample 29	Homo sapiens	kidney	not available	fetus	Severe acute respiratory syndrome coronavirus 2	not available	HEK293T	CoV02-033	run 29	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017166.raw	not available	3	NM=Q Exactive Plus;AC=MS:1002634	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NM=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NE=Trypsin	not available	not available	qx017166.raw	cell	Severe acute respiratory syndrome coronavirus 2
Sample 30	Homo sapiens	kidney	not available	fetus	Severe acute respiratory syndrome coronavirus 2	not available	HEK293T	CoV03-013	run 30	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017186.raw	not available	1	NM=Q Exactive Plus;AC=MS:1002634	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NM=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NE=Trypsin	not available	not available	qx017186.raw	cell	Severe acute respiratory syndrome coronavirus 2
Sample 31	Homo sapiens	kidney	not available	fetus	Severe acute respiratory syndrome coronavirus 2	not available	HEK293T	CoV03-014	run 31	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017187.raw	not available	2	NM=Q Exactive Plus;AC=MS:1002634	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NM=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NE=Trypsin	not available	not available	qx017187.raw	cell	Severe acute respiratory syndrome coronavirus 2
Sample 32	Homo sapiens	kidney	not available	fetus	Severe acute respiratory syndrome coronavirus 2	not available	HEK293T	CoV03-015	run 32	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017188.raw	not available	3	NM=Q Exactive Plus;AC=MS:1002634	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NM=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NE=Trypsin	not available	not available	qx017188.raw	cell	Severe acute respiratory syndrome coronavirus 2
Sample 33	Homo sapiens	kidney	not available	fetus	Severe acute respiratory syndrome coronavirus 2	not available	HEK293T	CoV03-016	run 33	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017210.raw	not available	1	NM=Q Exactive Plus;AC=MS:1002634	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NM=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NE=Trypsin	not available	not available	qx017210.raw	cell	Severe acute respiratory syndrome coronavirus 2
Sample 34	Homo sapiens	kidney	not available	fetus	Severe acute respiratory syndrome coronavirus 2	not available	HEK293T	CoV04-005	run 34	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017211.raw	not available	2	NM=Q Exactive Plus;AC=MS:1002634	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NM=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NE=Trypsin	not available	not available	qx017211.raw	cell	Severe acute respiratory syndrome coronavirus 2
Sample 35	Homo sapiens	kidney	not available	fetus	Severe acute respiratory syndrome coronavirus 2	not available	HEK293T	CoV03-018	run 35	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017212.raw	not available	3	NM=Q Exactive Plus;AC=MS:1002634	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NM=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NE=Trypsin	not available	not available	qx017212.raw	cell	Severe acute respiratory syndrome coronavirus 2
Sample 36	Homo sapiens	kidney	not available	fetus	Severe acute respiratory syndrome coronavirus 2	not available	HEK293T	CoV02-034	run 36	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017168.raw	not available	1	NM=Q Exactive Plus;AC=MS:1002634	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NM=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NE=Trypsin	not available	not available	qx017168.raw	cell	Severe acute respiratory syndrome coronavirus 2
Sample 37	Homo sapiens	kidney	not available	fetus	Severe acute respiratory syndrome coronavirus 2	not available	HEK293T	CoV02-035	run 37	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017169.raw	not available	2	NM=Q Exactive Plus;AC=MS:1002634	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NM=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NE=Trypsin	not available	not available	qx017169.raw	cell	Severe acute respiratory syndrome coronavirus 2
Sample 38	Homo sapiens	kidney	not available	fetus	Severe acute respiratory syndrome coronavirus 2	not available	HEK293T	CoV02-036	run 38	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017170.raw	not available	3	NM=Q Exactive Plus;AC=MS:1002634	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NM=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NE=Trypsin	not available	not available	qx017170.raw	cell	Severe acute respiratory syndrome coronavirus 2
Sample 39	Homo sapiens	kidney	not available	fetus	Severe acute respiratory syndrome coronavirus 2	not available	HEK293T	CoV03-019	run 39	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017214.raw	not available	1	NM=Q Exactive Plus;AC=MS:1002634	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NM=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NE=Trypsin	not available	not available	qx017214.raw	cell	Severe acute respiratory syndrome coronavirus 2
Sample 40	Homo sapiens	kidney	not available	fetus	Severe acute respiratory syndrome coronavirus 2	not available	HEK293T	CoV04-007	run 40	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017215.raw	not available	2	NM=Q Exactive Plus;AC=MS:1002634	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NM=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NE=Trypsin	not available	not available	qx017215.raw	cell	Severe acute respiratory syndrome coronavirus 2
Sample 41	Homo sapiens	kidney	not available	fetus	Severe acute respiratory syndrome coronavirus 2	not available	HEK293T	CoV03-021	run 41	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017216.raw	not available	3	NM=Q Exactive Plus;AC=MS:1002634	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NM=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NE=Trypsin	not available	not available	qx017216.raw	cell	Severe acute respiratory syndrome coronavirus 2
Sample 42	Homo sapiens	kidney	not available	fetus	Severe acute respiratory syndrome coronavirus 2	not available	HEK293T	CoV03-007	run 42	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017176.raw	not available	1	NM=Q Exactive Plus;AC=MS:1002634	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NM=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NE=Trypsin	not available	not available	qx017176.raw	cell	Severe acute respiratory syndrome coronavirus 2
Sample 43	Homo sapiens	kidney	not available	fetus	Severe acute respiratory syndrome coronavirus 2	not available	HEK293T	CoV03-008	run 43	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017177.raw	not available	2	NM=Q Exactive Plus;AC=MS:1002634	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NM=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NE=Trypsin	not available	not available	qx017177.raw	cell	Severe acute respiratory syndrome coronavirus 2
