source name	characteristics[organism]	characteristics[organism part]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[cell type]	characteristics[ancestry category]	characteristics[phenotype]	characteristics[disease]	characteristics[cell line]	characteristics[individual]	characteristics[bait]	characteristics[biological replicate]	material type	assay name	technology type	comment[label]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[data file]	factor value[phenotype]
Sample 11	homo sapiens	kidney	not available	not available	fetus	not available	not available	Control	not available	HEK293T	CoV01-014_G11	EV	5	cell	run 11	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017132.raw	1	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017132.raw	Control
Sample 12	homo sapiens	kidney	not available	not available	fetus	not available	not available	Control	not available	HEK293T	CoV02-003	EV	3	cell	run 12	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017158.raw	1	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017158.raw	Control
Sample 13	homo sapiens	kidney	not available	not available	fetus	not available	not available	Control	not available	HEK293T	CoV03-001	EV	6	cell	run 13	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017184.raw	1	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017184.raw	Control
Sample 14	homo sapiens	kidney	not available	not available	fetus	not available	not available	Control	not available	HEK293T	CoV03-002	EV	7	cell	run 14	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017208.raw	1	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017208.raw	Control
Sample 15	homo sapiens	kidney	not available	not available	fetus	not available	not available	SARS-Co-V2 proteins	not available	HEK293T	CoV01-003_H10	M	1	cell	run 15	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017138.raw	1	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017138.raw	SARS-Co-V2 proteins
Sample 16	homo sapiens	kidney	not available	not available	fetus	not available	not available	SARS-Co-V2 proteins	not available	HEK293T	CoV01-024_G1	M	2	cell	run 16	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017139.raw	1	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017139.raw	SARS-Co-V2 proteins
Sample 17	homo sapiens	kidney	not available	not available	fetus	not available	not available	SARS-Co-V2 proteins	not available	HEK293T	CoV01-028_F9	M	3	cell	run 17	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017140.raw	1	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017140.raw	SARS-Co-V2 proteins
Sample 18	homo sapiens	kidney	not available	not available	fetus	not available	not available	SARS-Co-V2 proteins	not available	HEK293T	CoV01-004_H9	N	1	cell	run 18	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017104.raw	1	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017104.raw	SARS-Co-V2 proteins
Sample 19	homo sapiens	kidney	not available	not available	fetus	not available	not available	SARS-Co-V2 proteins	not available	HEK293T	CoV01-023_G2	N	2	cell	run 19	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017105.raw	1	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017105.raw	SARS-Co-V2 proteins
Sample 20	homo sapiens	kidney	not available	not available	fetus	not available	not available	SARS-Co-V2 proteins	not available	HEK293T	CoV01-034_F3	N	3	cell	run 20	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017106.raw	1	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017106.raw	SARS-Co-V2 proteins
Sample 21	homo sapiens	kidney	not available	not available	fetus	not available	not available	SARS-Co-V2 proteins	not available	HEK293T	CoV02-007	nsp1	1	cell	run 21	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017080.raw	1	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017080.raw	SARS-Co-V2 proteins
Sample 22	homo sapiens	kidney	not available	not available	fetus	not available	not available	SARS-Co-V2 proteins	not available	HEK293T	CoV02-008	nsp1	2	cell	run 22	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017081.raw	1	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017081.raw	SARS-Co-V2 proteins
Sample 23	homo sapiens	kidney	not available	not available	fetus	not available	not available	SARS-Co-V2 proteins	not available	HEK293T	CoV02-009	nsp1	3	cell	run 23	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017082.raw	1	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017082.raw	SARS-Co-V2 proteins
Sample 24	homo sapiens	kidney	not available	not available	fetus	not available	not available	SARS-Co-V2 proteins	not available	HEK293T	CoV02-028	nsp10	1	cell	run 24	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017160.raw	1	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017160.raw	SARS-Co-V2 proteins
Sample 25	homo sapiens	kidney	not available	not available	fetus	not available	not available	SARS-Co-V2 proteins	not available	HEK293T	CoV02-029	nsp10	2	cell	run 25	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017161.raw	1	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017161.raw	SARS-Co-V2 proteins
Sample 26	homo sapiens	kidney	not available	not available	fetus	not available	not available	SARS-Co-V2 proteins	not available	HEK293T	CoV02-030	nsp10	3	cell	run 26	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017162.raw	1	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017162.raw	SARS-Co-V2 proteins
Sample 27	homo sapiens	kidney	not available	not available	fetus	not available	not available	SARS-Co-V2 proteins	not available	HEK293T	CoV02-031	nsp11	1	cell	run 27	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017164.raw	1	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017164.raw	SARS-Co-V2 proteins
Sample 28	homo sapiens	kidney	not available	not available	fetus	not available	not available	SARS-Co-V2 proteins	not available	HEK293T	CoV02-032	nsp11	2	cell	run 28	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017165.raw	1	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017165.raw	SARS-Co-V2 proteins
Sample 29	homo sapiens	kidney	not available	not available	fetus	not available	not available	SARS-Co-V2 proteins	not available	HEK293T	CoV02-033	nsp11	3	cell	run 29	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017166.raw	1	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017166.raw	SARS-Co-V2 proteins
Sample 30	homo sapiens	kidney	not available	not available	fetus	not available	not available	SARS-Co-V2 proteins	not available	HEK293T	CoV03-013	nsp12	1	cell	run 30	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017186.raw	1	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017186.raw	SARS-Co-V2 proteins
Sample 31	homo sapiens	kidney	not available	not available	fetus	not available	not available	SARS-Co-V2 proteins	not available	HEK293T	CoV03-014	nsp12	2	cell	run 31	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017187.raw	1	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017187.raw	SARS-Co-V2 proteins
Sample 32	homo sapiens	kidney	not available	not available	fetus	not available	not available	SARS-Co-V2 proteins	not available	HEK293T	CoV03-015	nsp12	3	cell	run 32	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017188.raw	1	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017188.raw	SARS-Co-V2 proteins
Sample 33	homo sapiens	kidney	not available	not available	fetus	not available	not available	SARS-Co-V2 proteins	not available	HEK293T	CoV03-016	nsp13	1	cell	run 33	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017210.raw	1	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017210.raw	SARS-Co-V2 proteins
Sample 34	homo sapiens	kidney	not available	not available	fetus	not available	not available	SARS-Co-V2 proteins	not available	HEK293T	CoV04-005	nsp13	2	cell	run 34	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017211.raw	1	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017211.raw	SARS-Co-V2 proteins
Sample 35	homo sapiens	kidney	not available	not available	fetus	not available	not available	SARS-Co-V2 proteins	not available	HEK293T	CoV03-018	nsp13	3	cell	run 35	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017212.raw	1	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017212.raw	SARS-Co-V2 proteins
Sample 36	homo sapiens	kidney	not available	not available	fetus	not available	not available	SARS-Co-V2 proteins	not available	HEK293T	CoV02-034	nsp14	1	cell	run 36	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017168.raw	1	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017168.raw	SARS-Co-V2 proteins
Sample 37	homo sapiens	kidney	not available	not available	fetus	not available	not available	SARS-Co-V2 proteins	not available	HEK293T	CoV02-035	nsp14	2	cell	run 37	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017169.raw	1	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017169.raw	SARS-Co-V2 proteins
Sample 38	homo sapiens	kidney	not available	not available	fetus	not available	not available	SARS-Co-V2 proteins	not available	HEK293T	CoV02-036	nsp14	3	cell	run 38	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017170.raw	1	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017170.raw	SARS-Co-V2 proteins
Sample 39	homo sapiens	kidney	not available	not available	fetus	not available	not available	SARS-Co-V2 proteins	not available	HEK293T	CoV03-019	nsp15	1	cell	run 39	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017214.raw	1	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017214.raw	SARS-Co-V2 proteins
Sample 40	homo sapiens	kidney	not available	not available	fetus	not available	not available	SARS-Co-V2 proteins	not available	HEK293T	CoV04-007	nsp15	2	cell	run 40	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017215.raw	1	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017215.raw	SARS-Co-V2 proteins
