source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[cell line]	characteristics[developmental stage]	characteristics[disease]	characteristics[treatment]	characteristics[ancestry category]	characteristics[sex]	characteristics[age]	characteristics[biological replicate]	material type	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[treatment]
Sample 11	Homo sapiens	lung	epithelial cell	A549	adult	Non-small cell lung carcinoma	siKMT9#1	Caucasian	male	58Y	1	cell	run 1	proteomic profiling by mass spectrometry	MFA380.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014145/MFA380.raw	1	1	TMT131C	NT=Q Exactive Plus;AC=MS:1001911	AC=MS:1001313;NT=Trypsin/P	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	4.5 ppm	20 ppm	siKMT9#1
Sample 1	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	1	cell	run 2	proteomic profiling by mass spectrometry	MFA381.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014145/MFA381.raw	1	2	TMT126	NT=Q Exactive Plus;AC=MS:1001911	AC=MS:1001313;NT=Trypsin/P	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	4.5 ppm	20 ppm	not applicable
Sample 2	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	1	cell	run 2	proteomic profiling by mass spectrometry	MFA381.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014145/MFA381.raw	1	2	TMT127N	NT=Q Exactive Plus;AC=MS:1001911	AC=MS:1001313;NT=Trypsin/P	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	4.5 ppm	20 ppm	not applicable
Sample 3	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	1	cell	run 2	proteomic profiling by mass spectrometry	MFA381.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014145/MFA381.raw	1	2	TMT127C	NT=Q Exactive Plus;AC=MS:1001911	AC=MS:1001313;NT=Trypsin/P	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	4.5 ppm	20 ppm	not applicable
Sample 4	Homo sapiens	lung	epithelial cell	A549	adult	Non-small cell lung carcinoma	siControl	Caucasian	male	58Y	1	cell	run 2	proteomic profiling by mass spectrometry	MFA381.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014145/MFA381.raw	1	2	TMT128N	NT=Q Exactive Plus;AC=MS:1001911	AC=MS:1001313;NT=Trypsin/P	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	4.5 ppm	20 ppm	siControl
Sample 5	Homo sapiens	lung	epithelial cell	A549	adult	Non-small cell lung carcinoma	siControl	Caucasian	male	58Y	1	cell	run 2	proteomic profiling by mass spectrometry	MFA381.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014145/MFA381.raw	1	2	TMT128C	NT=Q Exactive Plus;AC=MS:1001911	AC=MS:1001313;NT=Trypsin/P	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	4.5 ppm	20 ppm	siControl
Sample 6	Homo sapiens	lung	epithelial cell	A549	adult	Non-small cell lung carcinoma	siControl	Caucasian	male	58Y	1	cell	run 2	proteomic profiling by mass spectrometry	MFA381.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014145/MFA381.raw	1	2	TMT129N	NT=Q Exactive Plus;AC=MS:1001911	AC=MS:1001313;NT=Trypsin/P	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	4.5 ppm	20 ppm	siControl
Sample 7	Homo sapiens	lung	epithelial cell	A549	adult	Non-small cell lung carcinoma	siControl	Caucasian	male	58Y	1	cell	run 2	proteomic profiling by mass spectrometry	MFA381.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014145/MFA381.raw	1	2	TMT129C	NT=Q Exactive Plus;AC=MS:1001911	AC=MS:1001313;NT=Trypsin/P	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	4.5 ppm	20 ppm	siControl
Sample 8	Homo sapiens	lung	epithelial cell	A549	adult	Non-small cell lung carcinoma	siKMT9#1	Caucasian	male	58Y	1	cell	run 2	proteomic profiling by mass spectrometry	MFA381.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014145/MFA381.raw	1	2	TMT130N	NT=Q Exactive Plus;AC=MS:1001911	AC=MS:1001313;NT=Trypsin/P	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	4.5 ppm	20 ppm	siKMT9#1
Sample 9	Homo sapiens	lung	epithelial cell	A549	adult	Non-small cell lung carcinoma	siKMT9#1	Caucasian	male	58Y	1	cell	run 2	proteomic profiling by mass spectrometry	MFA381.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014145/MFA381.raw	1	2	TMT130C	NT=Q Exactive Plus;AC=MS:1001911	AC=MS:1001313;NT=Trypsin/P	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	4.5 ppm	20 ppm	siKMT9#1
Sample 10	Homo sapiens	lung	epithelial cell	A549	adult	Non-small cell lung carcinoma	siKMT9#1	Caucasian	male	58Y	1	cell	run 2	proteomic profiling by mass spectrometry	MFA381.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014145/MFA381.raw	1	2	TMT131N	NT=Q Exactive Plus;AC=MS:1001911	AC=MS:1001313;NT=Trypsin/P	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	4.5 ppm	20 ppm	siKMT9#1
Sample 11	Homo sapiens	lung	epithelial cell	A549	adult	Non-small cell lung carcinoma	siKMT9#1	Caucasian	male	58Y	1	cell	run 2	proteomic profiling by mass spectrometry	MFA381.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014145/MFA381.raw	1	2	TMT131C	NT=Q Exactive Plus;AC=MS:1001911	AC=MS:1001313;NT=Trypsin/P	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	4.5 ppm	20 ppm	siKMT9#1
Sample 1	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	1	cell	run 3	proteomic profiling by mass spectrometry	MFA382.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014145/MFA382.raw	1	3	TMT126	NT=Q Exactive Plus;AC=MS:1001911	AC=MS:1001313;NT=Trypsin/P	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	4.5 ppm	20 ppm	not applicable
Sample 2	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	1	cell	run 3	proteomic profiling by mass spectrometry	MFA382.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014145/MFA382.raw	1	3	TMT127N	NT=Q Exactive Plus;AC=MS:1001911	AC=MS:1001313;NT=Trypsin/P	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	4.5 ppm	20 ppm	not applicable
Sample 3	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	1	cell	run 3	proteomic profiling by mass spectrometry	MFA382.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014145/MFA382.raw	1	3	TMT127C	NT=Q Exactive Plus;AC=MS:1001911	AC=MS:1001313;NT=Trypsin/P	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	4.5 ppm	20 ppm	not applicable
Sample 4	Homo sapiens	lung	epithelial cell	A549	adult	Non-small cell lung carcinoma	siControl	Caucasian	male	58Y	1	cell	run 3	proteomic profiling by mass spectrometry	MFA382.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014145/MFA382.raw	1	3	TMT128N	NT=Q Exactive Plus;AC=MS:1001911	AC=MS:1001313;NT=Trypsin/P	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	4.5 ppm	20 ppm	siControl
Sample 5	Homo sapiens	lung	epithelial cell	A549	adult	Non-small cell lung carcinoma	siControl	Caucasian	male	58Y	1	cell	run 3	proteomic profiling by mass spectrometry	MFA382.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014145/MFA382.raw	1	3	TMT128C	NT=Q Exactive Plus;AC=MS:1001911	AC=MS:1001313;NT=Trypsin/P	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	4.5 ppm	20 ppm	siControl
Sample 6	Homo sapiens	lung	epithelial cell	A549	adult	Non-small cell lung carcinoma	siControl	Caucasian	male	58Y	1	cell	run 3	proteomic profiling by mass spectrometry	MFA382.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014145/MFA382.raw	1	3	TMT129N	NT=Q Exactive Plus;AC=MS:1001911	AC=MS:1001313;NT=Trypsin/P	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	4.5 ppm	20 ppm	siControl
Sample 7	Homo sapiens	lung	epithelial cell	A549	adult	Non-small cell lung carcinoma	siControl	Caucasian	male	58Y	1	cell	run 3	proteomic profiling by mass spectrometry	MFA382.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014145/MFA382.raw	1	3	TMT129C	NT=Q Exactive Plus;AC=MS:1001911	AC=MS:1001313;NT=Trypsin/P	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	4.5 ppm	20 ppm	siControl
Sample 8	Homo sapiens	lung	epithelial cell	A549	adult	Non-small cell lung carcinoma	siKMT9#1	Caucasian	male	58Y	1	cell	run 3	proteomic profiling by mass spectrometry	MFA382.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014145/MFA382.raw	1	3	TMT130N	NT=Q Exactive Plus;AC=MS:1001911	AC=MS:1001313;NT=Trypsin/P	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	4.5 ppm	20 ppm	siKMT9#1
Sample 9	Homo sapiens	lung	epithelial cell	A549	adult	Non-small cell lung carcinoma	siKMT9#1	Caucasian	male	58Y	1	cell	run 3	proteomic profiling by mass spectrometry	MFA382.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014145/MFA382.raw	1	3	TMT130C	NT=Q Exactive Plus;AC=MS:1001911	AC=MS:1001313;NT=Trypsin/P	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	4.5 ppm	20 ppm	siKMT9#1
Sample 10	Homo sapiens	lung	epithelial cell	A549	adult	Non-small cell lung carcinoma	siKMT9#1	Caucasian	male	58Y	1	cell	run 3	proteomic profiling by mass spectrometry	MFA382.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014145/MFA382.raw	1	3	TMT131N	NT=Q Exactive Plus;AC=MS:1001911	AC=MS:1001313;NT=Trypsin/P	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	4.5 ppm	20 ppm	siKMT9#1
Sample 11	Homo sapiens	lung	epithelial cell	A549	adult	Non-small cell lung carcinoma	siKMT9#1	Caucasian	male	58Y	1	cell	run 3	proteomic profiling by mass spectrometry	MFA382.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014145/MFA382.raw	1	3	TMT131C	NT=Q Exactive Plus;AC=MS:1001911	AC=MS:1001313;NT=Trypsin/P	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	4.5 ppm	20 ppm	siKMT9#1
Sample 1	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	1	cell	run 4	proteomic profiling by mass spectrometry	MFA383.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014145/MFA383.raw	1	4	TMT126	NT=Q Exactive Plus;AC=MS:1001911	AC=MS:1001313;NT=Trypsin/P	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	4.5 ppm	20 ppm	not applicable
