source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[disease]	characteristics[individual]	characteristics[phenotype]	assay name	comment[data file]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[fractionation method]	comment[file uri]
Sample 8	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	18 patients with with low-risk MammaPrint breast cancer	run 8	BreastCancerMem_Fr8.raw	8	AC=MS:1002625;NT=iTRAQ reagent 115	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere; AC=Unimod:214; TA=K; MM=144.10207	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term; AC=Unimod:214; TA=.; MM=144.10207	NT=iTRAQ4plex; MT=variable; PP=Anywhere; AC=Unimod:214; TA=Y; MM=144.10207	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr8.raw
Sample 9	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	18 patients with with high-risk MammaPrint breast cancer	run 9	BreastCancerMem_Fr9.raw	9	AC=MS:1002624;NT=iTRAQ reagent 114	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere; AC=Unimod:214; TA=K; MM=144.10207	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term; AC=Unimod:214; TA=.; MM=144.10207	NT=iTRAQ4plex; MT=variable; PP=Anywhere; AC=Unimod:214; TA=Y; MM=144.10207	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr9.raw
Sample 9	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	18 patients with with low-risk MammaPrint breast cancer	run 9	BreastCancerMem_Fr9.raw	9	AC=MS:1002625;NT=iTRAQ reagent 115	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere; AC=Unimod:214; TA=K; MM=144.10207	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term; AC=Unimod:214; TA=.; MM=144.10207	NT=iTRAQ4plex; MT=variable; PP=Anywhere; AC=Unimod:214; TA=Y; MM=144.10207	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr9.raw
Sample 10	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	18 patients with with high-risk MammaPrint breast cancer	run 10	BreastCancerMem_Fr10.raw	10	AC=MS:1002624;NT=iTRAQ reagent 114	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere; AC=Unimod:214; TA=K; MM=144.10207	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term; AC=Unimod:214; TA=.; MM=144.10207	NT=iTRAQ4plex; MT=variable; PP=Anywhere; AC=Unimod:214; TA=Y; MM=144.10207	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr10.raw
Sample 10	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	18 patients with with low-risk MammaPrint breast cancer	run 10	BreastCancerMem_Fr10.raw	10	AC=MS:1002625;NT=iTRAQ reagent 115	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere; AC=Unimod:214; TA=K; MM=144.10207	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term; AC=Unimod:214; TA=.; MM=144.10207	NT=iTRAQ4plex; MT=variable; PP=Anywhere; AC=Unimod:214; TA=Y; MM=144.10207	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr10.raw
Sample 11	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	18 patients with with high-risk MammaPrint breast cancer	run 11	BreastCancerMem_Fr11.raw	11	AC=MS:1002624;NT=iTRAQ reagent 114	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere; AC=Unimod:214; TA=K; MM=144.10207	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term; AC=Unimod:214; TA=.; MM=144.10207	NT=iTRAQ4plex; MT=variable; PP=Anywhere; AC=Unimod:214; TA=Y; MM=144.10207	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr11.raw
Sample 11	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	18 patients with with low-risk MammaPrint breast cancer	run 11	BreastCancerMem_Fr11.raw	11	AC=MS:1002625;NT=iTRAQ reagent 115	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere; AC=Unimod:214; TA=K; MM=144.10207	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term; AC=Unimod:214; TA=.; MM=144.10207	NT=iTRAQ4plex; MT=variable; PP=Anywhere; AC=Unimod:214; TA=Y; MM=144.10207	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr11.raw
Sample 12	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	18 patients with with high-risk MammaPrint breast cancer	run 12	BreastCancerMem_Fr12.raw	12	AC=MS:1002624;NT=iTRAQ reagent 114	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere; AC=Unimod:214; TA=K; MM=144.10207	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term; AC=Unimod:214; TA=.; MM=144.10207	NT=iTRAQ4plex; MT=variable; PP=Anywhere; AC=Unimod:214; TA=Y; MM=144.10207	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr12.raw
Sample 12	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	18 patients with with low-risk MammaPrint breast cancer	run 12	BreastCancerMem_Fr12.raw	12	AC=MS:1002625;NT=iTRAQ reagent 115	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere; AC=Unimod:214; TA=K; MM=144.10207	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term; AC=Unimod:214; TA=.; MM=144.10207	NT=iTRAQ4plex; MT=variable; PP=Anywhere; AC=Unimod:214; TA=Y; MM=144.10207	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr12.raw
Sample 13	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	18 patients with with high-risk MammaPrint breast cancer	run 13	BreastCancerMem_Fr13.raw	13	AC=MS:1002624;NT=iTRAQ reagent 114	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere; AC=Unimod:214; TA=K; MM=144.10207	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term; AC=Unimod:214; TA=.; MM=144.10207	NT=iTRAQ4plex; MT=variable; PP=Anywhere; AC=Unimod:214; TA=Y; MM=144.10207	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr13.raw
Sample 13	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	18 patients with with low-risk MammaPrint breast cancer	run 13	BreastCancerMem_Fr13.raw	13	AC=MS:1002625;NT=iTRAQ reagent 115	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere; AC=Unimod:214; TA=K; MM=144.10207	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term; AC=Unimod:214; TA=.; MM=144.10207	NT=iTRAQ4plex; MT=variable; PP=Anywhere; AC=Unimod:214; TA=Y; MM=144.10207	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr13.raw
Sample 14	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	18 patients with with high-risk MammaPrint breast cancer	run 14	BreastCancerMem_Fr14.raw	14	AC=MS:1002624;NT=iTRAQ reagent 114	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere; AC=Unimod:214; TA=K; MM=144.10207	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term; AC=Unimod:214; TA=.; MM=144.10207	NT=iTRAQ4plex; MT=variable; PP=Anywhere; AC=Unimod:214; TA=Y; MM=144.10207	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr14.raw
Sample 14	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	18 patients with with low-risk MammaPrint breast cancer	run 14	BreastCancerMem_Fr14.raw	14	AC=MS:1002625;NT=iTRAQ reagent 115	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere; AC=Unimod:214; TA=K; MM=144.10207	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term; AC=Unimod:214; TA=.; MM=144.10207	NT=iTRAQ4plex; MT=variable; PP=Anywhere; AC=Unimod:214; TA=Y; MM=144.10207	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr14.raw
