Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[developmental stage]	Characteristics[disease]	Characteristics[sex]	Characteristics[age]	Characteristics[ancestry category]	Characteristics[cell type]	Characteristics[cell line]	Characteristics[enrichment process]	Characteristics[enrichment method]	assay name	comment[label]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[fractionation method]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	Material Type	factor value[enrichment process]
Sample 1	Homo sapiens	kidney cancer	not available	clear cell renal carcinoma	not available	not available	not available	not applicable	not applicable	enrichment of phosphorylated Protein	IMAC	run 11	AC=MS:1002038;NT=label free sample	kidney_12-8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD006482/kidney_12-8.raw	8	NT=High-performance liquid chromatography;AC=PRIDE:0000565	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=collision-induced dissociation;AC=MS:1000133	35 NCE	20 ppm	0.5 Da	organism part	enrichment of phosphorylated Protein
Sample 1	Homo sapiens	kidney cancer	not available	clear cell renal carcinoma	not available	not available	not available	not applicable	not applicable	enrichment of phosphorylated Protein	IMAC	run 12	AC=MS:1002038;NT=label free sample	kidney_12-9.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD006482/kidney_12-9.raw	9	NT=High-performance liquid chromatography;AC=PRIDE:0000565	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=collision-induced dissociation;AC=MS:1000133	35 NCE	20 ppm	0.5 Da	organism part	enrichment of phosphorylated Protein
Sample 2	Homo sapiens	kidney cancer	not available	clear cell renal carcinoma	not available	not available	not available	not applicable	not applicable	enrichment of phosphorylated Protein	IMAC	run 13	AC=MS:1002038;NT=label free sample	kidney_13_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD006482/kidney_13_1.raw	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=collision-induced dissociation;AC=MS:1000133	35 NCE	20 ppm	0.5 Da	organism part	enrichment of phosphorylated Protein
Sample 2	Homo sapiens	kidney cancer	not available	clear cell renal carcinoma	not available	not available	not available	not applicable	not applicable	enrichment of phosphorylated Protein	IMAC	run 14	AC=MS:1002038;NT=label free sample	kidney_13_10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD006482/kidney_13_10.raw	10	NT=High-performance liquid chromatography;AC=PRIDE:0000565	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=collision-induced dissociation;AC=MS:1000133	35 NCE	20 ppm	0.5 Da	organism part	enrichment of phosphorylated Protein
Sample 2	Homo sapiens	kidney cancer	not available	clear cell renal carcinoma	not available	not available	not available	not applicable	not applicable	enrichment of phosphorylated Protein	IMAC	run 15	AC=MS:1002038;NT=label free sample	kidney_13_11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD006482/kidney_13_11.raw	11	NT=High-performance liquid chromatography;AC=PRIDE:0000565	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=collision-induced dissociation;AC=MS:1000133	35 NCE	20 ppm	0.5 Da	organism part	enrichment of phosphorylated Protein
Sample 2	Homo sapiens	kidney cancer	not available	clear cell renal carcinoma	not available	not available	not available	not applicable	not applicable	enrichment of phosphorylated Protein	IMAC	run 16	AC=MS:1002038;NT=label free sample	kidney_13_12.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD006482/kidney_13_12.raw	12	NT=High-performance liquid chromatography;AC=PRIDE:0000565	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=collision-induced dissociation;AC=MS:1000133	35 NCE	20 ppm	0.5 Da	organism part	enrichment of phosphorylated Protein
Sample 2	Homo sapiens	kidney cancer	not available	clear cell renal carcinoma	not available	not available	not available	not applicable	not applicable	enrichment of phosphorylated Protein	IMAC	run 17	AC=MS:1002038;NT=label free sample	kidney_13_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD006482/kidney_13_2.raw	2	NT=High-performance liquid chromatography;AC=PRIDE:0000565	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=collision-induced dissociation;AC=MS:1000133	35 NCE	20 ppm	0.5 Da	organism part	enrichment of phosphorylated Protein
Sample 2	Homo sapiens	kidney cancer	not available	clear cell renal carcinoma	not available	not available	not available	not applicable	not applicable	enrichment of phosphorylated Protein	IMAC	run 18	AC=MS:1002038;NT=label free sample	kidney_13_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD006482/kidney_13_3.raw	3	NT=High-performance liquid chromatography;AC=PRIDE:0000565	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=collision-induced dissociation;AC=MS:1000133	35 NCE	20 ppm	0.5 Da	organism part	enrichment of phosphorylated Protein
Sample 2	Homo sapiens	kidney cancer	not available	clear cell renal carcinoma	not available	not available	not available	not applicable	not applicable	enrichment of phosphorylated Protein	IMAC	run 19	AC=MS:1002038;NT=label free sample	kidney_13_4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD006482/kidney_13_4.raw	4	NT=High-performance liquid chromatography;AC=PRIDE:0000565	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=collision-induced dissociation;AC=MS:1000133	35 NCE	20 ppm	0.5 Da	organism part	enrichment of phosphorylated Protein
Sample 2	Homo sapiens	kidney cancer	not available	clear cell renal carcinoma	not available	not available	not available	not applicable	not applicable	enrichment of phosphorylated Protein	IMAC	run 20	AC=MS:1002038;NT=label free sample	kidney_13_5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD006482/kidney_13_5.raw	5	NT=High-performance liquid chromatography;AC=PRIDE:0000565	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=collision-induced dissociation;AC=MS:1000133	35 NCE	20 ppm	0.5 Da	organism part	enrichment of phosphorylated Protein
Sample 2	Homo sapiens	kidney cancer	not available	clear cell renal carcinoma	not available	not available	not available	not applicable	not applicable	enrichment of phosphorylated Protein	IMAC	run 21	AC=MS:1002038;NT=label free sample	kidney_13_6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD006482/kidney_13_6.raw	6	NT=High-performance liquid chromatography;AC=PRIDE:0000565	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=collision-induced dissociation;AC=MS:1000133	35 NCE	20 ppm	0.5 Da	organism part	enrichment of phosphorylated Protein
Sample 2	Homo sapiens	kidney cancer	not available	clear cell renal carcinoma	not available	not available	not available	not applicable	not applicable	enrichment of phosphorylated Protein	IMAC	run 22	AC=MS:1002038;NT=label free sample	kidney_13_7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD006482/kidney_13_7.raw	7	NT=High-performance liquid chromatography;AC=PRIDE:0000565	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=collision-induced dissociation;AC=MS:1000133	35 NCE	20 ppm	0.5 Da	organism part	enrichment of phosphorylated Protein
Sample 2	Homo sapiens	kidney cancer	not available	clear cell renal carcinoma	not available	not available	not available	not applicable	not applicable	enrichment of phosphorylated Protein	IMAC	run 23	AC=MS:1002038;NT=label free sample	kidney_13_8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD006482/kidney_13_8.raw	8	NT=High-performance liquid chromatography;AC=PRIDE:0000565	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=collision-induced dissociation;AC=MS:1000133	35 NCE	20 ppm	0.5 Da	organism part	enrichment of phosphorylated Protein
Sample 2	Homo sapiens	kidney cancer	not available	clear cell renal carcinoma	not available	not available	not available	not applicable	not applicable	enrichment of phosphorylated Protein	IMAC	run 24	AC=MS:1002038;NT=label free sample	kidney_13_9.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD006482/kidney_13_9.raw	9	NT=High-performance liquid chromatography;AC=PRIDE:0000565	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=collision-induced dissociation;AC=MS:1000133	35 NCE	20 ppm	0.5 Da	organism part	enrichment of phosphorylated Protein
Sample 3	Homo sapiens	kidney cancer	not available	clear cell renal carcinoma	not available	not available	not available	not applicable	not applicable	enrichment of phosphorylated Protein	IMAC	run 25	AC=MS:1002038;NT=label free sample	kidney_16-1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD006482/kidney_16-1.raw	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=collision-induced dissociation;AC=MS:1000133	35 NCE	20 ppm	0.5 Da	organism part	enrichment of phosphorylated Protein
Sample 3	Homo sapiens	kidney cancer	not available	clear cell renal carcinoma	not available	not available	not available	not applicable	not applicable	enrichment of phosphorylated Protein	IMAC	run 26	AC=MS:1002038;NT=label free sample	kidney_16-10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD006482/kidney_16-10.raw	10	NT=High-performance liquid chromatography;AC=PRIDE:0000565	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=collision-induced dissociation;AC=MS:1000133	35 NCE	20 ppm	0.5 Da	organism part	enrichment of phosphorylated Protein
Sample 3	Homo sapiens	kidney cancer	not available	clear cell renal carcinoma	not available	not available	not available	not applicable	not applicable	enrichment of phosphorylated Protein	IMAC	run 27	AC=MS:1002038;NT=label free sample	kidney_16-11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD006482/kidney_16-11.raw	11	NT=High-performance liquid chromatography;AC=PRIDE:0000565	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=collision-induced dissociation;AC=MS:1000133	35 NCE	20 ppm	0.5 Da	organism part	enrichment of phosphorylated Protein
Sample 3	Homo sapiens	kidney cancer	not available	clear cell renal carcinoma	not available	not available	not available	not applicable	not applicable	enrichment of phosphorylated Protein	IMAC	run 28	AC=MS:1002038;NT=label free sample	kidney_16-12.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD006482/kidney_16-12.raw	12	NT=High-performance liquid chromatography;AC=PRIDE:0000565	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=collision-induced dissociation;AC=MS:1000133	35 NCE	20 ppm	0.5 Da	organism part	enrichment of phosphorylated Protein
Sample 3	Homo sapiens	kidney cancer	not available	clear cell renal carcinoma	not available	not available	not available	not applicable	not applicable	enrichment of phosphorylated Protein	IMAC	run 29	AC=MS:1002038;NT=label free sample	kidney_16-2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD006482/kidney_16-2.raw	2	NT=High-performance liquid chromatography;AC=PRIDE:0000565	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=collision-induced dissociation;AC=MS:1000133	35 NCE	20 ppm	0.5 Da	organism part	enrichment of phosphorylated Protein
Sample 3	Homo sapiens	kidney cancer	not available	clear cell renal carcinoma	not available	not available	not available	not applicable	not applicable	enrichment of phosphorylated Protein	IMAC	run 30	AC=MS:1002038;NT=label free sample	kidney_16-3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD006482/kidney_16-3.raw	3	NT=High-performance liquid chromatography;AC=PRIDE:0000565	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=collision-induced dissociation;AC=MS:1000133	35 NCE	20 ppm	0.5 Da	organism part	enrichment of phosphorylated Protein
