source name	characteristics[organism]	characteristics[strain]	characteristics[organism part]	characteristics[cell type]	characteristics[growth condition]	assay name	comment[data file]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]
Sample 1	Haloferax volcanii DS2 	LM08	Whole organism	prokaryotic cell	control	Run 11	Lana-SILAC-11.raw	11	None	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	None	None	NT=HCD;AC=MS:1002481	27% NCE
Sample 1	Haloferax volcanii DS2 	LM08	Whole organism	prokaryotic cell	control	Run 12	Lana-SILAC-12.raw	12	None	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	None	None	NT=HCD;AC=MS:1002481	27% NCE
Sample 1	Haloferax volcanii DS2 	LM08	Whole organism	prokaryotic cell	control	Run 13	Lana-SILAC-13.raw	13	None	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	None	None	NT=HCD;AC=MS:1002481	27% NCE
Sample 1	Haloferax volcanii DS2 	LM08	Whole organism	prokaryotic cell	control	Run 14	Lana-SILAC-2-1.raw	14	None	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	None	None	NT=HCD;AC=MS:1002481	27% NCE
																	
Sample 1	Haloferax volcanii DS2 	LM08	Whole organism	prokaryotic cell	2.5 mM NaOCl 	Run 1	Lana-SILAC-1.raw	1	SILAC heavy	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 1	Haloferax volcanii DS2 	LM08	Whole organism	prokaryotic cell	2.5 mM NaOCl 	Run 2	Lana-SILAC-2.raw	2	SILAC heavy	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 1	Haloferax volcanii DS2 	LM08	Whole organism	prokaryotic cell	2.5 mM NaOCl 	Run 3	Lana-SILAC-3.raw	3	SILAC heavy	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 1	Haloferax volcanii DS2 	LM08	Whole organism	prokaryotic cell	2.5 mM NaOCl 	Run 4	Lana-SILAC-4.raw	4	SILAC heavy	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 1	Haloferax volcanii DS2 	LM08	Whole organism	prokaryotic cell	2.5 mM NaOCl 	Run 5	Lana-SILAC-5.raw	5	SILAC heavy	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 1	Haloferax volcanii DS2 	LM08	Whole organism	prokaryotic cell	2.5 mM NaOCl 	Run 6	Lana-SILAC-6.raw	6	SILAC heavy	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 1	Haloferax volcanii DS2 	LM08	Whole organism	prokaryotic cell	2.5 mM NaOCl 	Run 7	Lana-SILAC-7.raw	7	SILAC heavy	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 1	Haloferax volcanii DS2 	LM08	Whole organism	prokaryotic cell	2.5 mM NaOCl 	Run 8	Lana-SILAC-8.raw	8	SILAC heavy	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 1	Haloferax volcanii DS2 	LM08	Whole organism	prokaryotic cell	2.5 mM NaOCl 	Run 9	Lana-SILAC-9.raw	9	SILAC heavy	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 1	Haloferax volcanii DS2 	LM08	Whole organism	prokaryotic cell	2.5 mM NaOCl 	Run 10	Lana-SILAC-10.raw	10	SILAC heavy	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 1	Haloferax volcanii DS2 	LM08	Whole organism	prokaryotic cell	2.5 mM NaOCl 	Run 11	Lana-SILAC-11.raw	11	SILAC heavy	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 1	Haloferax volcanii DS2 	LM08	Whole organism	prokaryotic cell	2.5 mM NaOCl 	Run 12	Lana-SILAC-12.raw	12	SILAC heavy	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 1	Haloferax volcanii DS2 	LM08	Whole organism	prokaryotic cell	2.5 mM NaOCl 	Run 13	Lana-SILAC-13.raw	13	SILAC heavy	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 1	Haloferax volcanii DS2 	LM08	Whole organism	prokaryotic cell	2.5 mM NaOCl 	Run 14	Lana-SILAC-2-1.raw	14	SILAC heavy	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
																	
Sample 2	Haloferax volcanii DS2 	LM08	Whole organism	prokaryotic cell	control	Run 15	Lana-SILAC-2-1.raw	1	SILAC heavy	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 2	Haloferax volcanii DS2 	LM08	Whole organism	prokaryotic cell	control	Run 16	Lana-SILAC-2-2.raw	2	SILAC heavy	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 2	Haloferax volcanii DS2 	LM08	Whole organism	prokaryotic cell	control	Run 17	Lana-SILAC-2-3.raw	3	SILAC heavy	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 2	Haloferax volcanii DS2 	LM08	Whole organism	prokaryotic cell	control	Run 18	Lana-SILAC-2-4.raw	4	SILAC heavy	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 2	Haloferax volcanii DS2 	LM08	Whole organism	prokaryotic cell	control	Run 19	Lana-SILAC-2-5.raw	5	SILAC heavy	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 2	Haloferax volcanii DS2 	LM08	Whole organism	prokaryotic cell	control	Run 20	Lana-SILAC-2-6.raw	6	SILAC heavy	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 2	Haloferax volcanii DS2 	LM08	Whole organism	prokaryotic cell	control	Run 21	Lana-SILAC-2-7.raw	7	SILAC heavy	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 2	Haloferax volcanii DS2 	LM08	Whole organism	prokaryotic cell	control	Run 22	Lana-SILAC-2-8.raw	8	SILAC heavy	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 2	Haloferax volcanii DS2 	LM08	Whole organism	prokaryotic cell	control	Run 23	Lana-SILAC-2-9.raw	9	SILAC heavy	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 2	Haloferax volcanii DS2 	LM08	Whole organism	prokaryotic cell	control	Run 24	Lana-SILAC-2-10.raw	10	SILAC heavy	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 2	Haloferax volcanii DS2 	LM08	Whole organism	prokaryotic cell	control	Run 25	Lana-SILAC-2-11.raw	11	SILAC heavy	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 2	Haloferax volcanii DS2 	LM08	Whole organism	prokaryotic cell	control	Run 26	Lana-SILAC-2-12.raw	12	SILAC heavy	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 2	Haloferax volcanii DS2 	LM08	Whole organism	prokaryotic cell	control	Run 27	Lana-SILAC-2-13.raw	13	SILAC heavy	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 2	Haloferax volcanii DS2 	LM08	Whole organism	prokaryotic cell	control	Run 28	Lana-SILAC-2-2-1.raw	14	SILAC heavy	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
																	
Sample 2	Haloferax volcanii DS2 	LM08	Whole organism	prokaryotic cell	2.5 mM NaOCl 	Run 15	Lana-SILAC-2-1.raw	1	None	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	None	None	NT=HCD;AC=MS:1002481	27% NCE
Sample 2	Haloferax volcanii DS2 	LM08	Whole organism	prokaryotic cell	2.5 mM NaOCl 	Run 16	Lana-SILAC-2-2.raw	2	None	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	None	None	NT=HCD;AC=MS:1002481	27% NCE
Sample 2	Haloferax volcanii DS2 	LM08	Whole organism	prokaryotic cell	2.5 mM NaOCl 	Run 17	Lana-SILAC-2-3.raw	3	None	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	None	None	NT=HCD;AC=MS:1002481	27% NCE
Sample 2	Haloferax volcanii DS2 	LM08	Whole organism	prokaryotic cell	2.5 mM NaOCl 	Run 18	Lana-SILAC-2-4.raw	4	None	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	None	None	NT=HCD;AC=MS:1002481	27% NCE
Sample 2	Haloferax volcanii DS2 	LM08	Whole organism	prokaryotic cell	2.5 mM NaOCl 	Run 19	Lana-SILAC-2-5.raw	5	None	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	None	None	NT=HCD;AC=MS:1002481	27% NCE
Sample 2	Haloferax volcanii DS2 	LM08	Whole organism	prokaryotic cell	2.5 mM NaOCl 	Run 20	Lana-SILAC-2-6.raw	6	None	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	None	None	NT=HCD;AC=MS:1002481	27% NCE
Sample 2	Haloferax volcanii DS2 	LM08	Whole organism	prokaryotic cell	2.5 mM NaOCl 	Run 21	Lana-SILAC-2-7.raw	7	None	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	None	None	NT=HCD;AC=MS:1002481	27% NCE
Sample 2	Haloferax volcanii DS2 	LM08	Whole organism	prokaryotic cell	2.5 mM NaOCl 	Run 22	Lana-SILAC-2-8.raw	8	None	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	None	None	NT=HCD;AC=MS:1002481	27% NCE
Sample 2	Haloferax volcanii DS2 	LM08	Whole organism	prokaryotic cell	2.5 mM NaOCl 	Run 23	Lana-SILAC-2-9.raw	9	None	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	None	None	NT=HCD;AC=MS:1002481	27% NCE
Sample 2	Haloferax volcanii DS2 	LM08	Whole organism	prokaryotic cell	2.5 mM NaOCl 	Run 24	Lana-SILAC-2-10.raw	10	None	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	None	None	NT=HCD;AC=MS:1002481	27% NCE
Sample 2	Haloferax volcanii DS2 	LM08	Whole organism	prokaryotic cell	2.5 mM NaOCl 	Run 25	Lana-SILAC-2-11.raw	11	None	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	None	None	NT=HCD;AC=MS:1002481	27% NCE
Sample 2	Haloferax volcanii DS2 	LM08	Whole organism	prokaryotic cell	2.5 mM NaOCl 	Run 26	Lana-SILAC-2-12.raw	12	None	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	None	None	NT=HCD;AC=MS:1002481	27% NCE
Sample 2	Haloferax volcanii DS2 	LM08	Whole organism	prokaryotic cell	2.5 mM NaOCl 	Run 27	Lana-SILAC-2-13.raw	13	None	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	None	None	NT=HCD;AC=MS:1002481	27% NCE
