source name	characteristics[organism]	characteristics[strain]	characteristics[organism part]	characteristics[cell type]	characteristics[growth condition]	characteristics[disease]	assay name	Technology Type	comment[data file]	comment[fraction identifier]	comment[label]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]
Sample 1	Haloferax volcanii DS2	LM08	Whole organism	prokaryotic cell	control	not applicable	Run 11	proteomic profiling by mass spectrometry	Lana-SILAC-11.raw	11	SILAC light K:12C(6)14N(2)	SILAC light R:12C(6)14N(4)	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 1	Haloferax volcanii DS2	LM08	Whole organism	prokaryotic cell	control	not applicable	Run 12	proteomic profiling by mass spectrometry	Lana-SILAC-12.raw	12	SILAC light K:12C(6)14N(2)	SILAC light R:12C(6)14N(4)	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 1	Haloferax volcanii DS2	LM08	Whole organism	prokaryotic cell	control	not applicable	Run 13	proteomic profiling by mass spectrometry	Lana-SILAC-13.raw	13	SILAC light K:12C(6)14N(2)	SILAC light R:12C(6)14N(4)	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 1	Haloferax volcanii DS2	LM08	Whole organism	prokaryotic cell	control	not applicable	Run 14	proteomic profiling by mass spectrometry	Lana-SILAC-2-1.raw	14	SILAC light K:12C(6)14N(2)	SILAC light R:12C(6)14N(4)	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 1	Haloferax volcanii DS2	LM08	Whole organism	prokaryotic cell	2.5 mM NaOCl 	not applicable	Run 1	proteomic profiling by mass spectrometry	Lana-SILAC-1.raw	1	SILAC heavy K:13C(6)15N(2)	SILAC medium R:13C(6)14N(4)	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 1	Haloferax volcanii DS2	LM08	Whole organism	prokaryotic cell	2.5 mM NaOCl 	not applicable	Run 2	proteomic profiling by mass spectrometry	Lana-SILAC-2.raw	2	SILAC heavy K:13C(6)15N(2)	SILAC medium R:13C(6)14N(4)	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 1	Haloferax volcanii DS2	LM08	Whole organism	prokaryotic cell	2.5 mM NaOCl 	not applicable	Run 3	proteomic profiling by mass spectrometry	Lana-SILAC-3.raw	3	SILAC heavy K:13C(6)15N(2)	SILAC medium R:13C(6)14N(4)	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 1	Haloferax volcanii DS2	LM08	Whole organism	prokaryotic cell	2.5 mM NaOCl 	not applicable	Run 4	proteomic profiling by mass spectrometry	Lana-SILAC-4.raw	4	SILAC heavy K:13C(6)15N(2)	SILAC medium R:13C(6)14N(4)	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 1	Haloferax volcanii DS2	LM08	Whole organism	prokaryotic cell	2.5 mM NaOCl 	not applicable	Run 5	proteomic profiling by mass spectrometry	Lana-SILAC-5.raw	5	SILAC heavy K:13C(6)15N(2)	SILAC medium R:13C(6)14N(4)	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 1	Haloferax volcanii DS2	LM08	Whole organism	prokaryotic cell	2.5 mM NaOCl 	not applicable	Run 6	proteomic profiling by mass spectrometry	Lana-SILAC-6.raw	6	SILAC heavy K:13C(6)15N(2)	SILAC medium R:13C(6)14N(4)	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 1	Haloferax volcanii DS2	LM08	Whole organism	prokaryotic cell	2.5 mM NaOCl 	not applicable	Run 7	proteomic profiling by mass spectrometry	Lana-SILAC-7.raw	7	SILAC heavy K:13C(6)15N(2)	SILAC medium R:13C(6)14N(4)	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 1	Haloferax volcanii DS2	LM08	Whole organism	prokaryotic cell	2.5 mM NaOCl 	not applicable	Run 8	proteomic profiling by mass spectrometry	Lana-SILAC-8.raw	8	SILAC heavy K:13C(6)15N(2)	SILAC medium R:13C(6)14N(4)	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 1	Haloferax volcanii DS2	LM08	Whole organism	prokaryotic cell	2.5 mM NaOCl 	not applicable	Run 9	proteomic profiling by mass spectrometry	Lana-SILAC-9.raw	9	SILAC heavy K:13C(6)15N(2)	SILAC medium R:13C(6)14N(4)	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 1	Haloferax volcanii DS2	LM08	Whole organism	prokaryotic cell	2.5 mM NaOCl 	not applicable	Run 10	proteomic profiling by mass spectrometry	Lana-SILAC-10.raw	10	SILAC heavy K:13C(6)15N(2)	SILAC medium R:13C(6)14N(4)	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 1	Haloferax volcanii DS2	LM08	Whole organism	prokaryotic cell	2.5 mM NaOCl 	not applicable	Run 11	proteomic profiling by mass spectrometry	Lana-SILAC-11.raw	11	SILAC heavy K:13C(6)15N(2)	SILAC medium R:13C(6)14N(4)	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 1	Haloferax volcanii DS2	LM08	Whole organism	prokaryotic cell	2.5 mM NaOCl 	not applicable	Run 12	proteomic profiling by mass spectrometry	Lana-SILAC-12.raw	12	SILAC heavy K:13C(6)15N(2)	SILAC medium R:13C(6)14N(4)	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 1	Haloferax volcanii DS2	LM08	Whole organism	prokaryotic cell	2.5 mM NaOCl 	not applicable	Run 13	proteomic profiling by mass spectrometry	Lana-SILAC-13.raw	13	SILAC heavy K:13C(6)15N(2)	SILAC medium R:13C(6)14N(4)	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 1	Haloferax volcanii DS2	LM08	Whole organism	prokaryotic cell	2.5 mM NaOCl 	not applicable	Run 14	proteomic profiling by mass spectrometry	Lana-SILAC-2-1.raw	14	SILAC heavy K:13C(6)15N(2)	SILAC medium R:13C(6)14N(4)	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 2	Haloferax volcanii DS2	LM08	Whole organism	prokaryotic cell	control	not applicable	Run 15	proteomic profiling by mass spectrometry	Lana-SILAC-2-1.raw	1	SILAC heavy K:13C(6)15N(2)	SILAC medium R:13C(6)14N(4)	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 2	Haloferax volcanii DS2	LM08	Whole organism	prokaryotic cell	control	not applicable	Run 16	proteomic profiling by mass spectrometry	Lana-SILAC-2-2.raw	2	SILAC heavy K:13C(6)15N(2)	SILAC medium R:13C(6)14N(4)	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 2	Haloferax volcanii DS2	LM08	Whole organism	prokaryotic cell	control	not applicable	Run 17	proteomic profiling by mass spectrometry	Lana-SILAC-2-3.raw	3	SILAC heavy K:13C(6)15N(2)	SILAC medium R:13C(6)14N(4)	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 2	Haloferax volcanii DS2	LM08	Whole organism	prokaryotic cell	control	not applicable	Run 18	proteomic profiling by mass spectrometry	Lana-SILAC-2-4.raw	4	SILAC heavy K:13C(6)15N(2)	SILAC medium R:13C(6)14N(4)	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 2	Haloferax volcanii DS2	LM08	Whole organism	prokaryotic cell	control	not applicable	Run 19	proteomic profiling by mass spectrometry	Lana-SILAC-2-5.raw	5	SILAC heavy K:13C(6)15N(2)	SILAC medium R:13C(6)14N(4)	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 2	Haloferax volcanii DS2	LM08	Whole organism	prokaryotic cell	control	not applicable	Run 20	proteomic profiling by mass spectrometry	Lana-SILAC-2-6.raw	6	SILAC heavy K:13C(6)15N(2)	SILAC medium R:13C(6)14N(4)	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 2	Haloferax volcanii DS2	LM08	Whole organism	prokaryotic cell	control	not applicable	Run 21	proteomic profiling by mass spectrometry	Lana-SILAC-2-7.raw	7	SILAC heavy K:13C(6)15N(2)	SILAC medium R:13C(6)14N(4)	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 2	Haloferax volcanii DS2	LM08	Whole organism	prokaryotic cell	control	not applicable	Run 22	proteomic profiling by mass spectrometry	Lana-SILAC-2-8.raw	8	SILAC heavy K:13C(6)15N(2)	SILAC medium R:13C(6)14N(4)	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 2	Haloferax volcanii DS2	LM08	Whole organism	prokaryotic cell	control	not applicable	Run 23	proteomic profiling by mass spectrometry	Lana-SILAC-2-9.raw	9	SILAC heavy K:13C(6)15N(2)	SILAC medium R:13C(6)14N(4)	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 2	Haloferax volcanii DS2	LM08	Whole organism	prokaryotic cell	control	not applicable	Run 24	proteomic profiling by mass spectrometry	Lana-SILAC-2-10.raw	10	SILAC heavy K:13C(6)15N(2)	SILAC medium R:13C(6)14N(4)	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 2	Haloferax volcanii DS2	LM08	Whole organism	prokaryotic cell	control	not applicable	Run 25	proteomic profiling by mass spectrometry	Lana-SILAC-2-11.raw	11	SILAC heavy K:13C(6)15N(2)	SILAC medium R:13C(6)14N(4)	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 2	Haloferax volcanii DS2	LM08	Whole organism	prokaryotic cell	control	not applicable	Run 26	proteomic profiling by mass spectrometry	Lana-SILAC-2-12.raw	12	SILAC heavy K:13C(6)15N(2)	SILAC medium R:13C(6)14N(4)	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 2	Haloferax volcanii DS2	LM08	Whole organism	prokaryotic cell	control	not applicable	Run 27	proteomic profiling by mass spectrometry	Lana-SILAC-2-13.raw	13	SILAC heavy K:13C(6)15N(2)	SILAC medium R:13C(6)14N(4)	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 2	Haloferax volcanii DS2	LM08	Whole organism	prokaryotic cell	control	not applicable	Run 28	proteomic profiling by mass spectrometry	Lana-SILAC-2-2-1.raw	14	SILAC heavy K:13C(6)15N(2)	SILAC medium R:13C(6)14N(4)	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 2	Haloferax volcanii DS2	LM08	Whole organism	prokaryotic cell	2.5 mM NaOCl 	not applicable	Run 15	proteomic profiling by mass spectrometry	Lana-SILAC-2-1.raw	1	SILAC light K:12C(6)14N(2)	SILAC light R:12C(6)14N(4)	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 2	Haloferax volcanii DS2	LM08	Whole organism	prokaryotic cell	2.5 mM NaOCl 	not applicable	Run 16	proteomic profiling by mass spectrometry	Lana-SILAC-2-2.raw	2	SILAC light K:12C(6)14N(2)	SILAC light R:12C(6)14N(4)	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 2	Haloferax volcanii DS2	LM08	Whole organism	prokaryotic cell	2.5 mM NaOCl 	not applicable	Run 17	proteomic profiling by mass spectrometry	Lana-SILAC-2-3.raw	3	SILAC light K:12C(6)14N(2)	SILAC light R:12C(6)14N(4)	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
