Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[strain]	Characteristics[age]	Characteristics[sex]	Characteristics[developmental stage]	Characteristics[individual]	assay name	comment[label]	comment[instrument]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[file uri]	comment[data file]	Material Type
Sample 5	Mus musculus	Embryonic stem cell	not available	not available	not available	not available	not available	run 11	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	2	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20140924_Q1_SA_YaAt_2i_FCS-Epi_Rv_8B.raw	20140924_Q1_SA_YaAt_2i_FCS-Epi_Rv_8B.raw	tissue
Sample 5	Mus musculus	Embryonic stem cell	not available	not available	not available	not available	not available	run 12	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	3	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20140924_Q1_SA_YaAt_2i_FCS-Epi_Rv_8C.raw	20140924_Q1_SA_YaAt_2i_FCS-Epi_Rv_8C.raw	tissue
Sample 6	Mus musculus	Embryonic stem cell	not available	not available	not available	not available	not available	run 13	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	1	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20140924_Q1_SA_YaAt_2i_FCS-Epi_Rv_9A.raw	20140924_Q1_SA_YaAt_2i_FCS-Epi_Rv_9A.raw	tissue
Sample 6	Mus musculus	Embryonic stem cell	not available	not available	not available	not available	not available	run 14	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	2	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20140924_Q1_SA_YaAt_2i_FCS-Epi_Rv_9B.raw	20140924_Q1_SA_YaAt_2i_FCS-Epi_Rv_9B.raw	tissue
Sample 6	Mus musculus	Embryonic stem cell	not available	not available	not available	not available	not available	run 15	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	3	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20140924_Q1_SA_YaAt_2i_FCS-Epi_Rv_9C.raw	20140924_Q1_SA_YaAt_2i_FCS-Epi_Rv_9C.raw	tissue
Sample 7	Mus musculus	Embryonic stem cell	not available	not available	not available	not available	not available	run 16	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	1	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20141022_Q1_SA_YaAt_2i_FCS-Epi_1A.raw	20141022_Q1_SA_YaAt_2i_FCS-Epi_1A.raw	tissue
Sample 7	Mus musculus	Embryonic stem cell	not available	not available	not available	not available	not available	run 17	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	2	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20141022_Q1_SA_YaAt_2i_FCS-Epi_1B.raw	20141022_Q1_SA_YaAt_2i_FCS-Epi_1B.raw	tissue
Sample 7	Mus musculus	Embryonic stem cell	not available	not available	not available	not available	not available	run 18	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	3	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20141022_Q1_SA_YaAt_2i_FCS-Epi_1C.raw	20141022_Q1_SA_YaAt_2i_FCS-Epi_1C.raw	tissue
Sample 8	Mus musculus	Embryonic stem cell	not available	not available	not available	not available	not available	run 19	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	1	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20141022_Q1_SA_YaAt_2i_FCS-Epi_2A.raw	20141022_Q1_SA_YaAt_2i_FCS-Epi_2A.raw	tissue
Sample 8	Mus musculus	Embryonic stem cell	not available	not available	not available	not available	not available	run 20	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	2	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20141022_Q1_SA_YaAt_2i_FCS-Epi_2B.raw	20141022_Q1_SA_YaAt_2i_FCS-Epi_2B.raw	tissue
Sample 8	Mus musculus	Embryonic stem cell	not available	not available	not available	not available	not available	run 21	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	3	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20141022_Q1_SA_YaAt_2i_FCS-Epi_2C.raw	20141022_Q1_SA_YaAt_2i_FCS-Epi_2C.raw	tissue
Sample 9	Mus musculus	Embryonic stem cell	not available	not available	not available	not available	not available	run 22	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	1	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20141022_Q1_SA_YaAt_2i_FCS-Epi_3A.raw	20141022_Q1_SA_YaAt_2i_FCS-Epi_3A.raw	tissue
Sample 9	Mus musculus	Embryonic stem cell	not available	not available	not available	not available	not available	run 23	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	2	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20141022_Q1_SA_YaAt_2i_FCS-Epi_3B.raw	20141022_Q1_SA_YaAt_2i_FCS-Epi_3B.raw	tissue
Sample 9	Mus musculus	Embryonic stem cell	not available	not available	not available	not available	not available	run 24	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	3	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20141022_Q1_SA_YaAt_2i_FCS-Epi_3C.raw	20141022_Q1_SA_YaAt_2i_FCS-Epi_3C.raw	tissue
Sample 10	Mus musculus	Embryonic stem cell	not available	not available	not available	not available	not available	run 25	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	1	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20141022_Q1_SA_YaAt_2i_FCS-Epi_4A.raw	20141022_Q1_SA_YaAt_2i_FCS-Epi_4A.raw	tissue
Sample 10	Mus musculus	Embryonic stem cell	not available	not available	not available	not available	not available	run 26	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	2	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20141022_Q1_SA_YaAt_2i_FCS-Epi_4B.raw	20141022_Q1_SA_YaAt_2i_FCS-Epi_4B.raw	tissue
Sample 10	Mus musculus	Embryonic stem cell	not available	not available	not available	not available	not available	run 27	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	3	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20141022_Q1_SA_YaAt_2i_FCS-Epi_4C.raw	20141022_Q1_SA_YaAt_2i_FCS-Epi_4C.raw	tissue
Sample 11	Mus musculus	Embryonic stem cell	not available	not available	not available	not available	not available	run 28	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	1	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20141022_Q1_SA_YaAt_2i_FCS-Epi_5A.raw	20141022_Q1_SA_YaAt_2i_FCS-Epi_5A.raw	tissue
Sample 11	Mus musculus	Embryonic stem cell	not available	not available	not available	not available	not available	run 29	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	2	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20141022_Q1_SA_YaAt_2i_FCS-Epi_5B.raw	20141022_Q1_SA_YaAt_2i_FCS-Epi_5B.raw	tissue
Sample 11	Mus musculus	Embryonic stem cell	not available	not available	not available	not available	not available	run 30	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	3	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20141022_Q1_SA_YaAt_2i_FCS-Epi_5C.raw	20141022_Q1_SA_YaAt_2i_FCS-Epi_5C.raw	tissue
Sample 12	Mus musculus	Embryonic stem cell	not available	not available	not available	not available	not available	run 31	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	1	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20141022_Q1_SA_YaAt_2i_FCS-Epi_6A.raw	20141022_Q1_SA_YaAt_2i_FCS-Epi_6A.raw	tissue
Sample 12	Mus musculus	Embryonic stem cell	not available	not available	not available	not available	not available	run 32	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	2	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20141022_Q1_SA_YaAt_2i_FCS-Epi_6B.raw	20141022_Q1_SA_YaAt_2i_FCS-Epi_6B.raw	tissue
Sample 12	Mus musculus	Embryonic stem cell	not available	not available	not available	not available	not available	run 33	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	3	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20141022_Q1_SA_YaAt_2i_FCS-Epi_6C.raw	20141022_Q1_SA_YaAt_2i_FCS-Epi_6C.raw	tissue
Sample 13	Mus musculus	Embryonic stem cell	not available	not available	not available	not available	not available	run 34	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	1	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20150105_Q1_SA_YaAt_ESC_proteome_1A.raw	20150105_Q1_SA_YaAt_ESC_proteome_1A.raw	tissue
Sample 13	Mus musculus	Embryonic stem cell	not available	not available	not available	not available	not available	run 35	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	2	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20150105_Q1_SA_YaAt_ESC_proteome_1B.raw	20150105_Q1_SA_YaAt_ESC_proteome_1B.raw	tissue
Sample 13	Mus musculus	Embryonic stem cell	not available	not available	not available	not available	not available	run 36	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	3	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20150105_Q1_SA_YaAt_ESC_proteome_1C.raw	20150105_Q1_SA_YaAt_ESC_proteome_1C.raw	tissue
Sample 14	Mus musculus	Embryonic stem cell	not available	not available	not available	not available	not available	run 37	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	1	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20150105_Q1_SA_YaAt_ESC_proteome_2A.raw	20150105_Q1_SA_YaAt_ESC_proteome_2A.raw	tissue
Sample 14	Mus musculus	Embryonic stem cell	not available	not available	not available	not available	not available	run 38	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	2	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20150105_Q1_SA_YaAt_ESC_proteome_2B.raw	20150105_Q1_SA_YaAt_ESC_proteome_2B.raw	tissue
Sample 14	Mus musculus	Embryonic stem cell	not available	not available	not available	not available	not available	run 39	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	3	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20150105_Q1_SA_YaAt_ESC_proteome_2C.raw	20150105_Q1_SA_YaAt_ESC_proteome_2C.raw	tissue
Sample 15	Mus musculus	Embryonic stem cell	not available	not available	not available	not available	not available	run 40	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	1	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20150105_Q1_SA_YaAt_ESC_proteome_3A.raw	20150105_Q1_SA_YaAt_ESC_proteome_3A.raw	tissue
Sample 15	Mus musculus	Embryonic stem cell	not available	not available	not available	not available	not available	run 41	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	2	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20150105_Q1_SA_YaAt_ESC_proteome_3B.raw	20150105_Q1_SA_YaAt_ESC_proteome_3B.raw	tissue
Sample 15	Mus musculus	Embryonic stem cell	not available	not available	not available	not available	not available	run 42	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	3	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20150105_Q1_SA_YaAt_ESC_proteome_3C.raw	20150105_Q1_SA_YaAt_ESC_proteome_3C.raw	tissue
Sample 16	Mus musculus	Embryonic stem cell	not available	not available	not available	not available	not available	run 43	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	1	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20150105_Q1_SA_YaAt_ESC_proteome_4A.raw	20150105_Q1_SA_YaAt_ESC_proteome_4A.raw	tissue
Sample 16	Mus musculus	Embryonic stem cell	not available	not available	not available	not available	not available	run 44	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	2	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20150105_Q1_SA_YaAt_ESC_proteome_4B.raw	20150105_Q1_SA_YaAt_ESC_proteome_4B.raw	tissue
Sample 16	Mus musculus	Embryonic stem cell	not available	not available	not available	not available	not available	run 45	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	3	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20150105_Q1_SA_YaAt_ESC_proteome_4C.raw	20150105_Q1_SA_YaAt_ESC_proteome_4C.raw	tissue
Sample 17	Mus musculus	Embryonic stem cell	not available	not available	not available	not available	not available	run 46	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	1	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20150105_Q1_SA_YaAt_ESC_proteome_7A.raw	20150105_Q1_SA_YaAt_ESC_proteome_7A.raw	tissue
Sample 17	Mus musculus	Embryonic stem cell	not available	not available	not available	not available	not available	run 47	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	2	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20150105_Q1_SA_YaAt_ESC_proteome_7B.raw	20150105_Q1_SA_YaAt_ESC_proteome_7B.raw	tissue
Sample 17	Mus musculus	Embryonic stem cell	not available	not available	not available	not available	not available	run 48	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	3	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20150105_Q1_SA_YaAt_ESC_proteome_7C.raw	20150105_Q1_SA_YaAt_ESC_proteome_7C.raw	tissue
