source name	characteristics[organism]	characteristics[organism part]	characteristics[developmental stage]	characteristics[disease]	characteristics[sex]	characteristics[age]	characteristics[cell type]	characteristics[ancestry category]	characteristics[cell line]	characteristics[biological replicate]	characteristics[material type]	assay name	technology type	comment[label]	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[proteomics data acquisition method]	comment[scan window lower limit]	comment[scan window upper limit]	comment[sdrf version]	comment[sdrf template]
Sample 33	Homo sapiens	lung	adult	squamous cell lung cancer	not available	not available	not applicable	not available	not applicable	1	tissue	run 33	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20160303_Haura-SCC-PG-06S15101149-DIA.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD010357/20160303_Haura-SCC-PG-06S15101149-DIA.raw	1	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1001911	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Data-independent acquisition;AC=PRIDE:0000450	450 m/z	1080 m/z	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 34	Homo sapiens	lung	adult	squamous cell lung cancer	not available	not available	not applicable	not available	not applicable	1	tissue	run 34	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20160303_Haura-SCC-PG-06S15101152-DIA.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD010357/20160303_Haura-SCC-PG-06S15101152-DIA.raw	1	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1001911	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Data-independent acquisition;AC=PRIDE:0000450	450 m/z	1080 m/z	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 35	Homo sapiens	lung	adult	squamous cell lung cancer	not available	not available	not applicable	not available	not applicable	1	tissue	run 35	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20160303_Haura-SCC-PG-06S15101167-DIA.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD010357/20160303_Haura-SCC-PG-06S15101167-DIA.raw	1	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1001911	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Data-independent acquisition;AC=PRIDE:0000450	450 m/z	1080 m/z	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 36	Homo sapiens	lung	adult	squamous cell lung cancer	not available	not available	not applicable	not available	not applicable	1	tissue	run 36	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20160303_Haura-SCC-PG-06S15101182-DIA.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD010357/20160303_Haura-SCC-PG-06S15101182-DIA.raw	1	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1001911	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Data-independent acquisition;AC=PRIDE:0000450	450 m/z	1080 m/z	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 37	Homo sapiens	lung	adult	squamous cell lung cancer	not available	not available	not applicable	not available	not applicable	1	tissue	run 37	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20160304_Haura-SCC-PG-06S15092280-DIA.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD010357/20160304_Haura-SCC-PG-06S15092280-DIA.raw	1	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1001911	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Data-independent acquisition;AC=PRIDE:0000450	450 m/z	1080 m/z	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 38	Homo sapiens	lung	adult	squamous cell lung cancer	not available	not available	not applicable	not available	not applicable	1	tissue	run 38	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20160304_Haura-SCC-PG-06S15092286-DIA.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD010357/20160304_Haura-SCC-PG-06S15092286-DIA.raw	1	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1001911	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Data-independent acquisition;AC=PRIDE:0000450	450 m/z	1080 m/z	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 39	Homo sapiens	lung	adult	squamous cell lung cancer	not available	not available	not applicable	not available	not applicable	1	tissue	run 39	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20160304_Haura-SCC-PG-06S15101121-DIA.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD010357/20160304_Haura-SCC-PG-06S15101121-DIA.raw	1	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1001911	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Data-independent acquisition;AC=PRIDE:0000450	450 m/z	1080 m/z	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 40	Homo sapiens	lung	adult	squamous cell lung cancer	not available	not available	not applicable	not available	not applicable	1	tissue	run 40	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20160304_Haura-SCC-PG-06S15101128-DIA.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD010357/20160304_Haura-SCC-PG-06S15101128-DIA.raw	1	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1001911	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Data-independent acquisition;AC=PRIDE:0000450	450 m/z	1080 m/z	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 41	Homo sapiens	lung	adult	squamous cell lung cancer	not available	not available	not applicable	not available	not applicable	1	tissue	run 41	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20160304_Haura-SCC-PG-06S15101144-DIA.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD010357/20160304_Haura-SCC-PG-06S15101144-DIA.raw	1	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1001911	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Data-independent acquisition;AC=PRIDE:0000450	450 m/z	1080 m/z	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 42	Homo sapiens	lung	adult	squamous cell lung cancer	not available	not available	not applicable	not available	not applicable	1	tissue	run 42	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20160304_Haura-SCC-PG-06S15101148-DIA.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD010357/20160304_Haura-SCC-PG-06S15101148-DIA.raw	1	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1001911	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Data-independent acquisition;AC=PRIDE:0000450	450 m/z	1080 m/z	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 43	Homo sapiens	lung	adult	squamous cell lung cancer	not available	not available	not applicable	not available	not applicable	1	tissue	run 43	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20160304_Haura-SCC-PG-06S15101158-DIA.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD010357/20160304_Haura-SCC-PG-06S15101158-DIA.raw	1	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1001911	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Data-independent acquisition;AC=PRIDE:0000450	450 m/z	1080 m/z	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 44	Homo sapiens	lung	adult	squamous cell lung cancer	not available	not available	not applicable	not available	not applicable	1	tissue	run 44	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20160304_Haura-SCC-PG-06S15101159-DIA.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD010357/20160304_Haura-SCC-PG-06S15101159-DIA.raw	1	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1001911	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Data-independent acquisition;AC=PRIDE:0000450	450 m/z	1080 m/z	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 45	Homo sapiens	lung	adult	squamous cell lung cancer	not available	not available	not applicable	not available	not applicable	1	tissue	run 45	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20160304_Haura-SCC-PG-06S15101179-DIA.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD010357/20160304_Haura-SCC-PG-06S15101179-DIA.raw	1	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1001911	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Data-independent acquisition;AC=PRIDE:0000450	450 m/z	1080 m/z	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 46	Homo sapiens	lung	adult	squamous cell lung cancer	not available	not available	not applicable	not available	not applicable	1	tissue	run 46	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20160304_Haura-SCC-PG-06S15101190-DIA.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD010357/20160304_Haura-SCC-PG-06S15101190-DIA.raw	1	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1001911	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Data-independent acquisition;AC=PRIDE:0000450	450 m/z	1080 m/z	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 47	Homo sapiens	lung	adult	squamous cell lung cancer	not available	not available	not applicable	not available	not applicable	1	tissue	run 47	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20160304_Haura-SCC-PG-06S15101196-DIA.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD010357/20160304_Haura-SCC-PG-06S15101196-DIA.raw	1	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1001911	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Data-independent acquisition;AC=PRIDE:0000450	450 m/z	1080 m/z	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 48	Homo sapiens	lung	adult	squamous cell lung cancer	not available	not available	not applicable	not available	not applicable	1	tissue	run 48	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20160304_Haura-SCC-PG-06S15101199-DIA.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD010357/20160304_Haura-SCC-PG-06S15101199-DIA.raw	1	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1001911	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Data-independent acquisition;AC=PRIDE:0000450	450 m/z	1080 m/z	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 49	Homo sapiens	lung	adult	squamous cell lung cancer	not available	not available	not applicable	not available	not applicable	1	tissue	run 49	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20160308_Haura-SCC-PG-06S15092274-DIA.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD010357/20160308_Haura-SCC-PG-06S15092274-DIA.raw	1	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1001911	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Data-independent acquisition;AC=PRIDE:0000450	450 m/z	1080 m/z	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 50	Homo sapiens	lung	adult	squamous cell lung cancer	not available	not available	not applicable	not available	not applicable	1	tissue	run 50	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20160308_Haura-SCC-PG-06S15092275-DIA.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD010357/20160308_Haura-SCC-PG-06S15092275-DIA.raw	1	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1001911	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Data-independent acquisition;AC=PRIDE:0000450	450 m/z	1080 m/z	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 51	Homo sapiens	lung	adult	squamous cell lung cancer	not available	not available	not applicable	not available	not applicable	1	tissue	run 51	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20160308_Haura-SCC-PG-06S15101117-DIA.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD010357/20160308_Haura-SCC-PG-06S15101117-DIA.raw	1	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1001911	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Data-independent acquisition;AC=PRIDE:0000450	450 m/z	1080 m/z	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 52	Homo sapiens	lung	adult	squamous cell lung cancer	not available	not available	not applicable	not available	not applicable	1	tissue	run 52	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20160308_Haura-SCC-PG-06S15101122-DIA.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD010357/20160308_Haura-SCC-PG-06S15101122-DIA.raw	1	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1001911	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Data-independent acquisition;AC=PRIDE:0000450	450 m/z	1080 m/z	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 53	Homo sapiens	lung	adult	squamous cell lung cancer	not available	not available	not applicable	not available	not applicable	1	tissue	run 53	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20160308_Haura-SCC-PG-06S15101125-DIA.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD010357/20160308_Haura-SCC-PG-06S15101125-DIA.raw	1	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1001911	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Data-independent acquisition;AC=PRIDE:0000450	450 m/z	1080 m/z	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 54	Homo sapiens	lung	adult	squamous cell lung cancer	not available	not available	not applicable	not available	not applicable	1	tissue	run 54	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20160308_Haura-SCC-PG-06S15101129-DIA.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD010357/20160308_Haura-SCC-PG-06S15101129-DIA.raw	1	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1001911	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Data-independent acquisition;AC=PRIDE:0000450	450 m/z	1080 m/z	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 55	Homo sapiens	lung	adult	squamous cell lung cancer	not available	not available	not applicable	not available	not applicable	1	tissue	run 55	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20160308_Haura-SCC-PG-06S15101142-DIA.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD010357/20160308_Haura-SCC-PG-06S15101142-DIA.raw	1	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1001911	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Data-independent acquisition;AC=PRIDE:0000450	450 m/z	1080 m/z	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 56	Homo sapiens	lung	adult	squamous cell lung cancer	not available	not available	not applicable	not available	not applicable	1	tissue	run 56	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20160308_Haura-SCC-PG-06S15101146-DIA.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD010357/20160308_Haura-SCC-PG-06S15101146-DIA.raw	1	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1001911	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Data-independent acquisition;AC=PRIDE:0000450	450 m/z	1080 m/z	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 57	Homo sapiens	lung	adult	squamous cell lung cancer	not available	not available	not applicable	not available	not applicable	1	tissue	run 57	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20160308_Haura-SCC-PG-06S15101151-DIA.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD010357/20160308_Haura-SCC-PG-06S15101151-DIA.raw	1	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1001911	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Data-independent acquisition;AC=PRIDE:0000450	450 m/z	1080 m/z	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 58	Homo sapiens	lung	adult	squamous cell lung cancer	not available	not available	not applicable	not available	not applicable	1	tissue	run 58	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20160308_Haura-SCC-PG-06S15101166-DIA.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD010357/20160308_Haura-SCC-PG-06S15101166-DIA.raw	1	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1001911	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Data-independent acquisition;AC=PRIDE:0000450	450 m/z	1080 m/z	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 59	Homo sapiens	lung	adult	squamous cell lung cancer	not available	not available	not applicable	not available	not applicable	1	tissue	run 59	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20160308_Haura-SCC-PG-06S15101172-DIA.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD010357/20160308_Haura-SCC-PG-06S15101172-DIA.raw	1	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1001911	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Data-independent acquisition;AC=PRIDE:0000450	450 m/z	1080 m/z	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 60	Homo sapiens	lung	adult	squamous cell lung cancer	not available	not available	not applicable	not available	not applicable	1	tissue	run 60	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20160308_Haura-SCC-PG-06S15101181-DIA.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD010357/20160308_Haura-SCC-PG-06S15101181-DIA.raw	1	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1001911	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Data-independent acquisition;AC=PRIDE:0000450	450 m/z	1080 m/z	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 61	Homo sapiens	lung	adult	squamous cell lung cancer	not available	not available	not applicable	not available	not applicable	1	tissue	run 61	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20160309_Haura-SCC-PG-06S10347307-DIA.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD010357/20160309_Haura-SCC-PG-06S10347307-DIA.raw	1	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1001911	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Data-independent acquisition;AC=PRIDE:0000450	450 m/z	1080 m/z	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 62	Homo sapiens	lung	adult	squamous cell lung cancer	not available	not available	not applicable	not available	not applicable	1	tissue	run 62	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20160309_Haura-SCC-PG-06S15092278-DIA.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD010357/20160309_Haura-SCC-PG-06S15092278-DIA.raw	1	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1001911	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Data-independent acquisition;AC=PRIDE:0000450	450 m/z	1080 m/z	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 63	Homo sapiens	lung	adult	squamous cell lung cancer	not available	not available	not applicable	not available	not applicable	1	tissue	run 63	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20160309_Haura-SCC-PG-06S15092279-DIA.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD010357/20160309_Haura-SCC-PG-06S15092279-DIA.raw	1	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1001911	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Data-independent acquisition;AC=PRIDE:0000450	450 m/z	1080 m/z	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 64	Homo sapiens	lung	adult	squamous cell lung cancer	not available	not available	not applicable	not available	not applicable	1	tissue	run 64	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20160309_Haura-SCC-PG-06S15092285-DIA.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD010357/20160309_Haura-SCC-PG-06S15092285-DIA.raw	1	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1001911	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Data-independent acquisition;AC=PRIDE:0000450	450 m/z	1080 m/z	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 65	Homo sapiens	lung	adult	squamous cell lung cancer	not available	not available	not applicable	not available	not applicable	1	tissue	run 65	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20160309_Haura-SCC-PG-06S15092289-DIA.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD010357/20160309_Haura-SCC-PG-06S15092289-DIA.raw	1	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1001911	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Data-independent acquisition;AC=PRIDE:0000450	450 m/z	1080 m/z	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 66	Homo sapiens	lung	adult	squamous cell lung cancer	not available	not available	not applicable	not available	not applicable	1	tissue	run 66	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20160309_Haura-SCC-PG-06S15101120-DIA.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD010357/20160309_Haura-SCC-PG-06S15101120-DIA.raw	1	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1001911	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Data-independent acquisition;AC=PRIDE:0000450	450 m/z	1080 m/z	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 67	Homo sapiens	lung	adult	squamous cell lung cancer	not available	not available	not applicable	not available	not applicable	1	tissue	run 67	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20160309_Haura-SCC-PG-06S15101123-DIA.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD010357/20160309_Haura-SCC-PG-06S15101123-DIA.raw	1	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1001911	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Data-independent acquisition;AC=PRIDE:0000450	450 m/z	1080 m/z	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 68	Homo sapiens	lung	adult	squamous cell lung cancer	not available	not available	not applicable	not available	not applicable	1	tissue	run 68	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20160309_Haura-SCC-PG-06S15101137-DIA.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD010357/20160309_Haura-SCC-PG-06S15101137-DIA.raw	1	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1001911	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Data-independent acquisition;AC=PRIDE:0000450	450 m/z	1080 m/z	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 69	Homo sapiens	lung	adult	squamous cell lung cancer	not available	not available	not applicable	not available	not applicable	1	tissue	run 69	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20160309_Haura-SCC-PG-06S15101147-DIA.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD010357/20160309_Haura-SCC-PG-06S15101147-DIA.raw	1	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1001911	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Data-independent acquisition;AC=PRIDE:0000450	450 m/z	1080 m/z	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 70	Homo sapiens	lung	adult	squamous cell lung cancer	not available	not available	not applicable	not available	not applicable	1	tissue	run 70	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20160309_Haura-SCC-PG-06S15101155-DIA.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD010357/20160309_Haura-SCC-PG-06S15101155-DIA.raw	1	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1001911	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Data-independent acquisition;AC=PRIDE:0000450	450 m/z	1080 m/z	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 71	Homo sapiens	lung	adult	squamous cell lung cancer	not available	not available	not applicable	not available	not applicable	1	tissue	run 71	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20160309_Haura-SCC-PG-06S15101156-DIA.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD010357/20160309_Haura-SCC-PG-06S15101156-DIA.raw	1	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1001911	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Data-independent acquisition;AC=PRIDE:0000450	450 m/z	1080 m/z	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 72	Homo sapiens	lung	adult	squamous cell lung cancer	not available	not available	not applicable	not available	not applicable	1	tissue	run 72	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20160309_Haura-SCC-PG-06S15101186-DIA.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD010357/20160309_Haura-SCC-PG-06S15101186-DIA.raw	1	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1001911	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Data-independent acquisition;AC=PRIDE:0000450	450 m/z	1080 m/z	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 73	Homo sapiens	lung	adult	squamous cell lung cancer	not available	not available	not applicable	not available	not applicable	1	tissue	run 73	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20160310_Haura-SCC-PG-06S15092290-DIA.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD010357/20160310_Haura-SCC-PG-06S15092290-DIA.raw	1	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1001911	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Data-independent acquisition;AC=PRIDE:0000450	450 m/z	1080 m/z	v1.1.0	NT=ms-proteomics;VV=v1.1.0
