Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[disease]	Characteristics[age]	Characteristics[developmental stage]	Characteristics[sex]	Characteristics[cell line]	assay name	comment[label]	comment[file uri]	comment[biological replicate]	comment[fraction identifier]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[data file]	Material Type
Sample 2	Homo sapiens	not available	not available	not available	Fetus	Female	HEK293	run 11	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002395/20100609_Velos1_TaGe_SA_293_5.raw	1	5	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	6 ppm	20 ppm	20100609_Velos1_TaGe_SA_293_5.raw	cell
Sample 2	Homo sapiens	not available	not available	not available	Fetus	Female	HEK293	run 12	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002395/20100609_Velos1_TaGe_SA_293_6.raw	1	6	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	6 ppm	20 ppm	20100609_Velos1_TaGe_SA_293_6.raw	cell
Sample 3	Homo sapiens	not available	Glioblastoma	48Y	not available	Female	GAMG	run 13	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002395/20100609_Velos1_TaGe_SA_GAMG_1.raw	1	1	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	6 ppm	20 ppm	20100609_Velos1_TaGe_SA_GAMG_1.raw	cell
Sample 3	Homo sapiens	not available	Glioblastoma	48Y	not available	Female	GAMG	run 14	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002395/20100609_Velos1_TaGe_SA_GAMG_2.raw	1	2	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	6 ppm	20 ppm	20100609_Velos1_TaGe_SA_GAMG_2.raw	cell
Sample 3	Homo sapiens	not available	Glioblastoma	48Y	not available	Female	GAMG	run 15	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002395/20100609_Velos1_TaGe_SA_GAMG_3.raw	1	3	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	6 ppm	20 ppm	20100609_Velos1_TaGe_SA_GAMG_3.raw	cell
Sample 3	Homo sapiens	not available	Glioblastoma	48Y	not available	Female	GAMG	run 16	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002395/20100609_Velos1_TaGe_SA_GAMG_4.raw	1	4	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	6 ppm	20 ppm	20100609_Velos1_TaGe_SA_GAMG_4.raw	cell
Sample 3	Homo sapiens	not available	Glioblastoma	48Y	not available	Female	GAMG	run 17	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002395/20100609_Velos1_TaGe_SA_GAMG_5.raw	1	5	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	6 ppm	20 ppm	20100609_Velos1_TaGe_SA_GAMG_5.raw	cell
Sample 3	Homo sapiens	not available	Glioblastoma	48Y	not available	Female	GAMG	run 18	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002395/20100609_Velos1_TaGe_SA_GAMG_6.raw	1	6	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	6 ppm	20 ppm	20100609_Velos1_TaGe_SA_GAMG_6.raw	cell
Sample 4	Homo sapiens	not available	Human papillomavirus-related endocervical adenocarcinoma	30Y6M	not available	Female	HELA	run 19	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002395/20100611_Velos1_TaGe_SA_Hela_1.raw	1	1	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	6 ppm	20 ppm	20100611_Velos1_TaGe_SA_Hela_1.raw	cell
Sample 4	Homo sapiens	not available	Human papillomavirus-related endocervical adenocarcinoma	30Y6M	not available	Female	HELA	run 20	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002395/20100611_Velos1_TaGe_SA_Hela_2.raw	1	2	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	6 ppm	20 ppm	20100611_Velos1_TaGe_SA_Hela_2.raw	cell
Sample 4	Homo sapiens	not available	Human papillomavirus-related endocervical adenocarcinoma	30Y6M	not available	Female	HELA	run 21	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002395/20100611_Velos1_TaGe_SA_Hela_3.raw	1	3	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	6 ppm	20 ppm	20100611_Velos1_TaGe_SA_Hela_3.raw	cell
Sample 4	Homo sapiens	not available	Human papillomavirus-related endocervical adenocarcinoma	30Y6M	not available	Female	HELA	run 22	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002395/20100611_Velos1_TaGe_SA_Hela_4.raw	1	4	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	6 ppm	20 ppm	20100611_Velos1_TaGe_SA_Hela_4.raw	cell
Sample 4	Homo sapiens	not available	Human papillomavirus-related endocervical adenocarcinoma	30Y6M	not available	Female	HELA	run 23	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002395/20100611_Velos1_TaGe_SA_Hela_5.raw	1	5	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	6 ppm	20 ppm	20100611_Velos1_TaGe_SA_Hela_5.raw	cell
Sample 4	Homo sapiens	not available	Human papillomavirus-related endocervical adenocarcinoma	30Y6M	not available	Female	HELA	run 24	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002395/20100611_Velos1_TaGe_SA_Hela_6.raw	1	6	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	6 ppm	20 ppm	20100611_Velos1_TaGe_SA_Hela_6.raw	cell
Sample 5	Homo sapiens	not available	Hepatoblastoma	15Y	not available	Male	HepG2	run 25	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002395/20100611_Velos1_TaGe_SA_HepG2_1.raw	1	1	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	6 ppm	20 ppm	20100611_Velos1_TaGe_SA_HepG2_1.raw	cell
Sample 5	Homo sapiens	not available	Hepatoblastoma	15Y	not available	Male	HepG2	run 26	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002395/20100611_Velos1_TaGe_SA_HepG2_2.raw	1	2	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	6 ppm	20 ppm	20100611_Velos1_TaGe_SA_HepG2_2.raw	cell
Sample 5	Homo sapiens	not available	Hepatoblastoma	15Y	not available	Male	HepG2	run 27	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002395/20100611_Velos1_TaGe_SA_HepG2_3.raw	1	3	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	6 ppm	20 ppm	20100611_Velos1_TaGe_SA_HepG2_3.raw	cell
Sample 5	Homo sapiens	not available	Hepatoblastoma	15Y	not available	Male	HepG2	run 28	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002395/20100611_Velos1_TaGe_SA_HepG2_4.raw	1	4	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	6 ppm	20 ppm	20100611_Velos1_TaGe_SA_HepG2_4.raw	cell
Sample 5	Homo sapiens	not available	Hepatoblastoma	15Y	not available	Male	HepG2	run 29	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002395/20100611_Velos1_TaGe_SA_HepG2_5.raw	1	5	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	6 ppm	20 ppm	20100611_Velos1_TaGe_SA_HepG2_5.raw	cell
Sample 5	Homo sapiens	not available	Hepatoblastoma	15Y	not available	Male	HepG2	run 30	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002395/20100611_Velos1_TaGe_SA_HepG2_6.raw	1	6	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	6 ppm	20 ppm	20100611_Velos1_TaGe_SA_HepG2_6.raw	cell
Sample 6	Homo sapiens	not available	Childhood T acute lymphoblastic leukemia	14Y	not available	Male	Jurkat	run 31	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002395/20100614_Velos1_TaGe_SA_Jurkat_1.raw	1	1	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	6 ppm	20 ppm	20100614_Velos1_TaGe_SA_Jurkat_1.raw	cell
Sample 6	Homo sapiens	not available	Childhood T acute lymphoblastic leukemia	14Y	not available	Male	Jurkat	run 32	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002395/20100614_Velos1_TaGe_SA_Jurkat_2.raw	1	2	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	6 ppm	20 ppm	20100614_Velos1_TaGe_SA_Jurkat_2.raw	cell
Sample 6	Homo sapiens	not available	Childhood T acute lymphoblastic leukemia	14Y	not available	Male	Jurkat	run 33	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002395/20100614_Velos1_TaGe_SA_Jurkat_3.raw	1	3	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	6 ppm	20 ppm	20100614_Velos1_TaGe_SA_Jurkat_3.raw	cell
Sample 6	Homo sapiens	not available	Childhood T acute lymphoblastic leukemia	14Y	not available	Male	Jurkat	run 34	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002395/20100614_Velos1_TaGe_SA_Jurkat_4.raw	1	4	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	6 ppm	20 ppm	20100614_Velos1_TaGe_SA_Jurkat_4.raw	cell
Sample 6	Homo sapiens	not available	Childhood T acute lymphoblastic leukemia	14Y	not available	Male	Jurkat	run 35	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002395/20100614_Velos1_TaGe_SA_Jurkat_5.raw	1	5	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	6 ppm	20 ppm	20100614_Velos1_TaGe_SA_Jurkat_5.raw	cell
Sample 6	Homo sapiens	not available	Childhood T acute lymphoblastic leukemia	14Y	not available	Male	Jurkat	run 36	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002395/20100614_Velos1_TaGe_SA_Jurkat_6.raw	1	6	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	6 ppm	20 ppm	20100614_Velos1_TaGe_SA_Jurkat_6.raw	cell
Sample 7	Homo sapiens	not available	"Chronic myelogenous leukemia, BCR-ABL1 positive"	53Y	not available	Female	K562	run 37	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002395/20100614_Velos1_TaGe_SA_K562_1.raw	1	1	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	6 ppm	20 ppm	20100614_Velos1_TaGe_SA_K562_1.raw	cell
Sample 7	Homo sapiens	not available	"Chronic myelogenous leukemia, BCR-ABL1 positive"	53Y	not available	Female	K562	run 38	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002395/20100614_Velos1_TaGe_SA_K562_2.raw	1	2	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	6 ppm	20 ppm	20100614_Velos1_TaGe_SA_K562_2.raw	cell
Sample 7	Homo sapiens	not available	"Chronic myelogenous leukemia, BCR-ABL1 positive"	53Y	not available	Female	K562	run 39	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002395/20100614_Velos1_TaGe_SA_K562_3.raw	1	3	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	6 ppm	20 ppm	20100614_Velos1_TaGe_SA_K562_3.raw	cell
Sample 7	Homo sapiens	not available	"Chronic myelogenous leukemia, BCR-ABL1 positive"	53Y	not available	Female	K562	run 40	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002395/20100614_Velos1_TaGe_SA_K562_4.raw	1	4	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	6 ppm	20 ppm	20100614_Velos1_TaGe_SA_K562_4.raw	cell
