#file_format=SDRF
#version=v1.1.0
#template=ms-proteomics,crosslinking
#template_version=v1.1.0
source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[material type]	characteristics[biological replicate]	characteristics[enrichment process]	assay name	technology type	comment[proteomexchange accession number]	comment[proteomics data acquisition method]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[technical replicate]	comment[label]	comment[instrument]	comment[cross-linker]	comment[dissociation method]	comment[collision energy]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[crosslink enrichment method]
batch1_sample11	homo sapiens	not applicable	not applicable	recombinant protein	1	enrichment of cross-linked peptides	run_batch1_E1	proteomic profiling by mass spectrometry	PXD042173	Data-dependent acquisition	L1_20210811_MxR_FDR_firstbatch_DSSOplate_E1_remeasure.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/06/PXD042173/L1_20210811_MxR_FDR_firstbatch_DSSOplate_E1_remeasure.raw	11	1	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=DSSO;AC=XLMOD:02010;CL=yes;TA=K,S,T,Y,nterm;MH=54.01;ML=85.98	HCD	stepped 27+-6%	NT=Trypsin/P;AC=MS:1001313;NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	strong cation exchange chromatography
batch1_sample12	homo sapiens	not applicable	not applicable	recombinant protein	1	enrichment of cross-linked peptides	run_batch1_E5	proteomic profiling by mass spectrometry	PXD042173	Data-dependent acquisition	L1_20210811_MxR_FDR_firstbatch_DSSOplate_E5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/06/PXD042173/L1_20210811_MxR_FDR_firstbatch_DSSOplate_E5.raw	12	1	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=DSSO;AC=XLMOD:02010;CL=yes;TA=K,S,T,Y,nterm;MH=54.01;ML=85.98	HCD	stepped 27+-6%	NT=Trypsin/P;AC=MS:1001313;NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	strong cation exchange chromatography
batch1_sample13	homo sapiens	not applicable	not applicable	recombinant protein	1	enrichment of cross-linked peptides	run_batch1_E6	proteomic profiling by mass spectrometry	PXD042173	Data-dependent acquisition	L1_20210811_MxR_FDR_firstbatch_DSSOplate_E6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/06/PXD042173/L1_20210811_MxR_FDR_firstbatch_DSSOplate_E6.raw	13	1	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=DSSO;AC=XLMOD:02010;CL=yes;TA=K,S,T,Y,nterm;MH=54.01;ML=85.98	HCD	stepped 27+-6%	NT=Trypsin/P;AC=MS:1001313;NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	strong cation exchange chromatography
batch1_sample14	homo sapiens	not applicable	not applicable	recombinant protein	1	enrichment of cross-linked peptides	run_batch1_E7	proteomic profiling by mass spectrometry	PXD042173	Data-dependent acquisition	L1_20210811_MxR_FDR_firstbatch_DSSOplate_E7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/06/PXD042173/L1_20210811_MxR_FDR_firstbatch_DSSOplate_E7.raw	14	1	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=DSSO;AC=XLMOD:02010;CL=yes;TA=K,S,T,Y,nterm;MH=54.01;ML=85.98	HCD	stepped 27+-6%	NT=Trypsin/P;AC=MS:1001313;NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	strong cation exchange chromatography
batch1_sample15	homo sapiens	not applicable	not applicable	recombinant protein	1	enrichment of cross-linked peptides	run_batch1_E8	proteomic profiling by mass spectrometry	PXD042173	Data-dependent acquisition	L1_20210811_MxR_FDR_firstbatch_DSSOplate_E8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/06/PXD042173/L1_20210811_MxR_FDR_firstbatch_DSSOplate_E8.raw	15	1	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=DSSO;AC=XLMOD:02010;CL=yes;TA=K,S,T,Y,nterm;MH=54.01;ML=85.98	HCD	stepped 27+-6%	NT=Trypsin/P;AC=MS:1001313;NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	strong cation exchange chromatography
batch2_sample1	homo sapiens	not applicable	not applicable	recombinant protein	2	enrichment of cross-linked peptides	run_batch2_B1_B2	proteomic profiling by mass spectrometry	PXD042173	Data-dependent acquisition	L1_20211004_MxR_secondbatch_DSSOplate_B1_B2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/06/PXD042173/L1_20211004_MxR_secondbatch_DSSOplate_B1_B2.raw	1	1	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=DSSO;AC=XLMOD:02010;CL=yes;TA=K,S,T,Y,nterm;MH=54.01;ML=85.98	HCD	stepped 27+-6%	NT=Trypsin/P;AC=MS:1001313;NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	strong cation exchange chromatography
batch2_sample2	homo sapiens	not applicable	not applicable	recombinant protein	2	enrichment of cross-linked peptides	run_batch2_B3_B4	proteomic profiling by mass spectrometry	PXD042173	Data-dependent acquisition	L1_20211004_MxR_secondbatch_DSSOplate_B3_B4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/06/PXD042173/L1_20211004_MxR_secondbatch_DSSOplate_B3_B4.raw	2	1	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=DSSO;AC=XLMOD:02010;CL=yes;TA=K,S,T,Y,nterm;MH=54.01;ML=85.98	HCD	stepped 27+-6%	NT=Trypsin/P;AC=MS:1001313;NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	strong cation exchange chromatography
batch2_sample3	homo sapiens	not applicable	not applicable	recombinant protein	2	enrichment of cross-linked peptides	run_batch2_B5_B6	proteomic profiling by mass spectrometry	PXD042173	Data-dependent acquisition	L1_20211004_MxR_secondbatch_DSSOplate_B5_B6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/06/PXD042173/L1_20211004_MxR_secondbatch_DSSOplate_B5_B6.raw	3	1	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=DSSO;AC=XLMOD:02010;CL=yes;TA=K,S,T,Y,nterm;MH=54.01;ML=85.98	HCD	stepped 27+-6%	NT=Trypsin/P;AC=MS:1001313;NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	strong cation exchange chromatography
batch2_sample4	homo sapiens	not applicable	not applicable	recombinant protein	2	enrichment of cross-linked peptides	run_batch2_B10	proteomic profiling by mass spectrometry	PXD042173	Data-dependent acquisition	L1_20211004_MxR_secondbatch_DSSOplate_B10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/06/PXD042173/L1_20211004_MxR_secondbatch_DSSOplate_B10.raw	4	1	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=DSSO;AC=XLMOD:02010;CL=yes;TA=K,S,T,Y,nterm;MH=54.01;ML=85.98	HCD	stepped 27+-6%	NT=Trypsin/P;AC=MS:1001313;NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	strong cation exchange chromatography
batch2_sample5	homo sapiens	not applicable	not applicable	recombinant protein	2	enrichment of cross-linked peptides	run_batch2_B12	proteomic profiling by mass spectrometry	PXD042173	Data-dependent acquisition	L1_20211004_MxR_secondbatch_DSSOplate_B12.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/06/PXD042173/L1_20211004_MxR_secondbatch_DSSOplate_B12.raw	5	1	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=DSSO;AC=XLMOD:02010;CL=yes;TA=K,S,T,Y,nterm;MH=54.01;ML=85.98	HCD	stepped 27+-6%	NT=Trypsin/P;AC=MS:1001313;NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	strong cation exchange chromatography
batch5_sample1	homo sapiens	not applicable	not applicable	recombinant protein	5	enrichment of cross-linked peptides	run_batch5_B1_B2	proteomic profiling by mass spectrometry	PXD042173	Data-dependent acquisition	L1_20240412_MxR_FDR_fifthbatch_DSSO_B1_B2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/06/PXD042173/L1_20240412_MxR_FDR_fifthbatch_DSSO_B1_B2.raw	1	1	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=DSSO;AC=XLMOD:02010;CL=yes;TA=K,S,T,Y,nterm;MH=54.01;ML=85.98	HCD	stepped 27+-6%	NT=Trypsin/P;AC=MS:1001313;NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	strong cation exchange chromatography
batch5_sample2	homo sapiens	not applicable	not applicable	recombinant protein	5	enrichment of cross-linked peptides	run_batch5_B3_B4	proteomic profiling by mass spectrometry	PXD042173	Data-dependent acquisition	L1_20240412_MxR_FDR_fifthbatch_DSSO_B3_B4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/06/PXD042173/L1_20240412_MxR_FDR_fifthbatch_DSSO_B3_B4.raw	2	1	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=DSSO;AC=XLMOD:02010;CL=yes;TA=K,S,T,Y,nterm;MH=54.01;ML=85.98	HCD	stepped 27+-6%	NT=Trypsin/P;AC=MS:1001313;NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	strong cation exchange chromatography
batch5_sample3	homo sapiens	not applicable	not applicable	recombinant protein	5	enrichment of cross-linked peptides	run_batch5_B5_B6	proteomic profiling by mass spectrometry	PXD042173	Data-dependent acquisition	L1_20240412_MxR_FDR_fifthbatch_DSSO_B5_B6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/06/PXD042173/L1_20240412_MxR_FDR_fifthbatch_DSSO_B5_B6.raw	3	1	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=DSSO;AC=XLMOD:02010;CL=yes;TA=K,S,T,Y,nterm;MH=54.01;ML=85.98	HCD	stepped 27+-6%	NT=Trypsin/P;AC=MS:1001313;NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	strong cation exchange chromatography
batch5_sample4	homo sapiens	not applicable	not applicable	recombinant protein	5	enrichment of cross-linked peptides	run_batch5_B7_B8	proteomic profiling by mass spectrometry	PXD042173	Data-dependent acquisition	L1_20240412_MxR_FDR_fifthbatch_DSSO_B7_B8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/06/PXD042173/L1_20240412_MxR_FDR_fifthbatch_DSSO_B7_B8.raw	4	1	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=DSSO;AC=XLMOD:02010;CL=yes;TA=K,S,T,Y,nterm;MH=54.01;ML=85.98	HCD	stepped 27+-6%	NT=Trypsin/P;AC=MS:1001313;NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	strong cation exchange chromatography
batch5_sample5	homo sapiens	not applicable	not applicable	recombinant protein	5	enrichment of cross-linked peptides	run_batch5_B9_B10	proteomic profiling by mass spectrometry	PXD042173	Data-dependent acquisition	L1_20240412_MxR_FDR_fifthbatch_DSSO_B9_B10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/06/PXD042173/L1_20240412_MxR_FDR_fifthbatch_DSSO_B9_B10.raw	5	1	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=DSSO;AC=XLMOD:02010;CL=yes;TA=K,S,T,Y,nterm;MH=54.01;ML=85.98	HCD	stepped 27+-6%	NT=Trypsin/P;AC=MS:1001313;NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	strong cation exchange chromatography
batch5_sample6	homo sapiens	not applicable	not applicable	recombinant protein	5	enrichment of cross-linked peptides	run_batch5_C1	proteomic profiling by mass spectrometry	PXD042173	Data-dependent acquisition	L1_20240412_MxR_FDR_fifthbatch_DSSO_C1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/06/PXD042173/L1_20240412_MxR_FDR_fifthbatch_DSSO_C1.raw	6	1	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=DSSO;AC=XLMOD:02010;CL=yes;TA=K,S,T,Y,nterm;MH=54.01;ML=85.98	HCD	stepped 27+-6%	NT=Trypsin/P;AC=MS:1001313;NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	strong cation exchange chromatography
batch5_sample7	homo sapiens	not applicable	not applicable	recombinant protein	5	enrichment of cross-linked peptides	run_batch5_C2	proteomic profiling by mass spectrometry	PXD042173	Data-dependent acquisition	L1_20240412_MxR_FDR_fifthbatch_DSSO_C2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/06/PXD042173/L1_20240412_MxR_FDR_fifthbatch_DSSO_C2.raw	7	1	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=DSSO;AC=XLMOD:02010;CL=yes;TA=K,S,T,Y,nterm;MH=54.01;ML=85.98	HCD	stepped 27+-6%	NT=Trypsin/P;AC=MS:1001313;NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	strong cation exchange chromatography
batch5_sample8	homo sapiens	not applicable	not applicable	recombinant protein	5	enrichment of cross-linked peptides	run_batch5_C4	proteomic profiling by mass spectrometry	PXD042173	Data-dependent acquisition	L1_20240412_MxR_FDR_fifthbatch_DSSO_C4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/06/PXD042173/L1_20240412_MxR_FDR_fifthbatch_DSSO_C4.raw	8	1	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=DSSO;AC=XLMOD:02010;CL=yes;TA=K,S,T,Y,nterm;MH=54.01;ML=85.98	HCD	stepped 27+-6%	NT=Trypsin/P;AC=MS:1001313;NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	strong cation exchange chromatography
batch5_sample9	homo sapiens	not applicable	not applicable	recombinant protein	5	enrichment of cross-linked peptides	run_batch5_C5	proteomic profiling by mass spectrometry	PXD042173	Data-dependent acquisition	L1_20240412_MxR_FDR_fifthbatch_DSSO_C5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/06/PXD042173/L1_20240412_MxR_FDR_fifthbatch_DSSO_C5.raw	9	1	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=DSSO;AC=XLMOD:02010;CL=yes;TA=K,S,T,Y,nterm;MH=54.01;ML=85.98	HCD	stepped 27+-6%	NT=Trypsin/P;AC=MS:1001313;NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	strong cation exchange chromatography
batch5_sample10	homo sapiens	not applicable	not applicable	recombinant protein	5	enrichment of cross-linked peptides	run_batch5_C7	proteomic profiling by mass spectrometry	PXD042173	Data-dependent acquisition	L1_20240412_MxR_FDR_fifthbatch_DSSO_C7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/06/PXD042173/L1_20240412_MxR_FDR_fifthbatch_DSSO_C7.raw	10	1	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=DSSO;AC=XLMOD:02010;CL=yes;TA=K,S,T,Y,nterm;MH=54.01;ML=85.98	HCD	stepped 27+-6%	NT=Trypsin/P;AC=MS:1001313;NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	strong cation exchange chromatography
