#file_format=SDRF
#version=v1.1.0
#template=ms-proteomics,version=v1.1.0
source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[age]	characteristics[ancestry category]	characteristics[sex]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomexchange accession number]	comment[proteomics data acquisition method]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[technical replicate]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[cleavage agent details]	comment[label]	comment[precursor mass tolerance]	comment[fragment mass tolerance]
Sample 1	mus musculus	Lungs	not applicable	24M	not applicable	not available	not available	1	run 11	proteomic profiling by mass spectrometry	PXD012307	NT=Data-dependent acquisition;AC=PRIDE:0000627	20131023_EXQ8_HeSc_SA_FR1_old_14_3.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD012307/20131023_EXQ8_HeSc_SA_FR1_old_14_3.raw	7	1	AC=MS:1001911;NT=Q Exactive	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Oxidation;MT=Variable;TA=P;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	label free	4.5 ppm	20 ppm
Sample 1	mus musculus	Lungs	not applicable	24M	not applicable	not available	not available	1	run 12	proteomic profiling by mass spectrometry	PXD012307	NT=Data-dependent acquisition;AC=PRIDE:0000627	20131023_EXQ8_HeSc_SA_FR1_old_14_4.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD012307/20131023_EXQ8_HeSc_SA_FR1_old_14_4.raw	8	1	AC=MS:1001911;NT=Q Exactive	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Oxidation;MT=Variable;TA=P;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	label free	4.5 ppm	20 ppm
Sample 1	mus musculus	Lungs	not applicable	3M	not applicable	not available	not available	1	run 13	proteomic profiling by mass spectrometry	PXD012307	NT=Data-dependent acquisition;AC=PRIDE:0000627	20131023_EXQ8_HeSc_SA_FR1_young_11_1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD012307/20131023_EXQ8_HeSc_SA_FR1_young_11_1.raw	5	1	AC=MS:1001911;NT=Q Exactive	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Oxidation;MT=Variable;TA=P;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	label free	4.5 ppm	20 ppm
Sample 1	mus musculus	Lungs	not applicable	3M	not applicable	not available	not available	1	run 14	proteomic profiling by mass spectrometry	PXD012307	NT=Data-dependent acquisition;AC=PRIDE:0000627	20131023_EXQ8_HeSc_SA_FR1_young_11_2.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD012307/20131023_EXQ8_HeSc_SA_FR1_young_11_2.raw	6	1	AC=MS:1001911;NT=Q Exactive	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Oxidation;MT=Variable;TA=P;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	label free	4.5 ppm	20 ppm
Sample 1	mus musculus	Lungs	not applicable	3M	not applicable	not available	not available	1	run 15	proteomic profiling by mass spectrometry	PXD012307	NT=Data-dependent acquisition;AC=PRIDE:0000627	20131023_EXQ8_HeSc_SA_FR1_young_11_3.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD012307/20131023_EXQ8_HeSc_SA_FR1_young_11_3.raw	7	1	AC=MS:1001911;NT=Q Exactive	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Oxidation;MT=Variable;TA=P;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	label free	4.5 ppm	20 ppm
Sample 1	mus musculus	Lungs	not applicable	3M	not applicable	not available	not available	1	run 16	proteomic profiling by mass spectrometry	PXD012307	NT=Data-dependent acquisition;AC=PRIDE:0000627	20131023_EXQ8_HeSc_SA_FR1_young_11_4.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD012307/20131023_EXQ8_HeSc_SA_FR1_young_11_4.raw	8	1	AC=MS:1001911;NT=Q Exactive	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Oxidation;MT=Variable;TA=P;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	label free	4.5 ppm	20 ppm
Sample 1	mus musculus	Lungs	not applicable	24M	not applicable	not available	not available	1	run 17	proteomic profiling by mass spectrometry	PXD012307	NT=Data-dependent acquisition;AC=PRIDE:0000627	20131023_EXQ8_HeSc_SA_FR2_old_14_1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD012307/20131023_EXQ8_HeSc_SA_FR2_old_14_1.raw	9	1	AC=MS:1001911;NT=Q Exactive	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Oxidation;MT=Variable;TA=P;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	label free	4.5 ppm	20 ppm
Sample 1	mus musculus	Lungs	not applicable	24M	not applicable	not available	not available	1	run 18	proteomic profiling by mass spectrometry	PXD012307	NT=Data-dependent acquisition;AC=PRIDE:0000627	20131023_EXQ8_HeSc_SA_FR2_old_14_2.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD012307/20131023_EXQ8_HeSc_SA_FR2_old_14_2.raw	10	1	AC=MS:1001911;NT=Q Exactive	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Oxidation;MT=Variable;TA=P;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	label free	4.5 ppm	20 ppm
Sample 1	mus musculus	Lungs	not applicable	24M	not applicable	not available	not available	1	run 19	proteomic profiling by mass spectrometry	PXD012307	NT=Data-dependent acquisition;AC=PRIDE:0000627	20131023_EXQ8_HeSc_SA_FR2_old_14_3.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD012307/20131023_EXQ8_HeSc_SA_FR2_old_14_3.raw	11	1	AC=MS:1001911;NT=Q Exactive	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Oxidation;MT=Variable;TA=P;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	label free	4.5 ppm	20 ppm
Sample 1	mus musculus	Lungs	not applicable	24M	not applicable	not available	not available	1	run 20	proteomic profiling by mass spectrometry	PXD012307	NT=Data-dependent acquisition;AC=PRIDE:0000627	20131023_EXQ8_HeSc_SA_FR2_old_14_4.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD012307/20131023_EXQ8_HeSc_SA_FR2_old_14_4.raw	12	1	AC=MS:1001911;NT=Q Exactive	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Oxidation;MT=Variable;TA=P;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	label free	4.5 ppm	20 ppm
Sample 1	mus musculus	Lungs	not applicable	3M	not applicable	not available	not available	1	run 21	proteomic profiling by mass spectrometry	PXD012307	NT=Data-dependent acquisition;AC=PRIDE:0000627	20131023_EXQ8_HeSc_SA_FR2_young_11_1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD012307/20131023_EXQ8_HeSc_SA_FR2_young_11_1.raw	9	1	AC=MS:1001911;NT=Q Exactive	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Oxidation;MT=Variable;TA=P;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	label free	4.5 ppm	20 ppm
Sample 1	mus musculus	Lungs	not applicable	3M	not applicable	not available	not available	1	run 22	proteomic profiling by mass spectrometry	PXD012307	NT=Data-dependent acquisition;AC=PRIDE:0000627	20131023_EXQ8_HeSc_SA_FR2_young_11_2.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD012307/20131023_EXQ8_HeSc_SA_FR2_young_11_2.raw	10	1	AC=MS:1001911;NT=Q Exactive	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Oxidation;MT=Variable;TA=P;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	label free	4.5 ppm	20 ppm
Sample 1	mus musculus	Lungs	not applicable	3M	not applicable	not available	not available	1	run 23	proteomic profiling by mass spectrometry	PXD012307	NT=Data-dependent acquisition;AC=PRIDE:0000627	20131023_EXQ8_HeSc_SA_FR2_young_11_3.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD012307/20131023_EXQ8_HeSc_SA_FR2_young_11_3.raw	11	1	AC=MS:1001911;NT=Q Exactive	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Oxidation;MT=Variable;TA=P;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	label free	4.5 ppm	20 ppm
Sample 1	mus musculus	Lungs	not applicable	3M	not applicable	not available	not available	1	run 24	proteomic profiling by mass spectrometry	PXD012307	NT=Data-dependent acquisition;AC=PRIDE:0000627	20131023_EXQ8_HeSc_SA_FR2_young_11_4.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD012307/20131023_EXQ8_HeSc_SA_FR2_young_11_4.raw	12	1	AC=MS:1001911;NT=Q Exactive	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Oxidation;MT=Variable;TA=P;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	label free	4.5 ppm	20 ppm
Sample 1	mus musculus	Lungs	not applicable	24M	not applicable	not available	not available	1	run 25	proteomic profiling by mass spectrometry	PXD012307	NT=Data-dependent acquisition;AC=PRIDE:0000627	20131023_EXQ8_HeSc_SA_FR3_old_14_1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD012307/20131023_EXQ8_HeSc_SA_FR3_old_14_1.raw	13	1	AC=MS:1001911;NT=Q Exactive	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Oxidation;MT=Variable;TA=P;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	label free	4.5 ppm	20 ppm
Sample 1	mus musculus	Lungs	not applicable	24M	not applicable	not available	not available	1	run 26	proteomic profiling by mass spectrometry	PXD012307	NT=Data-dependent acquisition;AC=PRIDE:0000627	20131023_EXQ8_HeSc_SA_FR3_old_14_2.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD012307/20131023_EXQ8_HeSc_SA_FR3_old_14_2.raw	14	1	AC=MS:1001911;NT=Q Exactive	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Oxidation;MT=Variable;TA=P;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	label free	4.5 ppm	20 ppm
Sample 1	mus musculus	Lungs	not applicable	24M	not applicable	not available	not available	1	run 27	proteomic profiling by mass spectrometry	PXD012307	NT=Data-dependent acquisition;AC=PRIDE:0000627	20131023_EXQ8_HeSc_SA_FR3_old_14_3.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD012307/20131023_EXQ8_HeSc_SA_FR3_old_14_3.raw	15	1	AC=MS:1001911;NT=Q Exactive	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Oxidation;MT=Variable;TA=P;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	label free	4.5 ppm	20 ppm
Sample 1	mus musculus	Lungs	not applicable	24M	not applicable	not available	not available	1	run 28	proteomic profiling by mass spectrometry	PXD012307	NT=Data-dependent acquisition;AC=PRIDE:0000627	20131023_EXQ8_HeSc_SA_FR3_old_14_4.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD012307/20131023_EXQ8_HeSc_SA_FR3_old_14_4.raw	16	1	AC=MS:1001911;NT=Q Exactive	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Oxidation;MT=Variable;TA=P;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	label free	4.5 ppm	20 ppm
Sample 1	mus musculus	Lungs	not applicable	3M	not applicable	not available	not available	1	run 29	proteomic profiling by mass spectrometry	PXD012307	NT=Data-dependent acquisition;AC=PRIDE:0000627	20131023_EXQ8_HeSc_SA_FR3_young_11_1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD012307/20131023_EXQ8_HeSc_SA_FR3_young_11_1.raw	13	1	AC=MS:1001911;NT=Q Exactive	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Oxidation;MT=Variable;TA=P;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	label free	4.5 ppm	20 ppm
Sample 1	mus musculus	Lungs	not applicable	3M	not applicable	not available	not available	1	run 30	proteomic profiling by mass spectrometry	PXD012307	NT=Data-dependent acquisition;AC=PRIDE:0000627	20131023_EXQ8_HeSc_SA_FR3_young_11_2.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD012307/20131023_EXQ8_HeSc_SA_FR3_young_11_2.raw	14	1	AC=MS:1001911;NT=Q Exactive	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Oxidation;MT=Variable;TA=P;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	label free	4.5 ppm	20 ppm
Sample 1	mus musculus	Lungs	not applicable	3M	not applicable	not available	not available	1	run 31	proteomic profiling by mass spectrometry	PXD012307	NT=Data-dependent acquisition;AC=PRIDE:0000627	20131023_EXQ8_HeSc_SA_FR3_young_11_3.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD012307/20131023_EXQ8_HeSc_SA_FR3_young_11_3.raw	15	1	AC=MS:1001911;NT=Q Exactive	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Oxidation;MT=Variable;TA=P;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	label free	4.5 ppm	20 ppm
Sample 1	mus musculus	Lungs	not applicable	3M	not applicable	not available	not available	1	run 32	proteomic profiling by mass spectrometry	PXD012307	NT=Data-dependent acquisition;AC=PRIDE:0000627	20131023_EXQ8_HeSc_SA_FR3_young_11_4.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD012307/20131023_EXQ8_HeSc_SA_FR3_young_11_4.raw	16	1	AC=MS:1001911;NT=Q Exactive	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Oxidation;MT=Variable;TA=P;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	label free	4.5 ppm	20 ppm
