source name	characteristics[organism]	characteristics[organism part]	characteristics[developmental stage]	characteristics[cell type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[disease]	characteristics[biological replicate]	characteristics[cell line]	characteristics[individual]	characteristics[material type]	assay name	technology type	comment[label]	comment[technical replicate]	comment[fraction identifier]	comment[file uri]	comment[instrument]	comment[cleavage agent details]	comment[dissociation method]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[proteomics data acquisition method]	comment[data file]	comment[sdrf version]	comment[sdrf template]	factor value[cell line]
Sample 3	Homo sapiens	breast	adult	epithelial	Black	51Y	female	breast carcinoma	1	MDAMB468	not available	cell	run 11	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q01531.raw	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Data-dependent acquisition;AC=PRIDE:0000627	q01531.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0	MDAMB468
Sample 3	Homo sapiens	breast	adult	epithelial	Black	51Y	female	breast carcinoma	1	MDAMB468	not available	cell	run 12	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	1	2	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q01532.raw	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Data-dependent acquisition;AC=PRIDE:0000627	q01532.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0	MDAMB468
Sample 3	Homo sapiens	breast	adult	epithelial	Black	51Y	female	breast carcinoma	1	MDAMB468	not available	cell	run 13	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	1	3	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q01533.raw	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Data-dependent acquisition;AC=PRIDE:0000627	q01533.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0	MDAMB468
Sample 3	Homo sapiens	breast	adult	epithelial	Black	51Y	female	breast carcinoma	1	MDAMB468	not available	cell	run 14	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	1	4	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q01534.raw	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Data-dependent acquisition;AC=PRIDE:0000627	q01534.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0	MDAMB468
Sample 3	Homo sapiens	breast	adult	epithelial	Black	51Y	female	breast carcinoma	1	MDAMB468	not available	cell	run 15	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	1	5	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q01535.raw	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Data-dependent acquisition;AC=PRIDE:0000627	q01535.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0	MDAMB468
Sample 4	Homo sapiens	breast	adult	epithelial	Caucasian	36Y	female	fibrocystic disease	1	MCF10A	not available	cell	run 16	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q01538.raw	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Data-dependent acquisition;AC=PRIDE:0000627	q01538.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0	MCF10A
Sample 4	Homo sapiens	breast	adult	epithelial	Caucasian	36Y	female	fibrocystic disease	1	MCF10A	not available	cell	run 17	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	1	2	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q01551.raw	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Data-dependent acquisition;AC=PRIDE:0000627	q01551.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0	MCF10A
Sample 4	Homo sapiens	breast	adult	epithelial	Caucasian	36Y	female	fibrocystic disease	1	MCF10A	not available	cell	run 18	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	1	3	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q01552.raw	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Data-dependent acquisition;AC=PRIDE:0000627	q01552.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0	MCF10A
Sample 4	Homo sapiens	breast	adult	epithelial	Caucasian	36Y	female	fibrocystic disease	1	MCF10A	not available	cell	run 19	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	1	4	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q01553.raw	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Data-dependent acquisition;AC=PRIDE:0000627	q01553.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0	MCF10A
Sample 4	Homo sapiens	breast	adult	epithelial	Caucasian	36Y	female	fibrocystic disease	1	MCF10A	not available	cell	run 20	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	1	5	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q01554.raw	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Data-dependent acquisition;AC=PRIDE:0000627	q01554.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0	MCF10A
Sample 5	Homo sapiens	breast	adult	epithelial	Caucasian	51Y	female	breast carcinoma	1	MDAMB231	not available	cell	run 21	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q01556.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Data-dependent acquisition;AC=PRIDE:0000627	q01556.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0	MDAMB231
Sample 5	Homo sapiens	breast	adult	epithelial	Caucasian	51Y	female	breast carcinoma	1	MDAMB231	not available	cell	run 22	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	1	2	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q01557.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Data-dependent acquisition;AC=PRIDE:0000627	q01557.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0	MDAMB231
Sample 5	Homo sapiens	breast	adult	epithelial	Caucasian	51Y	female	breast carcinoma	1	MDAMB231	not available	cell	run 23	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	1	3	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q01558.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Data-dependent acquisition;AC=PRIDE:0000627	q01558.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0	MDAMB231
Sample 5	Homo sapiens	breast	adult	epithelial	Caucasian	51Y	female	breast carcinoma	1	MDAMB231	not available	cell	run 24	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	1	4	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q01559.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Data-dependent acquisition;AC=PRIDE:0000627	q01559.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0	MDAMB231
Sample 5	Homo sapiens	breast	adult	epithelial	Caucasian	51Y	female	breast carcinoma	1	MDAMB231	not available	cell	run 25	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	1	5	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q01560.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Data-dependent acquisition;AC=PRIDE:0000627	q01560.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0	MDAMB231
Sample 6	Homo sapiens	breast	adult	epithelial	Caucasian	48Y	female	metastatic carcinoma	1	MDAMB453	not available	cell	run 26	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q01566.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Data-dependent acquisition;AC=PRIDE:0000627	q01566.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0	MDAMB453
Sample 6	Homo sapiens	breast	adult	epithelial	Caucasian	48Y	female	metastatic carcinoma	1	MDAMB453	not available	cell	run 27	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	1	2	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q01567.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Data-dependent acquisition;AC=PRIDE:0000627	q01567.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0	MDAMB453
Sample 6	Homo sapiens	breast	adult	epithelial	Caucasian	48Y	female	metastatic carcinoma	1	MDAMB453	not available	cell	run 28	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	1	3	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q01568.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Data-dependent acquisition;AC=PRIDE:0000627	q01568.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0	MDAMB453
Sample 6	Homo sapiens	breast	adult	epithelial	Caucasian	48Y	female	metastatic carcinoma	1	MDAMB453	not available	cell	run 29	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	1	4	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q01569.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Data-dependent acquisition;AC=PRIDE:0000627	q01569.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0	MDAMB453
Sample 6	Homo sapiens	breast	adult	epithelial	Caucasian	48Y	female	metastatic carcinoma	1	MDAMB453	not available	cell	run 30	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	1	5	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q01570.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Data-dependent acquisition;AC=PRIDE:0000627	q01570.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0	MDAMB453
Sample 7	Homo sapiens	breast	adult	epithelial	Black	51Y	female	breast carcinoma	1	MDAMB468	not available	cell	run 31	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q01609.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Data-dependent acquisition;AC=PRIDE:0000627	q01609.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0	MDAMB468
Sample 7	Homo sapiens	breast	adult	epithelial	Black	51Y	female	breast carcinoma	1	MDAMB468	not available	cell	run 32	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	1	2	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q01610.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Data-dependent acquisition;AC=PRIDE:0000627	q01610.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0	MDAMB468
Sample 7	Homo sapiens	breast	adult	epithelial	Black	51Y	female	breast carcinoma	1	MDAMB468	not available	cell	run 33	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	1	3	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q01611.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Data-dependent acquisition;AC=PRIDE:0000627	q01611.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0	MDAMB468
Sample 7	Homo sapiens	breast	adult	epithelial	Black	51Y	female	breast carcinoma	1	MDAMB468	not available	cell	run 34	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	1	4	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q01612.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Data-dependent acquisition;AC=PRIDE:0000627	q01612.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0	MDAMB468
Sample 7	Homo sapiens	breast	adult	epithelial	Black	51Y	female	breast carcinoma	1	MDAMB468	not available	cell	run 35	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	1	5	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q01613.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Data-dependent acquisition;AC=PRIDE:0000627	q01613.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0	MDAMB468
