source name	characteristics[organism]	characteristics[organism part]	characteristics[cell line]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[disease]	characteristics[cell type]	characteristics[developmental stage]	characteristics[enrichment process]	characteristics[biological replicate]	characteristics[synthetic peptide]	assay name	technology type	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[label]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[enrichment method]	comment[data file]	factor value[enrichment method]	factor value[synthetic peptide]
Sample 37	Homo sapiens	not applicable	HeLa	African American	31Y	Female	epithelial cervix carcinoma	epithelial	adult	enrichment of phosphorylated Protein	1	not synthetic	run 37	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/Hela_TiO2_01.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	TiO2	Hela_TiO2_01.raw	TiO2	not synthetic
Sample 283	Homo sapiens	not applicable	HeLa	African American	31Y	Female	epithelial cervix carcinoma	epithelial	adult	enrichment of phosphorylated Protein	1	not synthetic	run 283	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/Hela_TiO2_02.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	TiO2	Hela_TiO2_02.raw	TiO2	not synthetic
Sample 163	Homo sapiens	not applicable	HeLa	African American	31Y	Female	epithelial cervix carcinoma	epithelial	adult	enrichment of phosphorylated Protein	1	not synthetic	run 163	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/Hela_TiO2_03.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	TiO2	Hela_TiO2_03.raw	TiO2	not synthetic
Sample 172	Homo sapiens	not applicable	HeLa	African American	31Y	Female	epithelial cervix carcinoma	epithelial	adult	enrichment of phosphorylated Protein	1	not synthetic	run 172	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/Hela_TiO2_04.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	TiO2	Hela_TiO2_04.raw	TiO2	not synthetic
Sample 12	Homo sapiens	not applicable	HeLa	African American	31Y	Female	epithelial cervix carcinoma	epithelial	adult	enrichment of phosphorylated Protein	1	not synthetic	run 12	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/Hela_TiO2_05.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	TiO2	Hela_TiO2_05.raw	TiO2	not synthetic
Sample 262	Homo sapiens	not applicable	HeLa	African American	31Y	Female	epithelial cervix carcinoma	epithelial	adult	enrichment of phosphorylated Protein	1	not synthetic	run 262	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/Hela_TiO2_06.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	TiO2	Hela_TiO2_06.raw	TiO2	not synthetic
Sample 61	Homo sapiens	not applicable	HeLa	African American	31Y	Female	epithelial cervix carcinoma	epithelial	adult	enrichment of phosphorylated Protein	1	not synthetic	run 61	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/Hela_TiO2_07.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	TiO2	Hela_TiO2_07.raw	TiO2	not synthetic
Sample 84	Homo sapiens	not applicable	HeLa	African American	31Y	Female	epithelial cervix carcinoma	epithelial	adult	enrichment of phosphorylated Protein	1	not synthetic	run 84	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/Hela_TiO2_08.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	TiO2	Hela_TiO2_08.raw	TiO2	not synthetic
Sample 189	Homo sapiens	not applicable	HeLa	African American	31Y	Female	epithelial cervix carcinoma	epithelial	adult	enrichment of phosphorylated Protein	1	not synthetic	run 189	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/Hela_TiO2_09.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	TiO2	Hela_TiO2_09.raw	TiO2	not synthetic
Sample 103	Homo sapiens	not applicable	HeLa	African American	31Y	Female	epithelial cervix carcinoma	epithelial	adult	enrichment of phosphorylated Protein	1	not synthetic	run 103	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/Hela_TiO2_10.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	TiO2	Hela_TiO2_10.raw	TiO2	not synthetic
Sample 266	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	enrichment of phosphorylated Protein	1	synthetic	run 266	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/lib01_direct.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	not applicable	lib01_direct.raw	not applicable	synthetic
Sample 155	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	enrichment of phosphorylated Protein	1	synthetic	run 155	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/lib01_IMAC.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	IMAC	lib01_IMAC.raw	IMAC	synthetic
Sample 16	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	enrichment of phosphorylated Protein	1	synthetic	run 16	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/lib01_TiO2.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	TiO2	lib01_TiO2.raw	TiO2	synthetic
Sample 176	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	enrichment of phosphorylated Protein	1	synthetic	run 176	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/lib02_direct.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	not applicable	lib02_direct.raw	not applicable	synthetic
Sample 205	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	enrichment of phosphorylated Protein	1	synthetic	run 205	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/lib02_IMAC.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	IMAC	lib02_IMAC.raw	IMAC	synthetic
Sample 129	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	enrichment of phosphorylated Protein	1	synthetic	run 129	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/lib02_TiO2.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	TiO2	lib02_TiO2.raw	TiO2	synthetic
Sample 273	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	enrichment of phosphorylated Protein	1	synthetic	run 273	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/lib03_direct.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	not applicable	lib03_direct.raw	not applicable	synthetic
Sample 289	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	enrichment of phosphorylated Protein	1	synthetic	run 289	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/lib03_IMAC.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	IMAC	lib03_IMAC.raw	IMAC	synthetic
Sample 153	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	enrichment of phosphorylated Protein	1	synthetic	run 153	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/lib03_TiO2.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	TiO2	lib03_TiO2.raw	TiO2	synthetic
Sample 1	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	enrichment of phosphorylated Protein	1	synthetic	run 1	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/lib04_direct.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	not applicable	lib04_direct.raw	not applicable	synthetic
Sample 66	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	enrichment of phosphorylated Protein	1	synthetic	run 66	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/lib04_IMAC.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	IMAC	lib04_IMAC.raw	IMAC	synthetic
Sample 45	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	enrichment of phosphorylated Protein	1	synthetic	run 45	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/lib04_TiO2.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	TiO2	lib04_TiO2.raw	TiO2	synthetic
Sample 327	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	enrichment of phosphorylated Protein	1	synthetic	run 327	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/lib05_direct.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	not applicable	lib05_direct.raw	not applicable	synthetic
Sample 251	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	enrichment of phosphorylated Protein	1	synthetic	run 251	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/lib05_IMAC.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	IMAC	lib05_IMAC.raw	IMAC	synthetic
Sample 228	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	enrichment of phosphorylated Protein	1	synthetic	run 228	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/lib05_TiO2.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	TiO2	lib05_TiO2.raw	TiO2	synthetic
Sample 195	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	enrichment of phosphorylated Protein	1	synthetic	run 195	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/lib06_direct_2.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	not applicable	lib06_direct_2.raw	not applicable	synthetic
