Protocol Parameters	Digestion Reagent;Normalized Collision Energy;Instrument Model	
Protocol Hardware	LTQ Orbitrap Velos	
Protocol software	msconvert ;Pepitome 1.0.42 ;MyriMatch 2.1.87 ;MSGF+ v9176	
Protocol Contact		
		
Person Last Name	Liebler	
Person First Name	Daniel C.	
Person Mid Initials		
Person Email	daniel.liebler@vanderbilt.edu	
Person Phone		
Person Fax		
Person Affiliation	Proteomics	Department of Biochemistry, Vanderbilt University School of Medicine, Nashville, Tennessee 37232, USA.
Person Address		
Person Roles		
Person Roles Term Source REF		
Person Roles Term Accession Number		
		
Experimental Factor Name	organism part	
		
SDRF File	PMID25043054.sdrf.tsv	
Comment[SDRF-Proteomics version]	1.1	
Comment[TemplateType]	proteomics	
