source name	characteristics[biological replicate]	characteristics[cell type]	characteristics[disease]	characteristics[organism part]	characteristics[organism]	characteristics[strain/breed]	characteristics[treatment]	characteristics[medium]	characteristics[temperature]	characteristics[growth phase]	characteristics[optical density]	assay name	technology type	comment[alkylation reagent]	comment[cleavage agent details]	comment[collision energy]	comment[proteomics data acquisition method]	comment[data file]	comment[dissociation method]	comment[fraction identifier]	comment[fragment mass tolerance]	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[reduction reagent]	comment[technical replicate]	comment[tool metadata]	factor value[treatment]	comment[sdrf version]	comment[sdrf template]
TMT_Fraction11_Repeat1.raw	1	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12	Spaceflight	LB medium	37°C	Exponential phase	1	run 11	Proteomic profiling by mass spectrometry	IAA	NT=Trypsin;AC=1001251	32 %	NT=Data-dependent acquisition;AC=PRIDE:0000627	TMT_Fraction11_Repeat1.raw	NT=HCD; AC=MS:1002481	11	Not available	NT=Q Exactive	TMT reagent 126	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	Not available	DTT	1	lesSDRF v0.1.0	Spaceflight	v1.1.0	NT=ms-proteomics;version=v1.1.0
TMT_Fraction12_Repeat1.raw	1	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12	Spaceflight	LB medium	37°C	Exponential phase	1	run 12	Proteomic profiling by mass spectrometry	IAA	NT=Trypsin;AC=1001251	32 %	NT=Data-dependent acquisition;AC=PRIDE:0000627	TMT_Fraction12_Repeat1.raw	NT=HCD; AC=MS:1002481	12	Not available	NT=Q Exactive	TMT reagent 126	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	Not available	DTT	1	lesSDRF v0.1.0	Spaceflight	v1.1.0	NT=ms-proteomics;version=v1.1.0
TMT_Fraction13_Repeat1.raw	1	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12	Spaceflight	LB medium	37°C	Exponential phase	1	run 13	Proteomic profiling by mass spectrometry	IAA	NT=Trypsin;AC=1001251	32 %	NT=Data-dependent acquisition;AC=PRIDE:0000627	TMT_Fraction13_Repeat1.raw	NT=HCD; AC=MS:1002481	13	Not available	NT=Q Exactive	TMT reagent 126	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	Not available	DTT	1	lesSDRF v0.1.0	Spaceflight	v1.1.0	NT=ms-proteomics;version=v1.1.0
TMT_Fraction14_Repeat1.raw	1	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12	Spaceflight	LB medium	37°C	Exponential phase	1	run 14	Proteomic profiling by mass spectrometry	IAA	NT=Trypsin;AC=1001251	32 %	NT=Data-dependent acquisition;AC=PRIDE:0000627	TMT_Fraction14_Repeat1.raw	NT=HCD; AC=MS:1002481	14	Not available	NT=Q Exactive	TMT reagent 126	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	Not available	DTT	1	lesSDRF v0.1.0	Spaceflight	v1.1.0	NT=ms-proteomics;version=v1.1.0
TMT_Fraction15_Repeat1.raw	1	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12	Spaceflight	LB medium	37°C	Exponential phase	1	run 15	Proteomic profiling by mass spectrometry	IAA	NT=Trypsin;AC=1001251	32 %	NT=Data-dependent acquisition;AC=PRIDE:0000627	TMT_Fraction15_Repeat1.raw	NT=HCD; AC=MS:1002481	15	Not available	NT=Q Exactive	TMT reagent 126	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	Not available	DTT	1	lesSDRF v0.1.0	Spaceflight	v1.1.0	NT=ms-proteomics;version=v1.1.0
TMT_Fraction1_Repeat1.raw	2	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12	Spaceflight	LB medium	37°C	Exponential phase	1	run 1	Proteomic profiling by mass spectrometry	IAA	NT=Trypsin;AC=1001251	32 %	NT=Data-dependent acquisition;AC=PRIDE:0000627	TMT_Fraction1_Repeat1.raw	NT=HCD; AC=MS:1002481	1	Not available	NT=Q Exactive	TMT reagent 127	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	Not available	DTT	1	lesSDRF v0.1.0	Spaceflight	v1.1.0	NT=ms-proteomics;version=v1.1.0
TMT_Fraction2_Repeat1.raw	2	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12	Spaceflight	LB medium	37°C	Exponential phase	1	run 2	Proteomic profiling by mass spectrometry	IAA	NT=Trypsin;AC=1001251	32 %	NT=Data-dependent acquisition;AC=PRIDE:0000627	TMT_Fraction2_Repeat1.raw	NT=HCD; AC=MS:1002481	2	Not available	NT=Q Exactive	TMT reagent 127	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	Not available	DTT	1	lesSDRF v0.1.0	Spaceflight	v1.1.0	NT=ms-proteomics;version=v1.1.0
TMT_Fraction3_Repeat1.raw	2	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12	Spaceflight	LB medium	37°C	Exponential phase	1	run 3	Proteomic profiling by mass spectrometry	IAA	NT=Trypsin;AC=1001251	32 %	NT=Data-dependent acquisition;AC=PRIDE:0000627	TMT_Fraction3_Repeat1.raw	NT=HCD; AC=MS:1002481	3	Not available	NT=Q Exactive	TMT reagent 127	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	Not available	DTT	1	lesSDRF v0.1.0	Spaceflight	v1.1.0	NT=ms-proteomics;version=v1.1.0
TMT_Fraction4_Repeat1.raw	2	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12	Spaceflight	LB medium	37°C	Exponential phase	1	run 4	Proteomic profiling by mass spectrometry	IAA	NT=Trypsin;AC=1001251	32 %	NT=Data-dependent acquisition;AC=PRIDE:0000627	TMT_Fraction4_Repeat1.raw	NT=HCD; AC=MS:1002481	4	Not available	NT=Q Exactive	TMT reagent 127	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	Not available	DTT	1	lesSDRF v0.1.0	Spaceflight	v1.1.0	NT=ms-proteomics;version=v1.1.0
TMT_Fraction5_Repeat1.raw	2	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12	Spaceflight	LB medium	37°C	Exponential phase	1	run 5	Proteomic profiling by mass spectrometry	IAA	NT=Trypsin;AC=1001251	32 %	NT=Data-dependent acquisition;AC=PRIDE:0000627	TMT_Fraction5_Repeat1.raw	NT=HCD; AC=MS:1002481	5	Not available	NT=Q Exactive	TMT reagent 127	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	Not available	DTT	1	lesSDRF v0.1.0	Spaceflight	v1.1.0	NT=ms-proteomics;version=v1.1.0
TMT_Fraction6_Repeat1.raw	2	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12	Spaceflight	LB medium	37°C	Exponential phase	1	run 6	Proteomic profiling by mass spectrometry	IAA	NT=Trypsin;AC=1001251	32 %	NT=Data-dependent acquisition;AC=PRIDE:0000627	TMT_Fraction6_Repeat1.raw	NT=HCD; AC=MS:1002481	6	Not available	NT=Q Exactive	TMT reagent 127	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	Not available	DTT	1	lesSDRF v0.1.0	Spaceflight	v1.1.0	NT=ms-proteomics;version=v1.1.0
TMT_Fraction7_Repeat1.raw	2	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12	Spaceflight	LB medium	37°C	Exponential phase	1	run 7	Proteomic profiling by mass spectrometry	IAA	NT=Trypsin;AC=1001251	32 %	NT=Data-dependent acquisition;AC=PRIDE:0000627	TMT_Fraction7_Repeat1.raw	NT=HCD; AC=MS:1002481	7	Not available	NT=Q Exactive	TMT reagent 127	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	Not available	DTT	1	lesSDRF v0.1.0	Spaceflight	v1.1.0	NT=ms-proteomics;version=v1.1.0
TMT_Fraction8_Repeat1.raw	2	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12	Spaceflight	LB medium	37°C	Exponential phase	1	run 8	Proteomic profiling by mass spectrometry	IAA	NT=Trypsin;AC=1001251	32 %	NT=Data-dependent acquisition;AC=PRIDE:0000627	TMT_Fraction8_Repeat1.raw	NT=HCD; AC=MS:1002481	8	Not available	NT=Q Exactive	TMT reagent 127	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	Not available	DTT	1	lesSDRF v0.1.0	Spaceflight	v1.1.0	NT=ms-proteomics;version=v1.1.0
TMT_Fraction9_Repeat1.raw	2	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12	Spaceflight	LB medium	37°C	Exponential phase	1	run 9	Proteomic profiling by mass spectrometry	IAA	NT=Trypsin;AC=1001251	32 %	NT=Data-dependent acquisition;AC=PRIDE:0000627	TMT_Fraction9_Repeat1.raw	NT=HCD; AC=MS:1002481	9	Not available	NT=Q Exactive	TMT reagent 127	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	Not available	DTT	1	lesSDRF v0.1.0	Spaceflight	v1.1.0	NT=ms-proteomics;version=v1.1.0
TMT_Fraction10_Repeat1.raw	2	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12	Spaceflight	LB medium	37°C	Exponential phase	1	run 10	Proteomic profiling by mass spectrometry	IAA	NT=Trypsin;AC=1001251	32 %	NT=Data-dependent acquisition;AC=PRIDE:0000627	TMT_Fraction10_Repeat1.raw	NT=HCD; AC=MS:1002481	10	Not available	NT=Q Exactive	TMT reagent 127	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	Not available	DTT	1	lesSDRF v0.1.0	Spaceflight	v1.1.0	NT=ms-proteomics;version=v1.1.0
TMT_Fraction11_Repeat1.raw	2	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12	Spaceflight	LB medium	37°C	Exponential phase	1	run 11	Proteomic profiling by mass spectrometry	IAA	NT=Trypsin;AC=1001251	32 %	NT=Data-dependent acquisition;AC=PRIDE:0000627	TMT_Fraction11_Repeat1.raw	NT=HCD; AC=MS:1002481	11	Not available	NT=Q Exactive	TMT reagent 127	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	Not available	DTT	1	lesSDRF v0.1.0	Spaceflight	v1.1.0	NT=ms-proteomics;version=v1.1.0
TMT_Fraction12_Repeat1.raw	2	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12	Spaceflight	LB medium	37°C	Exponential phase	1	run 12	Proteomic profiling by mass spectrometry	IAA	NT=Trypsin;AC=1001251	32 %	NT=Data-dependent acquisition;AC=PRIDE:0000627	TMT_Fraction12_Repeat1.raw	NT=HCD; AC=MS:1002481	12	Not available	NT=Q Exactive	TMT reagent 127	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	Not available	DTT	1	lesSDRF v0.1.0	Spaceflight	v1.1.0	NT=ms-proteomics;version=v1.1.0
TMT_Fraction13_Repeat1.raw	2	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12	Spaceflight	LB medium	37°C	Exponential phase	1	run 13	Proteomic profiling by mass spectrometry	IAA	NT=Trypsin;AC=1001251	32 %	NT=Data-dependent acquisition;AC=PRIDE:0000627	TMT_Fraction13_Repeat1.raw	NT=HCD; AC=MS:1002481	13	Not available	NT=Q Exactive	TMT reagent 127	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	Not available	DTT	1	lesSDRF v0.1.0	Spaceflight	v1.1.0	NT=ms-proteomics;version=v1.1.0
TMT_Fraction14_Repeat1.raw	2	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12	Spaceflight	LB medium	37°C	Exponential phase	1	run 14	Proteomic profiling by mass spectrometry	IAA	NT=Trypsin;AC=1001251	32 %	NT=Data-dependent acquisition;AC=PRIDE:0000627	TMT_Fraction14_Repeat1.raw	NT=HCD; AC=MS:1002481	14	Not available	NT=Q Exactive	TMT reagent 127	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	Not available	DTT	1	lesSDRF v0.1.0	Spaceflight	v1.1.0	NT=ms-proteomics;version=v1.1.0
TMT_Fraction15_Repeat1.raw	2	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12	Spaceflight	LB medium	37°C	Exponential phase	1	run 15	Proteomic profiling by mass spectrometry	IAA	NT=Trypsin;AC=1001251	32 %	NT=Data-dependent acquisition;AC=PRIDE:0000627	TMT_Fraction15_Repeat1.raw	NT=HCD; AC=MS:1002481	15	Not available	NT=Q Exactive	TMT reagent 127	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	Not available	DTT	1	lesSDRF v0.1.0	Spaceflight	v1.1.0	NT=ms-proteomics;version=v1.1.0
TMT_Fraction1_Repeat1.raw	3	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12	Spaceflight	LB medium	37°C	Exponential phase	1	run 1	Proteomic profiling by mass spectrometry	IAA	NT=Trypsin;AC=1001251	32 %	NT=Data-dependent acquisition;AC=PRIDE:0000627	TMT_Fraction1_Repeat1.raw	NT=HCD; AC=MS:1002481	1	Not available	NT=Q Exactive	TMT reagent 128	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	Not available	DTT	1	lesSDRF v0.1.0	Spaceflight	v1.1.0	NT=ms-proteomics;version=v1.1.0
TMT_Fraction2_Repeat1.raw	3	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12	Spaceflight	LB medium	37°C	Exponential phase	1	run 2	Proteomic profiling by mass spectrometry	IAA	NT=Trypsin;AC=1001251	32 %	NT=Data-dependent acquisition;AC=PRIDE:0000627	TMT_Fraction2_Repeat1.raw	NT=HCD; AC=MS:1002481	2	Not available	NT=Q Exactive	TMT reagent 128	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	Not available	DTT	1	lesSDRF v0.1.0	Spaceflight	v1.1.0	NT=ms-proteomics;version=v1.1.0
