#fileformat=SDRF
#version=v1.1.0
#template=default
#template_version=v1.1.0
source name	characteristics[biological replicate]	characteristics[cell type]	characteristics[disease]	characteristics[organism part]	characteristics[organism]	characteristics[strain/breed]	characteristics[growth condition]	characteristics[time]	characteristics[medium]	characteristics[temperature]	characteristics[optical density]	assay name	technology type	comment[alkylation reagent]	comment[cleavage agent details]	comment[collision energy]	comment[data file]	comment[dissociation method]	comment[file uri]	comment[fraction identifier]	comment[fragment mass tolerance]	comment[instrument]	comment[label]	comment[modification parameters]	comment[precursor mass tolerance]	comment[reduction reagent]	comment[technical replicate]	comment[tool metadata]	Factor value[growth condition]	Factor value[time]
42C7m_cellculture1	1	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12 substr. MG1655	42°C	7 min	Terrific Broth	42°C	0.6	run11	Proteomic profiling by mass spectrometry	IAA	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	22.5%; 25%; 27.5%	Temp-3-19.raw	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/08/PXD012611/Temp-3-19.raw	1	0.02 Da	NT=Q Exactive HF-X	label free sample	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	10 ppm	Tris(2-carboxyethyl)phosphine (TCEP)	1	lesSDRF v0.1.0	42°C	7 min
37C0m_cellculture2	2	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12 substr. MG1655	37°C	0 min	Terrific Broth	37°C	0.6	run12	Proteomic profiling by mass spectrometry	IAA	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	22.5%; 25%; 27.5%	Temp-3-2.raw	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/08/PXD012611/Temp-3-2.raw	1	0.02 Da	NT=Q Exactive HF-X	label free sample	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	10 ppm	Tris(2-carboxyethyl)phosphine (TCEP)	1	lesSDRF v0.1.0	37°C	0 min
42C7m_cellculture2	2	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12 substr. MG1655	42°C	7 min	Terrific Broth	42°C	0.6	run13	Proteomic profiling by mass spectrometry	IAA	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	22.5%; 25%; 27.5%	Temp-3-20.raw	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/08/PXD012611/Temp-3-20.raw	1	0.02 Da	NT=Q Exactive HF-X	label free sample	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	10 ppm	Tris(2-carboxyethyl)phosphine (TCEP)	1	lesSDRF v0.1.0	42°C	7 min
42C7m_cellculture3	3	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12 substr. MG1655	42°C	7 min	Terrific Broth	42°C	0.6	run14	Proteomic profiling by mass spectrometry	IAA	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	22.5%; 25%; 27.5%	Temp-3-21.raw	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/08/PXD012611/Temp-3-21.raw	1	0.02 Da	NT=Q Exactive HF-X	label free sample	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	10 ppm	Tris(2-carboxyethyl)phosphine (TCEP)	1	lesSDRF v0.1.0	42°C	7 min
42C15m_cellculture1	1	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12 substr. MG1655	42°C	15 min	Terrific Broth	42°C	0.6	run15	Proteomic profiling by mass spectrometry	IAA	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	22.5%; 25%; 27.5%	Temp-3-22.raw	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/08/PXD012611/Temp-3-22.raw	1	0.02 Da	NT=Q Exactive HF-X	label free sample	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	10 ppm	Tris(2-carboxyethyl)phosphine (TCEP)	1	lesSDRF v0.1.0	42°C	15 min
42C15m_cellculture2	2	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12 substr. MG1655	42°C	15 min	Terrific Broth	42°C	0.6	run16	Proteomic profiling by mass spectrometry	IAA	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	22.5%; 25%; 27.5%	Temp-3-23.raw	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/08/PXD012611/Temp-3-23.raw	1	0.02 Da	NT=Q Exactive HF-X	label free sample	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	10 ppm	Tris(2-carboxyethyl)phosphine (TCEP)	1	lesSDRF v0.1.0	42°C	15 min
42C15m_cellculture3	3	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12 substr. MG1655	42°C	15 min	Terrific Broth	42°C	0.6	run17	Proteomic profiling by mass spectrometry	IAA	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	22.5%; 25%; 27.5%	Temp-3-24.raw	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/08/PXD012611/Temp-3-24.raw	1	0.02 Da	NT=Q Exactive HF-X	label free sample	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	10 ppm	Tris(2-carboxyethyl)phosphine (TCEP)	1	lesSDRF v0.1.0	42°C	15 min
42C30m_cellculture1	1	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12 substr. MG1655	42°C	30 min	Terrific Broth	42°C	0.6	run18	Proteomic profiling by mass spectrometry	IAA	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	22.5%; 25%; 27.5%	Temp-3-25.raw	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/08/PXD012611/Temp-3-25.raw	1	0.02 Da	NT=Q Exactive HF-X	label free sample	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	10 ppm	Tris(2-carboxyethyl)phosphine (TCEP)	1	lesSDRF v0.1.0	42°C	30 min
42C30m_cellculture2	2	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12 substr. MG1655	42°C	30 min	Terrific Broth	42°C	0.6	run19	Proteomic profiling by mass spectrometry	IAA	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	22.5%; 25%; 27.5%	Temp-3-26.raw	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/08/PXD012611/Temp-3-26.raw	1	0.02 Da	NT=Q Exactive HF-X	label free sample	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	10 ppm	Tris(2-carboxyethyl)phosphine (TCEP)	1	lesSDRF v0.1.0	42°C	30 min
42C30m_cellculture3	3	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12 substr. MG1655	42°C	30 min	Terrific Broth	42°C	0.6	run20	Proteomic profiling by mass spectrometry	IAA	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	22.5%; 25%; 27.5%	Temp-3-27.raw	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/08/PXD012611/Temp-3-27.raw	1	0.02 Da	NT=Q Exactive HF-X	label free sample	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	10 ppm	Tris(2-carboxyethyl)phosphine (TCEP)	1	lesSDRF v0.1.0	42°C	30 min
42C60m_cellculture1	1	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12 substr. MG1655	42°C	60 min	Terrific Broth	42°C	0.6	run21	Proteomic profiling by mass spectrometry	IAA	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	22.5%; 25%; 27.5%	Temp-3-28.raw	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/08/PXD012611/Temp-3-28.raw	1	0.02 Da	NT=Q Exactive HF-X	label free sample	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	10 ppm	Tris(2-carboxyethyl)phosphine (TCEP)	1	lesSDRF v0.1.0	42°C	60 min
42C60m_cellculture2	2	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12 substr. MG1655	42°C	60 min	Terrific Broth	42°C	0.6	run22	Proteomic profiling by mass spectrometry	IAA	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	22.5%; 25%; 27.5%	Temp-3-29.raw	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/08/PXD012611/Temp-3-29.raw	1	0.02 Da	NT=Q Exactive HF-X	label free sample	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	10 ppm	Tris(2-carboxyethyl)phosphine (TCEP)	1	lesSDRF v0.1.0	42°C	60 min
37C0m_cellculture3	3	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12 substr. MG1655	37°C	0 min	Terrific Broth	37°C	0.6	run23	Proteomic profiling by mass spectrometry	IAA	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	22.5%; 25%; 27.5%	Temp-3-3.raw	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/08/PXD012611/Temp-3-3.raw	1	0.02 Da	NT=Q Exactive HF-X	label free sample	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	10 ppm	Tris(2-carboxyethyl)phosphine (TCEP)	1	lesSDRF v0.1.0	37°C	0 min
42C60m_cellculture3	3	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12 substr. MG1655	42°C	60 min	Terrific Broth	42°C	0.6	run24	Proteomic profiling by mass spectrometry	IAA	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	22.5%; 25%; 27.5%	Temp-3-30.raw	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/08/PXD012611/Temp-3-30.raw	1	0.02 Da	NT=Q Exactive HF-X	label free sample	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	10 ppm	Tris(2-carboxyethyl)phosphine (TCEP)	1	lesSDRF v0.1.0	42°C	60 min
37C7m_cellculture1	1	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12 substr. MG1655	37°C	7 min	Terrific Broth	37°C	0.6	run25	Proteomic profiling by mass spectrometry	IAA	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	22.5%; 25%; 27.5%	Temp-3-4.raw	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/08/PXD012611/Temp-3-4.raw	1	0.02 Da	NT=Q Exactive HF-X	label free sample	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	10 ppm	Tris(2-carboxyethyl)phosphine (TCEP)	1	lesSDRF v0.1.0	37°C	7 min
37C7m_cellculture2	2	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12 substr. MG1655	37°C	7 min	Terrific Broth	37°C	0.6	run26	Proteomic profiling by mass spectrometry	IAA	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	22.5%; 25%; 27.5%	Temp-3-5.raw	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/08/PXD012611/Temp-3-5.raw	1	0.02 Da	NT=Q Exactive HF-X	label free sample	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	10 ppm	Tris(2-carboxyethyl)phosphine (TCEP)	1	lesSDRF v0.1.0	37°C	7 min
37C7m_cellculture3	3	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12 substr. MG1655	37°C	7 min	Terrific Broth	37°C	0.6	run27	Proteomic profiling by mass spectrometry	IAA	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	22.5%; 25%; 27.5%	Temp-3-6.raw	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/08/PXD012611/Temp-3-6.raw	1	0.02 Da	NT=Q Exactive HF-X	label free sample	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	10 ppm	Tris(2-carboxyethyl)phosphine (TCEP)	1	lesSDRF v0.1.0	37°C	7 min
37C15m_cellculture1	1	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12 substr. MG1655	37°C	15 min	Terrific Broth	37°C	0.6	run28	Proteomic profiling by mass spectrometry	IAA	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	22.5%; 25%; 27.5%	Temp-3-7.raw	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/08/PXD012611/Temp-3-7.raw	1	0.02 Da	NT=Q Exactive HF-X	label free sample	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	10 ppm	Tris(2-carboxyethyl)phosphine (TCEP)	1	lesSDRF v0.1.0	37°C	15 min
37C15m_cellculture2	2	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12 substr. MG1655	37°C	15 min	Terrific Broth	37°C	0.6	run29	Proteomic profiling by mass spectrometry	IAA	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	22.5%; 25%; 27.5%	Temp-3-8.raw	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/08/PXD012611/Temp-3-8.raw	1	0.02 Da	NT=Q Exactive HF-X	label free sample	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	10 ppm	Tris(2-carboxyethyl)phosphine (TCEP)	1	lesSDRF v0.1.0	37°C	15 min
37C15m_cellculture3	3	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12 substr. MG1655	37°C	15 min	Terrific Broth	37°C	0.6	run30	Proteomic profiling by mass spectrometry	IAA	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	22.5%; 25%; 27.5%	Temp-3-9.raw	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/08/PXD012611/Temp-3-9.raw	1	0.02 Da	NT=Q Exactive HF-X	label free sample	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	10 ppm	Tris(2-carboxyethyl)phosphine (TCEP)	1	lesSDRF v0.1.0	37°C	15 min
peptide_mixture	1	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12 substr. MG1655	Not available	Not available	Terrific Broth	Not available	0.6	run31	Proteomic profiling by mass spectrometry	IAA	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	Not available	Temp-3-Speclib-2.raw	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/08/PXD012611/Temp-3-Speclib-2.raw	1	0.02 Da	NT=Q Exactive HF-X	label free sample	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	10 ppm	Tris(2-carboxyethyl)phosphine (TCEP)	1	lesSDRF v0.1.0	Not available	Not available
peptide_mixture	1	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12 substr. MG1655	Not available	Not available	Terrific Broth	Not available	0.6	run32	Proteomic profiling by mass spectrometry	IAA	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	Not available	Temp-3-Speclib-3.raw	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/08/PXD012611/Temp-3-Speclib-3.raw	1	0.02 Da	NT=Q Exactive HF-X	label free sample	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	10 ppm	Tris(2-carboxyethyl)phosphine (TCEP)	1	lesSDRF v0.1.0	Not available	Not available
peptide_mixture	1	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12 substr. MG1655	Not available	Not available	Terrific Broth	Not available	0.6	run32	Proteomic profiling by mass spectrometry	IAA	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	Not available	Temp-3-Speclib-4.raw	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/08/PXD012611/Temp-3-Speclib-4.raw	1	0.02 Da	NT=Q Exactive HF-X	label free sample	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	10 ppm	Tris(2-carboxyethyl)phosphine (TCEP)	1	lesSDRF v0.1.0	Not available	Not available
peptide_mixture	1	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12 substr. MG1655	Not available	Not available	Terrific Broth	Not available	0.6	run33	Proteomic profiling by mass spectrometry	IAA	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	Not available	Temp-3-Speclib-5.raw	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/08/PXD012611/Temp-3-Speclib-5.raw	1	0.02 Da	NT=Q Exactive HF-X	label free sample	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	10 ppm	Tris(2-carboxyethyl)phosphine (TCEP)	1	lesSDRF v0.1.0	Not available	Not available
