source name	characteristics[organism]	characteristics[organism part]	characteristics[strain/breed]	characteristics[disease]	characteristics[cell type]	characteristics[treatment]	characteristics[biological replicate]	characteristics[medium]	assay name	technology type	comment[technical replicate]	comment[proteomics data acquisition method]	comment[data file]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[cleavage agent details].1	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[modification parameters].1	comment[dissociation method]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	factor value[treatment]
EC-SLS-Trypsin-3	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. MG1655	Not applicable	Prokaryotic cell	EC-SLS-Trypsin	3	LB medium	Run 11	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	EC-6-3.raw	1	Label free sample	NT=Q Exactive	NT=Trypsin;AC=1001251	Not Applicable	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD013273/EC-6-3.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0	EC-SLS-Trypsin
EC-SLS-Trypsin-4	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. MG1655	Not applicable	Prokaryotic cell	EC-SLS-Trypsin	4	LB medium	Run 12	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	EC-6-4.raw	1	Label free sample	NT=Q Exactive	NT=Trypsin;AC=1001251	Not Applicable	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD013273/EC-6-4.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0	EC-SLS-Trypsin
EC-SLS-Tandem-1	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. MG1655	Not applicable	Prokaryotic cell	EC-SLS-Tandem	1	LB medium	Run 13	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	EC-6-5.raw	1	Label free sample	NT=Q Exactive	NT=Trypsin;AC=1001251	NT=LysC; AC=1001309	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD013273/EC-6-5.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0	EC-SLS-Tandem
EC-SLS-Tandem-2	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. MG1655	Not applicable	Prokaryotic cell	EC-SLS-Tandem	2	LB medium	Run 14	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	EC-6-6.raw	1	Label free sample	NT=Q Exactive	NT=Trypsin;AC=1001251	NT=LysC; AC=1001309	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD013273/EC-6-6.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0	EC-SLS-Tandem
EC-SLS-Tandem-3	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. MG1655	Not applicable	Prokaryotic cell	EC-SLS-Tandem	3	LB medium	Run 15	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	EC-6-7.raw	1	Label free sample	NT=Q Exactive	NT=Trypsin;AC=1001251	NT=LysC; AC=1001309	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD013273/EC-6-7.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0	EC-SLS-Tandem
EC-SLS-Tandem-4	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. MG1655	Not applicable	Prokaryotic cell	EC-SLS-Tandem	4	LB medium	Run 16	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	EC-6-8.raw	1	Label free sample	NT=Q Exactive	NT=Trypsin;AC=1001251	NT=LysC; AC=1001309	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD013273/EC-6-8.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0	EC-SLS-Tandem
EC-Urea-Trypsin-1	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. MG1655	Not applicable	Prokaryotic cell	EC-Urea-Trypsin	1	LB medium	Run 17	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	EC-9-1.raw	1	Label free sample	NT=Q Exactive	NT=Trypsin;AC=1001251	Not Applicable	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD013273/EC-9-1.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0	EC-Urea-Trypsin
EC-Urea-Trypsin-2	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. MG1655	Not applicable	Prokaryotic cell	EC-Urea-Trypsin	2	LB medium	Run 18	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	EC-9-2.raw	1	Label free sample	NT=Q Exactive	NT=Trypsin;AC=1001251	Not Applicable	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD013273/EC-9-2.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0	EC-Urea-Trypsin
EC-Urea-Trypsin-3	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. MG1655	Not applicable	Prokaryotic cell	EC-Urea-Trypsin	3	LB medium	Run 19	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	EC-9-3.raw	1	Label free sample	NT=Q Exactive	NT=Trypsin;AC=1001251	Not Applicable	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD013273/EC-9-3.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0	EC-Urea-Trypsin
EC-Urea-Trypsin-4	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. MG1655	Not applicable	Prokaryotic cell	EC-Urea-Trypsin	4	LB medium	Run 20	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	EC-9-4.raw	1	Label free sample	NT=Q Exactive	NT=Trypsin;AC=1001251	Not Applicable	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD013273/EC-9-4.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0	EC-Urea-Trypsin
EC-Tandem-1.6M Urea-1	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. MG1655	Not applicable	Prokaryotic cell	EC-Tandem-1.6M Urea	1	LB medium	Run 21	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	EC-9-5.raw	1	Label free sample	NT=Q Exactive	NT=Trypsin;AC=1001251	NT=LysC; AC=1001309	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD013273/EC-9-5.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0	EC-Tandem-1.6M Urea
EC-Tandem-1.6M Urea-2	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. MG1655	Not applicable	Prokaryotic cell	EC-Tandem-1.6M Urea	2	LB medium	Run 22	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	EC-9-6.raw	1	Label free sample	NT=Q Exactive	NT=Trypsin;AC=1001251	NT=LysC; AC=1001309	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD013273/EC-9-6.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0	EC-Tandem-1.6M Urea
EC-Tandem-1.6M Urea-3	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. MG1655	Not applicable	Prokaryotic cell	EC-Tandem-1.6M Urea	3	LB medium	Run 23	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	EC-9-7.raw	1	Label free sample	NT=Q Exactive	NT=Trypsin;AC=1001251	NT=LysC; AC=1001309	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD013273/EC-9-7.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0	EC-Tandem-1.6M Urea
EC-Tandem-1.6M Urea-4	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. MG1655	Not applicable	Prokaryotic cell	EC-Tandem-1.6M Urea	4	LB medium	Run 24	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	EC-9-8.raw	1	Label free sample	NT=Q Exactive	NT=Trypsin;AC=1001251	NT=LysC; AC=1001309	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD013273/EC-9-8.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0	EC-Tandem-1.6M Urea
EC-Tandem-6M Urea-1	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. MG1655	Not applicable	Prokaryotic cell	EC-Tandem-6M Urea	1	LB medium	Run 25	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	EC-9-9.raw	1	Label free sample	NT=Q Exactive	NT=Trypsin;AC=1001251	NT=LysC; AC=1001309	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD013273/EC-9-9.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0	EC-Tandem-6M Urea
EC-Tandem-6M Urea-2	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. MG1655	Not applicable	Prokaryotic cell	EC-Tandem-6M Urea	2	LB medium	Run 26	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	EC-9-10.raw	1	Label free sample	NT=Q Exactive	NT=Trypsin;AC=1001251	NT=LysC; AC=1001309	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD013273/EC-9-10.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0	EC-Tandem-6M Urea
EC-Tandem-6M Urea-3	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. MG1655	Not applicable	Prokaryotic cell	EC-Tandem-6M Urea	3	LB medium	Run 27	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	EC-9-11.raw	1	Label free sample	NT=Q Exactive	NT=Trypsin;AC=1001251	NT=LysC; AC=1001309	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD013273/EC-9-11.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0	EC-Tandem-6M Urea
EC-Tandem-6M Urea-4	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. MG1655	Not applicable	Prokaryotic cell	EC-Tandem-6M Urea	4	LB medium	Run 28	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	EC-9-12.raw	1	Label free sample	NT=Q Exactive	NT=Trypsin;AC=1001251	NT=LysC; AC=1001309	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD013273/EC-9-12.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0	EC-Tandem-6M Urea
